%310
@RELATION PLJSW0000015
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG30 NUMERIC 
@ATTRIBUTE WIG20 NUMERIC 
@ATTRIBUTE WIGdiv NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE RESPECT NUMERIC 
@ATTRIBUTE WIG30TR NUMERIC 
@ATTRIBUTE WIG20TR NUMERIC 
@ATTRIBUTE WIG-SUROWC NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2,2624.35,2626.21,1117.48,48107.89,2644.06,3789.17,3791.86,6167.21,48389.84,9853294.60,144894.60,9290.48,?,94.60
3,2629.86,2628.36,1118.84,48222.72,2649.70,3797.12,3794.96,6185.32,48505.50,13317096.40,136296.40,12700.04,94.60,96.40
4,2611.26,2601.73,1111.36,47888.16,2625.17,3770.27,3756.50,6172.16,48143.94,10802495.80,143495.80,10373.74,96.40,95.80
5,?,?,?,?,?,?,?,?,?,?,?,?,95.80,?
6,?,?,?,?,?,?,?,?,?,?,?,?,?,?
7,2594.16,2578.48,1109.28,47589.33,2607.87,3745.58,3722.95,6166.86,47820.24,7182395.40,73995.40,6860.18,?,95.40
8,2579.49,2562.63,1101.95,47379.63,2600.99,3724.40,3700.06,6137.78,47624.67,10354593.50,119593.50,9747.83,95.40,93.50
9,2582.76,2567.59,1105.51,47407.28,2600.72,3729.12,3707.22,6102.11,47668.58,19437693.70,82093.70,18154.97,93.50,93.70
10,2592.92,2573.62,1109.02,47546.91,2611.00,3743.79,3715.93,6142.91,47798.66,9472594.50,68894.50,8949.25,93.70,94.50
11,2581.72,2557.93,1106.07,47440.80,2601.78,3727.62,3693.27,6105.18,47690.97,3352494.40,41494.40,3159.68,94.50,94.40
12,?,?,?,?,?,?,?,?,?,?,?,?,94.40,?
13,?,?,?,?,?,?,?,?,?,?,?,?,?,?
14,2585.89,2560.14,1108.76,47470.12,2601.51,3733.64,3696.46,6071.51,47724.95,11386696.20,106796.20,10882.92,?,96.20
15,2563.15,2532.42,1098.41,47086.54,2582.97,3700.81,3656.43,5935.93,47346.41,14533794.95,151094.95,13846.18,96.20,94.95
16,2590.04,2565.15,1100.21,47521.39,2609.80,3739.63,3703.70,6013.95,47794.60,29231791.60,173891.60,27066.20,94.95,91.60
17,2595.18,2567.16,1100.21,47661.37,2612.25,3747.05,3706.60,6056.81,47936.81,13617991.50,124091.50,12498.76,91.60,91.50
18,2603.26,2572.14,1104.63,47813.69,2633.44,3758.73,3713.78,6025.68,48104.67,18648992.75,83592.75,17309.01,91.50,92.75
19,?,?,?,?,?,?,?,?,?,?,?,?,92.75,?
20,?,?,?,?,?,?,?,?,?,?,?,?,?,?
21,2604.76,2573.67,1103.07,47936.61,2642.75,3760.89,3716.00,6036.34,48184.37,7348693.80,32993.80,6883.69,?,93.80
22,2598.05,2566.60,1099.21,47872.80,2636.08,3751.19,3705.79,6060.13,48127.89,6670493.60,47393.60,6253.60,93.80,93.60
23,2589.88,2558.39,1091.82,47733.24,2636.70,3739.40,3693.93,6091.45,47999.21,5374893.30,49293.30,5029.32,93.60,93.30
