%310
@RELATION PLARCUS00040
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-INFO NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
84,839.36,44585.10,1091.47,44946.32,112623.84,303.84,43.65,?,3.84
85,830.80,44724.88,1081.75,45119.16,58293.81,153.81,21.90,3.84,3.81
86,835.51,45247.90,1090.32,45644.09,73044.04,104.04,28.84,3.81,4.04
87,839.42,45147.57,1091.06,45528.85,10504.05,34.05,4.25,4.04,4.05
88,?,?,?,?,?,?,?,4.05,?
89,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?
92,840.31,45304.74,1102.99,45679.51,194334.30,324.30,82.22,?,4.30
93,828.79,44604.61,1070.68,44940.36,89964.20,274.20,38.28,4.30,4.20
94,824.35,44623.89,1070.17,44980.62,14934.15,54.15,6.15,4.20,4.15
95,819.73,44597.66,1086.26,44960.02,20024.16,54.16,8.28,4.15,4.16
96,?,?,?,?,?,?,?,4.16,?
97,?,?,?,?,?,?,?,?,?
98,818.75,44590.97,1086.13,44963.96,28354.16,124.16,11.56,?,4.16
99,815.74,44725.03,1084.77,45096.35,114144.21,184.21,47.69,4.16,4.21
100,820.16,45091.63,1089.08,45495.34,53314.19,164.19,21.88,4.21,4.19
101,824.04,45688.48,1095.29,46131.66,43734.10,114.10,17.61,4.19,4.10
102,819.29,45525.92,1102.49,45960.10,73503.85,143.85,28.57,4.10,3.85
103,?,?,?,?,?,?,?,3.85,?
104,?,?,?,?,?,?,?,?,?
105,814.07,44724.14,1097.10,45167.65,23113.72,53.72,8.62,?,3.72
106,?,?,?,?,?,?,?,3.72,?
107,796.68,43916.24,1090.97,44404.81,171423.51,293.51,59.89,?,3.51
108,787.39,43364.70,1089.24,43850.06,10803.51,33.51,3.80,3.51,3.51
109,783.37,43447.75,1086.50,43993.98,11023.53,63.53,3.76,3.51,3.53
110,?,?,?,?,?,?,?,3.53,?
111,?,?,?,?,?,?,?,?,?
112,776.37,43360.30,1090.01,43892.82,46893.41,143.41,16.46,?,3.41
