%310
@RELATION PLSIMPL00011
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-INFO NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
85,830.80,44724.88,1081.75,45119.16,8137.38,57.38,5.89,7.70,7.38
86,835.51,45247.90,1090.32,45644.09,12367.78,47.78,9.27,7.38,7.78
87,839.42,45147.57,1091.06,45528.85,50467.90,277.90,39.61,7.78,7.90
88,?,?,?,?,?,?,?,7.90,?
89,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?
92,840.31,45304.74,1102.99,45679.51,10037.95,67.95,7.94,?,7.95
93,828.79,44604.61,1070.68,44940.36,18257.95,117.95,13.86,7.95,7.95
94,824.35,44623.89,1070.17,44980.62,1637.94,47.94,1.25,7.95,7.94
95,819.73,44597.66,1086.26,44960.02,5777.94,37.94,4.54,7.94,7.94
96,?,?,?,?,?,?,?,7.94,?
97,?,?,?,?,?,?,?,?,?
98,818.75,44590.97,1086.13,44963.96,57.94,17.94,0.04,?,7.94
99,815.74,44725.03,1084.77,45096.35,4307.95,27.95,3.42,7.94,7.95
100,820.16,45091.63,1089.08,45495.34,16307.99,77.99,13.02,7.95,7.99
101,824.04,45688.48,1095.29,46131.66,15828.03,78.03,12.69,7.99,8.03
102,819.29,45525.92,1102.49,45960.10,2458.00,38.00,1.96,8.03,8.00
103,?,?,?,?,?,?,?,8.00,?
104,?,?,?,?,?,?,?,?,?
105,814.07,44724.14,1097.10,45167.65,58.00,18.00,0.04,?,8.00
106,?,?,?,?,?,?,?,8.00,?
107,796.68,43916.24,1090.97,44404.81,2607.89,27.89,2.05,?,7.89
108,787.39,43364.70,1089.24,43850.06,1048.00,48.00,0.78,7.89,8.00
109,783.37,43447.75,1086.50,43993.98,28.00,18.00,0.02,8.00,8.00
110,?,?,?,?,?,?,?,8.00,?
111,?,?,?,?,?,?,?,?,?
112,776.37,43360.30,1090.01,43892.82,1078.00,38.00,0.82,?,8.00
113,769.16,43159.57,1070.14,43707.88,4967.80,67.80,3.80,8.00,7.80
114,769.82,43356.73,1084.85,43908.95,37.99,17.99,0.02,7.80,7.99
115,774.88,43482.18,1076.35,44027.03,15047.98,117.98,11.30,7.99,7.98
116,777.86,43665.21,1081.14,44226.06,107.98,17.98,0.08,7.98,7.98
117,?,?,?,?,?,?,?,7.98,?
118,?,?,?,?,?,?,?,?,?
119,779.98,43882.16,1086.18,44420.22,15737.35,77.35,11.56,?,7.35
120,784.81,44162.18,1096.22,44653.34,27.50,17.50,0.02,7.35,7.50
121,?,?,?,?,?,?,?,7.50,?
122,787.45,43991.51,1077.28,44466.89,2787.50,57.50,2.00,?,7.50
123,?,?,?,?,?,?,?,7.50,?
124,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?
126,786.57,44541.73,1104.54,45060.80,1607.44,47.44,1.17,?,7.44
127,793.09,44742.22,1111.64,45244.29,4157.08,47.08,2.86,7.44,7.08
128,798.10,45117.94,1106.26,45647.76,2107.08,47.08,1.49,7.08,7.08
129,800.71,44943.16,1111.55,45475.08,5217.39,77.39,3.68,7.08,7.39
130,800.42,44895.35,1118.53,45408.06,17.35,17.35,0.01,7.39,7.35
131,?,?,?,?,?,?,?,7.35,?
