%310
@RELATION PLNFI0900014
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-TELKOM NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
71,2689.51,47010.40,731.42,47340.43,2911.38,26401640.82,2830.82,2150.52,0.82,0.82
72,2687.66,46888.37,717.76,47235.72,2901.67,45651820.82,2720.82,3716.22,0.82,0.82
73,2687.81,47223.68,723.75,47606.16,2912.13,14360220.82,1750.82,1181.04,0.82,0.82
74,2708.28,47125.93,710.13,47522.10,2909.77,151237740.85,9040.85,12910.79,0.82,0.85
75,?,?,?,?,?,?,?,?,0.85,?
76,?,?,?,?,?,?,?,?,?,?
77,2718.31,46668.41,715.27,47094.18,2900.59,44273720.83,2980.83,3686.53,?,0.83
78,2658.94,46029.35,697.24,46473.62,2868.24,38099170.82,2990.82,3143.55,0.83,0.82
79,2663.64,46068.24,701.57,46511.62,2874.75,17440020.83,1910.83,1445.53,0.82,0.83
80,2635.54,45580.47,707.10,46017.88,2833.61,27516770.82,3030.82,2263.96,0.83,0.82
81,2596.69,45066.18,702.85,45473.08,2800.67,81071400.80,7230.80,6427.91,0.82,0.80
82,?,?,?,?,?,?,?,?,0.80,?
83,?,?,?,?,?,?,?,?,?,?
84,2576.73,44585.10,691.40,44946.32,2780.21,58986020.79,4400.79,4705.49,?,0.79
85,2578.94,44724.88,675.27,45119.16,2774.13,36656050.79,3860.79,2846.86,0.79,0.79
86,2601.44,45247.90,674.59,45644.09,2785.46,21178600.79,2430.79,1674.94,0.79,0.79
87,2624.74,45147.57,691.67,45528.85,2797.31,19964850.79,2250.79,1582.01,0.79,0.79
88,?,?,?,?,?,?,?,?,0.79,?
89,?,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?
92,2643.63,45304.74,696.21,45679.51,2814.33,15197420.79,2090.79,1186.40,?,0.79
93,2608.26,44604.61,674.57,44940.36,2769.02,25697460.77,2320.77,2005.76,0.79,0.77
94,2594.74,44623.89,680.71,44980.62,2766.19,87842930.75,5590.75,6617.70,0.77,0.75
95,2572.61,44597.66,669.97,44960.02,2760.91,42500510.72,3120.72,3116.97,0.75,0.72
96,?,?,?,?,?,?,?,?,0.72,?
97,?,?,?,?,?,?,?,?,?,?
98,2582.59,44590.97,662.84,44963.96,2764.28,31727490.73,2480.73,2336.82,?,0.73
99,2592.09,44725.03,660.43,45096.35,2767.26,26950150.73,2130.73,1980.90,0.73,0.73
100,2601.25,45091.63,658.54,45495.34,2780.21,50766550.76,2920.76,3787.94,0.73,0.76
101,2623.22,45688.48,671.29,46131.66,2794.43,16516600.77,2120.77,1258.35,0.76,0.77
102,2630.40,45525.92,691.90,45960.10,2783.53,20846340.75,1750.75,1577.40,0.77,0.75
103,?,?,?,?,?,?,?,?,0.75,?
104,?,?,?,?,?,?,?,?,?,?
105,2587.31,44724.14,689.59,45167.65,2754.91,18971920.74,1800.74,1406.42,?,0.74
106,?,?,?,?,?,?,?,?,0.74,?
107,2555.73,43916.24,691.29,44404.81,2705.88,98361710.69,5870.69,6985.59,?,0.69
108,2520.54,43364.70,677.37,43850.06,2695.55,54236530.70,3150.70,3791.03,0.69,0.70
109,2522.32,43447.75,688.33,43993.98,2685.57,30972450.71,1470.71,2195.92,0.70,0.71
110,?,?,?,?,?,?,?,?,0.71,?
111,?,?,?,?,?,?,?,?,?,?
112,2499.84,43360.30,687.75,43892.82,2660.28,11194150.71,1050.71,791.43,?,0.71
113,2471.39,43159.57,689.86,43707.88,2624.40,22159600.70,1160.70,1553.06,0.71,0.70
114,2472.28,43356.73,688.51,43908.95,2636.70,7515110.70,860.70,524.42,0.70,0.70
115,2492.91,43482.18,687.54,44027.03,2658.57,36191370.72,2670.72,2523.10,0.70,0.72
116,2520.03,43665.21,688.39,44226.06,2669.93,29099850.73,1660.73,2109.32,0.72,0.73
117,?,?,?,?,?,?,?,?,0.73,?
118,?,?,?,?,?,?,?,?,?,?
119,2537.81,43882.16,693.53,44420.22,2685.14,6909270.72,770.72,502.79,?,0.72
120,2550.91,44162.18,717.51,44653.34,2704.84,31144980.73,1750.73,2237.21,0.72,0.73
121,?,?,?,?,?,?,?,?,0.73,?
122,2543.60,43991.51,745.56,44466.89,2695.22,10649540.72,820.72,775.09,?,0.72
123,?,?,?,?,?,?,?,?,0.72,?
