%310
@RELATION NL0000687309
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-MEDIA NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
80,2635.54,45580.47,2658.58,2833.61,80928.00,1128.00,22.87,28.25,28.00
81,2596.69,45066.18,2579.62,2800.67,88527.60,1427.60,24.63,28.00,27.60
82,?,?,?,?,?,?,?,27.60,?
83,?,?,?,?,?,?,?,?,?
84,2576.73,44585.10,2568.62,2780.21,1962327.90,1827.90,545.36,?,27.90
85,2578.94,44724.88,2566.53,2774.13,53127.76,627.76,14.50,27.90,27.76
86,2601.44,45247.90,2581.44,2785.46,268427.85,1527.85,73.88,27.76,27.85
87,2624.74,45147.57,2642.66,2797.31,160827.95,1227.95,44.52,27.85,27.95
88,?,?,?,?,?,?,?,27.95,?
89,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?
92,2643.63,45304.74,2638.99,2814.33,8928.05,328.05,2.48,?,28.05
93,2608.26,44604.61,2614.45,2769.02,86727.77,1327.77,23.71,28.05,27.77
94,2594.74,44623.89,2599.89,2766.19,1362127.44,1527.44,372.91,27.77,27.44
95,2572.61,44597.66,2491.48,2760.91,248927.36,1927.36,67.46,27.44,27.36
96,?,?,?,?,?,?,?,27.36,?
97,?,?,?,?,?,?,?,?,?
98,2582.59,44590.97,2549.75,2764.28,338027.59,1527.59,93.07,?,27.59
99,2592.09,44725.03,2593.51,2767.26,3767027.50,1427.50,1034.16,27.59,27.50
100,2601.25,45091.63,2591.74,2780.21,88027.53,727.53,24.03,27.50,27.53
101,2623.22,45688.48,2643.04,2794.43,101327.50,827.50,27.86,27.53,27.50
102,2630.40,45525.92,2653.03,2783.53,3150227.49,727.49,859.64,27.50,27.49
103,?,?,?,?,?,?,?,27.49,?
104,?,?,?,?,?,?,?,?,?
105,2587.31,44724.14,2627.86,2754.91,115127.50,727.50,31.57,?,27.50
106,?,?,?,?,?,?,?,27.50,?
107,2555.73,43916.24,2551.04,2705.88,257727.40,1327.40,70.11,?,27.40
108,2520.54,43364.70,2592.30,2695.55,222727.25,1627.25,60.34,27.40,27.25
109,2522.32,43447.75,2558.31,2685.57,354826.93,2526.93,94.42,27.25,26.93
110,?,?,?,?,?,?,?,26.93,?
111,?,?,?,?,?,?,?,?,?
112,2499.84,43360.30,2502.77,2660.28,23226.47,426.47,6.14,?,26.47
113,2471.39,43159.57,2517.56,2624.40,167826.21,1326.21,43.88,26.47,26.21
114,2472.28,43356.73,2527.25,2636.70,761926.00,3126.00,195.63,26.21,26.00
115,2492.91,43482.18,2511.90,2658.57,753026.00,3126.00,195.41,26.00,26.00
116,2520.03,43665.21,2510.55,2669.93,489425.60,2325.60,125.56,26.00,25.60
117,?,?,?,?,?,?,?,25.60,?
118,?,?,?,?,?,?,?,?,?
119,2537.81,43882.16,2521.79,2685.14,7031825.99,1125.99,1793.11,?,25.99
120,2550.91,44162.18,2543.13,2704.84,111526.15,926.15,28.99,25.99,26.15
121,?,?,?,?,?,?,?,26.15,?
122,2543.60,43991.51,2514.92,2695.22,117926.97,926.97,31.25,?,26.97
123,?,?,?,?,?,?,?,26.97,?
124,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?
126,2568.68,44541.73,2539.44,2714.72,182826.94,1326.94,48.45,?,26.94
127,2587.84,44742.22,2559.42,2733.96,80926.95,726.95,21.76,26.94,26.95
128,2610.73,45117.94,2580.91,2752.14,376026.95,1726.95,100.33,26.95,26.95
129,2630.10,44943.16,2616.95,2760.20,66626.90,326.90,17.79,26.95,26.90
130,2654.43,44895.35,2665.44,2769.85,3526.90,126.90,0.94,26.90,26.90
131,?,?,?,?,?,?,?,26.90,?
132,?,?,?,?,?,?,?,?,?
133,2678.95,45207.84,2691.81,2790.62,91026.57,526.57,24.17,?,26.57
134,2713.50,45771.11,2747.23,2822.41,939626.50,2026.50,248.97,26.57,26.50
135,2720.73,46102.42,2811.51,2848.38,4759226.30,1026.30,1262.99,26.50,26.30
136,2740.12,45992.03,2769.11,2871.70,241326.32,1326.32,63.38,26.30,26.32
137,2751.78,46078.68,2843.46,2885.19,308326.52,726.52,81.70,26.32,26.52
138,?,?,?,?,?,?,?,26.52,?
139,?,?,?,?,?,?,?,?,?
140,2788.61,46041.35,2833.96,2921.95,1752027.08,1727.08,469.72,?,27.08
141,2759.55,45851.80,2766.56,2893.12,12027.00,327.00,3.24,27.08,27.00
142,2771.55,45933.66,2768.44,2912.70,1906226.54,426.54,505.81,27.00,26.54
