%310
@RELATION PLABCDT00014
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?
2,48107.89,48389.84,2835.52,626082.06,702.06,129.71,?,2.06
3,48222.72,48505.50,2832.46,504462.07,292.07,103.96,2.06,2.07
4,47888.16,48143.94,2814.73,745672.03,452.03,150.63,2.07,2.03
5,?,?,?,?,?,?,2.03,?
6,?,?,?,?,?,?,?,?
7,47589.33,47820.24,2793.31,3246102.04,902.04,664.16,?,2.04
8,47379.63,47624.67,2790.64,787372.06,342.06,161.25,2.04,2.06
9,47407.28,47668.58,2784.62,258122.15,302.15,54.73,2.06,2.15
10,47546.91,47798.66,2800.96,489622.15,512.15,104.36,2.15,2.15
11,47440.80,47690.97,2815.88,689092.07,362.07,144.94,2.15,2.07
12,?,?,?,?,?,?,2.07,?
13,?,?,?,?,?,?,?,?
14,47470.12,47724.95,2820.74,77802.14,92.14,16.51,?,2.14
15,47086.54,47346.41,2817.16,188352.13,172.13,39.59,2.14,2.13
16,47521.39,47794.60,2825.40,51762.13,92.13,10.85,2.13,2.13
17,47661.37,47936.81,2848.09,31712.13,92.13,6.72,2.13,2.13
18,47813.69,48104.67,2864.72,1504602.22,1312.22,326.83,2.13,2.22
19,?,?,?,?,?,?,2.22,?
20,?,?,?,?,?,?,?,?
21,47936.61,48184.37,2890.14,1602892.28,1472.28,366.55,?,2.28
22,47872.80,48127.89,2892.80,469952.27,602.27,107.35,2.28,2.27
23,47733.24,47999.21,2890.57,200122.28,332.28,45.57,2.27,2.28
24,47942.04,48203.43,2898.85,36392.28,122.28,8.27,2.28,2.28
25,47613.95,47851.99,2897.93,174162.23,332.23,39.24,2.28,2.23
26,?,?,?,?,?,?,2.23,?
27,?,?,?,?,?,?,?,?
28,47324.06,47553.14,2886.17,2730102.40,1542.40,638.88,?,2.40
29,47328.40,47565.10,2878.58,486722.44,682.44,117.46,2.40,2.44
30,46917.19,47113.08,2876.68,709752.43,772.43,171.00,2.44,2.43
31,46840.15,47011.43,2880.57,318802.38,262.38,77.11,2.43,2.38
32,46945.58,47121.08,2883.81,385842.38,322.38,92.14,2.38,2.38
33,?,?,?,?,?,?,2.38,?
34,?,?,?,?,?,?,?,?
35,46556.55,46735.25,2856.17,516232.44,582.44,124.86,?,2.44
36,46674.78,46862.43,2843.49,225362.43,232.43,54.21,2.44,2.43
37,46149.14,46341.54,2811.05,580962.41,602.41,142.06,2.43,2.41
38,46329.66,46512.72,2815.91,224182.46,292.46,55.92,2.41,2.46
39,46741.54,46931.40,2825.70,1300332.42,632.42,314.04,2.46,2.42
40,?,?,?,?,?,?,2.42,?
41,?,?,?,?,?,?,?,?
42,46786.74,46988.04,2826.84,480492.43,392.43,114.99,?,2.43
43,46399.26,46564.61,2821.25,188092.42,172.42,45.40,2.43,2.42
44,46406.74,46569.81,2825.02,82662.41,162.41,19.79,2.42,2.41
45,46211.54,46360.51,2825.15,230242.39,232.39,55.03,2.41,2.39
46,46370.13,46523.63,2838.22,504282.44,312.44,121.21,2.39,2.44
47,?,?,?,?,?,?,2.44,?
48,?,?,?,?,?,?,?,?
49,46508.27,46665.39,2848.48,466972.37,312.37,111.59,?,2.37
50,46490.89,46652.19,2843.90,1438402.43,1192.43,338.81,2.37,2.43
51,46051.76,46198.42,2831.71,48142.44,142.44,11.58,2.43,2.44
52,45879.90,46050.52,2801.83,75072.41,122.41,18.00,2.44,2.41
