%310
@RELATION PLKETY000011
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIGdiv NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,2568.59,1117.48,48107.89,48389.84,2835.52,1057143.10,27143.10,151.43,?,143.10
3,2588.67,1118.84,48222.72,48505.50,2832.46,60292145.00,45145.00,8773.53,143.10,145.00
4,2588.47,1111.36,47888.16,48143.94,2814.73,719142.20,15142.20,103.67,145.00,142.20
5,?,?,?,?,?,?,?,?,142.20,?
6,?,?,?,?,?,?,?,?,?,?
7,2588.96,1109.28,47589.33,47820.24,2793.31,482140.50,19140.50,67.99,?,140.50
8,2587.38,1101.95,47379.63,47624.67,2790.64,1197140.50,11140.50,167.99,140.50,140.50
9,2573.27,1105.51,47407.28,47668.58,2784.62,1573140.00,12140.00,223.51,140.50,140.00
10,2592.53,1109.02,47546.91,47798.66,2800.96,287139.70,16139.70,40.29,140.00,139.70
11,2611.26,1106.07,47440.80,47690.97,2815.88,260139.40,11139.40,36.29,139.70,139.40
12,?,?,?,?,?,?,?,?,139.40,?
13,?,?,?,?,?,?,?,?,?,?
14,2605.15,1108.76,47470.12,47724.95,2820.74,1267139.50,29139.50,179.03,?,139.50
15,2598.51,1098.41,47086.54,47346.41,2817.16,242139.50,14139.50,34.08,139.50,139.50
16,2598.53,1100.21,47521.39,47794.60,2825.40,3620139.60,17139.60,505.40,139.50,139.60
17,2618.14,1100.21,47661.37,47936.81,2848.09,318139.60,15139.60,44.45,139.60,139.60
18,2626.72,1104.63,47813.69,48104.67,2864.72,6584140.00,49140.00,919.08,139.60,140.00
19,?,?,?,?,?,?,?,?,140.00,?
20,?,?,?,?,?,?,?,?,?,?
21,2635.73,1103.07,47936.61,48184.37,2890.14,2354140.00,24140.00,327.65,?,140.00
22,2636.01,1099.21,47872.80,48127.89,2892.80,13408140.00,33140.00,1873.85,140.00,140.00
23,2626.76,1091.82,47733.24,47999.21,2890.57,205140.00,9140.00,28.66,140.00,140.00
24,2646.20,1093.21,47942.04,48203.43,2898.85,833139.00,12139.00,116.08,140.00,139.00
25,2642.64,1084.16,47613.95,47851.99,2897.93,731139.80,13139.80,101.82,139.00,139.80
26,?,?,?,?,?,?,?,?,139.80,?
27,?,?,?,?,?,?,?,?,?,?
28,2637.81,1079.13,47324.06,47553.14,2886.17,1428141.00,16141.00,200.51,?,141.00
29,2623.78,1078.99,47328.40,47565.10,2878.58,22142.00,3142.00,3.12,141.00,142.00
30,2612.20,1071.11,46917.19,47113.08,2876.68,8040143.80,16143.80,1142.84,142.00,143.80
31,2597.73,1070.81,46840.15,47011.43,2880.57,1051143.40,22143.40,149.69,143.80,143.40
32,2603.21,1073.47,46945.58,47121.08,2883.81,458141.00,14141.00,65.33,143.40,141.00
33,?,?,?,?,?,?,?,?,141.00,?
34,?,?,?,?,?,?,?,?,?,?
35,2609.03,1061.01,46556.55,46735.25,2856.17,2996144.00,45144.00,420.80,?,144.00
36,2595.69,1066.05,46674.78,46862.43,2843.49,407140.30,39140.30,57.18,144.00,140.30
37,2567.59,1054.01,46149.14,46341.54,2811.05,3810135.00,99135.00,520.88,140.30,135.00
38,2577.94,1057.65,46329.66,46512.72,2815.91,2081134.00,75134.00,281.44,135.00,134.00
39,2587.53,1068.97,46741.54,46931.40,2825.70,2571135.40,46135.40,345.50,134.00,135.40
40,?,?,?,?,?,?,?,?,135.40,?
41,?,?,?,?,?,?,?,?,?,?
42,2593.63,1067.80,46786.74,46988.04,2826.84,521134.00,33134.00,70.32,?,134.00
43,2581.18,1038.81,46399.26,46564.61,2821.25,1344137.50,8137.50,182.40,134.00,137.50
44,2576.84,1034.74,46406.74,46569.81,2825.02,1273135.30,24135.30,174.44,137.50,135.30
45,2578.13,1024.61,46211.54,46360.51,2825.15,494139.30,18139.30,68.39,135.30,139.30
46,2570.25,1029.14,46370.13,46523.63,2838.22,1780139.60,20139.60,252.74,139.30,139.60
47,?,?,?,?,?,?,?,?,139.60,?
48,?,?,?,?,?,?,?,?,?,?
49,2580.46,1033.03,46508.27,46665.39,2848.48,358143.00,17143.00,51.05,?,143.00
50,2566.72,1028.99,46490.89,46652.19,2843.90,4461144.00,26144.00,637.22,143.00,144.00
51,2577.60,1013.84,46051.76,46198.42,2831.71,2734144.00,11144.00,388.64,144.00,144.00
52,2566.08,1009.79,45879.90,46050.52,2801.83,5595142.40,7142.40,799.97,144.00,142.40
53,2577.64,1008.41,45948.12,46124.82,2817.57,1128141.20,10141.20,160.67,142.40,141.20
54,?,?,?,?,?,?,?,?,141.20,?
55,?,?,?,?,?,?,?,?,?,?
56,2602.92,1013.72,46286.28,46487.05,2840.57,72144.00,3144.00,10.37,?,144.00
57,2589.15,1007.53,45868.35,46065.85,2831.16,3176144.00,10144.00,454.12,144.00,144.00
58,2608.94,1014.91,46241.92,46459.99,2855.69,473143.90,2143.90,67.70,144.00,143.90
59,2608.20,1015.09,46280.36,46510.83,2865.27,127143.80,6143.80,18.25,143.90,143.80
60,2626.22,1019.44,46341.14,46622.90,2859.05,420141.50,13141.50,59.62,143.80,141.50
61,?,?,?,?,?,?,?,?,141.50,?
62,?,?,?,?,?,?,?,?,?,?
63,2623.37,1017.25,46137.70,46454.13,2860.68,613144.00,40144.00,86.76,?,144.00
64,2628.44,1023.77,46676.09,47001.38,2868.06,498140.30,37140.30,69.91,144.00,140.30
65,2632.38,1022.74,46762.65,47090.49,2872.90,495141.60,46141.60,70.27,140.30,141.60
66,2653.74,1022.01,46745.26,47060.66,2873.49,1621142.00,42142.00,233.47,141.60,142.00
67,2675.88,1029.77,47074.39,47436.21,2906.74,3585146.90,57146.90,526.98,142.00,146.90
68,?,?,?,?,?,?,?,?,146.90,?
69,?,?,?,?,?,?,?,?,?,?
70,2678.09,1029.96,46933.03,47269.75,2914.24,908145.20,32145.20,134.70,?,145.20
71,2689.51,1027.64,47010.40,47340.43,2911.38,447146.00,31146.00,65.77,145.20,146.00
72,2687.66,1026.57,46888.37,47235.72,2901.67,278146.50,35146.50,40.57,146.00,146.50
73,2687.81,1033.40,47223.68,47606.16,2912.13,1316145.00,54145.00,191.89,146.50,145.00
74,2708.28,1030.99,47125.93,47522.10,2909.77,2390144.00,53144.00,344.79,145.00,144.00
75,?,?,?,?,?,?,?,?,144.00,?
76,?,?,?,?,?,?,?,?,?,?
77,2718.31,1019.65,46668.41,47094.18,2900.59,881145.00,27145.00,127.44,?,145.00
78,2658.94,1004.18,46029.35,46473.62,2868.24,1126140.10,73140.10,159.80,145.00,140.10
