%310
@RELATION PLKRK0000010
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,2568.59,48107.89,48389.84,2835.52,560145.00,2245.00,249.33,?,45.00
3,2588.67,48222.72,48505.50,2832.46,659345.00,4445.00,296.95,45.00,45.00
4,2588.47,47888.16,48143.94,2814.73,763045.00,2145.00,343.51,45.00,45.00
5,?,?,?,?,?,?,?,45.00,?
6,?,?,?,?,?,?,?,?,?
7,2588.96,47589.33,47820.24,2793.31,321545.00,1745.00,144.89,?,45.00
8,2587.38,47379.63,47624.67,2790.64,389746.00,2946.00,177.89,45.00,46.00
9,2573.27,47407.28,47668.58,2784.62,256046.50,2346.50,118.91,46.00,46.50
10,2592.53,47546.91,47798.66,2800.96,3822148.40,7948.40,1806.26,46.50,48.40
11,2611.26,47440.80,47690.97,2815.88,597449.70,4549.70,294.75,48.40,49.70
12,?,?,?,?,?,?,?,49.70,?
13,?,?,?,?,?,?,?,?,?
14,2605.15,47470.12,47724.95,2820.74,115350.00,3250.00,57.43,?,50.00
15,2598.51,47086.54,47346.41,2817.16,183648.80,3548.80,89.81,50.00,48.80
16,2598.53,47521.39,47794.60,2825.40,96949.60,1949.60,47.21,48.80,49.60
17,2618.14,47661.37,47936.81,2848.09,36149.49,1249.49,17.77,49.60,49.49
18,2626.72,47813.69,48104.67,2864.72,5363749.90,5449.90,2652.72,49.49,49.90
19,?,?,?,?,?,?,?,49.90,?
20,?,?,?,?,?,?,?,?,?
21,2635.73,47936.61,48184.37,2890.14,210049.39,1849.39,103.34,?,49.39
22,2636.01,47872.80,48127.89,2892.80,247849.84,2549.84,122.60,49.39,49.84
23,2626.76,47733.24,47999.21,2890.57,689249.50,6849.50,340.21,49.84,49.50
24,2646.20,47942.04,48203.43,2898.85,1263049.21,2049.21,619.11,49.50,49.21
25,2642.64,47613.95,47851.99,2897.93,175849.75,2149.75,86.87,49.21,49.75
26,?,?,?,?,?,?,?,49.75,?
27,?,?,?,?,?,?,?,?,?
28,2637.81,47324.06,47553.14,2886.17,2943549.70,2449.70,1457.18,?,49.70
29,2623.78,47328.40,47565.10,2878.58,540249.55,1449.55,267.68,49.70,49.55
30,2612.20,46917.19,47113.08,2876.68,639850.00,3350.00,317.58,49.55,50.00
31,2597.73,46840.15,47011.43,2880.57,1237750.30,2950.30,622.82,50.00,50.30
32,2603.21,46945.58,47121.08,2883.81,329549.50,2949.50,163.58,50.30,49.50
33,?,?,?,?,?,?,?,49.50,?
34,?,?,?,?,?,?,?,?,?
35,2609.03,46556.55,46735.25,2856.17,754849.50,7449.50,374.77,?,49.50
36,2595.69,46674.78,46862.43,2843.49,1519349.60,4149.60,753.12,49.50,49.60
37,2567.59,46149.14,46341.54,2811.05,604450.40,4450.40,303.51,49.60,50.40
38,2577.94,46329.66,46512.72,2815.91,612252.05,8552.05,316.26,50.40,52.05
39,2587.53,46741.54,46931.40,2825.70,328152.50,5752.50,173.27,52.05,52.50
40,?,?,?,?,?,?,?,52.50,?
41,?,?,?,?,?,?,?,?,?
42,2593.63,46786.74,46988.04,2826.84,437253.00,5253.00,232.63,?,53.00
43,2581.18,46399.26,46564.61,2821.25,259051.90,3451.90,136.31,53.00,51.90
44,2576.84,46406.74,46569.81,2825.02,137851.75,1951.75,71.38,51.90,51.75
45,2578.13,46211.54,46360.51,2825.15,278451.75,3651.75,143.91,51.75,51.75
46,2570.25,46370.13,46523.63,2838.22,177653.40,2653.40,91.93,51.75,53.40
47,?,?,?,?,?,?,?,53.40,?
48,?,?,?,?,?,?,?,?,?
49,2580.46,46508.27,46665.39,2848.48,83253.35,2153.35,44.27,?,53.35
50,2566.72,46490.89,46652.19,2843.90,354751.00,8451.00,180.49,53.35,51.00
51,2577.60,46051.76,46198.42,2831.71,1009751.10,2151.10,519.32,51.00,51.10
52,2566.08,45879.90,46050.52,2801.83,1210451.20,4351.20,615.49,51.10,51.20
53,2577.64,45948.12,46124.82,2817.57,3044651.35,751.35,1559.00,51.20,51.35
54,?,?,?,?,?,?,?,51.35,?
55,?,?,?,?,?,?,?,?,?
56,2602.92,46286.28,46487.05,2840.57,448353.00,3153.00,237.23,?,53.00
57,2589.15,45868.35,46065.85,2831.16,466853.20,4753.20,247.67,53.00,53.20
58,2608.94,46241.92,46459.99,2855.69,112153.10,2953.10,59.47,53.20,53.10
59,2608.20,46280.36,46510.83,2865.27,493354.35,9354.35,266.01,53.10,54.35
60,2626.22,46341.14,46622.90,2859.05,549554.90,4754.90,298.94,54.35,54.90
61,?,?,?,?,?,?,?,54.90,?
62,?,?,?,?,?,?,?,?,?
63,2623.37,46137.70,46454.13,2860.68,344953.20,6153.20,186.17,?,53.20
64,2628.44,46676.09,47001.38,2868.06,323054.50,4654.50,175.76,53.20,54.50
65,2632.38,46762.65,47090.49,2872.90,417654.80,3854.80,225.97,54.50,54.80
66,2653.74,46745.26,47060.66,2873.49,1198955.20,6655.20,661.70,54.80,55.20
67,2675.88,47074.39,47436.21,2906.74,862855.50,4355.50,475.35,55.20,55.50
68,?,?,?,?,?,?,?,55.50,?
69,?,?,?,?,?,?,?,?,?
70,2678.09,46933.03,47269.75,2914.24,878457.40,5257.40,489.92,?,57.40
71,2689.51,47010.40,47340.43,2911.38,586757.05,4957.05,334.42,57.40,57.05
72,2687.66,46888.37,47235.72,2901.67,112356.50,3756.50,63.47,57.05,56.50
73,2687.81,47223.68,47606.16,2912.13,428557.00,3457.00,241.03,56.50,57.00
74,2708.28,47125.93,47522.10,2909.77,1063455.50,7455.50,612.21,57.00,55.50
75,?,?,?,?,?,?,?,55.50,?
76,?,?,?,?,?,?,?,?,?
77,2718.31,46668.41,47094.18,2900.59,4311758.10,8858.10,2435.97,?,58.10
78,2658.94,46029.35,46473.62,2868.24,4432360.00,9560.00,2623.89,58.10,60.00
79,2663.64,46068.24,46511.62,2874.75,4717163.90,15563.90,2932.43,60.00,63.90
80,2635.54,45580.47,46017.88,2833.61,1347463.00,17063.00,868.24,63.90,63.00
81,2596.69,45066.18,45473.08,2800.67,1331162.00,7962.00,824.25,63.00,62.00
82,?,?,?,?,?,?,?,62.00,?
83,?,?,?,?,?,?,?,?,?
84,2576.73,44585.10,44946.32,2780.21,384559.90,7859.90,234.60,?,59.90
85,2578.94,44724.88,45119.16,2774.13,256059.30,3759.30,151.27,59.90,59.30
86,2601.44,45247.90,45644.09,2785.46,664158.85,8458.85,382.06,59.30,58.85
87,2624.74,45147.57,45528.85,2797.31,1503258.90,13758.90,899.88,58.85,58.90
88,?,?,?,?,?,?,?,58.90,?
89,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?
92,2643.63,45304.74,45679.51,2814.33,1176363.50,19963.50,726.50,?,63.50
93,2608.26,44604.61,44940.36,2769.02,2444360.50,31260.50,1493.12,63.50,60.50
94,2594.74,44623.89,44980.62,2766.19,4309062.00,19762.00,2681.28,60.50,62.00
95,2572.61,44597.66,44960.02,2760.91,614162.30,7562.30,383.03,62.00,62.30
96,?,?,?,?,?,?,?,62.30,?
97,?,?,?,?,?,?,?,?,?
98,2582.59,44590.97,44963.96,2764.28,4133962.00,15362.00,2566.11,?,62.00
99,2592.09,44725.03,45096.35,2767.26,4502962.00,13162.00,2788.38,62.00,62.00
100,2601.25,45091.63,45495.34,2780.21,3371562.55,10162.55,2099.67,62.00,62.55
101,2623.22,45688.48,46131.66,2794.43,4029862.00,12862.00,2501.62,62.55,62.00
102,2630.40,45525.92,45960.10,2783.53,1551562.00,8162.00,962.19,62.00,62.00
103,?,?,?,?,?,?,?,62.00,?
104,?,?,?,?,?,?,?,?,?
105,2587.31,44724.14,45167.65,2754.91,1140661.85,8861.85,705.66,?,61.85
106,?,?,?,?,?,?,?,61.85,?
107,2555.73,43916.24,44404.81,2705.88,1106161.68,8461.68,683.04,?,61.68
108,2520.54,43364.70,43850.06,2695.55,1152662.40,9962.40,713.89,61.68,62.40
109,2522.32,43447.75,43993.98,2685.57,1098662.01,6262.01,681.44,62.40,62.01
110,?,?,?,?,?,?,?,62.01,?
111,?,?,?,?,?,?,?,?,?
112,2499.84,43360.30,43892.82,2660.28,143561.98,1961.98,88.76,?,61.98
113,2471.39,43159.57,43707.88,2624.40,6719562.00,7162.00,4173.19,61.98,62.00
114,2472.28,43356.73,43908.95,2636.70,592962.00,2062.00,368.60,62.00,62.00
115,2492.91,43482.18,44027.03,2658.57,179261.02,3861.02,109.87,62.00,61.02
116,2520.03,43665.21,44226.06,2669.93,137161.80,2361.80,84.79,61.02,61.80
117,?,?,?,?,?,?,?,61.80,?
118,?,?,?,?,?,?,?,?,?
119,2537.81,43882.16,44420.22,2685.14,258361.30,2961.30,158.45,?,61.30
120,2550.91,44162.18,44653.34,2704.84,147261.50,2461.50,90.42,61.30,61.50
121,?,?,?,?,?,?,?,61.50,?
122,2543.60,43991.51,44466.89,2695.22,1735961.50,2261.50,1071.36,?,61.50
