%310
@RELATION PLDEBCA00016
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIGdiv NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,10531.27,1117.48,48107.89,48389.84,2835.52,424161.35,3861.35,258.39,?,61.35
3,10554.18,1118.84,48222.72,48505.50,2832.46,39861.80,1061.80,24.15,61.35,61.80
4,10519.33,1111.36,47888.16,48143.94,2814.73,061.80,061.80,0.00,61.80,61.80
5,?,?,?,?,?,?,?,?,61.80,?
6,?,?,?,?,?,?,?,?,?,?
7,10488.60,1109.28,47589.33,47820.24,2793.31,215960.20,2960.20,130.40,?,60.20
8,10500.71,1101.95,47379.63,47624.67,2790.64,249860.00,3160.00,150.48,60.20,60.00
9,10503.06,1105.51,47407.28,47668.58,2784.62,107161.60,1961.60,63.58,60.00,61.60
10,10496.80,1109.02,47546.91,47798.66,2800.96,75360.70,2860.70,45.68,61.60,60.70
11,10595.04,1106.07,47440.80,47690.97,2815.88,141460.00,3260.00,84.49,60.70,60.00
12,?,?,?,?,?,?,?,?,60.00,?
13,?,?,?,?,?,?,?,?,?,?
14,10637.07,1108.76,47470.12,47724.95,2820.74,9460.40,760.40,5.64,?,60.40
15,10638.06,1098.41,47086.54,47346.41,2817.16,114558.05,2858.05,67.38,60.40,58.05
16,10673.05,1100.21,47521.39,47794.60,2825.40,4059.60,359.60,2.32,58.05,59.60
17,10767.29,1100.21,47661.37,47936.81,2848.09,100859.60,1859.60,59.99,59.60,59.60
18,10903.93,1104.63,47813.69,48104.67,2864.72,132161.00,1661.00,80.01,59.60,61.00
19,?,?,?,?,?,?,?,?,61.00,?
20,?,?,?,?,?,?,?,?,?,?
21,11030.02,1103.07,47936.61,48184.37,2890.14,613764.10,5364.10,386.43,?,64.10
22,11073.63,1099.21,47872.80,48127.89,2892.80,466067.10,8967.10,307.34,64.10,67.10
23,11071.80,1091.82,47733.24,47999.21,2890.57,355266.00,3266.00,235.83,67.10,66.00
24,11108.21,1093.21,47942.04,48203.43,2898.85,49966.05,1566.05,32.91,66.00,66.05
25,11174.05,1084.16,47613.95,47851.99,2897.93,29766.00,1466.00,19.46,66.05,66.00
26,?,?,?,?,?,?,?,?,66.00,?
27,?,?,?,?,?,?,?,?,?,?
28,11144.27,1079.13,47324.06,47553.14,2886.17,94666.05,1766.05,61.93,?,66.05
29,11165.66,1078.99,47328.40,47565.10,2878.58,324067.05,2867.05,216.95,66.05,67.05
30,11183.61,1071.11,46917.19,47113.08,2876.68,8067.00,567.00,5.34,67.05,67.00
31,11245.80,1070.81,46840.15,47011.43,2880.57,84167.05,867.05,56.26,67.00,67.05
32,11241.00,1073.47,46945.58,47121.08,2883.81,26667.45,967.45,17.68,67.05,67.45
33,?,?,?,?,?,?,?,?,67.45,?
34,?,?,?,?,?,?,?,?,?,?
35,11191.08,1061.01,46556.55,46735.25,2856.17,8667.30,367.30,5.74,?,67.30
36,11060.84,1066.05,46674.78,46862.43,2843.49,55066.95,766.95,36.70,67.30,66.95
37,10953.57,1054.01,46149.14,46341.54,2811.05,26865.55,1265.55,17.57,66.95,65.55
38,10950.03,1057.65,46329.66,46512.72,2815.91,140567.00,4267.00,92.37,65.55,67.00
