%310
@RELATION PLTRCZN00016
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-SPOZYW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
93,828.79,44604.61,3482.18,44940.36,2769.02,?,?,?,?,?
94,824.35,44623.89,3486.55,44980.62,2766.19,?,?,?,?,?
95,819.73,44597.66,3479.32,44960.02,2760.91,?,?,?,?,?
96,?,?,?,?,?,?,?,?,?,?
97,?,?,?,?,?,?,?,?,?,?
98,818.75,44590.97,3450.97,44963.96,2764.28,?,?,?,?,?
99,815.74,44725.03,3474.49,45096.35,2767.26,?,?,?,?,?
100,820.16,45091.63,3463.81,45495.34,2780.21,?,?,?,?,?
101,824.04,45688.48,3504.28,46131.66,2794.43,?,?,?,?,?
102,819.29,45525.92,3481.04,45960.10,2783.53,?,?,?,?,?
103,?,?,?,?,?,?,?,?,?,?
104,?,?,?,?,?,?,?,?,?,?
105,814.07,44724.14,3368.83,45167.65,2754.91,?,?,?,?,?
106,?,?,?,?,?,?,?,?,?,?
107,796.68,43916.24,3195.69,44404.81,2705.88,?,?,?,?,?
108,787.39,43364.70,3142.65,43850.06,2695.55,?,?,?,?,?
109,783.37,43447.75,2992.95,43993.98,2685.57,?,?,?,?,?
110,?,?,?,?,?,?,?,?,?,?
111,?,?,?,?,?,?,?,?,?,?
112,776.37,43360.30,3007.40,43892.82,2660.28,?,?,?,?,?
113,769.16,43159.57,3011.64,43707.88,2624.40,?,?,?,?,?
114,769.82,43356.73,3012.77,43908.95,2636.70,?,?,?,?,?
115,774.88,43482.18,2993.56,44027.03,2658.57,?,?,?,?,?
116,777.86,43665.21,3051.09,44226.06,2669.93,?,?,?,?,?
117,?,?,?,?,?,?,?,?,?,?
118,?,?,?,?,?,?,?,?,?,?
119,779.98,43882.16,3107.87,44420.22,2685.14,?,?,?,?,?
120,784.81,44162.18,3270.96,44653.34,2704.84,?,?,?,?,?
121,?,?,?,?,?,?,?,?,?,?
122,787.45,43991.51,3273.77,44466.89,2695.22,?,?,?,?,?
123,?,?,?,?,?,?,?,?,?,?
124,?,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?,?
126,786.57,44541.73,3221.83,45060.80,2714.72,?,?,?,?,?
127,793.09,44742.22,3278.44,45244.29,2733.96,?,?,?,?,?
128,798.10,45117.94,3274.88,45647.76,2752.14,?,?,?,?,?
129,800.71,44943.16,3287.31,45475.08,2760.20,?,?,?,?,?
130,800.42,44895.35,3305.97,45408.06,2769.85,?,?,?,?,?
131,?,?,?,?,?,?,?,?,?,?
132,?,?,?,?,?,?,?,?,?,?
133,802.74,45207.84,3331.03,45746.01,2790.62,?,?,?,?,?
134,804.49,45771.11,3344.63,46336.62,2822.41,?,?,?,?,?
135,802.28,46102.42,3424.41,46676.61,2848.38,?,?,?,?,?
136,806.45,45992.03,3377.14,46581.16,2871.70,?,?,?,?,?
137,810.69,46078.68,3435.39,46646.58,2885.19,?,?,?,?,?
138,?,?,?,?,?,?,?,?,?,?
139,?,?,?,?,?,?,?,?,?,?
140,815.60,46041.35,3466.14,46615.31,2921.95,?,?,?,?,?
141,819.76,45851.80,3392.40,46439.10,2893.12,?,?,?,?,?
142,818.82,45933.66,3344.53,46529.96,2912.70,?,?,?,?,?
143,814.69,45687.76,3276.68,46311.26,2894.53,?,?,?,?,?
144,820.11,46145.44,3277.81,46783.61,2929.62,?,?,?,?,?
145,?,?,?,?,?,?,?,?,?,?
146,?,?,?,?,?,?,?,?,?,?
147,828.12,47277.10,3325.92,47957.54,2976.83,?,?,?,?,?
148,838.40,47579.87,3377.00,48258.02,2997.81,?,?,?,?,?
149,842.72,47476.64,3410.78,48138.07,3000.58,?,?,?,?,?
150,?,?,?,?,?,?,?,?,?,?
151,841.72,47806.34,3339.97,48503.87,2994.25,?,?,?,?,?
152,?,?,?,?,?,?,?,?,?,?
153,?,?,?,?,?,?,?,?,?,?
154,839.57,47175.79,3252.24,47868.36,2970.24,?,?,?,?,?
155,854.67,47620.68,3283.47,48323.88,2998.79,?,?,?,?,?
156,859.35,47805.94,3301.92,48513.29,3026.87,?,?,?,?,?
157,864.95,47573.66,3301.52,48259.19,3020.15,?,?,?,?,?
158,866.67,48209.65,3325.43,48918.37,3044.38,?,?,?,?,?
159,?,?,?,?,?,?,?,?,?,?
160,?,?,?,?,?,?,?,?,?,?
161,870.65,48495.01,3341.26,49207.65,3065.91,?,?,?,?,?
162,870.60,48324.52,3317.02,49050.96,3074.89,?,?,?,?,?
163,878.91,48383.93,3337.95,49098.70,3098.83,?,?,?,?,?
164,877.48,48152.82,3294.79,48890.47,3089.32,?,?,?,?,?
165,880.65,48273.42,3261.51,49057.66,3092.65,?,?,?,?,?
166,?,?,?,?,?,?,?,?,?,?
167,?,?,?,?,?,?,?,?,?,?
168,883.59,48131.61,3221.03,48917.56,3100.24,?,?,?,?,?
169,886.71,48119.72,3243.93,48891.04,3120.39,?,?,?,?,?
170,885.25,47743.10,3245.92,48509.84,3122.21,?,?,?,?,?
171,864.38,45870.00,3150.91,46587.68,3038.18,?,?,?,?,?
172,855.18,44732.92,3055.25,45456.77,3001.68,?,?,?,?,?
173,?,?,?,?,?,?,?,?,?,?
174,?,?,?,?,?,?,?,?,?,?
175,857.74,44824.62,3144.77,45531.46,2990.89,?,?,?,?,?
176,863.23,44966.09,3152.21,45672.10,2999.31,?,?,?,?,?
177,858.05,44893.99,3120.81,45601.51,2972.55,?,?,?,?,?
178,847.97,43667.37,3067.07,44326.49,2915.58,?,?,?,?,?
179,848.08,44747.79,3103.44,45442.51,2948.80,?,?,?,?,?
180,?,?,?,?,?,?,?,?,?,?
181,?,?,?,?,?,?,?,?,?,?
182,848.80,44769.00,3106.66,45461.06,2963.91,?,?,?,?,?
183,853.37,45533.94,3110.28,46254.71,2981.48,?,?,?,?,?
184,850.45,45184.98,3116.57,45899.36,2971.57,?,?,?,?,?
185,855.94,45613.75,3145.35,46344.42,2988.19,?,?,?,?,?
186,851.88,45110.89,3176.37,45805.34,2977.06,?,?,?,?,?
187,?,?,?,?,?,?,?,?,?,?
188,?,?,?,?,?,?,?,?,?,?
189,849.30,44534.34,3202.26,45172.40,2948.16,157110.34,1310.34,16.15,?,10.34
190,842.60,44342.23,3223.44,44969.23,2924.69,549510.30,2710.30,56.14,10.34,10.30
191,844.03,45068.55,3278.06,45727.71,2962.09,485110.60,2110.60,51.62,10.30,10.60
192,845.84,45712.72,3306.79,46390.36,2992.86,2903211.70,11811.70,325.90,10.60,11.70
193,849.99,46150.78,3344.00,46839.89,3017.66,1221211.70,6011.70,142.61,11.70,11.70
194,?,?,?,?,?,?,?,?,11.70,?
195,?,?,?,?,?,?,?,?,?,?
196,850.04,46218.05,3318.87,46922.43,3022.70,1827712.17,8012.17,223.46,?,12.17
197,847.84,46155.10,3320.24,46860.35,3017.11,465012.10,2112.10,55.98,12.17,12.10
198,845.85,46287.08,3333.09,47003.76,3021.27,344011.80,2011.80,41.04,12.10,11.80
199,845.70,46221.23,3389.39,46919.83,3023.16,595711.44,4311.44,68.33,11.80,11.44
200,848.06,46399.74,3370.14,47120.88,3019.85,206011.74,1411.74,23.69,11.44,11.74
201,?,?,?,?,?,?,?,?,11.74,?
202,?,?,?,?,?,?,?,?,?,?
203,849.27,46361.70,3363.21,47075.43,3021.70,6045112.72,14312.72,748.17,?,12.72
204,852.44,46714.43,3398.88,47454.90,3029.97,4698013.15,12113.15,617.30,12.72,13.15
205,858.02,46835.98,3451.39,47575.74,3050.63,735113.37,3813.37,97.71,13.15,13.37
206,858.31,46713.02,3417.55,47446.69,3036.16,3195513.87,9113.87,435.98,13.37,13.87
207,858.83,46258.91,3376.81,46981.22,3015.00,2983714.00,13414.00,405.49,13.87,14.00
208,?,?,?,?,?,?,?,?,14.00,?
209,?,?,?,?,?,?,?,?,?,?
210,862.18,46480.62,3407.34,47214.30,3032.94,1337913.89,8013.89,186.27,?,13.89
211,870.15,46663.41,3422.75,47398.08,3038.42,386313.90,1813.90,53.88,13.89,13.90
212,878.25,46925.65,3384.71,47676.43,3046.08,2030813.70,11013.70,280.70,13.90,13.70
213,881.30,47370.81,3341.99,48147.76,3060.17,2710913.59,8713.59,366.63,13.70,13.59
214,884.10,48325.33,3426.64,49133.14,3110.79,2378913.95,10313.95,322.77,13.59,13.95
215,?,?,?,?,?,?,?,?,13.95,?
216,?,?,?,?,?,?,?,?,?,?
217,891.59,48458.44,3483.43,49272.86,3127.41,3494114.39,10514.39,502.40,?,14.39
218,891.86,47942.81,3486.01,48742.34,3127.38,3263314.39,8114.39,471.40,14.39,14.39
219,898.91,48306.55,3527.25,49124.78,3168.23,1446414.64,7114.64,211.02,14.39,14.64
220,903.85,48862.88,3579.17,49700.18,3190.86,6535615.13,12715.13,973.26,14.64,15.13
221,909.96,49125.36,3499.45,49994.77,3206.86,2832915.40,9615.40,435.68,15.13,15.40
222,?,?,?,?,?,?,?,?,15.40,?
223,?,?,?,?,?,?,?,?,?,?
224,918.93,49580.16,3519.19,50476.37,3225.79,1224415.18,9015.18,185.48,?,15.18
225,922.16,49747.66,3538.38,50646.05,3233.22,866715.38,5515.38,132.52,15.18,15.38
226,928.58,50223.95,3530.29,51152.95,3271.49,2976315.00,9515.00,452.07,15.38,15.00
227,?,?,?,?,?,?,?,?,15.00,?
228,928.83,49976.48,3459.16,50906.11,3253.28,9357814.00,40814.00,1295.56,?,14.00
229,?,?,?,?,?,?,?,?,14.00,?
230,?,?,?,?,?,?,?,?,?,?
231,919.57,49772.46,3428.34,50713.14,3237.31,12472713.75,21213.75,1677.55,?,13.75
232,914.58,49162.16,3400.95,50077.30,3210.57,3056413.80,5613.80,420.22,13.75,13.80
233,920.30,49128.05,3447.66,50032.45,3221.87,4302413.98,4913.98,598.39,13.80,13.98
234,931.73,49846.48,3478.42,50780.47,3260.69,8861014.00,4114.00,1238.80,13.98,14.00
235,930.27,49895.10,3467.02,50836.47,3260.35,2057513.99,2613.99,286.36,14.00,13.99
236,?,?,?,?,?,?,?,?,13.99,?
237,?,?,?,?,?,?,?,?,?,?
238,927.73,49818.48,3495.18,50756.86,3255.45,282313.85,2513.85,38.92,?,13.85
239,921.40,48833.58,3423.51,49731.02,3197.48,11615713.70,7713.70,1593.11,13.85,13.70
240,919.00,48537.65,3384.22,49421.50,3183.87,2751213.10,9313.10,360.36,13.70,13.10
241,924.88,48676.45,3385.51,49569.11,3204.20,1982412.61,11012.61,248.82,13.10,12.61
242,925.91,48871.98,3363.18,49771.98,3196.27,11127612.44,9212.44,1377.47,12.61,12.44
243,?,?,?,?,?,?,?,?,12.44,?
244,?,?,?,?,?,?,?,?,?,?
245,929.89,49187.22,3393.26,50099.55,3230.20,1396113.04,4913.04,179.44,?,13.04
246,926.93,48968.87,3405.95,49861.54,3226.75,1496813.08,4313.08,196.96,13.04,13.08
247,918.91,47919.09,3338.86,48781.63,3174.71,653012.85,4312.85,83.31,13.08,12.85
