%310
@RELATION PLBSK0000017
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG30 NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE RESPECT NUMERIC 
@ATTRIBUTE WIG30TR NUMERIC 
@ATTRIBUTE WIG-BANKI NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
240,2491.80,3091.84,48537.65,2529.20,3717.43,7397.78,49421.50,62557105.75,295105.75,6711.31,111.00,105.75
241,2496.28,3095.55,48676.45,2535.66,3724.11,7348.60,49569.11,2450107.00,62107.00,261.03,105.75,107.00
242,2515.12,3087.13,48871.98,2550.55,3752.23,7394.25,49771.98,21840106.20,69106.20,2332.38,107.00,106.20
243,?,?,?,?,?,?,?,?,?,?,106.20,?
244,?,?,?,?,?,?,?,?,?,?,?,?
245,2529.85,3129.09,49187.22,2559.42,3774.19,7424.64,50099.55,15998108.00,112108.00,1726.35,?,108.00
246,2505.09,3139.25,48968.87,2551.42,3751.23,7423.72,49861.54,6131108.45,72108.45,668.69,108.00,108.45
247,2447.70,3092.12,47919.09,2497.16,3665.29,7224.31,48781.63,5417105.05,111105.05,576.87,108.45,105.05
248,2335.64,2958.80,45830.66,2366.93,3497.48,6871.10,46598.42,18286694.95,73794.95,17770.45,105.05,94.95
249,2376.81,3043.50,46717.04,2424.82,3559.13,6984.90,47514.09,8136599.99,16799.99,8027.26,94.95,99.99
250,?,?,?,?,?,?,?,?,?,?,99.99,?
251,?,?,?,?,?,?,?,?,?,?,?,?
252,2435.57,3124.36,47808.90,2485.12,3647.13,7167.82,48651.54,48386105.00,162105.00,4877.05,?,105.00
253,2498.88,3166.39,48961.51,2564.76,3741.93,7319.57,49839.90,30016103.30,188103.30,3169.15,105.00,103.30
254,2521.27,3194.64,49437.02,2593.59,3778.98,7383.43,50312.63,9490105.50,140105.50,999.94,103.30,105.50
255,2539.05,3213.18,49771.55,2597.06,3805.64,7491.58,50644.38,14476106.05,54106.05,1544.33,105.50,106.05
256,2514.24,3183.67,49348.61,2569.37,3768.45,7396.99,50196.31,32434105.80,102105.80,3437.95,106.05,105.80
257,?,?,?,?,?,?,?,?,?,?,105.80,?
258,?,?,?,?,?,?,?,?,?,?,?,?
259,2486.32,3135.12,48917.85,2534.63,3726.60,7350.50,49741.35,11408105.20,52105.20,1206.62,?,105.20
260,2503.51,3156.03,49434.46,2557.81,3772.16,7442.52,50258.11,8056105.95,95105.95,849.89,105.20,105.95
261,2502.71,3157.83,49413.33,2556.48,3770.95,7447.45,50227.43,1363104.95,27104.95,142.75,105.95,104.95
262,2552.89,3222.54,50300.53,2610.88,3846.56,7592.68,51171.25,21335106.70,173106.70,2295.05,104.95,106.70
263,2558.08,3229.62,50308.19,2624.43,3854.39,7503.20,51202.75,9208105.30,80105.30,971.46,106.70,105.30
264,?,?,?,?,?,?,?,?,?,?,105.30,?
265,?,?,?,?,?,?,?,?,?,?,?,?
266,2539.64,3217.71,49955.87,2620.53,3826.61,7473.22,50869.00,999106.00,45106.00,105.65,?,106.00
267,2542.62,3194.37,49979.47,2612.43,3831.80,7459.10,50887.67,31131108.00,110108.00,3362.50,106.00,108.00
268,2559.90,3236.84,50301.69,2624.16,3857.84,7591.30,51221.45,6542108.80,64108.80,709.78,108.00,108.80
269,2590.77,3290.09,50936.34,2641.40,3904.36,7795.20,51846.54,41074113.00,194113.00,4631.68,108.80,113.00
270,2578.88,3296.37,50819.81,2634.42,3886.45,7783.75,51704.53,92066112.40,104112.40,10415.85,113.00,112.40
271,?,?,?,?,?,?,?,?,?,?,112.40,?
272,?,?,?,?,?,?,?,?,?,?,?,?
273,2547.69,3275.69,50301.85,2599.89,3839.44,7692.60,51191.50,67204112.00,158112.00,7697.12,?,112.00
274,2580.08,3315.88,50782.48,2628.58,3888.26,7773.53,51691.24,15780112.40,163112.40,1767.30,112.00,112.40
275,2578.50,3320.03,50803.40,2622.62,3885.87,7824.34,51709.58,10596111.50,40111.50,1181.58,112.40,111.50
276,2585.32,3338.30,50982.03,2627.30,3896.16,7871.09,51911.61,16272113.20,80113.20,1835.84,111.50,113.20
277,2559.40,3322.87,50601.24,2591.38,3857.08,7792.42,51511.63,2460111.20,48111.20,276.16,113.20,111.20
278,?,?,?,?,?,?,?,?,?,?,111.20,?
279,?,?,?,?,?,?,?,?,?,?,?,?
280,2544.72,3307.23,50338.71,2578.81,3834.97,7742.09,51239.47,36766109.00,76109.00,4011.95,?,109.00
281,2534.15,3285.49,50137.88,2564.69,3819.04,7719.92,51021.26,3467107.40,57107.40,374.77,109.00,107.40
282,2546.78,3299.43,50335.02,2565.09,3838.07,7784.61,51215.99,27488107.70,115107.70,2961.84,107.40,107.70
283,2626.03,3371.00,51806.83,2650.07,3957.50,8093.08,52744.48,7565109.75,76109.75,827.96,107.70,109.75
284,2651.95,3402.39,52230.47,2661.10,3996.56,8206.57,53193.87,59975110.00,166110.00,6605.36,109.75,110.00
285,?,?,?,?,?,?,?,?,?,?,110.00,?
286,?,?,?,?,?,?,?,?,?,?,?,?
287,2662.89,3447.55,52520.91,2675.90,4013.06,8293.73,53498.97,28572115.55,175115.55,3279.93,?,115.55
288,2660.99,3490.38,52590.73,2683.73,4010.19,8278.53,53588.87,49915120.90,249120.90,5971.43,115.55,120.90
289,2679.62,3511.41,52861.41,2702.27,4038.26,8316.68,53918.41,10122120.00,194120.00,1206.11,120.90,120.00
290,2650.84,3514.54,52573.59,2679.30,3994.89,8224.51,53571.90,14532120.50,109120.50,1748.81,120.00,120.50
291,2645.30,3452.12,52587.24,2678.15,3986.54,8171.55,53572.92,6572118.70,110118.70,772.55,120.50,118.70
292,?,?,?,?,?,?,?,?,?,?,118.70,?
293,?,?,?,?,?,?,?,?,?,?,?,?
294,2716.84,3528.36,53853.55,2745.49,4094.35,8421.58,54903.39,42349121.00,135121.00,5126.65,?,121.00
295,2711.02,3534.57,53781.81,2758.85,4085.59,8324.12,54818.06,19643121.15,128121.15,2387.51,121.00,121.15
296,2690.21,3522.13,53389.74,2750.28,4054.22,8228.03,54433.41,3959121.90,146121.90,481.25,121.15,121.90
297,2718.20,3563.56,53994.46,2782.11,4096.41,8334.63,55063.75,13026121.95,198121.95,1583.98,121.90,121.95
298,2701.30,3567.78,53887.13,2761.93,4070.93,8342.60,55023.42,31847118.55,291118.55,3813.02,121.95,118.55
299,?,?,?,?,?,?,?,?,?,?,118.55,?
300,?,?,?,?,?,?,?,?,?,?,?,?
301,2714.03,3559.25,54180.04,2780.66,4090.12,8437.32,55362.19,11037119.00,138119.00,1331.52,?,119.00
302,2729.38,3572.51,54536.95,2786.77,4113.25,8489.31,55688.45,10883117.60,141117.60,1285.32,119.00,117.60
303,2706.26,3531.31,54095.32,2758.82,4078.41,8375.95,55240.01,11837114.00,149114.00,1364.08,117.60,114.00
304,2676.12,3488.69,53607.86,2721.32,4032.99,8327.62,54734.18,42769113.00,294113.00,4786.57,114.00,113.00
305,?,?,?,?,?,?,?,?,?,?,113.00,?
306,?,?,?,?,?,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?,?,?,?,?,?
308,2695.89,3514.71,53989.37,2737.86,4062.79,8356.61,55121.60,23789,297,2666.77,?,112.00
309,2669.72,3493.80,53504.47,2720.82,4023.35,8263.97,54600.05,10991,137,1264.03,112.00,114.30
310,2693.97,3512.17,53924.01,2744.41,4059.89,8345.41,55035.36,97099,232,11445.85,114.30,118.15
340,2274.83041930165,3118.097704907077,45857.110734846676,2323.629763133006,3384.910015005461,7243.294026440237,47106.0108522239,?,?,?,?,?,? 
370,2265.0072733966595,3156.981569607352,46189.882480874876,2315.374201792225,3385.417572068476,7317.988224569833,47398.32393415799,?,?,?,?,?,? 
400,2255.1841274916687,3195.865434307627,46522.654226903076,2307.1186404514447,3385.9251291314913,7392.68242269943,47690.63701609208,?,?,?,?,?,? 
490,2225.714689776696,3312.517028408451,47520.969464987684,2282.205621253367,3387.4478003205377,7616.765017088219,48567.57626189435,?,?,?,?,?,? 
670,2166.775814346752,3545.820216610101,49517.5999411569,2233.173889921581,3390.493142698631,8064.9302058657995,50321.45475349891,?,?,?,?,?,? 
