%310
@RELATION PLBSK0000017
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG30 NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE RESPECT NUMERIC 
@ATTRIBUTE WIG30TR NUMERIC 
@ATTRIBUTE WIG-BANKI NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
58,2481.27,2608.94,46241.92,2456.88,3582.59,6459.16,46459.99,1890186.85,12586.85,1644.84,87.00,86.85
59,2483.07,2608.20,46280.36,2464.60,3585.19,6505.71,46510.83,866289.30,8789.30,770.50,86.85,89.30
60,2494.13,2626.22,46341.14,2483.58,3601.15,6476.44,46622.90,466588.50,7488.50,411.75,89.30,88.50
61,?,?,?,?,?,?,?,?,?,?,88.50,?
62,?,?,?,?,?,?,?,?,?,?,?,?
63,2483.53,2623.37,46137.70,2477.48,3585.84,6420.90,46454.13,534487.40,8387.40,473.28,?,87.40
64,2515.78,2628.44,46676.09,2495.06,3632.41,6499.44,47001.38,292888.80,4788.80,260.10,87.40,88.80
65,2519.46,2632.38,46762.65,2504.03,3637.73,6455.48,47090.49,2422289.05,10189.05,2164.94,88.80,89.05
66,2516.92,2653.74,46745.26,2502.93,3634.06,6440.05,47060.66,313489.45,9389.45,280.19,89.05,89.45
67,2538.66,2675.88,47074.39,2543.21,3665.45,6473.22,47436.21,8891292.00,15092.00,8137.58,89.45,92.00
68,?,?,?,?,?,?,?,?,?,?,92.00,?
69,?,?,?,?,?,?,?,?,?,?,?,?
70,2525.69,2678.09,46933.03,2522.52,3646.72,6512.77,47269.75,1891293.95,8393.95,1768.86,?,93.95
71,2532.30,2689.51,47010.40,2517.65,3656.26,6475.83,47340.43,855792.95,10392.95,795.37,93.95,92.95
72,2525.33,2687.66,46888.37,2503.94,3646.20,6499.45,47235.72,604293.00,6293.00,561.76,92.95,93.00
73,2548.95,2687.81,47223.68,2532.24,3680.31,6548.90,47606.16,1853193.30,16593.30,1715.71,93.00,93.30
74,2543.87,2708.28,47125.93,2511.47,3672.97,6556.17,47522.10,4115790.00,16990.00,3741.13,93.30,90.00
75,?,?,?,?,?,?,?,?,?,?,90.00,?
76,?,?,?,?,?,?,?,?,?,?,?,?
77,2516.69,2718.31,46668.41,2495.62,3633.72,6482.67,47094.18,571290.60,7090.60,516.13,?,90.60
78,2480.67,2658.94,46029.35,2464.10,3581.72,6391.14,46473.62,413990.00,5390.00,374.15,90.60,90.00
79,2479.47,2663.64,46068.24,2469.12,3579.99,6385.97,46511.62,1868291.25,4691.25,1705.91,90.00,91.25
80,2453.97,2635.54,45580.47,2438.71,3543.16,6357.84,46017.88,1216290.80,7790.80,1102.87,91.25,90.80
81,2426.14,2596.69,45066.18,2419.55,3502.98,6265.59,45473.08,763689.50,5789.50,684.91,90.80,89.50
82,?,?,?,?,?,?,?,?,?,?,89.50,?
83,?,?,?,?,?,?,?,?,?,?,?,?
84,2395.40,2576.73,44585.10,2366.31,3458.60,6278.67,44946.32,1428989.00,9289.00,1285.41,?,89.00
85,2406.05,2578.94,44724.88,2370.58,3473.97,6332.39,45119.16,2324889.50,9789.50,2074.99,89.00,89.50
86,2440.82,2601.44,45247.90,2408.57,3524.18,6374.95,45644.09,3245089.30,15889.30,2878.35,89.50,89.30
87,2430.73,2624.74,45147.57,2399.27,3509.61,6369.16,45528.85,4249190.80,11190.80,3800.75,89.30,90.80
88,?,?,?,?,?,?,?,?,?,?,90.80,?
89,?,?,?,?,?,?,?,?,?,?,?,?
