%310
@RELATION PLCMRAY00029
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,10531.27,48107.89,48389.84,2835.52,7551112.80,16712.80,972.32,?,12.80
3,10554.18,48222.72,48505.50,2832.46,12825612.35,37812.35,1596.92,12.80,12.35
4,10519.33,47888.16,48143.94,2814.73,14691812.07,37612.07,1785.98,12.35,12.07
5,?,?,?,?,?,?,?,12.07,?
6,?,?,?,?,?,?,?,?,?
7,10488.60,47589.33,47820.24,2793.31,7044312.44,20012.44,884.47,?,12.44
8,10500.71,47379.63,47624.67,2790.64,4573412.70,11112.70,577.65,12.44,12.70
9,10503.06,47407.28,47668.58,2784.62,14604913.45,33313.45,1915.28,12.70,13.45
10,10496.80,47546.91,47798.66,2800.96,19448913.99,53713.99,2725.33,13.45,13.99
11,10595.04,47440.80,47690.97,2815.88,4260513.91,18613.91,597.31,13.99,13.91
12,?,?,?,?,?,?,?,13.91,?
13,?,?,?,?,?,?,?,?,?
14,10637.07,47470.12,47724.95,2820.74,3793914.24,14714.24,533.06,?,14.24
15,10638.06,47086.54,47346.41,2817.16,10902114.14,32914.14,1569.51,14.24,14.14
16,10673.05,47521.39,47794.60,2825.40,1557814.25,8214.25,221.91,14.14,14.25
17,10767.29,47661.37,47936.81,2848.09,1889414.25,10314.25,269.28,14.25,14.25
18,10903.93,47813.69,48104.67,2864.72,3952014.40,16414.40,558.96,14.25,14.40
19,?,?,?,?,?,?,?,14.40,?
20,?,?,?,?,?,?,?,?,?
21,11030.02,47936.61,48184.37,2890.14,18759414.70,53114.70,2755.50,?,14.70
22,11073.63,47872.80,48127.89,2892.80,11770014.80,44614.80,1747.23,14.70,14.80
23,11071.80,47733.24,47999.21,2890.57,37085415.85,102315.85,5763.31,14.80,15.85
24,11108.21,47942.04,48203.43,2898.85,30254016.42,98116.42,4940.56,15.85,16.42
25,11174.05,47613.95,47851.99,2897.93,10016316.16,31816.16,1635.92,16.42,16.16
26,?,?,?,?,?,?,?,16.16,?
27,?,?,?,?,?,?,?,?,?
28,11144.27,47324.06,47553.14,2886.17,8314915.90,26315.90,1317.23,?,15.90
29,11165.66,47328.40,47565.10,2878.58,6690515.67,33715.67,1041.08,15.90,15.67
30,11183.61,46917.19,47113.08,2876.68,7444015.60,25515.60,1177.69,15.67,15.60
31,11245.80,46840.15,47011.43,2880.57,7403515.90,22615.90,1162.08,15.60,15.90
32,11241.00,46945.58,47121.08,2883.81,2437115.90,10815.90,386.87,15.90,15.90
33,?,?,?,?,?,?,?,15.90,?
34,?,?,?,?,?,?,?,?,?
35,11191.08,46556.55,46735.25,2856.17,4080215.90,17615.90,658.17,?,15.90
36,11060.84,46674.78,46862.43,2843.49,2810015.89,11115.89,445.02,15.90,15.89
37,10953.57,46149.14,46341.54,2811.05,3153815.50,12315.50,489.75,15.89,15.50
38,10950.03,46329.66,46512.72,2815.91,2724315.60,12215.60,421.30,15.50,15.60
39,10986.53,46741.54,46931.40,2825.70,2534715.91,12115.91,400.26,15.60,15.91
40,?,?,?,?,?,?,?,15.91,?
41,?,?,?,?,?,?,?,?,?
42,10947.75,46786.74,46988.04,2826.84,3657715.85,17715.85,587.52,?,15.85
43,10981.98,46399.26,46564.61,2821.25,8899916.00,28416.00,1429.78,15.85,16.00
44,11022.58,46406.74,46569.81,2825.02,119621514.46,129014.46,17561.56,16.00,14.46
45,11017.48,46211.54,46360.51,2825.15,20472014.00,67614.00,2902.18,14.46,14.00
