%310
@RELATION PLELDRD00017
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,2568.59,48107.89,48389.84,2835.52,293857.80,3657.80,170.01,?,57.80
3,2588.67,48222.72,48505.50,2832.46,252757.40,2657.40,145.87,57.80,57.40
4,2588.47,47888.16,48143.94,2814.73,694956.80,5456.80,394.05,57.40,56.80
5,?,?,?,?,?,?,?,56.80,?
6,?,?,?,?,?,?,?,?,?
7,2588.96,47589.33,47820.24,2793.31,879956.15,4456.15,493.90,?,56.15
8,2587.38,47379.63,47624.67,2790.64,561157.00,4557.00,317.05,56.15,57.00
9,2573.27,47407.28,47668.58,2784.62,1030557.35,6257.35,581.65,57.00,57.35
10,2592.53,47546.91,47798.66,2800.96,204257.00,4057.00,116.13,57.35,57.00
11,2611.26,47440.80,47690.97,2815.88,129256.80,1756.80,73.37,57.00,56.80
12,?,?,?,?,?,?,?,56.80,?
13,?,?,?,?,?,?,?,?,?
14,2605.15,47470.12,47724.95,2820.74,148556.05,2456.05,83.46,?,56.05
15,2598.51,47086.54,47346.41,2817.16,425656.20,2356.20,239.01,56.05,56.20
16,2598.53,47521.39,47794.60,2825.40,107855.90,3355.90,60.30,56.20,55.90
17,2618.14,47661.37,47936.81,2848.09,886255.55,5255.55,492.98,55.90,55.55
18,2626.72,47813.69,48104.67,2864.72,675255.60,3555.60,374.08,55.55,55.60
19,?,?,?,?,?,?,?,55.60,?
20,?,?,?,?,?,?,?,?,?
21,2635.73,47936.61,48184.37,2890.14,371555.95,2255.95,207.12,?,55.95
22,2636.01,47872.80,48127.89,2892.80,360956.75,4356.75,203.48,55.95,56.75
23,2626.76,47733.24,47999.21,2890.57,1058057.30,7057.30,606.23,56.75,57.30
24,2646.20,47942.04,48203.43,2898.85,2529058.05,3458.05,1458.98,57.30,58.05
25,2642.64,47613.95,47851.99,2897.93,599458.80,6158.80,351.45,58.05,58.80
26,?,?,?,?,?,?,?,58.80,?
27,?,?,?,?,?,?,?,?,?
28,2637.81,47324.06,47553.14,2886.17,702959.00,7759.00,414.86,?,59.00
29,2623.78,47328.40,47565.10,2878.58,222358.50,2858.50,130.00,59.00,58.50
30,2612.20,46917.19,47113.08,2876.68,269058.00,3058.00,156.11,58.50,58.00
31,2597.73,46840.15,47011.43,2880.57,632858.50,1658.50,368.18,58.00,58.50
32,2603.21,46945.58,47121.08,2883.81,34058.00,858.00,19.95,58.50,58.00
33,?,?,?,?,?,?,?,58.00,?
34,?,?,?,?,?,?,?,?,?
35,2609.03,46556.55,46735.25,2856.17,241657.70,3657.70,140.05,?,57.70
36,2595.69,46674.78,46862.43,2843.49,329456.60,4256.60,186.73,57.70,56.60
37,2567.59,46149.14,46341.54,2811.05,2739356.00,4756.00,1535.05,56.60,56.00
38,2577.94,46329.66,46512.72,2815.91,1021455.95,5155.95,570.59,56.00,55.95
39,2587.53,46741.54,46931.40,2825.70,742755.85,2855.85,415.39,55.95,55.85
40,?,?,?,?,?,?,?,55.85,?
41,?,?,?,?,?,?,?,?,?
42,2593.63,46786.74,46988.04,2826.84,422456.00,2256.00,236.55,?,56.00
43,2581.18,46399.26,46564.61,2821.25,1055157.35,4457.35,590.77,56.00,57.35
44,2576.84,46406.74,46569.81,2825.02,356557.50,3557.50,201.18,57.35,57.50
45,2578.13,46211.54,46360.51,2825.15,349457.50,5457.50,200.33,57.50,57.50
46,2570.25,46370.13,46523.63,2838.22,94956.90,3256.90,54.00,57.50,56.90
47,?,?,?,?,?,?,?,56.90,?
48,?,?,?,?,?,?,?,?,?
49,2580.46,46508.27,46665.39,2848.48,247656.75,5656.75,139.85,?,56.75
50,2566.72,46490.89,46652.19,2843.90,108556.70,1456.70,61.45,56.75,56.70
51,2577.60,46051.76,46198.42,2831.71,202856.10,3856.10,113.81,56.70,56.10
52,2566.08,45879.90,46050.52,2801.83,1153254.50,17254.50,629.38,56.10,54.50
53,2577.64,45948.12,46124.82,2817.57,3661454.15,8654.15,1984.57,54.50,54.15
54,?,?,?,?,?,?,?,54.15,?
55,?,?,?,?,?,?,?,?,?
56,2602.92,46286.28,46487.05,2840.57,204454.00,3554.00,110.55,?,54.00
57,2589.15,45868.35,46065.85,2831.16,3009852.50,7652.50,1598.15,54.00,52.50
58,2608.94,46241.92,46459.99,2855.69,476053.30,4253.30,253.70,52.50,53.30
59,2608.20,46280.36,46510.83,2865.27,48554.00,1554.00,26.17,53.30,54.00
60,2626.22,46341.14,46622.90,2859.05,363957.00,7257.00,203.71,54.00,57.00
61,?,?,?,?,?,?,?,57.00,?
62,?,?,?,?,?,?,?,?,?
63,2623.37,46137.70,46454.13,2860.68,178955.80,5555.80,101.45,?,55.80
64,2628.44,46676.09,47001.38,2868.06,126856.50,3156.50,71.46,55.80,56.50
65,2632.38,46762.65,47090.49,2872.90,384156.45,3356.45,216.98,56.50,56.45
66,2653.74,46745.26,47060.66,2873.49,292256.35,3156.35,165.10,56.45,56.35
67,2675.88,47074.39,47436.21,2906.74,4284960.90,42860.90,2557.56,56.35,60.90
68,?,?,?,?,?,?,?,60.90,?
69,?,?,?,?,?,?,?,?,?
70,2678.09,46933.03,47269.75,2914.24,1233660.75,21760.75,753.10,?,60.75
71,2689.51,47010.40,47340.43,2911.38,788460.50,13360.50,477.67,60.75,60.50
72,2687.66,46888.37,47235.72,2901.67,2078061.50,8261.50,1270.59,60.50,61.50
73,2687.81,47223.68,47606.16,2912.13,381661.50,7261.50,235.36,61.50,61.50
74,2708.28,47125.93,47522.10,2909.77,591460.00,7460.00,360.48,61.50,60.00
75,?,?,?,?,?,?,?,60.00,?
76,?,?,?,?,?,?,?,?,?
77,2718.31,46668.41,47094.18,2900.59,759960.00,4160.00,457.46,?,60.00
78,2658.94,46029.35,46473.62,2868.24,4726060.00,6860.00,2835.52,60.00,60.00
79,2663.64,46068.24,46511.62,2874.75,435859.50,7859.50,258.63,60.00,59.50
80,2635.54,45580.47,46017.88,2833.61,574757.90,6357.90,336.02,59.50,57.90
81,2596.69,45066.18,45473.08,2800.67,928557.60,9557.60,524.08,57.90,57.60
82,?,?,?,?,?,?,?,57.60,?
83,?,?,?,?,?,?,?,?,?
84,2576.73,44585.10,44946.32,2780.21,189657.50,4357.50,110.14,?,57.50
85,2578.94,44724.88,45119.16,2774.13,78757.85,2257.85,44.85,57.50,57.85
86,2601.44,45247.90,45644.09,2785.46,317156.60,4056.60,183.33,57.85,56.60
87,2624.74,45147.57,45528.85,2797.31,152757.75,3257.75,86.57,56.60,57.75
88,?,?,?,?,?,?,?,57.75,?
89,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?
