%310
@RELATION PLBRSZW00011
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG30 NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG30TR NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?,?
2,2624.35,2568.59,48107.89,3789.17,48389.84,2835.52,124290180.61,9080.61,7706.68,?,0.61
3,2629.86,2588.67,48222.72,3797.12,48505.50,2832.46,201452720.58,17210.58,11825.01,0.61,0.58
4,2611.26,2588.47,47888.16,3770.27,48143.94,2814.73,428928400.59,12890.59,25026.18,0.58,0.59
5,?,?,?,?,?,?,?,?,?,0.59,?
6,?,?,?,?,?,?,?,?,?,?,?
7,2594.16,2588.96,47589.33,3745.58,47820.24,2793.31,63414480.59,5250.59,3709.22,?,0.59
8,2579.49,2587.38,47379.63,3724.40,47624.67,2790.64,171113000.58,5620.58,9928.11,0.59,0.58
9,2582.76,2573.27,47407.28,3729.12,47668.58,2784.62,227626380.57,6730.57,12982.65,0.58,0.57
10,2592.92,2592.53,47546.91,3743.79,47798.66,2800.96,168616910.56,8310.56,9485.30,0.57,0.56
11,2581.72,2611.26,47440.80,3727.62,47690.97,2815.88,75409330.57,3760.57,4223.56,0.56,0.57
12,?,?,?,?,?,?,?,?,?,0.57,?
13,?,?,?,?,?,?,?,?,?,?,?
14,2585.89,2605.15,47470.12,3733.64,47724.95,2820.74,52399990.56,3580.56,2919.81,?,0.56
15,2563.15,2598.51,47086.54,3700.81,47346.41,2817.16,75218660.56,5120.56,4147.01,0.56,0.56
16,2590.04,2598.53,47521.39,3739.63,47794.60,2825.40,94513480.56,3340.56,5293.02,0.56,0.56
17,2595.18,2618.14,47661.37,3747.05,47936.81,2848.09,238513830.58,9490.58,13781.67,0.56,0.58
18,2603.26,2626.72,47813.69,3758.73,48104.67,2864.72,45991460.57,2930.57,2626.08,0.58,0.57
19,?,?,?,?,?,?,?,?,?,0.57,?
20,?,?,?,?,?,?,?,?,?,?,?
21,2604.76,2635.73,47936.61,3760.89,48184.37,2890.14,15231520.57,1790.57,873.23,?,0.57
22,2598.05,2636.01,47872.80,3751.19,48127.89,2892.80,36334490.56,2340.56,2059.71,0.57,0.56
23,2589.88,2626.76,47733.24,3739.40,47999.21,2890.57,47344890.57,4050.57,2678.83,0.56,0.57
24,2601.37,2646.20,47942.04,3756.00,48203.43,2898.85,84108960.58,3670.58,4803.37,0.57,0.58
25,2578.18,2642.64,47613.95,3722.51,47851.99,2897.93,130309330.58,4410.58,7433.75,0.58,0.58
26,?,?,?,?,?,?,?,?,?,0.58,?
27,?,?,?,?,?,?,?,?,?,?,?
28,2558.56,2637.81,47324.06,3694.19,47553.14,2886.17,63046260.57,2730.57,3587.46,?,0.57
29,2560.73,2623.78,47328.40,3697.32,47565.10,2878.58,117525550.58,3390.58,6698.71,0.57,0.58
30,2532.09,2612.20,46917.19,3655.96,47113.08,2876.68,148887820.56,4100.56,8409.43,0.58,0.56
31,2522.74,2597.73,46840.15,3642.47,47011.43,2880.57,245358040.56,9790.56,13384.82,0.56,0.56
32,2529.59,2603.21,46945.58,3652.36,47121.08,2883.81,261951320.56,6690.56,14665.86,0.56,0.56
33,?,?,?,?,?,?,?,?,?,0.56,?
34,?,?,?,?,?,?,?,?,?,?,?
35,2502.46,2609.03,46556.55,3613.18,46735.25,2856.17,169640370.55,5190.55,9482.56,?,0.55
36,2517.38,2595.69,46674.78,3634.73,46862.43,2843.49,57726730.55,2820.55,3170.71,0.55,0.55
37,2486.34,2567.59,46149.14,3589.91,46341.54,2811.05,340391760.52,12610.52,18008.74,0.55,0.52
38,2495.53,2577.94,46329.66,3603.17,46512.72,2815.91,495841770.50,17910.50,25200.58,0.52,0.50
39,2520.06,2587.53,46741.54,3638.59,46931.40,2825.70,254861850.51,9630.51,13009.97,0.50,0.51
40,?,?,?,?,?,?,?,?,?,0.51,?
41,?,?,?,?,?,?,?,?,?,?,?
42,2524.86,2593.63,46786.74,3645.53,46988.04,2826.84,341417260.48,12760.48,16908.76,?,0.48
43,2492.15,2581.18,46399.26,3598.29,46564.61,2821.25,521017160.48,17930.48,24330.89,0.48,0.48
44,2492.46,2576.84,46406.74,3598.75,46569.81,2825.02,707522500.47,25760.47,31918.12,0.48,0.47
45,2475.92,2578.13,46211.54,3574.86,46360.51,2825.15,233052960.47,7070.47,10941.11,0.47,0.47
46,2488.01,2570.25,46370.13,3592.31,46523.63,2838.22,226230450.47,5540.47,10546.16,0.47,0.47
47,?,?,?,?,?,?,?,?,?,0.47,?
48,?,?,?,?,?,?,?,?,?,?,?
49,2496.81,2580.46,46508.27,3605.03,46665.39,2848.48,194121370.49,5750.49,9269.03,?,0.49
50,2498.71,2566.72,46490.89,3607.77,46652.19,2843.90,247891790.50,10760.50,12308.03,0.49,0.50
51,2469.66,2577.60,46051.76,3565.83,46198.42,2831.71,249314180.49,6970.49,12279.76,0.50,0.49
52,2465.43,2566.08,45879.90,3559.72,46050.52,2801.83,177350330.48,6340.48,8435.10,0.49,0.48
53,2468.34,2577.64,45948.12,3563.91,46124.82,2817.57,210505050.47,5030.47,9963.16,0.48,0.47
54,?,?,?,?,?,?,?,?,?,0.47,?
55,?,?,?,?,?,?,?,?,?,?,?
56,2485.01,2602.92,46286.28,3587.99,46487.05,2840.57,84867370.46,4270.46,4001.35,?,0.46
57,2458.58,2589.15,45868.35,3549.82,46065.85,2831.16,180110780.46,6870.46,8268.46,0.46,0.46
58,2481.27,2608.94,46241.92,3582.59,46459.99,2855.69,46307920.46,3260.46,2115.09,0.46,0.46
59,2483.07,2608.20,46280.36,3585.19,46510.83,2865.27,123556320.46,3170.46,5688.02,0.46,0.46
60,2494.13,2626.22,46341.14,3601.15,46622.90,2859.05,60370040.45,2870.45,2764.27,0.46,0.45
61,?,?,?,?,?,?,?,?,?,0.45,?
62,?,?,?,?,?,?,?,?,?,?,?
63,2483.53,2623.37,46137.70,3585.84,46454.13,2860.68,72032480.47,3840.47,3350.01,?,0.47
64,2515.78,2628.44,46676.09,3632.41,47001.38,2868.06,194663120.49,6790.49,9455.24,0.47,0.49
65,2519.46,2632.38,46762.65,3637.73,47090.49,2872.90,158038620.49,8240.49,7749.26,0.49,0.49
66,2516.92,2653.74,46745.26,3634.06,47060.66,2873.49,143172810.49,5030.49,7015.65,0.49,0.49
67,2538.66,2675.88,47074.39,3665.45,47436.21,2906.74,54552680.48,1980.48,2665.42,0.49,0.48
68,?,?,?,?,?,?,?,?,?,0.48,?
69,?,?,?,?,?,?,?,?,?,?,?
70,2525.69,2678.09,46933.03,3646.72,47269.75,2914.24,67901800.48,2950.48,3261.32,?,0.48
71,2532.30,2689.51,47010.40,3656.26,47340.43,2911.38,15407980.48,1480.48,734.93,0.48,0.48
72,2525.33,2687.66,46888.37,3646.20,47235.72,2901.67,16845930.48,1070.48,805.71,0.48,0.48
73,2548.95,2687.81,47223.68,3680.31,47606.16,2912.13,60872910.49,5580.49,2922.83,0.48,0.49
74,2543.87,2708.28,47125.93,3672.97,47522.10,2909.77,140745390.47,14390.47,6696.67,0.49,0.47
75,?,?,?,?,?,?,?,?,?,0.47,?
76,?,?,?,?,?,?,?,?,?,?,?
77,2516.69,2718.31,46668.41,3633.72,47094.18,2900.59,72919340.47,2470.47,3433.96,?,0.47
78,2480.67,2658.94,46029.35,3581.72,46473.62,2868.24,15394410.47,1440.47,718.04,0.47,0.47
79,2479.47,2663.64,46068.24,3579.99,46511.62,2874.75,86177250.48,2920.48,4098.38,0.47,0.48
80,2453.97,2635.54,45580.47,3543.16,46017.88,2833.61,249755320.48,8270.48,12012.77,0.48,0.48
81,2426.14,2596.69,45066.18,3502.98,45473.08,2800.67,456848350.47,14930.47,20991.17,0.48,0.47
82,?,?,?,?,?,?,?,?,?,0.47,?
83,?,?,?,?,?,?,?,?,?,?,?
84,2395.40,2576.73,44585.10,3458.60,44946.32,2780.21,64822410.45,3440.45,2969.05,?,0.45
85,2406.05,2578.94,44724.88,3473.97,45119.16,2774.13,235543890.44,6510.44,10420.58,0.45,0.44
86,2440.82,2601.44,45247.90,3524.18,45644.09,2785.46,175863230.44,5990.44,7565.95,0.44,0.44
87,2430.73,2624.74,45147.57,3509.61,45528.85,2797.31,192535420.44,4760.44,8442.53,0.44,0.44
88,?,?,?,?,?,?,?,?,?,0.44,?
89,?,?,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?,?
92,2440.15,2643.63,45304.74,3523.22,45679.51,2814.33,35226220.44,1490.44,1544.18,?,0.44
93,2398.83,2608.26,44604.61,3463.55,44940.36,2769.02,77580150.43,4390.43,3335.30,0.44,0.43
94,2402.20,2594.74,44623.89,3468.42,44980.62,2766.19,65075570.43,5000.43,2743.18,0.43,0.43
95,2400.73,2572.61,44597.66,3466.30,44960.02,2760.91,176050890.42,4770.42,7387.86,0.43,0.42
96,?,?,?,?,?,?,?,?,?,0.42,?
97,?,?,?,?,?,?,?,?,?,?,?
98,2401.04,2582.59,44590.97,3466.74,44963.96,2764.28,98481740.42,3610.42,4133.41,?,0.42
99,2403.05,2592.09,44725.03,3477.52,45096.35,2767.26,186532770.43,4870.43,8168.69,0.42,0.43
100,2423.82,2601.25,45091.63,3507.58,45495.34,2780.21,202419850.45,6730.45,9081.47,0.43,0.45
101,2462.75,2623.22,45688.48,3563.91,46131.66,2794.43,101926860.46,3070.46,4587.39,0.45,0.46
102,2456.16,2630.40,45525.92,3554.37,45960.10,2783.53,87848230.46,2440.46,3965.54,0.46,0.46
103,?,?,?,?,?,?,?,?,?,0.46,?
104,?,?,?,?,?,?,?,?,?,?,?
105,2411.63,2587.31,44724.14,3489.94,45167.65,2754.91,246259000.45,5830.45,11126.14,?,0.45
106,?,?,?,?,?,?,?,?,?,0.45,?
107,2372.48,2555.73,43916.24,3433.28,44404.81,2705.88,272221290.44,7630.44,12149.03,?,0.44
108,2338.69,2520.54,43364.70,3387.52,43850.06,2695.55,183784190.45,4840.45,8214.24,0.44,0.45
109,2342.83,2522.32,43447.75,3393.51,43993.98,2685.57,694168270.46,8690.46,32288.01,0.45,0.46
110,?,?,?,?,?,?,?,?,?,0.46,?
111,?,?,?,?,?,?,?,?,?,?,?
112,2337.88,2499.84,43360.30,3386.35,43892.82,2660.28,136109520.44,4980.44,6116.00,?,0.44
113,2331.94,2471.39,43159.57,3377.74,43707.88,2624.40,536527830.41,12450.41,22877.71,0.44,0.41
114,2345.85,2472.28,43356.73,3397.89,43908.95,2636.70,1447794050.42,4720.42,60859.08,0.41,0.42
115,2349.59,2492.91,43482.18,3403.31,44027.03,2658.57,1590882220.44,7370.44,69831.13,0.42,0.44
116,2359.18,2520.03,43665.21,3417.20,44226.06,2669.93,1518162340.45,7660.45,68100.84,0.44,0.45
117,?,?,?,?,?,?,?,?,?,0.45,?
