%310
@RELATION PLFAMUR00012
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,2568.59,48107.89,48389.84,2835.52,1555974.80,874.80,746.67,?,4.80
3,2588.67,48222.72,48505.50,2832.46,57454.80,234.80,27.56,4.80,4.80
4,2588.47,47888.16,48143.94,2814.73,687694.80,314.80,332.14,4.80,4.80
5,?,?,?,?,?,?,?,4.80,?
6,?,?,?,?,?,?,?,?,?
7,2588.96,47589.33,47820.24,2793.31,778204.70,1264.70,359.72,?,4.70
8,2587.38,47379.63,47624.67,2790.64,446504.77,394.77,210.21,4.70,4.77
9,2573.27,47407.28,47668.58,2784.62,356284.80,284.80,169.40,4.77,4.80
10,2592.53,47546.91,47798.66,2800.96,223414.80,254.80,107.03,4.80,4.80
11,2611.26,47440.80,47690.97,2815.88,249464.77,284.77,117.94,4.80,4.77
12,?,?,?,?,?,?,?,4.77,?
13,?,?,?,?,?,?,?,?,?
14,2605.15,47470.12,47724.95,2820.74,1182994.70,304.70,556.15,?,4.70
15,2598.51,47086.54,47346.41,2817.16,1568114.65,384.65,732.50,4.70,4.65
16,2598.53,47521.39,47794.60,2825.40,1281684.63,244.63,595.97,4.65,4.63
17,2618.14,47661.37,47936.81,2848.09,121814.64,104.64,56.52,4.63,4.64
18,2626.72,47813.69,48104.67,2864.72,627304.65,324.65,290.03,4.64,4.65
19,?,?,?,?,?,?,?,4.65,?
20,?,?,?,?,?,?,?,?,?
21,2635.73,47936.61,48184.37,2890.14,195064.62,194.62,89.79,?,4.62
22,2636.01,47872.80,48127.89,2892.80,194174.65,74.65,90.29,4.62,4.65
23,2626.76,47733.24,47999.21,2890.57,872684.60,404.60,401.73,4.65,4.60
24,2646.20,47942.04,48203.43,2898.85,201334.60,304.60,92.55,4.60,4.60
25,2642.64,47613.95,47851.99,2897.93,275404.60,184.60,126.66,4.60,4.60
26,?,?,?,?,?,?,?,4.60,?
27,?,?,?,?,?,?,?,?,?
28,2637.81,47324.06,47553.14,2886.17,423904.54,244.54,192.47,?,4.54
29,2623.78,47328.40,47565.10,2878.58,1191954.54,644.54,538.93,4.54,4.54
30,2612.20,46917.19,47113.08,2876.68,1044674.55,474.55,471.10,4.54,4.55
31,2597.73,46840.15,47011.43,2880.57,772314.55,424.55,351.28,4.55,4.55
32,2603.21,46945.58,47121.08,2883.81,359104.64,504.64,166.32,4.55,4.64
33,?,?,?,?,?,?,?,4.64,?
34,?,?,?,?,?,?,?,?,?
35,2609.03,46556.55,46735.25,2856.17,211084.65,534.65,98.26,?,4.65
36,2595.69,46674.78,46862.43,2843.49,71854.60,194.60,33.45,4.65,4.60
37,2567.59,46149.14,46341.54,2811.05,385604.50,244.50,174.20,4.60,4.50
38,2577.94,46329.66,46512.72,2815.91,1288404.43,324.43,580.24,4.50,4.43
39,2587.53,46741.54,46931.40,2825.70,2093814.51,644.51,941.99,4.43,4.51
40,?,?,?,?,?,?,?,4.51,?
41,?,?,?,?,?,?,?,?,?
42,2593.63,46786.74,46988.04,2826.84,309114.53,254.53,140.39,?,4.53
43,2581.18,46399.26,46564.61,2821.25,224954.55,224.55,102.13,4.53,4.55
44,2576.84,46406.74,46569.81,2825.02,488944.55,444.55,222.40,4.55,4.55
45,2578.13,46211.54,46360.51,2825.15,551194.60,404.60,251.55,4.55,4.60
46,2570.25,46370.13,46523.63,2838.22,371674.65,374.65,172.62,4.60,4.65
47,?,?,?,?,?,?,?,4.65,?
