%310
@RELATION PLBZ00000044
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG30 NUMERIC 
@ATTRIBUTE WIG20 NUMERIC 
@ATTRIBUTE WIGdiv NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG30TR NUMERIC 
@ATTRIBUTE WIG20TR NUMERIC 
@ATTRIBUTE WIG-BANKI NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?,?,?,?
2,2624.35,2626.21,1117.48,48107.89,3789.17,3791.86,6723.16,48389.84,542241.00,21241.00,130.46,?,241.00
3,2629.86,2628.36,1118.84,48222.72,3797.12,3794.96,6702.54,48505.50,153241.60,15241.60,37.19,241.00,241.60
4,2611.26,2601.73,1111.36,47888.16,3770.27,3756.50,6640.07,48143.94,285241.90,18241.90,68.60,241.60,241.90
5,?,?,?,?,?,?,?,?,?,?,?,241.90,?
6,?,?,?,?,?,?,?,?,?,?,?,?,?
7,2594.16,2578.48,1109.28,47589.33,3745.58,3722.95,6569.07,47820.24,286244.90,25244.90,69.32,?,244.90
8,2579.49,2562.63,1101.95,47379.63,3724.40,3700.06,6496.43,47624.67,268249.90,25249.90,65.85,244.90,249.90
9,2582.76,2567.59,1105.51,47407.28,3729.12,3707.22,6538.98,47668.58,470249.90,34249.90,116.85,249.90,249.90
10,2592.92,2573.62,1109.02,47546.91,3743.79,3715.93,6551.72,47798.66,7984254.00,31254.00,2008.54,249.90,254.00
11,2581.72,2557.93,1106.07,47440.80,3727.62,3693.27,6533.47,47690.97,499259.00,22259.00,127.02,254.00,259.00
12,?,?,?,?,?,?,?,?,?,?,?,259.00,?
13,?,?,?,?,?,?,?,?,?,?,?,?,?
14,2585.89,2560.14,1108.76,47470.12,3733.64,3696.46,6626.08,47724.95,235254.30,22254.30,60.04,?,254.30
15,2563.15,2532.42,1098.41,47086.54,3700.81,3656.43,6601.96,47346.41,95257.30,13257.30,24.27,254.30,257.30
16,2590.04,2565.15,1100.21,47521.39,3739.63,3703.70,6601.18,47794.60,388260.00,20260.00,100.58,257.30,260.00
17,2595.18,2567.16,1100.21,47661.37,3747.05,3706.60,6661.60,47936.81,23562269.00,46269.00,6234.31,260.00,269.00
18,2603.26,2572.14,1104.63,47813.69,3758.73,3713.78,6679.16,48104.67,5893274.00,63274.00,1603.98,269.00,274.00
19,?,?,?,?,?,?,?,?,?,?,?,274.00,?
20,?,?,?,?,?,?,?,?,?,?,?,?,?
21,2604.76,2573.67,1103.07,47936.61,3760.89,3716.00,6648.10,48184.37,3216279.50,26279.50,898.65,?,279.50
22,2598.05,2566.60,1099.21,47872.80,3751.19,3705.79,6618.49,48127.89,133283.90,20283.90,37.34,279.50,283.90
23,2589.88,2558.39,1091.82,47733.24,3739.40,3693.93,6574.77,47999.21,885274.00,42274.00,243.95,283.90,274.00
24,2601.37,2568.63,1093.21,47942.04,3756.00,3708.72,6607.93,48203.43,581277.50,21277.50,160.01,274.00,277.50
25,2578.18,2542.32,1084.16,47613.95,3722.51,3670.73,6602.68,47851.99,10283266.30,108266.30,2740.96,277.50,266.30
26,?,?,?,?,?,?,?,?,?,?,?,266.30,?
27,?,?,?,?,?,?,?,?,?,?,?,?,?
28,2558.56,2521.50,1079.13,47324.06,3694.19,3640.67,6592.42,47553.14,765262.80,60262.80,202.25,?,262.80
29,2560.73,2524.36,1078.99,47328.40,3697.32,3644.80,6585.65,47565.10,431260.20,34260.20,112.49,262.80,260.20
30,2532.09,2496.15,1071.11,46917.19,3655.96,3604.07,6398.24,47113.08,2678250.50,87250.50,674.64,260.20,250.50
31,2522.74,2492.76,1070.81,46840.15,3642.47,3599.17,6346.89,47011.43,6079251.00,72251.00,1526.21,250.50,251.00
32,2529.59,2499.19,1073.47,46945.58,3652.36,3608.45,6358.58,47121.08,30817249.00,59249.00,7692.38,251.00,249.00
33,?,?,?,?,?,?,?,?,?,?,?,249.00,?
34,?,?,?,?,?,?,?,?,?,?,?,?,?
35,2502.46,2469.73,1061.01,46556.55,3613.18,3565.92,6358.77,46735.25,5555252.40,46252.40,1389.48,?,252.40
36,2517.38,2485.25,1066.05,46674.78,3634.73,3588.33,6410.02,46862.43,1295260.00,48260.00,332.90,252.40,260.00
37,2486.34,2455.47,1054.01,46149.14,3589.91,3545.34,6389.46,46341.54,3689257.00,24257.00,951.19,260.00,257.00
38,2495.53,2467.45,1057.65,46329.66,3603.17,3562.63,6445.36,46512.72,1263262.00,47262.00,329.14,257.00,262.00
39,2520.06,2495.42,1068.97,46741.54,3638.59,3603.02,6483.61,46931.40,5098270.00,71270.00,1367.65,262.00,270.00
40,?,?,?,?,?,?,?,?,?,?,?,270.00,?
41,?,?,?,?,?,?,?,?,?,?,?,?,?
42,2524.86,2497.88,1067.80,46786.74,3645.53,3606.56,6472.05,46988.04,1153268.00,39268.00,309.30,?,268.00
43,2492.15,2470.48,1038.81,46399.26,3598.29,3567.01,6478.54,46564.61,54296266.00,29266.00,14497.44,268.00,266.00
