%310
@RELATION PLAMBRA00013
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-SPOZYW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,3718.83,48389.84,2835.52,58578.12,228.12,47.69,?,8.12
3,783.15,48222.72,3696.13,48505.50,2832.46,45868.09,148.09,36.99,8.12,8.09
4,781.69,47888.16,3651.18,48143.94,2814.73,9858.02,78.02,7.89,8.09,8.02
5,?,?,?,?,?,?,?,?,8.02,?
6,?,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,3642.19,47820.24,2793.31,21097.95,177.95,16.73,?,7.95
8,780.70,47379.63,3576.33,47624.67,2790.64,8297.85,67.85,6.51,7.95,7.85
9,784.82,47407.28,3508.84,47668.58,2784.62,5597.80,67.80,4.35,7.85,7.80
10,788.85,47546.91,3558.48,47798.66,2800.96,15497.77,87.77,12.20,7.80,7.77
11,795.36,47440.80,3558.82,47690.97,2815.88,7817.81,77.81,6.08,7.77,7.81
12,?,?,?,?,?,?,?,?,7.81,?
13,?,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,3578.44,47724.95,2820.74,61188.00,1018.00,48.68,?,8.00
15,794.59,47086.54,3558.20,47346.41,2817.16,674807.95,137.95,539.98,8.00,7.95
16,796.34,47521.39,3558.19,47794.60,2825.40,205798.09,138.09,164.17,7.95,8.09
17,803.56,47661.37,3543.16,47936.81,2848.09,49168.33,178.33,40.60,8.09,8.33
18,807.72,47813.69,3562.92,48104.67,2864.72,128568.35,238.35,107.74,8.33,8.35
19,?,?,?,?,?,?,?,?,8.35,?
20,?,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,3699.59,48184.37,2890.14,80528.40,218.40,67.20,?,8.40
22,808.23,47872.80,3655.10,48127.89,2892.80,8548.35,98.35,7.14,8.40,8.35
23,808.40,47733.24,3659.94,47999.21,2890.57,28178.20,158.20,22.79,8.35,8.20
24,811.80,47942.04,3700.17,48203.43,2898.85,24278.39,148.39,20.33,8.20,8.39
25,812.99,47613.95,3718.94,47851.99,2897.93,56178.39,138.39,47.13,8.39,8.39
26,?,?,?,?,?,?,?,?,8.39,?
27,?,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,3735.07,47553.14,2886.17,101798.37,228.37,85.51,?,8.37
29,815.93,47328.40,3714.68,47565.10,2878.58,44628.37,158.37,36.34,8.37,8.37
30,815.59,46917.19,3756.63,47113.08,2876.68,19308.30,48.30,16.11,8.37,8.30
31,817.14,46840.15,3809.65,47011.43,2880.57,31858.15,108.15,26.25,8.30,8.15
32,818.68,46945.58,3793.66,47121.08,2883.81,8168.35,68.35,6.57,8.15,8.35
33,?,?,?,?,?,?,?,?,8.35,?
34,?,?,?,?,?,?,?,?,?,?
