%310
@RELATION PLTRAST00020
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?
2,2835.52,8800.17,60.17,0.15,?,0.17
3,2832.46,30020.17,30.17,0.48,0.17,0.17
4,2814.73,2094110.15,260.15,29.91,0.17,0.15
5,?,?,?,?,0.15,?
6,?,?,?,?,?,?
7,2793.31,116660.15,50.15,1.73,?,0.15
8,2790.64,41610.16,30.16,0.62,0.15,0.16
9,2784.62,140020.16,60.16,2.10,0.16,0.16
10,2800.96,100020.16,40.16,1.50,0.16,0.16
11,2815.88,100020.16,30.16,1.50,0.16,0.16
12,?,?,?,?,0.16,?
13,?,?,?,?,?,?
14,2820.74,467020.16,100.16,7.07,?,0.16
15,2817.16,105010.16,60.16,1.62,0.16,0.16
16,2825.40,20.16,20.16,0.00,0.16,0.16
17,2848.09,416960.17,100.17,6.67,0.16,0.17
18,2864.72,55020.17,70.17,0.89,0.17,0.17
19,?,?,?,?,0.17,?
20,?,?,?,?,?,?
21,2890.14,298280.17,90.17,4.86,?,0.17
22,2892.80,128670.17,40.17,2.18,0.17,0.17
23,2890.57,11520.17,40.17,0.18,0.17,0.17
24,2898.85,10.17,10.17,0.00,0.17,0.17
25,2897.93,17936940.18,1000.18,329.36,0.17,0.18
26,?,?,?,?,0.18,?
27,?,?,?,?,?,?
28,2886.17,1506380.19,160.19,28.37,?,0.19
29,2878.58,654010.18,100.18,11.13,0.19,0.18
30,2876.68,312830.17,90.17,5.32,0.18,0.17
31,2880.57,425070.16,60.16,6.80,0.17,0.16
32,2883.81,133510.17,60.17,2.10,0.16,0.17
33,?,?,?,?,0.17,?
34,?,?,?,?,?,?
35,2856.17,10.17,10.17,0.00,?,0.17
36,2843.49,75480.15,60.15,1.21,0.17,0.15
37,2811.05,241560.17,110.17,4.00,0.15,0.17
38,2815.91,37020.17,40.17,0.61,0.17,0.17
39,2825.70,10020.17,30.17,0.17,0.17,0.17
40,?,?,?,?,0.17,?
41,?,?,?,?,?,?
42,2826.84,20.17,20.17,0.00,?,0.17
43,2821.25,32330.17,50.17,0.53,0.17,0.17
