%310
@RELATION PLORZBL00013
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?
2,48107.89,48389.84,2835.52,362616.01,2116.01,58.85,?,16.01
3,48222.72,48505.50,2832.46,22316.10,516.10,3.57,16.01,16.10
4,47888.16,48143.94,2814.73,200315.62,2115.62,30.46,16.10,15.62
5,?,?,?,?,?,?,15.62,?
6,?,?,?,?,?,?,?,?
7,47589.33,47820.24,2793.31,315.62,115.62,0.05,?,15.62
8,47379.63,47624.67,2790.64,133115.00,1715.00,20.19,15.62,15.00
9,47407.28,47668.58,2784.62,23215.36,515.36,3.46,15.00,15.36
10,47546.91,47798.66,2800.96,5215.62,215.62,0.81,15.36,15.62
11,47440.80,47690.97,2815.88,74015.55,315.55,11.51,15.62,15.55
12,?,?,?,?,?,?,15.55,?
13,?,?,?,?,?,?,?,?
14,47470.12,47724.95,2820.74,18015.50,315.50,2.79,?,15.50
15,47086.54,47346.41,2817.16,22915.45,415.45,3.54,15.50,15.45
16,47521.39,47794.60,2825.40,38515.45,615.45,5.95,15.45,15.45
17,47661.37,47936.81,2848.09,8315.45,315.45,1.28,15.45,15.45
18,47813.69,48104.67,2864.72,73615.40,915.40,11.32,15.45,15.40
19,?,?,?,?,?,?,15.40,?
20,?,?,?,?,?,?,?,?
21,47936.61,48184.37,2890.14,24115.95,615.95,3.77,?,15.95
22,47872.80,48127.89,2892.80,3179816.39,1816.39,508.64,15.95,16.39
23,47733.24,47999.21,2890.57,16116.39,316.39,2.64,16.39,16.39
24,47942.04,48203.43,2898.85,59116.99,716.99,9.66,16.39,16.99
25,47613.95,47851.99,2897.93,1896917.02,2117.02,321.14,16.99,17.02
26,?,?,?,?,?,?,17.02,?
27,?,?,?,?,?,?,?,?
28,47324.06,47553.14,2886.17,41317.02,1017.02,7.03,?,17.02
29,47328.40,47565.10,2878.58,168417.00,2517.00,27.74,17.02,17.00
30,46917.19,47113.08,2876.68,517.02,117.02,0.09,17.00,17.02
31,46840.15,47011.43,2880.57,50816.96,416.96,8.25,17.02,16.96
32,46945.58,47121.08,2883.81,138816.90,1416.90,23.55,16.96,16.90
33,?,?,?,?,?,?,16.90,?
34,?,?,?,?,?,?,?,?
35,46556.55,46735.25,2856.17,3616.90,116.90,0.61,?,16.90
36,46674.78,46862.43,2843.49,45516.90,516.90,7.69,16.90,16.90
37,46149.14,46341.54,2811.05,63516.70,1016.70,10.57,16.90,16.70
38,46329.66,46512.72,2815.91,2176916.35,1916.35,349.82,16.70,16.35
39,46741.54,46931.40,2825.70,9116.35,616.35,1.47,16.35,16.35
40,?,?,?,?,?,?,16.35,?
41,?,?,?,?,?,?,?,?
42,46786.74,46988.04,2826.84,116.35,116.35,0.02,?,16.35
43,46399.26,46564.61,2821.25,32516.35,616.35,5.27,16.35,16.35
44,46406.74,46569.81,2825.02,216.35,116.35,0.03,16.35,16.35
45,46211.54,46360.51,2825.15,116.35,116.35,0.02,16.35,16.35
46,46370.13,46523.63,2838.22,61016.02,816.02,9.90,16.35,16.02
47,?,?,?,?,?,?,16.02,?
48,?,?,?,?,?,?,?,?
49,46508.27,46665.39,2848.48,35416.57,616.57,5.72,?,16.57
50,46490.89,46652.19,2843.90,60516.40,816.40,9.95,16.57,16.40
51,46051.76,46198.42,2831.71,52116.30,1116.30,8.42,16.40,16.30
52,45879.90,46050.52,2801.83,472915.93,915.93,76.75,16.30,15.93
53,45948.12,46124.82,2817.57,489716.84,1416.84,78.32,15.93,16.84
54,?,?,?,?,?,?,16.84,?
55,?,?,?,?,?,?,?,?
56,46286.28,46487.05,2840.57,598016.70,1516.70,99.20,?,16.70
57,45868.35,46065.85,2831.16,21734316.89,1316.89,3629.36,16.70,16.89
58,46241.92,46459.99,2855.69,5090416.90,1316.90,850.28,16.89,16.90
59,46280.36,46510.83,2865.27,5015516.75,416.75,837.60,16.90,16.75
60,46341.14,46622.90,2859.05,23716.75,516.75,3.92,16.75,16.75
61,?,?,?,?,?,?,16.75,?
62,?,?,?,?,?,?,?,?
63,46137.70,46454.13,2860.68,13916.60,516.60,2.29,?,16.60
64,46676.09,47001.38,2868.06,2429716.20,2816.20,394.10,16.60,16.20
65,46762.65,47090.49,2872.90,658216.34,1316.34,105.85,16.20,16.34
66,46745.26,47060.66,2873.49,5079016.44,816.44,834.82,16.34,16.44
67,47074.39,47436.21,2906.74,861016.50,1416.50,141.18,16.44,16.50
68,?,?,?,?,?,?,16.50,?
69,?,?,?,?,?,?,?,?
70,46933.03,47269.75,2914.24,47016.64,716.64,7.81,?,16.64
71,47010.40,47340.43,2911.38,161216.94,1616.94,26.74,16.64,16.94
72,46888.37,47235.72,2901.67,1410417.30,4017.30,241.16,16.94,17.30
73,47223.68,47606.16,2912.13,2736417.50,4917.50,479.40,17.30,17.50
