%310
@RELATION PL4FNMD00013
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-MEDIA NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,2710.26,48389.84,2835.52,165419.98,2719.98,33.11,?,19.98
3,783.15,48222.72,2698.71,48505.50,2832.46,14620.46,520.46,2.96,19.98,20.46
4,781.69,47888.16,2695.86,48143.94,2814.73,290120.15,1520.15,58.24,20.46,20.15
5,?,?,?,?,?,?,?,?,20.15,?
6,?,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,2663.04,47820.24,2793.31,43720.04,520.04,8.76,?,20.04
8,780.70,47379.63,2620.57,47624.67,2790.64,154020.35,1720.35,30.95,20.04,20.35
9,784.82,47407.28,2619.40,47668.58,2784.62,23520.30,520.30,4.79,20.35,20.30
10,788.85,47546.91,2677.70,47798.66,2800.96,92620.47,920.47,18.90,20.30,20.47
11,795.36,47440.80,2696.86,47690.97,2815.88,21720.40,420.40,4.24,20.47,20.40
12,?,?,?,?,?,?,?,?,20.40,?
13,?,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,2672.08,47724.95,2820.74,524320.11,820.11,106.40,?,20.11
15,794.59,47086.54,2690.48,47346.41,2817.16,327520.39,1120.39,66.43,20.11,20.39
16,796.34,47521.39,2744.45,47794.60,2825.40,446520.39,2120.39,93.18,20.39,20.39
17,803.56,47661.37,2771.35,47936.81,2848.09,198621.94,1621.94,42.78,20.39,21.94
18,807.72,47813.69,2772.18,48104.67,2864.72,168922.03,1622.03,37.75,21.94,22.03
19,?,?,?,?,?,?,?,?,22.03,?
20,?,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,2757.38,48184.37,2890.14,31823.10,523.10,7.32,?,23.10
22,808.23,47872.80,2736.45,48127.89,2892.80,112422.50,1322.50,25.22,23.10,22.50
23,808.40,47733.24,2683.43,47999.21,2890.57,85622.10,1522.10,18.48,22.50,22.10
24,811.80,47942.04,2707.85,48203.43,2898.85,591722.50,1122.50,128.95,22.10,22.50
25,812.99,47613.95,2697.00,47851.99,2897.93,17422.10,122.10,3.85,22.50,22.10
26,?,?,?,?,?,?,?,?,22.10,?
27,?,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,2704.07,47553.14,2886.17,2873622.45,1022.45,645.18,?,22.45
29,815.93,47328.40,2673.73,47565.10,2878.58,21622.70,222.70,4.90,22.45,22.70
30,815.59,46917.19,2682.83,47113.08,2876.68,291123.49,1823.49,67.50,22.70,23.49
31,817.14,46840.15,2642.41,47011.43,2880.57,36523.60,323.60,8.61,23.49,23.60
32,818.68,46945.58,2651.70,47121.08,2883.81,221724.65,1824.65,52.61,23.60,24.65
33,?,?,?,?,?,?,?,?,24.65,?
34,?,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,2642.00,46735.25,2856.17,102524.00,1724.00,24.64,?,24.00
36,816.68,46674.78,2621.95,46862.43,2843.49,140224.00,1524.00,33.62,24.00,24.00
37,813.75,46149.14,2583.33,46341.54,2811.05,4624.25,524.25,1.12,24.00,24.25
38,811.13,46329.66,2569.88,46512.72,2815.91,69823.33,1323.33,16.61,24.25,23.33
39,813.77,46741.54,2575.59,46931.40,2825.70,20023.10,723.10,4.66,23.33,23.10
40,?,?,?,?,?,?,?,?,23.10,?
41,?,?,?,?,?,?,?,?,?,?
42,817.03,46786.74,2617.30,46988.04,2826.84,10523.50,323.50,2.47,?,23.50
43,817.32,46399.26,2620.19,46564.61,2821.25,92123.12,923.12,21.42,23.50,23.12
44,817.35,46406.74,2595.28,46569.81,2825.02,30523.49,623.49,7.08,23.12,23.49
45,818.81,46211.54,2556.98,46360.51,2825.15,423.49,223.49,0.09,23.49,23.49
46,826.73,46370.13,2566.54,46523.63,2838.22,70122.99,1322.99,16.16,23.49,22.99
47,?,?,?,?,?,?,?,?,22.99,?
48,?,?,?,?,?,?,?,?,?,?
49,830.85,46508.27,2593.85,46665.39,2848.48,6323.39,323.39,1.46,?,23.39
50,832.30,46490.89,2591.45,46652.19,2843.90,4123.39,223.39,0.96,23.39,23.39
51,830.62,46051.76,2578.63,46198.42,2831.71,13123.39,523.39,3.07,23.39,23.39
52,823.32,45879.90,2578.03,46050.52,2801.83,416421.99,2721.99,90.76,23.39,21.99
53,826.66,45948.12,2604.97,46124.82,2817.57,125921.10,1421.10,27.12,21.99,21.10
54,?,?,?,?,?,?,?,?,21.10,?
55,?,?,?,?,?,?,?,?,?,?
56,829.61,46286.28,2625.95,46487.05,2840.57,254320.64,2720.64,52.14,?,20.64
57,828.81,45868.35,2621.52,46065.85,2831.16,324220.65,1520.65,65.05,20.64,20.65
58,836.69,46241.92,2638.60,46459.99,2855.69,72120.49,1420.49,14.54,20.65,20.49
59,844.08,46280.36,2641.23,46510.83,2865.27,178120.47,2720.47,35.71,20.49,20.47
60,842.02,46341.14,2657.32,46622.90,2859.05,264819.88,1519.88,51.98,20.47,19.88
61,?,?,?,?,?,?,?,?,19.88,?
62,?,?,?,?,?,?,?,?,?,?
63,838.26,46137.70,2647.93,46454.13,2860.68,242218.61,3218.61,45.70,?,18.61
64,845.88,46676.09,2665.87,47001.38,2868.06,487120.17,4720.17,96.04,18.61,20.17
