%310
@RELATION PLPLPGR00010
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-DEWEL NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,1438.45,48389.84,2835.52,?,?,?,?,?
3,783.15,48222.72,1422.15,48505.50,2832.46,?,?,?,?,?
4,781.69,47888.16,1424.57,48143.94,2814.73,?,?,?,?,?
5,?,?,?,?,?,?,?,?,?,?
6,?,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,1408.87,47820.24,2793.31,?,?,?,?,?
8,780.70,47379.63,1416.22,47624.67,2790.64,?,?,?,?,?
9,784.82,47407.28,1418.24,47668.58,2784.62,?,?,?,?,?
10,788.85,47546.91,1427.00,47798.66,2800.96,?,?,?,?,?
11,795.36,47440.80,1431.50,47690.97,2815.88,?,?,?,?,?
12,?,?,?,?,?,?,?,?,?,?
13,?,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,1429.59,47724.95,2820.74,?,?,?,?,?
15,794.59,47086.54,1424.03,47346.41,2817.16,?,?,?,?,?
16,796.34,47521.39,1459.06,47794.60,2825.40,?,?,?,?,?
17,803.56,47661.37,1480.62,47936.81,2848.09,?,?,?,?,?
18,807.72,47813.69,1463.04,48104.67,2864.72,?,?,?,?,?
19,?,?,?,?,?,?,?,?,?,?
20,?,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,1473.28,48184.37,2890.14,?,?,?,?,?
22,808.23,47872.80,1474.10,48127.89,2892.80,?,?,?,?,?
23,808.40,47733.24,1466.26,47999.21,2890.57,?,?,?,?,?
24,811.80,47942.04,1462.14,48203.43,2898.85,?,?,?,?,?
25,812.99,47613.95,1453.75,47851.99,2897.93,?,?,?,?,?
26,?,?,?,?,?,?,?,?,?,?
27,?,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,1428.40,47553.14,2886.17,?,?,?,?,?
29,815.93,47328.40,1414.71,47565.10,2878.58,?,?,?,?,?
30,815.59,46917.19,1409.63,47113.08,2876.68,?,?,?,?,?
31,817.14,46840.15,1412.77,47011.43,2880.57,?,?,?,?,?
32,818.68,46945.58,1424.75,47121.08,2883.81,?,?,?,?,?
33,?,?,?,?,?,?,?,?,?,?
34,?,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,1376.74,46735.25,2856.17,?,?,?,?,?
36,816.68,46674.78,1376.05,46862.43,2843.49,?,?,?,?,?
37,813.75,46149.14,1368.56,46341.54,2811.05,?,?,?,?,?
38,811.13,46329.66,1379.50,46512.72,2815.91,?,?,?,?,?
39,813.77,46741.54,1389.85,46931.40,2825.70,?,?,?,?,?
40,?,?,?,?,?,?,?,?,?,?
41,?,?,?,?,?,?,?,?,?,?
42,817.03,46786.74,1393.28,46988.04,2826.84,?,?,?,?,?
43,817.32,46399.26,1383.89,46564.61,2821.25,?,?,?,?,?
44,817.35,46406.74,1354.82,46569.81,2825.02,?,?,?,?,?
45,818.81,46211.54,1313.43,46360.51,2825.15,?,?,?,?,?
46,826.73,46370.13,1349.87,46523.63,2838.22,?,?,?,?,?
47,?,?,?,?,?,?,?,?,?,?
48,?,?,?,?,?,?,?,?,?,?
49,830.85,46508.27,1365.73,46665.39,2848.48,?,?,?,?,?
50,832.30,46490.89,1352.40,46652.19,2843.90,?,?,?,?,?
51,830.62,46051.76,1342.16,46198.42,2831.71,?,?,?,?,?
52,823.32,45879.90,1322.82,46050.52,2801.83,?,?,?,?,?
53,826.66,45948.12,1345.82,46124.82,2817.57,?,?,?,?,?
54,?,?,?,?,?,?,?,?,?,?
55,?,?,?,?,?,?,?,?,?,?
56,829.61,46286.28,1357.55,46487.05,2840.57,?,?,?,?,?
57,828.81,45868.35,1359.10,46065.85,2831.16,?,?,?,?,?
58,836.69,46241.92,1359.06,46459.99,2855.69,?,?,?,?,?
59,844.08,46280.36,1354.30,46510.83,2865.27,?,?,?,?,?
60,842.02,46341.14,1347.19,46622.90,2859.05,?,?,?,?,?
61,?,?,?,?,?,?,?,?,?,?
62,?,?,?,?,?,?,?,?,?,?
63,838.26,46137.70,1363.77,46454.13,2860.68,?,?,?,?,?
64,845.88,46676.09,1397.73,47001.38,2868.06,?,?,?,?,?
65,849.88,46762.65,1387.52,47090.49,2872.90,?,?,?,?,?
66,855.99,46745.26,1372.44,47060.66,2873.49,?,?,?,?,?
67,861.67,47074.39,1370.33,47436.21,2906.74,?,?,?,?,?
68,?,?,?,?,?,?,?,?,?,?
69,?,?,?,?,?,?,?,?,?,?
70,863.89,46933.03,1396.97,47269.75,2914.24,?,?,?,?,?
71,866.79,47010.40,1423.31,47340.43,2911.38,?,?,?,?,?
72,872.90,46888.37,1423.72,47235.72,2901.67,?,?,?,?,?
73,871.52,47223.68,1436.51,47606.16,2912.13,?,?,?,?,?
74,873.21,47125.93,1431.31,47522.10,2909.77,?,?,?,?,?
75,?,?,?,?,?,?,?,?,?,?
76,?,?,?,?,?,?,?,?,?,?
77,868.37,46668.41,1419.01,47094.18,2900.59,?,?,?,?,?
78,864.73,46029.35,1400.23,46473.62,2868.24,?,?,?,?,?
79,862.97,46068.24,1396.66,46511.62,2874.75,?,?,?,?,?
80,850.86,45580.47,1372.60,46017.88,2833.61,?,?,?,?,?
81,845.32,45066.18,1354.95,45473.08,2800.67,?,?,?,?,?
82,?,?,?,?,?,?,?,?,?,?
83,?,?,?,?,?,?,?,?,?,?
84,839.36,44585.10,1336.25,44946.32,2780.21,?,?,?,?,?
85,830.80,44724.88,1334.81,45119.16,2774.13,?,?,?,?,?
86,835.51,45247.90,1332.17,45644.09,2785.46,?,?,?,?,?
87,839.42,45147.57,1335.61,45528.85,2797.31,?,?,?,?,?
88,?,?,?,?,?,?,?,?,?,?
89,?,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?
92,840.31,45304.74,1342.68,45679.51,2814.33,?,?,?,?,?
93,828.79,44604.61,1315.67,44940.36,2769.02,?,?,?,?,?
94,824.35,44623.89,1312.91,44980.62,2766.19,?,?,?,?,?
95,819.73,44597.66,1319.91,44960.02,2760.91,?,?,?,?,?
96,?,?,?,?,?,?,?,?,?,?
97,?,?,?,?,?,?,?,?,?,?
98,818.75,44590.97,1329.86,44963.96,2764.28,?,?,?,?,?
99,815.74,44725.03,1322.63,45096.35,2767.26,?,?,?,?,?
100,820.16,45091.63,1341.74,45495.34,2780.21,?,?,?,?,?
101,824.04,45688.48,1350.66,46131.66,2794.43,?,?,?,?,?
102,819.29,45525.92,1356.50,45960.10,2783.53,?,?,?,?,?
103,?,?,?,?,?,?,?,?,?,?
104,?,?,?,?,?,?,?,?,?,?
105,814.07,44724.14,1314.18,45167.65,2754.91,?,?,?,?,?
106,?,?,?,?,?,?,?,?,?,?
107,796.68,43916.24,1291.19,44404.81,2705.88,?,?,?,?,?
108,787.39,43364.70,1280.02,43850.06,2695.55,?,?,?,?,?
109,783.37,43447.75,1280.06,43993.98,2685.57,?,?,?,?,?
110,?,?,?,?,?,?,?,?,?,?
111,?,?,?,?,?,?,?,?,?,?
112,776.37,43360.30,1292.08,43892.82,2660.28,?,?,?,?,?
113,769.16,43159.57,1277.53,43707.88,2624.40,?,?,?,?,?
114,769.82,43356.73,1283.16,43908.95,2636.70,?,?,?,?,?
115,774.88,43482.18,1295.48,44027.03,2658.57,?,?,?,?,?
116,777.86,43665.21,1299.40,44226.06,2669.93,?,?,?,?,?
117,?,?,?,?,?,?,?,?,?,?
118,?,?,?,?,?,?,?,?,?,?
119,779.98,43882.16,1311.59,44420.22,2685.14,?,?,?,?,?
120,784.81,44162.18,1303.66,44653.34,2704.84,?,?,?,?,?
121,?,?,?,?,?,?,?,?,?,?
122,787.45,43991.51,1274.69,44466.89,2695.22,?,?,?,?,?
123,?,?,?,?,?,?,?,?,?,?
124,?,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?,?
126,786.57,44541.73,1283.84,45060.80,2714.72,?,?,?,?,?
127,793.09,44742.22,1301.78,45244.29,2733.96,?,?,?,?,?
128,798.10,45117.94,1318.36,45647.76,2752.14,?,?,?,?,?
129,800.71,44943.16,1323.45,45475.08,2760.20,?,?,?,?,?
130,800.42,44895.35,1326.21,45408.06,2769.85,?,?,?,?,?
131,?,?,?,?,?,?,?,?,?,?
132,?,?,?,?,?,?,?,?,?,?
133,802.74,45207.84,1330.79,45746.01,2790.62,?,?,?,?,?
134,804.49,45771.11,1313.36,46336.62,2822.41,?,?,?,?,?
135,802.28,46102.42,1324.54,46676.61,2848.38,?,?,?,?,?
136,806.45,45992.03,1332.96,46581.16,2871.70,?,?,?,?,?
137,810.69,46078.68,1345.72,46646.58,2885.19,?,?,?,?,?
138,?,?,?,?,?,?,?,?,?,?
139,?,?,?,?,?,?,?,?,?,?
140,815.60,46041.35,1341.55,46615.31,2921.95,?,?,?,?,?
141,819.76,45851.80,1351.99,46439.10,2893.12,?,?,?,?,?
142,818.82,45933.66,1344.81,46529.96,2912.70,?,?,?,?,?
143,814.69,45687.76,1350.88,46311.26,2894.53,?,?,?,?,?
144,820.11,46145.44,1393.25,46783.61,2929.62,?,?,?,?,?
145,?,?,?,?,?,?,?,?,?,?
146,?,?,?,?,?,?,?,?,?,?
147,828.12,47277.10,1431.34,47957.54,2976.83,?,?,?,?,?
148,838.40,47579.87,1444.94,48258.02,2997.81,?,?,?,?,?
149,842.72,47476.64,1464.18,48138.07,3000.58,?,?,?,?,?
150,?,?,?,?,?,?,?,?,?,?
151,841.72,47806.34,1471.74,48503.87,2994.25,?,?,?,?,?
152,?,?,?,?,?,?,?,?,?,?
153,?,?,?,?,?,?,?,?,?,?
154,839.57,47175.79,1461.53,47868.36,2970.24,?,?,?,?,?
155,854.67,47620.68,1476.35,48323.88,2998.79,?,?,?,?,?
156,859.35,47805.94,1489.88,48513.29,3026.87,?,?,?,?,?
157,864.95,47573.66,1469.75,48259.19,3020.15,?,?,?,?,?
158,866.67,48209.65,1514.93,48918.37,3044.38,?,?,?,?,?
159,?,?,?,?,?,?,?,?,?,?
160,?,?,?,?,?,?,?,?,?,?
161,870.65,48495.01,1524.65,49207.65,3065.91,?,?,?,?,?
162,870.60,48324.52,1551.97,49050.96,3074.89,?,?,?,?,?
163,878.91,48383.93,1598.45,49098.70,3098.83,?,?,?,?,?
164,877.48,48152.82,1595.96,48890.47,3089.32,?,?,?,?,?
165,880.65,48273.42,1585.79,49057.66,3092.65,?,?,?,?,?
166,?,?,?,?,?,?,?,?,?,?
167,?,?,?,?,?,?,?,?,?,?
168,883.59,48131.61,1583.00,48917.56,3100.24,?,?,?,?,?
169,886.71,48119.72,1588.25,48891.04,3120.39,?,?,?,?,?
170,885.25,47743.10,1571.15,48509.84,3122.21,?,?,?,?,?
171,864.38,45870.00,1544.23,46587.68,3038.18,?,?,?,?,?
172,855.18,44732.92,1507.70,45456.77,3001.68,?,?,?,?,?
173,?,?,?,?,?,?,?,?,?,?
174,?,?,?,?,?,?,?,?,?,?
175,857.74,44824.62,1501.45,45531.46,2990.89,?,?,?,?,?
176,863.23,44966.09,1503.06,45672.10,2999.31,8695210.27,2360.27,228.20,?,0.27
177,858.05,44893.99,1492.93,45601.51,2972.55,2457570.25,700.25,62.66,0.27,0.25
178,847.97,43667.37,1472.46,44326.49,2915.58,837670.24,350.24,20.30,0.25,0.24
179,848.08,44747.79,1476.14,45442.51,2948.80,182040.25,100.25,4.56,0.24,0.25
180,?,?,?,?,?,?,?,?,0.25,?
181,?,?,?,?,?,?,?,?,?,?
182,848.80,44769.00,1492.65,45461.06,2963.91,1426450.25,400.25,32.79,?,0.25
183,853.37,45533.94,1495.04,46254.71,2981.48,1317480.22,400.22,29.22,0.25,0.22
184,850.45,45184.98,1487.37,45899.36,2971.57,1113420.20,550.20,22.54,0.22,0.20
185,855.94,45613.75,1499.27,46344.42,2988.19,222710.22,150.22,4.58,0.20,0.22
186,851.88,45110.89,1482.20,45805.34,2977.06,601330.21,220.21,13.17,0.22,0.21
187,?,?,?,?,?,?,?,?,0.21,?
188,?,?,?,?,?,?,?,?,?,?
189,849.30,44534.34,1474.90,45172.40,2948.16,88860.20,80.20,1.85,?,0.20
190,842.60,44342.23,1456.02,44969.23,2924.69,793300.23,340.23,18.41,0.20,0.23
191,844.03,45068.55,1468.88,45727.71,2962.09,217800.22,130.22,4.75,0.23,0.22
192,845.84,45712.72,1484.29,46390.36,2992.86,622740.23,140.23,14.82,0.22,0.23
193,849.99,46150.78,1481.99,46839.89,3017.66,1424990.21,400.21,30.18,0.23,0.21
194,?,?,?,?,?,?,?,?,0.21,?
195,?,?,?,?,?,?,?,?,?,?
196,850.04,46218.05,1489.11,46922.43,3022.70,2350070.19,600.19,45.47,?,0.19
197,847.84,46155.10,1489.88,46860.35,3017.11,2450640.18,560.18,41.78,0.19,0.18
198,845.85,46287.08,1499.74,47003.76,3021.27,422310.18,150.18,7.60,0.18,0.18
199,845.70,46221.23,1491.54,46919.83,3023.16,231940.18,90.18,4.01,0.18,0.18
200,848.06,46399.74,1495.90,47120.88,3019.85,262460.19,130.19,4.73,0.18,0.19
201,?,?,?,?,?,?,?,?,0.19,?
202,?,?,?,?,?,?,?,?,?,?
203,849.27,46361.70,1484.19,47075.43,3021.70,92590.18,130.18,1.67,?,0.18
204,852.44,46714.43,1494.62,47454.90,3029.97,100010.19,60.19,1.90,0.18,0.19
205,858.02,46835.98,1489.09,47575.74,3050.63,5460.19,60.19,0.10,0.19,0.19
206,858.31,46713.02,1474.03,47446.69,3036.16,1330.19,60.19,0.02,0.19,0.19
207,858.83,46258.91,1469.58,46981.22,3015.00,178240.19,120.19,3.21,0.19,0.19
208,?,?,?,?,?,?,?,?,0.19,?
209,?,?,?,?,?,?,?,?,?,?
210,862.18,46480.62,1481.47,47214.30,3032.94,362410.19,130.19,6.70,?,0.19
211,870.15,46663.41,1464.82,47398.08,3038.42,150110.19,40.19,2.84,0.19,0.19
212,878.25,46925.65,1472.71,47676.43,3046.08,229080.19,110.19,4.13,0.19,0.19
213,881.30,47370.81,1481.84,48147.76,3060.17,2000.19,20.19,0.04,0.19,0.19
214,884.10,48325.33,1499.33,49133.14,3110.79,355060.19,110.19,6.43,0.19,0.19
215,?,?,?,?,?,?,?,?,0.19,?
216,?,?,?,?,?,?,?,?,?,?
217,891.59,48458.44,1492.08,49272.86,3127.41,310010.19,60.19,5.78,?,0.19
218,891.86,47942.81,1487.96,48742.34,3127.38,136870.19,90.19,2.60,0.19,0.19
219,898.91,48306.55,1495.92,49124.78,3168.23,60010.20,30.20,1.14,0.19,0.20
220,903.85,48862.88,1508.03,49700.18,3190.86,1024700.21,320.21,20.67,0.20,0.21
221,909.96,49125.36,1513.10,49994.77,3206.86,3782950.26,1030.26,90.44,0.21,0.26
222,?,?,?,?,?,?,?,?,0.26,?
223,?,?,?,?,?,?,?,?,?,?
224,918.93,49580.16,1510.53,50476.37,3225.79,2588940.25,620.25,68.49,?,0.25
225,922.16,49747.66,1507.50,50646.05,3233.22,718840.27,170.27,18.57,0.25,0.27
226,928.58,50223.95,1512.82,51152.95,3271.49,801040.26,300.26,19.96,0.27,0.26
227,?,?,?,?,?,?,?,?,0.26,?
228,928.83,49976.48,1502.62,50906.11,3253.28,1721770.27,300.27,45.39,?,0.27
229,?,?,?,?,?,?,?,?,0.27,?
230,?,?,?,?,?,?,?,?,?,?
231,919.57,49772.46,1499.73,50713.14,3237.31,1689600.23,370.23,40.93,?,0.23
232,914.58,49162.16,1472.26,50077.30,3210.57,1107750.22,320.22,23.55,0.23,0.22
233,920.30,49128.05,1477.77,50032.45,3221.87,161400.24,90.24,3.53,0.22,0.24
234,931.73,49846.48,1471.70,50780.47,3260.69,183150.25,130.25,4.54,0.24,0.25
235,930.27,49895.10,1463.61,50836.47,3260.35,769590.25,160.25,19.16,0.25,0.25
236,?,?,?,?,?,?,?,?,0.25,?
237,?,?,?,?,?,?,?,?,?,?
238,927.73,49818.48,1468.33,50756.86,3255.45,181960.24,120.24,4.31,?,0.24
239,921.40,48833.58,1447.65,49731.02,3197.48,87110.23,60.23,2.00,0.24,0.23
240,919.00,48537.65,1440.74,49421.50,3183.87,220020.22,80.22,4.91,0.23,0.22
241,924.88,48676.45,1465.81,49569.11,3204.20,266100.23,60.23,5.86,0.22,0.23
242,925.91,48871.98,1440.79,49771.98,3196.27,30240.23,60.23,0.67,0.23,0.23
243,?,?,?,?,?,?,?,?,0.23,?
244,?,?,?,?,?,?,?,?,?,?
245,929.89,49187.22,1458.21,50099.55,3230.20,106300.23,40.23,2.23,?,0.23
246,926.93,48968.87,1451.26,49861.54,3226.75,131820.21,70.21,2.84,0.23,0.21
247,918.91,47919.09,1426.01,48781.63,3174.71,126430.22,70.22,2.70,0.21,0.22
248,890.19,45830.66,1364.15,46598.42,3061.25,204320.20,140.20,4.05,0.22,0.20
249,902.70,46717.04,1375.61,47514.09,3142.61,1310.22,80.22,0.03,0.20,0.22
250,?,?,?,?,?,?,?,?,0.22,?
251,?,?,?,?,?,?,?,?,?,?
252,916.76,47808.90,1385.20,48651.54,3199.68,135160.21,90.21,2.84,?,0.21
253,931.39,48961.51,1408.19,49839.90,3256.85,220.22,40.22,0.00,0.21,0.22
254,934.25,49437.02,1422.23,50312.63,3285.29,107240.21,80.21,2.17,0.22,0.21
