%310
@RELATION PLENAP000010
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-BUDOW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,1718.26,48389.84,271130.96,200.96,25.23,?,0.96
3,783.15,48222.72,1714.83,48505.50,53200.98,80.98,5.15,0.96,0.98
4,781.69,47888.16,1719.23,48143.94,362311.01,261.01,36.12,0.98,1.01
5,?,?,?,?,?,?,?,1.01,?
6,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,1719.82,47820.24,138761.03,111.03,14.23,?,1.03
8,780.70,47379.63,1714.18,47624.67,891.02,21.02,0.09,1.03,1.02
9,784.82,47407.28,1722.98,47668.58,11.02,11.02,0.00,1.02,1.02
10,788.85,47546.91,1717.51,47798.66,68301.03,131.03,6.92,1.02,1.03
11,795.36,47440.80,1761.65,47690.97,594680.97,430.97,57.69,1.03,0.97
12,?,?,?,?,?,?,?,0.97,?
13,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,1787.10,47724.95,255790.99,140.99,25.05,?,0.99
15,794.59,47086.54,1789.24,47346.41,10.99,10.99,0.00,0.99,0.99
16,796.34,47521.39,1813.57,47794.60,159550.98,130.98,15.42,0.99,0.98
17,803.56,47661.37,1796.76,47936.81,220231.01,161.01,21.72,0.98,1.01
18,807.72,47813.69,1830.45,48104.67,71720.98,80.98,7.03,1.01,0.98
19,?,?,?,?,?,?,?,0.98,?
20,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,1829.00,48184.37,97271.01,81.01,9.61,?,1.01
22,808.23,47872.80,1822.02,48127.89,65940.99,110.99,6.60,1.01,0.99
23,808.40,47733.24,1819.73,47999.21,724481.04,501.04,74.97,0.99,1.04
24,811.80,47942.04,1794.79,48203.43,945301.05,541.05,102.87,1.04,1.05
25,812.99,47613.95,1818.33,47851.99,984811.09,391.09,105.75,1.05,1.09
26,?,?,?,?,?,?,?,1.09,?
27,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,1811.61,47553.14,1272121.18,731.18,144.30,?,1.18
29,815.93,47328.40,1804.79,47565.10,744111.17,711.17,88.24,1.18,1.17
30,815.59,46917.19,1825.50,47113.08,1085941.24,681.24,131.48,1.17,1.24
31,817.14,46840.15,1817.11,47011.43,1383141.32,851.32,174.15,1.24,1.32
32,818.68,46945.58,1834.26,47121.08,1395461.25,831.25,180.67,1.32,1.25
33,?,?,?,?,?,?,?,1.25,?
