%310
@RELATION PLMCIMG00012
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
80,11069.03,45580.47,46017.88,2833.61,2244417.11,4047.11,1577.99,7.40,7.11
81,10908.77,45066.18,45473.08,2800.67,918086.96,1996.96,633.23,7.11,6.96
82,?,?,?,?,?,?,?,6.96,?
83,?,?,?,?,?,?,?,?,?
84,10899.26,44585.10,44946.32,2780.21,2826916.74,4216.74,1894.78,?,6.74
85,10815.43,44724.88,45119.16,2774.13,1188446.50,2716.50,768.49,6.74,6.50
86,10867.86,45247.90,45644.09,2785.46,663276.66,1376.66,442.41,6.50,6.66
87,10938.55,45147.57,45528.85,2797.31,583496.65,946.65,388.45,6.66,6.65
88,?,?,?,?,?,?,?,6.65,?
89,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?
92,10998.70,45304.74,45679.51,2814.33,93076.75,436.75,61.97,?,6.75
93,10809.87,44604.61,44940.36,2769.02,659656.70,1016.70,436.88,6.75,6.70
94,10817.23,44623.89,44980.62,2766.19,366826.63,1036.63,242.97,6.70,6.63
95,10803.99,44597.66,44960.02,2760.91,203316.65,526.65,135.22,6.63,6.65
96,?,?,?,?,?,?,?,6.65,?
97,?,?,?,?,?,?,?,?,?
98,10819.93,44590.97,44963.96,2764.28,277746.73,686.73,186.22,?,6.73
99,10820.89,44725.03,45096.35,2767.26,379516.76,906.76,258.49,6.73,6.76
100,10845.27,45091.63,45495.34,2780.21,492566.85,1116.85,338.83,6.76,6.85
101,10908.65,45688.48,46131.66,2794.43,370576.96,746.96,256.87,6.85,6.96
102,10807.45,45525.92,45960.10,2783.53,979177.11,1787.11,695.31,6.96,7.11
103,?,?,?,?,?,?,?,7.11,?
104,?,?,?,?,?,?,?,?,?
105,10663.67,44724.14,45167.65,2754.91,471677.10,1297.10,331.66,?,7.10
106,?,?,?,?,?,?,?,7.10,?
107,10431.02,43916.24,44404.81,2705.88,510496.70,1876.70,347.09,?,6.70
108,10415.53,43364.70,43850.06,2695.55,566186.71,1116.71,378.22,6.70,6.71
109,10373.60,43447.75,43993.98,2685.57,213336.79,466.79,143.99,6.71,6.79
110,?,?,?,?,?,?,?,6.79,?
