%310
@RELATION PLFAM0000012
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?
2,2835.52,89391.42,121.42,12.94,?,1.42
3,2832.46,16011.47,21.47,2.34,1.42,1.47
4,2814.73,80001.45,31.45,11.51,1.47,1.45
5,?,?,?,?,1.45,?
6,?,?,?,?,?,?
7,2793.31,110001.42,91.42,15.77,?,1.42
8,2790.64,29241.42,41.42,4.17,1.42,1.42
9,2784.62,102961.40,81.40,14.41,1.42,1.40
10,2800.96,148151.39,111.39,20.41,1.40,1.39
11,2815.88,26951.46,31.46,3.82,1.39,1.46
12,?,?,?,?,1.46,?
13,?,?,?,?,?,?
14,2820.74,109931.44,51.44,15.83,?,1.44
15,2817.16,57011.41,51.41,8.00,1.44,1.41
16,2825.40,01.41,01.41,0.00,1.41,1.41
17,2848.09,130651.42,121.42,18.76,1.41,1.42
18,2864.72,52401.44,41.44,7.54,1.42,1.44
19,?,?,?,?,1.44,?
20,?,?,?,?,?,?
21,2890.14,217121.44,141.44,31.39,?,1.44
22,2892.80,331501.47,221.47,48.63,1.44,1.47
23,2890.57,281691.54,341.54,42.82,1.47,1.54
24,2898.85,53311.54,81.54,8.19,1.54,1.54
25,2897.93,256301.55,251.55,39.33,1.54,1.55
26,?,?,?,?,1.55,?
27,?,?,?,?,?,?
28,2886.17,301451.50,121.50,45.87,?,1.50
29,2878.58,20701.50,31.50,3.11,1.50,1.50
30,2876.68,156861.49,101.49,23.53,1.50,1.49
31,2880.57,38001.49,21.49,5.66,1.49,1.49
32,2883.81,57531.48,51.48,8.52,1.49,1.48
33,?,?,?,?,1.48,?
34,?,?,?,?,?,?
35,2856.17,69241.48,61.48,10.25,?,1.48
36,2843.49,126331.47,91.47,18.12,1.48,1.47
37,2811.05,2001.47,11.47,0.29,1.47,1.47
38,2815.91,81361.46,71.46,11.50,1.47,1.46
39,2825.70,25001.41,11.41,3.53,1.46,1.41
40,?,?,?,?,1.41,?
41,?,?,?,?,?,?
42,2826.84,47001.45,71.45,6.68,?,1.45
43,2821.25,171301.38,221.38,24.14,1.45,1.38
44,2825.02,28961.37,51.37,4.01,1.38,1.37
45,2825.15,150731.35,101.35,20.59,1.37,1.35
46,2838.22,75001.35,51.35,10.13,1.35,1.35
47,?,?,?,?,1.35,?
48,?,?,?,?,?,?
49,2848.48,107401.31,61.31,14.06,?,1.31
50,2843.90,323851.36,121.36,42.16,1.31,1.36
51,2831.71,738081.34,491.34,93.07,1.36,1.34
52,2801.83,111011.33,71.33,14.56,1.34,1.33
53,2817.57,29451.33,81.33,3.78,1.33,1.33
54,?,?,?,?,1.33,?
55,?,?,?,?,?,?
56,2840.57,39571.33,51.33,5.21,?,1.33
57,2831.16,31801.30,21.30,4.15,1.33,1.30
58,2855.69,21601.39,41.39,2.87,1.30,1.39
59,2865.27,91951.36,101.36,12.47,1.39,1.36
60,2859.05,164641.38,111.38,22.05,1.36,1.38
61,?,?,?,?,1.38,?
62,?,?,?,?,?,?
63,2860.68,69201.38,91.38,9.54,?,1.38
64,2868.06,58121.35,21.35,7.85,1.38,1.35
65,2872.90,130021.38,41.38,17.58,1.35,1.38
66,2873.49,245691.37,151.37,33.51,1.38,1.37
67,2906.74,60601.37,61.37,8.30,1.37,1.37
68,?,?,?,?,1.37,?
69,?,?,?,?,?,?
70,2914.24,504191.46,381.46,70.57,?,1.46
71,2911.38,354671.40,301.40,51.30,1.46,1.40
72,2901.67,359511.41,171.41,50.82,1.40,1.41
73,2912.13,306741.43,131.43,43.16,1.41,1.43
74,2909.77,65581.46,121.46,9.53,1.43,1.46
75,?,?,?,?,1.46,?
76,?,?,?,?,?,?
77,2900.59,59971.45,31.45,8.59,?,1.45
78,2868.24,41001.46,61.46,5.95,1.45,1.46
79,2874.75,61751.44,101.44,8.87,1.46,1.44
80,2833.61,140941.45,121.45,20.00,1.44,1.45
81,2800.67,894471.47,681.47,132.63,1.45,1.47
82,?,?,?,?,1.47,?
83,?,?,?,?,?,?
84,2780.21,228731.45,161.45,33.17,?,1.45
85,2774.13,129381.47,131.47,18.64,1.45,1.47
86,2785.46,570151.46,461.46,84.21,1.47,1.46
87,2797.31,895211.50,591.50,134.32,1.46,1.50
88,?,?,?,?,1.50,?
89,?,?,?,?,?,?
90,?,?,?,?,?,?
91,?,?,?,?,?,?
92,2814.33,171001.53,201.53,26.10,?,1.53
93,2769.02,81411.50,141.50,12.30,1.53,1.50
94,2766.19,129711.51,191.51,19.13,1.50,1.51
95,2760.91,78341.49,91.49,11.53,1.51,1.49
