%310
@RELATION PLMSTEX00017
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-BUDOW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,1718.26,48389.84,2835.52,4950380.35,710.35,170.50,?,0.35
3,783.15,48222.72,1714.83,48505.50,2832.46,5183730.37,840.37,188.19,0.35,0.37
4,781.69,47888.16,1719.23,48143.94,2814.73,3587620.37,540.37,133.98,0.37,0.37
5,?,?,?,?,?,?,?,?,0.37,?
6,?,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,1719.82,47820.24,2793.31,8881010.37,820.37,332.11,?,0.37
8,780.70,47379.63,1714.18,47624.67,2790.64,11855040.35,1480.35,421.01,0.37,0.35
9,784.82,47407.28,1722.98,47668.58,2784.62,1640430.35,430.35,57.44,0.35,0.35
10,788.85,47546.91,1717.51,47798.66,2800.96,979920.35,370.35,34.30,0.35,0.35
11,795.36,47440.80,1761.65,47690.97,2815.88,4541120.34,800.34,154.45,0.35,0.34
12,?,?,?,?,?,?,?,?,0.34,?
13,?,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,1787.10,47724.95,2820.74,4712270.34,810.34,156.04,?,0.34
15,794.59,47086.54,1789.24,47346.41,2817.16,4905410.32,980.32,160.23,0.34,0.32
16,796.34,47521.39,1813.57,47794.60,2825.40,5638760.32,760.32,179.40,0.32,0.32
17,803.56,47661.37,1796.76,47936.81,2848.09,3932560.32,450.32,126.03,0.32,0.32
18,807.72,47813.69,1830.45,48104.67,2864.72,695650.33,160.33,22.58,0.32,0.33
19,?,?,?,?,?,?,?,?,0.33,?
20,?,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,1829.00,48184.37,2890.14,3059320.33,490.33,98.11,?,0.33
22,808.23,47872.80,1822.02,48127.89,2892.80,2102170.32,400.32,66.99,0.33,0.32
23,808.40,47733.24,1819.73,47999.21,2890.57,2236310.32,490.32,72.18,0.32,0.32
24,811.80,47942.04,1794.79,48203.43,2898.85,2997180.31,410.31,93.37,0.32,0.31
25,812.99,47613.95,1818.33,47851.99,2897.93,4429470.30,540.30,136.97,0.31,0.30
26,?,?,?,?,?,?,?,?,0.30,?
27,?,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,1811.61,47553.14,2886.17,1406230.30,420.30,42.62,?,0.30
29,815.93,47328.40,1804.79,47565.10,2878.58,1345620.30,410.30,40.30,0.30,0.30
30,815.59,46917.19,1825.50,47113.08,2876.68,861330.30,270.30,25.84,0.30,0.30
31,817.14,46840.15,1817.11,47011.43,2880.57,3602900.31,450.31,110.35,0.30,0.31
32,818.68,46945.58,1834.26,47121.08,2883.81,5191740.33,890.33,169.73,0.31,0.33
33,?,?,?,?,?,?,?,?,0.33,?
34,?,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,1819.69,46735.25,2856.17,1482680.32,360.32,48.18,?,0.32
36,816.68,46674.78,1784.50,46862.43,2843.49,173770.32,110.32,5.55,0.32,0.32
37,813.75,46149.14,1779.66,46341.54,2811.05,1103100.32,250.32,34.36,0.32,0.32
38,811.13,46329.66,1758.77,46512.72,2815.91,421030.32,120.32,13.07,0.32,0.32
