%310
@RELATION PLTOYA000011
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?
2,48107.89,48389.84,2835.52,34202.40,42.40,8.21,?,2.40
3,48222.72,48505.50,2832.46,02.40,02.40,0.00,2.40,2.40
4,47888.16,48143.94,2814.73,89212.22,82.22,19.29,2.40,2.22
5,?,?,?,?,?,?,2.22,?
6,?,?,?,?,?,?,?,?
7,47589.33,47820.24,2793.31,02.22,02.22,0.00,?,2.22
8,47379.63,47624.67,2790.64,02.22,02.22,0.00,2.22,2.22
9,47407.28,47668.58,2784.62,02.22,02.22,0.00,2.22,2.22
10,47546.91,47798.66,2800.96,10002.18,32.18,2.19,2.22,2.18
11,47440.80,47690.97,2815.88,02.18,02.18,0.00,2.18,2.18
12,?,?,?,?,?,?,2.18,?
13,?,?,?,?,?,?,?,?
14,47470.12,47724.95,2820.74,02.18,02.18,0.00,?,2.18
15,47086.54,47346.41,2817.16,02.18,02.18,0.00,2.18,2.18
16,47521.39,47794.60,2825.40,1202.15,22.15,0.26,2.18,2.15
17,47661.37,47936.81,2848.09,5942.15,12.15,1.28,2.15,2.15
18,47813.69,48104.67,2864.72,02.15,02.15,0.00,2.15,2.15
19,?,?,?,?,?,?,2.15,?
20,?,?,?,?,?,?,?,?
21,47936.61,48184.37,2890.14,02.15,02.15,0.00,?,2.15
22,47872.80,48127.89,2892.80,02.15,02.15,0.00,2.15,2.15
23,47733.24,47999.21,2890.57,152.20,12.20,0.03,2.15,2.20
24,47942.04,48203.43,2898.85,02.20,02.20,0.00,2.20,2.20
25,47613.95,47851.99,2897.93,39202.25,32.25,8.81,2.20,2.25
26,?,?,?,?,?,?,2.25,?
27,?,?,?,?,?,?,?,?
28,47324.06,47553.14,2886.17,7052.15,22.15,1.54,?,2.15
29,47328.40,47565.10,2878.58,02.15,02.15,0.00,2.15,2.15
30,46917.19,47113.08,2876.68,02.15,02.15,0.00,2.15,2.15
31,46840.15,47011.43,2880.57,40512.30,32.30,9.14,2.15,2.30
32,46945.58,47121.08,2883.81,31392.39,12.39,7.50,2.30,2.39
33,?,?,?,?,?,?,2.39,?
34,?,?,?,?,?,?,?,?
35,46556.55,46735.25,2856.17,13432.48,42.48,3.28,?,2.48
36,46674.78,46862.43,2843.49,11452.51,62.51,2.87,2.48,2.51
37,46149.14,46341.54,2811.05,952.51,32.51,0.24,2.51,2.51
38,46329.66,46512.72,2815.91,3092.39,12.39,0.74,2.51,2.39
39,46741.54,46931.40,2825.70,5352.49,32.49,1.31,2.39,2.49
40,?,?,?,?,?,?,2.49,?
41,?,?,?,?,?,?,?,?
42,46786.74,46988.04,2826.84,02.49,02.49,0.00,?,2.49
43,46399.26,46564.61,2821.25,02.49,02.49,0.00,2.49,2.49
44,46406.74,46569.81,2825.02,762.49,12.49,0.19,2.49,2.49
45,46211.54,46360.51,2825.15,762.48,12.48,0.19,2.49,2.48
46,46370.13,46523.63,2838.22,55602.49,72.49,13.73,2.48,2.49
47,?,?,?,?,?,?,2.49,?
48,?,?,?,?,?,?,?,?
49,46508.27,46665.39,2848.48,02.49,02.49,0.00,?,2.49
50,46490.89,46652.19,2843.90,02.49,02.49,0.00,2.49,2.49
51,46051.76,46198.42,2831.71,02.49,02.49,0.00,2.49,2.49
52,45879.90,46050.52,2801.83,32002.51,32.51,7.77,2.49,2.51
53,45948.12,46124.82,2817.57,02.51,02.51,0.00,2.51,2.51
54,?,?,?,?,?,?,2.51,?
55,?,?,?,?,?,?,?,?
56,46286.28,46487.05,2840.57,02.51,02.51,0.00,?,2.51
57,45868.35,46065.85,2831.16,02.51,02.51,0.00,2.51,2.51
58,46241.92,46459.99,2855.69,02.51,02.51,0.00,2.51,2.51
59,46280.36,46510.83,2865.27,02.51,02.51,0.00,2.51,2.51
60,46341.14,46622.90,2859.05,40002.50,22.50,9.86,2.51,2.50
61,?,?,?,?,?,?,2.50,?
62,?,?,?,?,?,?,?,?
63,46137.70,46454.13,2860.68,02.50,02.50,0.00,?,2.50
64,46676.09,47001.38,2868.06,02.50,02.50,0.00,2.50,2.50
65,46762.65,47090.49,2872.90,02.50,02.50,0.00,2.50,2.50
66,46745.26,47060.66,2873.49,02.50,02.50,0.00,2.50,2.50
67,47074.39,47436.21,2906.74,10002.50,32.50,2.50,2.50,2.50
68,?,?,?,?,?,?,2.50,?
69,?,?,?,?,?,?,?,?
70,46933.03,47269.75,2914.24,20002.49,12.49,4.98,?,2.49
71,47010.40,47340.43,2911.38,174002.49,62.49,43.23,2.49,2.49
72,46888.37,47235.72,2901.67,02.49,02.49,0.00,2.49,2.49
73,47223.68,47606.16,2912.13,02.49,02.49,0.00,2.49,2.49
74,47125.93,47522.10,2909.77,02.49,02.49,0.00,2.49,2.49
75,?,?,?,?,?,?,2.49,?
76,?,?,?,?,?,?,?,?
77,46668.41,47094.18,2900.59,02.49,02.49,0.00,?,2.49
78,46029.35,46473.62,2868.24,02.49,02.49,0.00,2.49,2.49
79,46068.24,46511.62,2874.75,02.49,02.49,0.00,2.49,2.49
80,45580.47,46017.88,2833.61,502.45,12.45,0.12,2.49,2.45
81,45066.18,45473.08,2800.67,02.45,02.45,0.00,2.45,2.45
82,?,?,?,?,?,?,2.45,?
83,?,?,?,?,?,?,?,?
84,44585.10,44946.32,2780.21,72332.49,92.49,17.54,?,2.49
85,44724.88,45119.16,2774.13,53002.48,32.48,13.08,2.49,2.48
86,45247.90,45644.09,2785.46,310002.49,122.49,76.74,2.48,2.49
87,45147.57,45528.85,2797.31,17472.59,22.59,4.45,2.49,2.59
88,?,?,?,?,?,?,2.59,?
89,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?
92,45304.74,45679.51,2814.33,10002.59,22.59,2.59,?,2.59
93,44604.61,44940.36,2769.02,1502.39,12.39,0.36,2.59,2.39
94,44623.89,44980.62,2766.19,5002.59,12.59,1.30,2.39,2.59
95,44597.66,44960.02,2760.91,02.59,02.59,0.00,2.59,2.59
96,?,?,?,?,?,?,2.59,?
97,?,?,?,?,?,?,?,?
98,44590.97,44963.96,2764.28,02.59,02.59,0.00,?,2.59
99,44725.03,45096.35,2767.26,02.59,02.59,0.00,2.59,2.59
100,45091.63,45495.34,2780.21,02.59,02.59,0.00,2.59,2.59
101,45688.48,46131.66,2794.43,02.59,02.59,0.00,2.59,2.59
102,45525.92,45960.10,2783.53,02.59,02.59,0.00,2.59,2.59
103,?,?,?,?,?,?,2.59,?
104,?,?,?,?,?,?,?,?
105,44724.14,45167.65,2754.91,02.59,02.59,0.00,?,2.59
106,?,?,?,?,?,?,2.59,?
107,43916.24,44404.81,2705.88,5002.59,12.59,1.30,?,2.59
108,43364.70,43850.06,2695.55,02.59,02.59,0.00,2.59,2.59
109,43447.75,43993.98,2685.57,02.59,02.59,0.00,2.59,2.59
110,?,?,?,?,?,?,2.59,?
111,?,?,?,?,?,?,?,?
112,43360.30,43892.82,2660.28,5002.55,12.55,1.28,?,2.55
113,43159.57,43707.88,2624.40,202.50,12.50,0.05,2.55,2.50
114,43356.73,43908.95,2636.70,112082.65,72.65,29.23,2.50,2.65
115,43482.18,44027.03,2658.57,177602.37,92.37,45.85,2.65,2.37
116,43665.21,44226.06,2669.93,92262.64,82.64,23.57,2.37,2.64
117,?,?,?,?,?,?,2.64,?
118,?,?,?,?,?,?,?,?
119,43882.16,44420.22,2685.14,165002.65,42.65,43.45,?,2.65
120,44162.18,44653.34,2704.84,741002.60,212.60,187.56,2.65,2.60
121,?,?,?,?,?,?,2.60,?
122,43991.51,44466.89,2695.22,166662.60,72.60,43.14,?,2.60
123,?,?,?,?,?,?,2.60,?
124,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?
126,44541.73,45060.80,2714.72,238232.60,172.60,58.86,?,2.60
127,44742.22,45244.29,2733.96,80002.60,62.60,20.44,2.60,2.60
128,45117.94,45647.76,2752.14,02.60,02.60,0.00,2.60,2.60
129,44943.16,45475.08,2760.20,02.60,02.60,0.00,2.60,2.60
130,44895.35,45408.06,2769.85,02.60,02.60,0.00,2.60,2.60
131,?,?,?,?,?,?,2.60,?
132,?,?,?,?,?,?,?,?
133,45207.84,45746.01,2790.62,02.60,02.60,0.00,?,2.60
134,45771.11,46336.62,2822.41,02.60,02.60,0.00,2.60,2.60
135,46102.42,46676.61,2848.38,129772.60,52.60,33.48,2.60,2.60
136,45992.03,46581.16,2871.70,1642602.73,472.73,441.47,2.60,2.73
137,46078.68,46646.58,2885.19,145243.10,123.10,42.39,2.73,3.10
138,?,?,?,?,?,?,3.10,?
139,?,?,?,?,?,?,?,?
140,46041.35,46615.31,2921.95,949593.30,323.30,287.93,?,3.30
141,45851.80,46439.10,2893.12,37803.30,63.30,12.48,3.30,3.30
142,45933.66,46529.96,2912.70,124993.22,93.22,38.50,3.30,3.22
143,45687.76,46311.26,2894.53,227343.34,183.34,72.56,3.22,3.34
144,46145.44,46783.61,2929.62,76893.41,143.41,25.87,3.34,3.41
