%310
@RELATION PLMRVPL00016
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?
2,2835.52,7519.60,49.60,7.21,?,9.60
3,2832.46,2009.51,39.51,1.90,9.60,9.51
4,2814.73,1809.51,49.51,1.71,9.51,9.51
5,?,?,?,?,9.51,?
6,?,?,?,?,?,?
7,2793.31,4039.50,49.50,3.83,?,9.50
8,2790.64,09.50,09.50,0.00,9.50,9.50
9,2784.62,2359.35,59.35,2.19,9.50,9.35
10,2800.96,09.35,09.35,0.00,9.35,9.35
11,2815.88,4519.35,59.35,4.05,9.35,9.35
12,?,?,?,?,9.35,?
13,?,?,?,?,?,?
14,2820.74,2159.30,49.30,1.97,?,9.30
15,2817.16,3149.30,69.30,2.92,9.30,9.30
16,2825.40,4279.00,79.00,3.83,9.30,9.00
17,2848.09,9308.90,88.90,8.29,9.00,8.90
18,2864.72,5009.10,89.10,4.47,8.90,9.10
19,?,?,?,?,9.10,?
20,?,?,?,?,?,?
21,2890.14,5509.10,119.10,4.88,?,9.10
22,2892.80,4368.70,88.70,3.93,9.10,8.70
23,2890.57,5989.10,99.10,5.40,8.70,9.10
24,2898.85,1959.10,39.10,1.77,9.10,9.10
25,2897.93,2039.25,59.25,1.85,9.10,9.25
26,?,?,?,?,9.25,?
27,?,?,?,?,?,?
28,2886.17,13249.15,139.15,11.75,?,9.15
29,2878.58,2029.14,29.14,1.85,9.15,9.14
30,2876.68,8349.00,79.00,7.26,9.14,9.00
31,2880.57,2649.00,69.00,2.36,9.00,9.00
32,2883.81,11618.98,68.98,9.93,9.00,8.98
33,?,?,?,?,8.98,?
34,?,?,?,?,?,?
35,2856.17,2428.55,38.55,2.09,?,8.55
