%310
@RELATION PLPKN0000018
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG30 NUMERIC 
@ATTRIBUTE WIG20 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE RESPECT NUMERIC 
@ATTRIBUTE WIG30TR NUMERIC 
@ATTRIBUTE WIG20TR NUMERIC 
@ATTRIBUTE WIG-PALIWA NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
53,2468.34,2437.24,45948.12,2447.21,3563.91,3519.01,3855.76,46124.82,109161353.75,121153.75,58430.77,53.15,53.75
54,?,?,?,?,?,?,?,?,?,?,?,53.75,?
55,?,?,?,?,?,?,?,?,?,?,?,?,?
56,2485.01,2454.92,46286.28,2457.59,3587.99,3544.53,3909.51,46487.05,133426055.00,167255.00,73408.23,?,55.00
57,2458.58,2428.57,45868.35,2428.46,3549.82,3506.49,3782.19,46065.85,117007253.00,183453.00,62794.49,55.00,53.00
58,2481.27,2450.36,46241.92,2456.88,3582.59,3537.96,3822.08,46459.99,75659053.65,155153.65,40251.22,53.00,53.65
59,2483.07,2452.01,46280.36,2464.60,3585.19,3540.33,3849.49,46510.83,80603253.65,129153.65,43266.49,53.65,53.65
60,2494.13,2452.86,46341.14,2483.58,3601.15,3541.56,3897.45,46622.90,59486754.90,105954.90,32350.23,53.65,54.90
61,?,?,?,?,?,?,?,?,?,?,?,54.90,?
62,?,?,?,?,?,?,?,?,?,?,?,?,?
63,2483.53,2438.97,46137.70,2477.48,3585.84,3521.50,3862.04,46454.13,72154054.30,134354.30,39428.91,?,54.30
64,2515.78,2477.68,46676.09,2495.06,3632.41,3577.40,3949.24,47001.38,148045755.95,146255.95,81974.30,54.30,55.95
65,2519.46,2481.36,46762.65,2504.03,3637.73,3582.71,3976.58,47090.49,102712156.55,164456.55,57921.59,55.95,56.55
66,2516.92,2474.70,46745.26,2502.93,3634.06,3573.10,3958.73,47060.66,47137156.00,74656.00,26512.36,56.55,56.00
