%310
@RELATION PLKGNRC00015
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE RESPECT NUMERIC 
@ATTRIBUTE WIG-ENERG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
283,13589.27,51806.83,2650.07,3694.82,52744.48,3454.41,89968.60,1068.60,61.53,68.44,68.60
284,13638.56,52230.47,2661.10,3719.30,53193.87,3477.04,128366.22,2966.22,85.32,68.60,66.22
285,?,?,?,?,?,?,?,?,?,66.22,?
286,?,?,?,?,?,?,?,?,?,?,?
287,13701.85,52520.91,2675.90,3743.52,53498.97,3508.85,566.22,166.22,0.33,?,66.22
288,13824.94,52590.73,2683.73,3744.11,53588.87,3544.07,13667.52,467.52,9.02,66.22,67.52
289,13886.79,52861.41,2702.27,3769.61,53918.41,3548.14,12067.20,667.20,8.01,67.52,67.20
290,14155.74,52573.59,2679.30,3732.54,53571.90,3572.96,28066.25,2066.25,18.69,67.20,66.25
291,14253.72,52587.24,2678.15,3774.63,53572.92,3535.97,13766.00,1166.00,9.07,66.25,66.00
292,?,?,?,?,?,?,?,?,?,66.00,?
293,?,?,?,?,?,?,?,?,?,?,?
294,14459.56,53853.55,2745.49,3866.50,54903.39,3606.06,27367.72,667.72,18.31,?,67.72
295,14512.68,53781.81,2758.85,3930.93,54818.06,3615.60,783666.70,2266.70,522.64,67.72,66.70
296,14327.32,53389.74,2750.28,3892.49,54433.41,3596.10,14166.10,966.10,9.31,66.70,66.10
297,14572.10,53994.46,2782.11,3937.19,55063.75,3637.76,21166.59,1266.59,13.97,66.10,66.59
298,14753.57,53887.13,2761.93,3893.23,55023.42,3651.19,953466.50,1966.50,634.03,66.59,66.50
299,?,?,?,?,?,?,?,?,?,66.50,?
300,?,?,?,?,?,?,?,?,?,?,?
301,14896.01,54180.04,2780.66,3876.52,55362.19,3660.45,12566.10,2866.10,8.27,?,66.10
302,14994.44,54536.95,2786.77,3865.81,55688.45,3688.57,62566.70,2166.70,41.69,66.10,66.70
303,14942.82,54095.32,2758.82,3919.40,55240.01,3660.80,130264.85,2664.85,85.13,66.70,64.85
304,14928.63,53607.86,2721.32,3840.16,54734.18,3628.73,12965.50,465.50,8.50,64.85,65.50
305,?,?,?,?,?,?,?,?,?,65.50,?
306,?,?,?,?,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?,?,?,?,?
308,15023.33,53989.37,2737.86,3895.57,55121.60,3668.56,1010,9,66.21,?,66.69
309,14877.29,53504.47,2720.82,3792.45,54600.05,3645.18,313,6,20.57,66.69,65.65
310,14860.69,53924.01,2744.41,3830.02,55035.36,3650.27,9559,18,632.18,65.65,66.70
340,13476.564027366672,45857.110734846676,2323.629763133006,3061.5702730008984,47106.0108522239,3215.763816454578,?,?,?,?,?,? 
370,13789.514663168062,46189.882480874876,2315.374201792225,3050.7294141682396,47398.32393415799,3267.20146029432,?,?,?,?,?,? 
400,14102.465298969453,46522.654226903076,2307.1186404514447,3039.8885553355803,47690.63701609208,3318.639104134063,?,?,?,?,?,? 
490,15041.317206373624,47520.969464987684,2282.205621253367,3007.365978837604,48567.57626189435,3472.9520356532903,?,?,?,?,?,? 
670,16919.02102118197,49517.5999411569,2233.173889921581,2942.3208258416525,50321.45475349891,3781.5778986917467,?,?,?,?,?,? 
