%310
@RELATION PLKGNRC00015
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE RESPECT NUMERIC 
@ATTRIBUTE WIG-ENERG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
66,11042.08,46745.26,2502.93,3515.15,47060.66,2873.49,104268.00,1668.00,68.91,68.95,68.00
67,11119.06,47074.39,2543.21,3550.78,47436.21,2906.74,58968.00,1868.00,40.10,68.00,68.00
68,?,?,?,?,?,?,?,?,?,68.00,?
69,?,?,?,?,?,?,?,?,?,?,?
70,11133.10,46933.03,2522.52,3537.45,47269.75,2914.24,170067.50,3167.50,114.45,?,67.50
71,11150.86,47010.40,2517.65,3562.36,47340.43,2911.38,102767.35,5467.35,68.21,67.50,67.35
72,11194.08,46888.37,2503.94,3537.29,47235.72,2901.67,3167.70,2867.70,2.09,67.35,67.70
73,11231.22,47223.68,2532.24,3622.98,47606.16,2912.13,154768.50,7168.50,103.71,67.70,68.50
74,11228.39,47125.93,2511.47,3616.07,47522.10,2909.77,130568.50,3668.50,88.50,68.50,68.50
75,?,?,?,?,?,?,?,?,?,68.50,?
76,?,?,?,?,?,?,?,?,?,?,?
77,11190.20,46668.41,2495.62,3558.00,47094.18,2900.59,12568.50,768.50,8.57,?,68.50
78,11135.62,46029.35,2464.10,3506.68,46473.62,2868.24,133167.10,1267.10,90.22,68.50,67.10
79,11168.63,46068.24,2469.12,3453.21,46511.62,2874.75,8166.00,466.00,5.35,67.10,66.00
80,11069.03,45580.47,2438.71,3443.55,46017.88,2833.61,24566.20,966.20,16.21,66.00,66.20
81,10908.77,45066.18,2419.55,3407.51,45473.08,2800.67,57967.00,267.00,38.79,66.20,67.00
82,?,?,?,?,?,?,?,?,?,67.00,?
83,?,?,?,?,?,?,?,?,?,?,?
84,10899.26,44585.10,2366.31,3325.51,44946.32,2780.21,679966.50,1666.50,454.88,?,66.50
85,10815.43,44724.88,2370.58,3351.03,45119.16,2774.13,843064.00,2564.00,548.97,66.50,64.00
86,10867.86,45247.90,2408.57,3455.95,45644.09,2785.46,167264.50,964.50,107.83,64.00,64.50
87,10938.55,45147.57,2399.27,3441.46,45528.85,2797.31,33965.20,865.20,22.11,64.50,65.20
88,?,?,?,?,?,?,?,?,?,65.20,?
89,?,?,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?,?
92,10998.70,45304.74,2400.60,3413.77,45679.51,2814.33,206967.85,967.85,140.51,?,67.85
93,10809.87,44604.61,2358.53,3410.26,44940.36,2769.02,35366.00,666.00,23.33,67.85,66.00
94,10817.23,44623.89,2372.92,3374.55,44980.62,2766.19,24866.00,666.00,16.38,66.00,66.00
95,10803.99,44597.66,2366.71,3421.18,44960.02,2760.91,115066.80,666.80,76.72,66.00,66.80
96,?,?,?,?,?,?,?,?,?,66.80,?
97,?,?,?,?,?,?,?,?,?,?,?
98,10819.93,44590.97,2363.50,3413.86,44963.96,2764.28,41566.50,366.50,27.60,?,66.50
99,10820.89,44725.03,2366.79,3384.83,45096.35,2767.26,265.50,265.50,0.13,66.50,65.50
100,10845.27,45091.63,2381.73,3381.43,45495.34,2780.21,252665.50,1165.50,164.18,65.50,65.50
101,10908.65,45688.48,2424.99,3429.50,46131.66,2794.43,263665.00,565.00,171.36,65.50,65.00
102,10807.45,45525.92,2426.63,3424.65,45960.10,2783.53,165.00,165.00,0.07,65.00,65.00
103,?,?,?,?,?,?,?,?,?,65.00,?
104,?,?,?,?,?,?,?,?,?,?,?
105,10663.67,44724.14,2384.90,3370.12,45167.65,2754.91,111764.00,764.00,71.61,?,64.00
106,?,?,?,?,?,?,?,?,?,64.00,?
107,10431.02,43916.24,2368.24,3264.92,44404.81,2705.88,330762.05,2362.05,210.22,?,62.05
108,10415.53,43364.70,2329.94,3237.49,43850.06,2695.55,310861.40,861.40,190.78,62.05,61.40
109,10373.60,43447.75,2326.99,3239.08,43993.98,2685.57,176860.60,2460.60,107.84,61.40,60.60
110,?,?,?,?,?,?,?,?,?,60.60,?
111,?,?,?,?,?,?,?,?,?,?,?
112,10335.77,43360.30,2324.80,3233.68,43892.82,2660.28,221557.50,3657.50,128.32,?,57.50
113,10282.22,43159.57,2322.43,3206.69,43707.88,2624.40,65256.00,1556.00,36.73,57.50,56.00
114,10264.95,43356.73,2333.85,3235.20,43908.95,2636.70,117154.00,1754.00,62.88,56.00,54.00
115,10327.20,43482.18,2351.74,3280.68,44027.03,2658.57,94853.27,553.27,50.59,54.00,53.27
116,10407.26,43665.21,2347.25,3250.11,44226.06,2669.93,159550.05,1450.05,83.08,53.27,50.05
117,?,?,?,?,?,?,?,?,?,50.05,?
118,?,?,?,?,?,?,?,?,?,?,?
119,10465.41,43882.16,2352.08,3291.42,44420.22,2685.14,474045.52,11045.52,219.61,?,45.52
120,10511.46,44162.18,2365.51,3300.26,44653.34,2704.84,114146.26,2246.26,53.05,45.52,46.26
121,?,?,?,?,?,?,?,?,?,46.26,?
122,10554.34,43991.51,2371.23,3328.37,44466.89,2695.22,2247.45,347.45,1.02,?,47.45
123,?,?,?,?,?,?,?,?,?,47.45,?
124,?,?,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?,?,?
126,10605.72,44541.73,2405.15,3378.81,45060.80,2714.72,108847.45,1647.45,51.54,?,47.45
127,10618.63,44742.22,2406.38,3386.56,45244.29,2733.96,199647.00,3147.00,94.71,47.45,47.00
128,10692.81,45117.94,2431.87,3388.71,45647.76,2752.14,493249.00,4349.00,239.25,47.00,49.00
129,10714.80,44943.16,2432.74,3352.21,45475.08,2760.20,108149.50,3049.50,53.50,49.00,49.50
130,10758.03,44895.35,2418.77,3383.33,45408.06,2769.85,2177250.00,1850.00,1088.69,49.50,50.00
131,?,?,?,?,?,?,?,?,?,50.00,?
132,?,?,?,?,?,?,?,?,?,?,?
133,10762.74,45207.84,2429.59,3370.43,45746.01,2790.62,98553.30,2253.30,51.17,?,53.30
134,10819.27,45771.11,2464.03,3411.85,46336.62,2822.41,313757.08,2557.08,179.60,53.30,57.08
135,10913.18,46102.42,2475.71,3412.33,46676.61,2848.38,47954.30,1454.30,26.87,57.08,54.30
136,10976.80,45992.03,2482.49,3461.24,46581.16,2871.70,78754.00,1754.00,41.76,54.30,54.00
137,10991.63,46078.68,2496.00,3447.46,46646.58,2885.19,154.45,154.45,0.05,54.00,54.45
138,?,?,?,?,?,?,?,?,?,54.45,?
139,?,?,?,?,?,?,?,?,?,?,?
140,11070.23,46041.35,2490.85,3380.54,46615.31,2921.95,144255.00,2755.00,79.77,?,55.00
141,11089.17,45851.80,2463.54,3357.29,46439.10,2893.12,2244554.00,2554.00,1199.30,55.00,54.00
142,11082.19,45933.66,2469.68,3385.72,46529.96,2912.70,38955.07,755.07,21.54,54.00,55.07
143,11050.12,45687.76,2453.92,3313.88,46311.26,2894.53,44653.36,853.36,24.02,55.07,53.36
144,11130.47,46145.44,2484.35,3342.81,46783.61,2929.62,5655.89,355.89,3.04,53.36,55.89
145,?,?,?,?,?,?,?,?,?,55.89,?
146,?,?,?,?,?,?,?,?,?,?,?
147,11329.88,47277.10,2561.94,3443.31,47957.54,2976.83,93656.12,1156.12,52.29,?,56.12
148,11439.53,47579.87,2578.46,3460.41,48258.02,2997.81,11320355.96,1255.96,6334.96,56.12,55.96
149,11434.08,47476.64,2562.11,3509.52,48138.07,3000.58,5755.90,355.90,3.19,55.96,55.90
150,?,?,?,?,?,?,?,?,?,55.90,?
151,11518.87,47806.34,2578.05,3600.31,48503.87,2994.25,51256.30,956.30,28.90,?,56.30
152,?,?,?,?,?,?,?,?,?,56.30,?
153,?,?,?,?,?,?,?,?,?,?,?
154,11428.58,47175.79,2540.78,3544.18,47868.36,2970.24,5155.10,255.10,2.80,?,55.10
155,11527.78,47620.68,2555.93,3574.02,48323.88,2998.79,53956.61,1656.61,29.37,55.10,56.61
156,11566.33,47805.94,2580.38,3633.81,48513.29,3026.87,58055.56,755.56,32.78,56.61,55.56
157,11598.90,47573.66,2554.45,3530.87,48259.19,3020.15,156.20,156.20,0.06,55.56,56.20
158,11721.20,48209.65,2580.49,3538.48,48918.37,3044.38,212456.50,456.50,119.81,56.20,56.50
159,?,?,?,?,?,?,?,?,?,56.50,?
160,?,?,?,?,?,?,?,?,?,?,?
161,11855.82,48495.01,2587.96,3582.40,49207.65,3065.91,73455.25,1155.25,40.61,?,55.25
162,11906.69,48324.52,2579.42,3557.42,49050.96,3074.89,20754.60,554.60,11.34,55.25,54.60
163,12044.12,48383.93,2564.00,3525.86,49098.70,3098.83,34156.50,1156.50,19.09,54.60,56.50
164,11997.09,48152.82,2551.55,3516.09,48890.47,3089.32,24955.50,455.50,13.84,56.50,55.50
165,11980.74,48273.42,2554.84,3505.91,49057.66,3092.65,7956.21,456.21,4.40,55.50,56.21
166,?,?,?,?,?,?,?,?,?,56.21,?
167,?,?,?,?,?,?,?,?,?,?,?
168,11950.70,48131.61,2552.66,3503.94,48917.56,3100.24,32056.99,756.99,17.97,?,56.99
169,12001.25,48119.72,2541.67,3503.57,48891.04,3120.39,2517557.00,1057.00,1422.52,56.99,57.00
170,11995.61,47743.10,2537.78,3542.29,48509.84,3122.21,118556.00,1456.00,66.88,57.00,56.00
171,11755.38,45870.00,2447.48,3430.81,46587.68,3038.18,153554.01,1554.01,84.43,56.00,54.01
172,11698.05,44732.92,2351.03,3366.10,45456.77,3001.68,402954.00,1754.00,220.39,54.01,54.00
173,?,?,?,?,?,?,?,?,?,54.00,?
174,?,?,?,?,?,?,?,?,?,?,?
175,11694.70,44824.62,2350.17,3346.29,45531.46,2990.89,1645856.00,1756.00,920.76,?,56.00
176,11846.22,44966.09,2357.80,3274.94,45672.10,2999.31,185257.00,757.00,104.22,56.00,57.00
177,11772.39,44893.99,2333.53,3271.84,45601.51,2972.55,150357.00,657.00,85.67,57.00,57.00
178,11665.86,43667.37,2250.80,3088.69,44326.49,2915.58,19854.74,654.74,10.99,57.00,54.74
179,11716.43,44747.79,2334.15,3207.57,45442.51,2948.80,41755.91,1055.91,22.58,54.74,55.91
180,?,?,?,?,?,?,?,?,?,55.91,?
181,?,?,?,?,?,?,?,?,?,?,?
182,11756.83,44769.00,2346.58,3201.72,45461.06,2963.91,20055.00,155.00,11.00,?,55.00
183,11805.57,45533.94,2387.78,3247.58,46254.71,2981.48,436156.00,1156.00,238.83,55.00,56.00
184,11736.24,45184.98,2382.08,3225.89,45899.36,2971.57,688755.61,555.61,382.14,56.00,55.61
185,11820.50,45613.75,2398.24,3244.75,46344.42,2988.19,29355.81,655.81,16.38,55.61,55.81
186,11822.63,45110.89,2379.17,3219.53,45805.34,2977.06,180957.00,1557.00,102.55,55.81,57.00
187,?,?,?,?,?,?,?,?,?,57.00,?
188,?,?,?,?,?,?,?,?,?,?,?
189,11711.98,44534.34,2329.18,3124.92,45172.40,2948.16,13257.99,557.99,7.65,?,57.99
190,11610.73,44342.23,2329.35,3106.11,44969.23,2924.69,357.99,357.99,0.17,57.99,57.99
191,11643.94,45068.55,2370.74,3165.06,45727.71,2962.09,057.99,057.99,0.00,57.99,57.99
192,11739.32,45712.72,2399.69,3184.09,46390.36,2992.86,057.99,057.99,0.00,57.99,57.99
193,11784.60,46150.78,2414.72,3129.51,46839.89,3017.66,51257.45,457.45,29.10,57.99,57.45
194,?,?,?,?,?,?,?,?,?,57.45,?
195,?,?,?,?,?,?,?,?,?,?,?
196,11770.78,46218.05,2415.20,3109.48,46922.43,3022.70,657.45,257.45,0.34,?,57.45
197,11753.20,46155.10,2404.94,3140.34,46860.35,3017.11,9255.10,255.10,5.14,57.45,55.10
198,11768.81,46287.08,2417.44,3187.22,47003.76,3021.27,10154.40,554.40,5.50,55.10,54.40
199,11813.42,46221.23,2417.37,3170.04,46919.83,3023.16,556.75,256.75,0.28,54.40,56.75
200,11837.95,46399.74,2416.51,3190.83,47120.88,3019.85,8604256.75,456.75,4882.88,56.75,56.75
201,?,?,?,?,?,?,?,?,?,56.75,?
202,?,?,?,?,?,?,?,?,?,?,?
203,11864.19,46361.70,2396.23,3164.20,47075.43,3021.70,10254.65,554.65,5.54,?,54.65
204,11905.16,46714.43,2410.94,3186.76,47454.90,3029.97,1154.65,254.65,0.60,54.65,54.65
205,11975.99,46835.98,2432.91,3208.69,47575.74,3050.63,154.65,154.65,0.05,54.65,54.65
206,11939.68,46713.02,2419.35,3204.96,47446.69,3036.16,3055.30,355.30,1.64,54.65,55.30
207,11930.54,46258.91,2381.24,3161.68,46981.22,3015.00,60252.39,1152.39,32.95,55.30,52.39
208,?,?,?,?,?,?,?,?,?,52.39,?
209,?,?,?,?,?,?,?,?,?,?,?
210,11917.93,46480.62,2399.20,3202.70,47214.30,3032.94,8853.40,453.40,4.63,?,53.40
211,11914.45,46663.41,2395.38,3212.62,47398.08,3038.42,053.40,053.40,0.00,53.40,53.40
212,11934.08,46925.65,2406.95,3195.68,47676.43,3046.08,84551.50,1651.50,44.47,53.40,51.50
213,12025.60,47370.81,2423.45,3240.67,48147.76,3060.17,7953.00,253.00,4.19,51.50,53.00
214,12096.51,48325.33,2497.76,3326.15,49133.14,3110.79,42653.50,453.50,22.78,53.00,53.50
215,?,?,?,?,?,?,?,?,?,53.50,?
216,?,?,?,?,?,?,?,?,?,?,?
217,12181.61,48458.44,2503.49,3346.04,49272.86,3127.41,47155.35,1155.35,25.92,?,55.35
218,12213.07,47942.81,2488.24,3337.32,48742.34,3127.38,42256.79,1256.79,23.79,55.35,56.79
219,12294.72,48306.55,2509.90,3320.57,49124.78,3168.23,70257.00,1257.00,39.36,56.79,57.00
220,12425.78,48862.88,2531.42,3320.48,49700.18,3190.86,116358.40,2058.40,66.52,57.00,58.40
221,12524.35,49125.36,2525.23,3256.82,49994.77,3206.86,176158.50,2258.50,103.81,58.40,58.50
222,?,?,?,?,?,?,?,?,?,58.50,?
223,?,?,?,?,?,?,?,?,?,?,?
224,12613.68,49580.16,2552.44,3284.21,50476.37,3225.79,15258.71,458.71,8.91,?,58.71
225,12783.95,49747.66,2567.59,3312.53,50646.05,3233.22,69459.00,959.00,40.70,58.71,59.00
226,12961.14,50223.95,2588.79,3357.35,51152.95,3271.49,94360.00,960.00,56.46,59.00,60.00
227,?,?,?,?,?,?,?,?,?,60.00,?
228,12933.31,49976.48,2574.59,3331.08,50906.11,3253.28,4159.90,259.90,2.46,?,59.90
229,?,?,?,?,?,?,?,?,?,59.90,?
230,?,?,?,?,?,?,?,?,?,?,?
231,12877.73,49772.46,2578.29,3364.85,50713.14,3237.31,36259.90,559.90,21.56,?,59.90
232,12831.52,49162.16,2541.92,3287.19,50077.30,3210.57,22559.95,1059.95,13.35,59.90,59.95
233,12826.21,49128.05,2539.12,3272.91,50032.45,3221.87,18658.00,458.00,10.86,59.95,58.00
234,12985.38,49846.48,2592.17,3343.02,50780.47,3260.69,40560.00,1360.00,24.12,58.00,60.00
235,13050.37,49895.10,2582.43,3290.60,50836.47,3260.35,3260.00,160.00,1.92,60.00,60.00
236,?,?,?,?,?,?,?,?,?,60.00,?
237,?,?,?,?,?,?,?,?,?,?,?
238,13056.86,49818.48,2584.54,3263.92,50756.86,3255.45,1357.80,157.80,0.75,?,57.80
239,12781.02,48833.58,2530.18,3222.52,49731.02,3197.48,14857.11,657.11,8.52,57.80,57.11
240,12706.26,48537.65,2529.20,3270.58,49421.50,3183.87,157.11,157.11,0.06,57.11,57.11
241,12801.41,48676.45,2535.66,3320.91,49569.11,3204.20,559.00,159.00,0.30,57.11,59.00
242,12801.04,48871.98,2550.55,3440.96,49771.98,3196.27,296561.50,4361.50,178.04,59.00,61.50
243,?,?,?,?,?,?,?,?,?,61.50,?
244,?,?,?,?,?,?,?,?,?,?,?
245,12870.44,49187.22,2559.42,3459.63,50099.55,3230.20,58363.00,1863.00,36.30,?,63.00
246,12843.19,48968.87,2551.42,3428.16,49861.54,3226.75,363.90,363.90,0.19,63.00,63.90
247,12637.81,47919.09,2497.16,3391.15,48781.63,3174.71,58361.00,1161.00,36.10,63.90,61.00
248,12178.22,45830.66,2366.93,3321.92,46598.42,3061.25,75858.52,1358.52,43.96,61.00,58.52
