%310
@RELATION LU0122624777
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-DEWEL NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?
2,48107.89,1438.45,199010.70,2010.70,20.47,?,10.70
3,48222.72,1422.15,310010.60,2210.60,32.64,10.70,10.60
4,47888.16,1424.57,28310.69,510.69,2.99,10.60,10.69
5,?,?,?,?,?,10.69,?
6,?,?,?,?,?,?,?
7,47589.33,1408.87,147710.80,1210.80,15.14,?,10.80
8,47379.63,1416.22,28110.80,510.80,2.91,10.80,10.80
9,47407.28,1418.24,12010.42,110.42,1.25,10.80,10.42
10,47546.91,1427.00,98910.80,1310.80,10.35,10.42,10.80
11,47440.80,1431.50,306410.98,1710.98,33.03,10.80,10.98
12,?,?,?,?,?,10.98,?
13,?,?,?,?,?,?,?
14,47470.12,1429.59,243811.40,2311.40,27.41,?,11.40
15,47086.54,1424.03,18811.50,311.50,2.18,11.40,11.50
16,47521.39,1459.06,85210.95,810.95,9.34,11.50,10.95
17,47661.37,1480.62,2011.60,211.60,0.22,10.95,11.60
18,47813.69,1463.04,19511.00,311.00,2.17,11.60,11.00
19,?,?,?,?,?,11.00,?
20,?,?,?,?,?,?,?
21,47936.61,1473.28,149611.20,711.20,16.40,?,11.20
22,47872.80,1474.10,112310.90,1210.90,12.35,11.20,10.90
23,47733.24,1466.26,246311.47,1211.47,27.59,10.90,11.47
24,47942.04,1462.14,297112.22,2212.22,34.14,11.47,12.22
25,47613.95,1453.75,487111.50,2111.50,58.50,12.22,11.50
26,?,?,?,?,?,11.50,?
27,?,?,?,?,?,?,?
28,47324.06,1428.40,163312.40,2012.40,19.35,?,12.40
29,47328.40,1414.71,75012.30,412.30,9.25,12.40,12.30
30,46917.19,1409.63,100212.19,812.19,11.57,12.30,12.19
31,46840.15,1412.77,112.10,112.10,0.01,12.19,12.10
32,46945.58,1424.75,23012.18,512.18,2.80,12.10,12.18
33,?,?,?,?,?,12.18,?
34,?,?,?,?,?,?,?
35,46556.55,1376.74,39212.00,512.00,4.52,?,12.00
36,46674.78,1376.05,232711.94,1811.94,25.72,12.00,11.94
37,46149.14,1368.56,20711.94,811.94,2.46,11.94,11.94
38,46329.66,1379.50,77311.90,411.90,8.52,11.94,11.90
39,46741.54,1389.85,633711.65,2511.65,71.14,11.90,11.65
40,?,?,?,?,?,11.65,?
41,?,?,?,?,?,?,?
42,46786.74,1393.28,161011.78,911.78,18.33,?,11.78
43,46399.26,1383.89,87911.90,511.90,10.27,11.78,11.90
44,46406.74,1354.82,46011.01,511.01,5.21,11.90,11.01
45,46211.54,1313.43,168710.10,1110.10,17.92,11.01,10.10
46,46370.13,1349.87,110610.99,1310.99,11.29,10.10,10.99
47,?,?,?,?,?,10.99,?
48,?,?,?,?,?,?,?
49,46508.27,1365.73,111.25,111.25,0.01,?,11.25
50,46490.89,1352.40,428411.25,4911.25,46.49,11.25,11.25
51,46051.76,1342.16,62711.00,611.00,6.58,11.25,11.00
52,45879.90,1322.82,116010.30,710.30,12.18,11.00,10.30
53,45948.12,1345.82,25511.00,411.00,2.61,10.30,11.00
54,?,?,?,?,?,11.00,?
55,?,?,?,?,?,?,?
56,46286.28,1357.55,182510.89,1010.89,19.02,?,10.89
57,45868.35,1359.10,48049.81,419.81,48.21,10.89,9.81
58,46241.92,1359.06,27410.49,710.49,2.82,9.81,10.49
59,46280.36,1354.30,68410.59,510.59,6.98,10.49,10.59
60,46341.14,1347.19,2010.53,210.53,0.20,10.59,10.53
61,?,?,?,?,?,10.53,?
62,?,?,?,?,?,?,?
63,46137.70,1363.77,010.53,010.53,0.00,?,10.53
64,46676.09,1397.73,2510.44,410.44,0.24,10.53,10.44
65,46762.65,1387.52,20010.50,310.50,2.10,10.44,10.50
66,46745.26,1372.44,43110.50,510.50,4.29,10.50,10.50
67,47074.39,1370.33,19510.51,910.51,1.95,10.50,10.51
68,?,?,?,?,?,10.51,?
