%310
@RELATION PLTSGS000019
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-BUDOW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,1718.26,48389.84,2835.52,78773.41,153.41,25.96,?,3.41
3,783.15,48222.72,1714.83,48505.50,2832.46,49943.45,63.45,17.19,3.41,3.45
4,781.69,47888.16,1719.23,48143.94,2814.73,232833.80,243.80,86.63,3.45,3.80
5,?,?,?,?,?,?,?,?,3.80,?
6,?,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,1719.82,47820.24,2793.31,34263.60,113.60,12.79,?,3.60
8,780.70,47379.63,1714.18,47624.67,2790.64,8543.91,83.91,3.25,3.60,3.91
9,784.82,47407.28,1722.98,47668.58,2784.62,99213.83,173.83,37.57,3.91,3.83
10,788.85,47546.91,1717.51,47798.66,2800.96,38213.73,63.73,14.35,3.83,3.73
11,795.36,47440.80,1761.65,47690.97,2815.88,43103.80,103.80,16.26,3.73,3.80
12,?,?,?,?,?,?,?,?,3.80,?
13,?,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,1787.10,47724.95,2820.74,49803.91,83.91,19.40,?,3.91
15,794.59,47086.54,1789.24,47346.41,2817.16,76564.09,164.09,30.59,3.91,4.09
16,796.34,47521.39,1813.57,47794.60,2825.40,34004.10,124.10,13.89,4.09,4.10
17,803.56,47661.37,1796.76,47936.81,2848.09,1326134.22,184.22,551.75,4.10,4.22
18,807.72,47813.69,1830.45,48104.67,2864.72,1875464.14,304.14,778.69,4.22,4.14
19,?,?,?,?,?,?,?,?,4.14,?
20,?,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,1829.00,48184.37,2890.14,141494.09,144.09,58.52,?,4.09
22,808.23,47872.80,1822.02,48127.89,2892.80,14274.17,24.17,5.95,4.09,4.17
23,808.40,47733.24,1819.73,47999.21,2890.57,45914.20,104.20,19.16,4.17,4.20
24,811.80,47942.04,1794.79,48203.43,2898.85,50644.10,104.10,20.64,4.20,4.10
25,812.99,47613.95,1818.33,47851.99,2897.93,104723.97,123.97,41.73,4.10,3.97
26,?,?,?,?,?,?,?,?,3.97,?
27,?,?,?,?,?,?,?,?,?,?
