%310
@RELATION PLTFONE00011
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?
2,782.35,48107.89,48389.84,92971.83,261.83,16.76,?,1.83
3,783.15,48222.72,48505.50,174131.82,331.82,30.39,1.83,1.82
4,781.69,47888.16,48143.94,153661.88,261.88,28.09,1.82,1.88
5,?,?,?,?,?,?,1.88,?
6,?,?,?,?,?,?,?,?
7,781.76,47589.33,47820.24,37381.92,81.92,7.00,?,1.92
8,780.70,47379.63,47624.67,12051.93,51.93,2.32,1.92,1.93
9,784.82,47407.28,47668.58,108251.89,191.89,20.29,1.93,1.89
10,788.85,47546.91,47798.66,191271.97,371.97,37.02,1.89,1.97
11,795.36,47440.80,47690.97,387732.09,582.09,79.73,1.97,2.09
12,?,?,?,?,?,?,2.09,?
13,?,?,?,?,?,?,?,?
14,797.42,47470.12,47724.95,685662.24,1122.24,151.32,?,2.24
15,794.59,47086.54,47346.41,426302.17,702.17,93.31,2.24,2.17
16,796.34,47521.39,47794.60,74652.17,182.17,16.08,2.17,2.17
17,803.56,47661.37,47936.81,64742.22,212.22,14.08,2.17,2.22
18,807.72,47813.69,48104.67,94062.19,132.19,20.32,2.22,2.19
19,?,?,?,?,?,?,2.19,?
20,?,?,?,?,?,?,?,?
21,809.27,47936.61,48184.37,14682.19,62.19,3.21,?,2.19
22,808.23,47872.80,48127.89,134572.15,272.15,28.55,2.19,2.15
23,808.40,47733.24,47999.21,98542.08,222.08,20.69,2.15,2.08
24,811.80,47942.04,48203.43,48852.11,142.11,10.05,2.08,2.11
25,812.99,47613.95,47851.99,10072.12,82.12,2.10,2.11,2.12
26,?,?,?,?,?,?,2.12,?
27,?,?,?,?,?,?,?,?
28,813.38,47324.06,47553.14,195962.00,382.00,39.39,?,2.00
29,815.93,47328.40,47565.10,136101.93,191.93,26.25,2.00,1.93
30,815.59,46917.19,47113.08,66441.99,131.99,12.98,1.93,1.99
31,817.14,46840.15,47011.43,13522.05,132.05,2.76,1.99,2.05
32,818.68,46945.58,47121.08,49002.02,172.02,9.56,2.05,2.02
33,?,?,?,?,?,?,2.02,?
34,?,?,?,?,?,?,?,?
35,818.05,46556.55,46735.25,100042.02,142.02,19.90,?,2.02
36,816.68,46674.78,46862.43,153952.05,262.05,30.73,2.02,2.05
37,813.75,46149.14,46341.54,74022.08,142.08,15.28,2.05,2.08
38,811.13,46329.66,46512.72,259752.20,392.20,55.53,2.08,2.20
39,813.77,46741.54,46931.40,74122.19,142.19,15.96,2.20,2.19
40,?,?,?,?,?,?,2.19,?
41,?,?,?,?,?,?,?,?
42,817.03,46786.74,46988.04,21382.19,92.19,4.61,?,2.19
43,817.32,46399.26,46564.61,215172.14,262.14,46.25,2.19,2.14
44,817.35,46406.74,46569.81,52942.12,162.12,10.79,2.14,2.12
45,818.81,46211.54,46360.51,55002.00,82.00,11.05,2.12,2.00
46,826.73,46370.13,46523.63,28462.01,72.01,5.62,2.00,2.01
47,?,?,?,?,?,?,2.01,?
48,?,?,?,?,?,?,?,?
49,830.85,46508.27,46665.39,190031.84,441.84,35.73,?,1.84
50,832.30,46490.89,46652.19,123651.90,331.90,22.67,1.84,1.90
51,830.62,46051.76,46198.42,209831.81,281.81,37.86,1.90,1.81
52,823.32,45879.90,46050.52,839441.68,481.68,137.35,1.81,1.68
53,826.66,45948.12,46124.82,145501.66,271.66,24.12,1.68,1.66
54,?,?,?,?,?,?,1.66,?
55,?,?,?,?,?,?,?,?
56,829.61,46286.28,46487.05,152301.68,261.68,24.63,?,1.68
57,828.81,45868.35,46065.85,74551.69,201.69,12.36,1.68,1.69
58,836.69,46241.92,46459.99,110741.69,281.69,17.88,1.69,1.69
59,844.08,46280.36,46510.83,132851.73,141.73,21.84,1.69,1.73
60,842.02,46341.14,46622.90,88911.70,201.70,15.06,1.73,1.70
61,?,?,?,?,?,?,1.70,?
62,?,?,?,?,?,?,?,?
63,838.26,46137.70,46454.13,87481.71,151.71,14.48,?,1.71
64,845.88,46676.09,47001.38,136011.72,111.72,22.85,1.71,1.72
65,849.88,46762.65,47090.49,42931.63,131.63,7.10,1.72,1.63
66,855.99,46745.26,47060.66,194611.65,311.65,31.55,1.63,1.65
67,861.67,47074.39,47436.21,2504492.08,1562.08,459.38,1.65,2.08
68,?,?,?,?,?,?,2.08,?
69,?,?,?,?,?,?,?,?
70,863.89,46933.03,47269.75,2710932.77,3042.77,670.60,?,2.77
71,866.79,47010.40,47340.43,2567052.55,4102.55,688.57,2.77,2.55
72,872.90,46888.37,47235.72,1035972.49,1192.49,264.96,2.55,2.49
73,871.52,47223.68,47606.16,2063232.90,2832.90,580.33,2.49,2.90
74,873.21,47125.93,47522.10,925472.75,1722.75,259.93,2.90,2.75
75,?,?,?,?,?,?,2.75,?
76,?,?,?,?,?,?,?,?
77,868.37,46668.41,47094.18,567932.67,1052.67,150.27,?,2.67
78,864.73,46029.35,46473.62,384452.80,712.80,104.83,2.67,2.80
79,862.97,46068.24,46511.62,3201882.71,4162.71,965.83,2.80,2.71
80,850.86,45580.47,46017.88,711052.52,1332.52,185.38,2.71,2.52
81,845.32,45066.18,45473.08,567362.48,1132.48,140.12,2.52,2.48
