%310
@RELATION NL0009604859
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-CEE NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?
2,48107.89,832.17,217613.63,213.63,29.42,?,13.63
3,48222.72,839.05,10513.79,213.79,1.45,13.63,13.79
4,47888.16,845.71,146113.80,113.80,20.16,13.79,13.80
5,?,?,?,?,?,13.80,?
6,?,?,?,?,?,?,?
7,47589.33,849.25,436613.80,1013.80,60.40,?,13.80
8,47379.63,854.96,266014.10,914.10,37.33,13.80,14.10
9,47407.28,851.76,1539814.21,1514.21,218.63,14.10,14.21
10,47546.91,851.10,551014.00,314.00,77.14,14.21,14.00
11,47440.80,850.72,124914.00,114.00,17.49,14.00,14.00
12,?,?,?,?,?,14.00,?
13,?,?,?,?,?,?,?
14,47470.12,856.11,1401914.32,2214.32,200.03,?,14.32
15,47086.54,855.54,90014.20,214.20,12.78,14.32,14.20
16,47521.39,849.49,014.20,014.20,0.00,14.20,14.20
17,47661.37,854.27,4000314.00,614.00,560.04,14.20,14.00
18,47813.69,845.61,100014.10,314.10,14.10,14.00,14.10
19,?,?,?,?,?,14.10,?
20,?,?,?,?,?,?,?
21,47936.61,857.64,200013.90,113.90,27.80,?,13.90
22,47872.80,858.70,3475414.01,414.01,486.62,13.90,14.01
23,47733.24,853.17,193413.85,413.85,26.76,14.01,13.85
24,47942.04,865.46,206713.92,413.92,28.87,13.85,13.92
25,47613.95,867.33,161514.10,414.10,22.62,13.92,14.10
26,?,?,?,?,?,14.10,?
27,?,?,?,?,?,?,?
28,47324.06,862.14,801514.10,1514.10,110.91,?,14.10
29,47328.40,861.04,171613.50,1713.50,23.33,14.10,13.50
30,46917.19,868.36,90213.96,413.96,12.18,13.50,13.96
31,46840.15,873.28,6013.56,113.56,0.81,13.96,13.56
32,46945.58,873.87,1540313.60,313.60,212.48,13.56,13.60
33,?,?,?,?,?,13.60,?
34,?,?,?,?,?,?,?
35,46556.55,865.72,37013213.94,613.94,5070.81,?,13.94
36,46674.78,868.83,013.94,013.94,0.00,13.94,13.94
37,46149.14,868.89,7045913.79,713.79,972.33,13.94,13.79
38,46329.66,869.69,15040813.70,513.70,2060.51,13.79,13.70
39,46741.54,870.75,127214.09,1614.09,17.73,13.70,14.09
40,?,?,?,?,?,14.09,?
41,?,?,?,?,?,?,?
42,46786.74,870.67,2692813.80,813.80,376.29,?,13.80
43,46399.26,874.02,3800014.06,514.06,534.13,13.80,14.06
44,46406.74,874.66,5330314.05,514.05,748.82,14.06,14.05
45,46211.54,870.38,657014.12,1014.12,92.71,14.05,14.12
46,46370.13,873.83,17141814.16,714.16,2429.68,14.12,14.16
47,?,?,?,?,?,14.16,?
48,?,?,?,?,?,?,?
