%310
@RELATION PLFORTE00012
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIGdiv NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,10531.27,1117.48,48107.89,48389.84,2835.52,128812.79,1012.79,16.52,?,12.79
3,10554.18,1118.84,48222.72,48505.50,2832.46,294312.70,1012.70,37.45,12.79,12.70
4,10519.33,1111.36,47888.16,48143.94,2814.73,1408912.65,812.65,176.27,12.70,12.65
5,?,?,?,?,?,?,?,?,12.65,?
6,?,?,?,?,?,?,?,?,?,?
7,10488.60,1109.28,47589.33,47820.24,2793.31,1012.75,112.75,0.13,?,12.75
8,10500.71,1101.95,47379.63,47624.67,2790.64,272812.85,5512.85,34.90,12.75,12.85
9,10503.06,1105.51,47407.28,47668.58,2784.62,3838312.89,5712.89,494.77,12.85,12.89
10,10496.80,1109.02,47546.91,47798.66,2800.96,579813.19,1313.19,74.88,12.89,13.19
11,10595.04,1106.07,47440.80,47690.97,2815.88,318513.60,2113.60,43.11,13.19,13.60
12,?,?,?,?,?,?,?,?,13.60,?
13,?,?,?,?,?,?,?,?,?,?
14,10637.07,1108.76,47470.12,47724.95,2820.74,3766114.00,1614.00,526.35,?,14.00
15,10638.06,1098.41,47086.54,47346.41,2817.16,2293213.90,1413.90,320.56,14.00,13.90
16,10673.05,1100.21,47521.39,47794.60,2825.40,1344013.95,1013.95,185.61,13.90,13.95
17,10767.29,1100.21,47661.37,47936.81,2848.09,1357814.60,4414.60,195.87,13.95,14.60
18,10903.93,1104.63,47813.69,48104.67,2864.72,305114.59,1014.59,44.51,14.60,14.59
19,?,?,?,?,?,?,?,?,14.59,?
20,?,?,?,?,?,?,?,?,?,?
21,11030.02,1103.07,47936.61,48184.37,2890.14,548714.50,1614.50,78.62,?,14.50
22,11073.63,1099.21,47872.80,48127.89,2892.80,147314.35,414.35,21.13,14.50,14.35
23,11071.80,1091.82,47733.24,47999.21,2890.57,11696314.60,514.60,1667.05,14.35,14.60
24,11108.21,1093.21,47942.04,48203.43,2898.85,254414.50,1414.50,37.33,14.60,14.50
25,11174.05,1084.16,47613.95,47851.99,2897.93,135614.50,814.50,19.43,14.50,14.50
26,?,?,?,?,?,?,?,?,14.50,?
27,?,?,?,?,?,?,?,?,?,?
28,11144.27,1079.13,47324.06,47553.14,2886.17,27914.30,414.30,4.01,?,14.30
29,11165.66,1078.99,47328.40,47565.10,2878.58,1681114.50,1214.50,235.88,14.30,14.50
30,11183.61,1071.11,46917.19,47113.08,2876.68,324114.45,1214.45,46.55,14.50,14.45
31,11245.80,1070.81,46840.15,47011.43,2880.57,27510415.10,2615.10,3962.83,14.45,15.10
32,11241.00,1073.47,46945.58,47121.08,2883.81,2173715.30,2015.30,334.46,15.10,15.30
33,?,?,?,?,?,?,?,?,15.30,?
34,?,?,?,?,?,?,?,?,?,?
35,11191.08,1061.01,46556.55,46735.25,2856.17,617414.90,2414.90,92.20,?,14.90
36,11060.84,1066.05,46674.78,46862.43,2843.49,27815.00,815.00,4.16,14.90,15.00
37,10953.57,1054.01,46149.14,46341.54,2811.05,8015.00,215.00,1.20,15.00,15.00
38,10950.03,1057.65,46329.66,46512.72,2815.91,18814.83,514.83,2.78,15.00,14.83
39,10986.53,1068.97,46741.54,46931.40,2825.70,906614.20,2114.20,128.94,14.83,14.20
40,?,?,?,?,?,?,?,?,14.20,?
41,?,?,?,?,?,?,?,?,?,?
42,10947.75,1067.80,46786.74,46988.04,2826.84,30914.25,614.25,4.40,?,14.25
43,10981.98,1038.81,46399.26,46564.61,2821.25,2073414.60,614.60,298.69,14.25,14.60
44,11022.58,1034.74,46406.74,46569.81,2825.02,38414.50,914.50,5.54,14.60,14.50
45,11017.48,1024.61,46211.54,46360.51,2825.15,3255914.70,914.70,478.37,14.50,14.70
46,11071.18,1029.14,46370.13,46523.63,2838.22,9477215.90,4015.90,1467.64,14.70,15.90
47,?,?,?,?,?,?,?,?,15.90,?
48,?,?,?,?,?,?,?,?,?,?
49,11089.91,1033.03,46508.27,46665.39,2848.48,387416.00,2816.00,61.65,?,16.00
50,11119.72,1028.99,46490.89,46652.19,2843.90,19416.00,516.00,3.10,16.00,16.00
51,11014.53,1013.84,46051.76,46198.42,2831.71,118215.55,1115.55,18.74,16.00,15.55
52,10948.88,1009.79,45879.90,46050.52,2801.83,190615.49,1615.49,28.91,15.55,15.49
53,10985.79,1008.41,45948.12,46124.82,2817.57,3415.48,215.48,0.53,15.49,15.48
54,?,?,?,?,?,?,?,?,15.48,?
55,?,?,?,?,?,?,?,?,?,?
56,11033.69,1013.72,46286.28,46487.05,2840.57,140715.30,915.30,21.45,?,15.30
57,10972.28,1007.53,45868.35,46065.85,2831.16,483915.80,3415.80,75.12,15.30,15.80
58,11039.20,1014.91,46241.92,46459.99,2855.69,164615.98,1015.98,26.08,15.80,15.98
59,11052.03,1015.09,46280.36,46510.83,2865.27,885415.98,615.98,141.49,15.98,15.98
60,11010.83,1019.44,46341.14,46622.90,2859.05,144616.00,1016.00,23.12,15.98,16.00
61,?,?,?,?,?,?,?,?,16.00,?
62,?,?,?,?,?,?,?,?,?,?
63,10998.55,1017.25,46137.70,46454.13,2860.68,140315.98,1215.98,22.31,?,15.98
64,10997.33,1023.77,46676.09,47001.38,2868.06,85015.90,1015.90,13.46,15.98,15.90
65,11042.47,1022.74,46762.65,47090.49,2872.90,497415.97,1815.97,79.07,15.90,15.97
66,11042.08,1022.01,46745.26,47060.66,2873.49,1415716.40,3116.40,226.63,15.97,16.40
67,11119.06,1029.77,47074.39,47436.21,2906.74,2193716.45,4516.45,361.38,16.40,16.45
68,?,?,?,?,?,?,?,?,16.45,?
69,?,?,?,?,?,?,?,?,?,?
70,11133.10,1029.96,46933.03,47269.75,2914.24,933216.36,2016.36,153.05,?,16.36
71,11150.86,1027.64,47010.40,47340.43,2911.38,10605716.50,1716.50,1749.73,16.36,16.50
72,11194.08,1026.57,46888.37,47235.72,2901.67,217316.40,616.40,35.26,16.50,16.40
73,11231.22,1033.40,47223.68,47606.16,2912.13,466416.05,1216.05,75.65,16.40,16.05
74,11228.39,1030.99,47125.93,47522.10,2909.77,944216.50,2616.50,154.85,16.05,16.50
75,?,?,?,?,?,?,?,?,16.50,?
76,?,?,?,?,?,?,?,?,?,?
77,11190.20,1019.65,46668.41,47094.18,2900.59,41016.35,516.35,6.65,?,16.35
78,11135.62,1004.18,46029.35,46473.62,2868.24,144816.40,816.40,23.66,16.35,16.40
79,11168.63,1001.19,46068.24,46511.62,2874.75,141916.49,916.49,23.22,16.40,16.49
80,11069.03,992.85,45580.47,46017.88,2833.61,6016.39,316.39,0.98,16.49,16.39
81,10908.77,982.63,45066.18,45473.08,2800.67,324316.48,2016.48,53.21,16.39,16.48
82,?,?,?,?,?,?,?,?,16.48,?
83,?,?,?,?,?,?,?,?,?,?
84,10899.26,971.44,44585.10,44946.32,2780.21,651316.49,1816.49,107.26,?,16.49
85,10815.43,974.15,44724.88,45119.16,2774.13,313016.40,3516.40,51.33,16.49,16.40
86,10867.86,981.90,45247.90,45644.09,2785.46,620216.37,2716.37,100.36,16.40,16.37
87,10938.55,986.42,45147.57,45528.85,2797.31,613016.50,2316.50,100.51,16.37,16.50
88,?,?,?,?,?,?,?,?,16.50,?
89,?,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?
92,10998.70,988.58,45304.74,45679.51,2814.33,68716.23,816.23,11.28,?,16.23
93,10809.87,974.84,44604.61,44940.36,2769.02,14616.37,316.37,2.38,16.23,16.37
