%310
@RELATION PLRNKPR00014
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-DEWEL NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,10531.27,48107.89,1438.45,48389.84,2835.52,1247611.21,7411.21,139.73,?,11.21
3,10554.18,48222.72,1422.15,48505.50,2832.46,1551811.38,15511.38,176.02,11.21,11.38
4,10519.33,47888.16,1424.57,48143.94,2814.73,896711.33,6211.33,102.12,11.38,11.33
5,?,?,?,?,?,?,?,?,11.33,?
6,?,?,?,?,?,?,?,?,?,?
7,10488.60,47589.33,1408.87,47820.24,2793.31,1430411.10,12311.10,157.89,?,11.10
8,10500.71,47379.63,1416.22,47624.67,2790.64,305810.98,5110.98,33.41,11.10,10.98
9,10503.06,47407.28,1418.24,47668.58,2784.62,938410.91,10210.91,101.84,10.98,10.91
10,10496.80,47546.91,1427.00,47798.66,2800.96,925410.71,12110.71,100.12,10.91,10.71
11,10595.04,47440.80,1431.50,47690.97,2815.88,865310.89,14710.89,93.48,10.71,10.89
12,?,?,?,?,?,?,?,?,10.89,?
13,?,?,?,?,?,?,?,?,?,?
14,10637.07,47470.12,1429.59,47724.95,2820.74,1123611.09,9711.09,123.56,?,11.09
15,10638.06,47086.54,1424.03,47346.41,2817.16,1186411.08,6511.08,129.85,11.09,11.08
16,10673.05,47521.39,1459.06,47794.60,2825.40,178011.09,2211.09,19.55,11.08,11.09
17,10767.29,47661.37,1480.62,47936.81,2848.09,386611.29,4011.29,43.35,11.09,11.29
18,10903.93,47813.69,1463.04,48104.67,2864.72,8201711.82,15011.82,946.80,11.29,11.82
