%310
@RELATION CY0101062111
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-SPOZYW NUMERIC 
@ATTRIBUTE WIG-CEE NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,10531.27,48107.89,3718.83,832.17,2835.52,768610.41,6010.41,78.46,?,10.41
3,10554.18,48222.72,3696.13,839.05,2832.46,459610.00,5410.00,46.34,10.41,10.00
4,10519.33,47888.16,3651.18,845.71,2814.73,3069310.75,16310.75,318.78,10.00,10.75
5,?,?,?,?,?,?,?,?,10.75,?
6,?,?,?,?,?,?,?,?,?,?
7,10488.60,47589.33,3642.19,849.25,2793.31,996710.93,7010.93,108.52,?,10.93
8,10500.71,47379.63,3576.33,854.96,2790.64,147410.80,1510.80,15.78,10.93,10.80
9,10503.06,47407.28,3508.84,851.76,2784.62,586410.38,5510.38,60.37,10.80,10.38
10,10496.80,47546.91,3558.48,851.10,2800.96,888010.40,3610.40,91.61,10.38,10.40
11,10595.04,47440.80,3558.82,850.72,2815.88,416610.38,4010.38,42.83,10.40,10.38
12,?,?,?,?,?,?,?,?,10.38,?
13,?,?,?,?,?,?,?,?,?,?
14,10637.07,47470.12,3578.44,856.11,2820.74,649810.60,4610.60,68.35,?,10.60
15,10638.06,47086.54,3558.20,855.54,2817.16,538410.54,4910.54,55.96,10.60,10.54
16,10673.05,47521.39,3558.19,849.49,2825.40,1211710.39,4410.39,123.30,10.54,10.39
17,10767.29,47661.37,3543.16,854.27,2848.09,411110.35,3310.35,42.10,10.39,10.35
18,10903.93,47813.69,3562.92,845.61,2864.72,371710.08,3410.08,37.69,10.35,10.08
19,?,?,?,?,?,?,?,?,10.08,?
20,?,?,?,?,?,?,?,?,?,?
21,11030.02,47936.61,3699.59,857.64,2890.14,121110.17,1410.17,12.31,?,10.17
22,11073.63,47872.80,3655.10,858.70,2892.80,156510.20,2210.20,15.99,10.17,10.20
23,11071.80,47733.24,3659.94,853.17,2890.57,317510.18,2810.18,32.09,10.20,10.18
24,11108.21,47942.04,3700.17,865.46,2898.85,1930610.90,10010.90,203.92,10.18,10.90
25,11174.05,47613.95,3718.94,867.33,2897.93,2196811.30,12611.30,247.38,10.90,11.30
26,?,?,?,?,?,?,?,?,11.30,?
27,?,?,?,?,?,?,?,?,?,?
28,11144.27,47324.06,3735.07,862.14,2886.17,862710.94,4910.94,95.26,?,10.94
29,11165.66,47328.40,3714.68,861.04,2878.58,442911.10,2711.10,48.61,10.94,11.10
30,11183.61,46917.19,3756.63,868.36,2876.68,217010.90,1810.90,23.88,11.10,10.90
31,11245.80,46840.15,3809.65,873.28,2880.57,184710.85,2310.85,19.87,10.90,10.85
32,11241.00,46945.58,3793.66,873.87,2883.81,802210.60,5110.60,85.71,10.85,10.60
33,?,?,?,?,?,?,?,?,10.60,?
34,?,?,?,?,?,?,?,?,?,?
35,11191.08,46556.55,3715.56,865.72,2856.17,1958411.20,3911.20,211.90,?,11.20
36,11060.84,46674.78,3715.75,868.83,2843.49,192211.15,1311.15,21.08,11.20,11.15
37,10953.57,46149.14,3658.81,868.89,2811.05,91511.10,1011.10,10.10,11.15,11.10
38,10950.03,46329.66,3691.32,869.69,2815.91,107810.97,1610.97,11.80,11.10,10.97
39,10986.53,46741.54,3696.69,870.75,2825.70,1228311.00,9711.00,132.34,10.97,11.00
40,?,?,?,?,?,?,?,?,11.00,?
41,?,?,?,?,?,?,?,?,?,?
42,10947.75,46786.74,3695.92,870.67,2826.84,361710.56,2810.56,38.41,?,10.56
43,10981.98,46399.26,3702.31,874.02,2821.25,245110.60,1710.60,25.91,10.56,10.60
44,11022.58,46406.74,3714.64,874.66,2825.02,1499010.25,9810.25,152.51,10.60,10.25
45,11017.48,46211.54,3733.52,870.38,2825.15,2969810.00,9610.00,293.36,10.25,10.00
46,11071.18,46370.13,3763.34,873.83,2838.22,276310.04,2310.04,27.68,10.00,10.04
47,?,?,?,?,?,?,?,?,10.04,?
48,?,?,?,?,?,?,?,?,?,?
49,11089.91,46508.27,3757.44,869.62,2848.48,348710.24,2310.24,35.45,?,10.24
50,11119.72,46490.89,3763.52,861.33,2843.90,143210.25,1310.25,14.64,10.24,10.25
51,11014.53,46051.76,3745.72,862.42,2831.71,168310.19,1510.19,17.07,10.25,10.19
52,10948.88,45879.90,3760.90,859.18,2801.83,95710.04,1210.04,9.47,10.19,10.04
53,10985.79,45948.12,3733.92,860.24,2817.57,199110.10,1610.10,19.93,10.04,10.10
54,?,?,?,?,?,?,?,?,10.10,?
55,?,?,?,?,?,?,?,?,?,?
56,11033.69,46286.28,3698.83,865.38,2840.57,1704210.10,1010.10,173.85,?,10.10
57,10972.28,45868.35,3687.46,859.83,2831.16,9549.91,99.91,9.50,10.10,9.91
58,11039.20,46241.92,3723.24,854.80,2855.69,187810.00,1410.00,18.76,9.91,10.00
59,11052.03,46280.36,3694.46,848.17,2865.27,7329.98,79.98,7.29,10.00,9.98
60,11010.83,46341.14,3596.60,845.37,2859.05,81599.48,539.48,77.59,9.98,9.48
61,?,?,?,?,?,?,?,?,9.48,?
62,?,?,?,?,?,?,?,?,?,?
63,10998.55,46137.70,3528.81,840.47,2860.68,70049.49,379.49,65.97,?,9.49
64,10997.33,46676.09,3522.56,839.67,2868.06,13209.43,109.43,12.35,9.49,9.43
65,11042.47,46762.65,3541.17,844.03,2872.90,43819.62,439.62,41.51,9.43,9.62
66,11042.08,46745.26,3558.65,848.35,2873.49,69629.58,329.58,65.23,9.62,9.58
67,11119.06,47074.39,3529.57,849.80,2906.74,49359.59,309.59,46.57,9.58,9.59
68,?,?,?,?,?,?,?,?,9.59,?
69,?,?,?,?,?,?,?,?,?,?
70,11133.10,46933.03,3595.74,846.53,2914.24,39719.31,329.31,37.39,?,9.31
71,11150.86,47010.40,3613.57,846.39,2911.38,31969.44,259.44,30.06,9.31,9.44
72,11194.08,46888.37,3595.65,837.78,2901.67,60809.35,259.35,56.83,9.44,9.35
73,11231.22,47223.68,3593.14,837.83,2912.13,35205811.19,104411.19,3732.22,9.35,11.19
74,11228.39,47125.93,3575.34,836.66,2909.77,28243410.50,105710.50,3298.55,11.19,10.50
75,?,?,?,?,?,?,?,?,10.50,?
76,?,?,?,?,?,?,?,?,?,?
77,11190.20,46668.41,3531.93,820.24,2900.59,4969110.75,23110.75,525.83,?,10.75
78,11135.62,46029.35,3446.97,809.89,2868.24,4507610.43,21210.43,483.72,10.75,10.43
79,11168.63,46068.24,3416.12,807.16,2874.75,2037410.45,11410.45,213.45,10.43,10.45
80,11069.03,45580.47,3320.24,804.44,2833.61,4526310.30,19110.30,456.97,10.45,10.30
81,10908.77,45066.18,3327.55,810.77,2800.67,1481010.10,7910.10,148.52,10.30,10.10
82,?,?,?,?,?,?,?,?,10.10,?
83,?,?,?,?,?,?,?,?,?,?
84,10899.26,44585.10,3387.98,812.79,2780.21,255279.33,1239.33,242.63,?,9.33
85,10815.43,44724.88,3369.87,803.27,2774.13,297908.64,2028.64,265.70,9.33,8.64
86,10867.86,45247.90,3430.06,809.03,2785.46,529378.49,2408.49,453.16,8.64,8.49
87,10938.55,45147.57,3478.60,810.52,2797.31,684928.40,2548.40,578.82,8.49,8.40
88,?,?,?,?,?,?,?,?,8.40,?
89,?,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?
92,10998.70,45304.74,3523.68,817.94,2814.33,310528.20,1498.20,258.24,?,8.20
93,10809.87,44604.61,3482.18,814.18,2769.02,441858.23,1688.23,369.36,8.20,8.23
94,10817.23,44623.89,3486.55,813.71,2766.19,179398.40,838.40,149.11,8.23,8.40
95,10803.99,44597.66,3479.32,814.30,2760.91,90668.38,538.38,75.88,8.40,8.38
96,?,?,?,?,?,?,?,?,8.38,?
97,?,?,?,?,?,?,?,?,?,?
98,10819.93,44590.97,3450.97,804.33,2764.28,136018.35,578.35,113.71,?,8.35
99,10820.89,44725.03,3474.49,809.49,2767.26,82508.37,368.37,69.20,8.35,8.37
100,10845.27,45091.63,3463.81,809.43,2780.21,98788.39,398.39,82.62,8.37,8.39
101,10908.65,45688.48,3504.28,808.43,2794.43,235738.14,978.14,194.16,8.39,8.14
102,10807.45,45525.92,3481.04,806.22,2783.53,3337063.60,7683.60,1574.10,8.14,3.60
103,?,?,?,?,?,?,?,?,3.60,?
104,?,?,?,?,?,?,?,?,?,?
105,10663.67,44724.14,3368.83,795.39,2754.91,12301591.13,12801.13,3225.70,?,1.13
106,?,?,?,?,?,?,?,?,1.13,?
107,10431.02,43916.24,3195.69,774.83,2705.88,13888392.09,8112.09,2470.53,?,2.09
108,10415.53,43364.70,3142.65,764.32,2695.55,10314273.45,8923.45,2962.07,2.09,3.45
109,10373.60,43447.75,2992.95,748.80,2685.57,11450572.70,12362.70,3305.49,3.45,2.70
110,?,?,?,?,?,?,?,?,2.70,?
111,?,?,?,?,?,?,?,?,?,?
112,10335.77,43360.30,3007.40,754.56,2660.28,5456822.54,7362.54,1515.76,?,2.54
113,10282.22,43159.57,3011.64,750.26,2624.40,2340912.41,3862.41,608.58,2.54,2.41
114,10264.95,43356.73,3012.77,753.01,2636.70,3489142.40,5242.40,881.09,2.41,2.40
115,10327.20,43482.18,2993.56,753.51,2658.57,1266462.36,2612.36,310.07,2.40,2.36
116,10407.26,43665.21,3051.09,754.90,2669.93,1197312.38,2192.38,285.82,2.36,2.38
117,?,?,?,?,?,?,?,?,2.38,?
118,?,?,?,?,?,?,?,?,?,?
119,10465.41,43882.16,3107.87,766.31,2685.14,5810982.80,7762.80,1630.72,?,2.80
120,10511.46,44162.18,3270.96,776.50,2704.84,2764362.72,4592.72,773.67,2.80,2.72
121,?,?,?,?,?,?,?,?,2.72,?
122,10554.34,43991.51,3273.77,778.92,2695.22,5604673.22,8823.22,1857.03,?,3.22
123,?,?,?,?,?,?,?,?,3.22,?
124,?,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?,?
126,10605.72,44541.73,3221.83,778.13,2714.72,2318733.07,3683.07,717.40,?,3.07
127,10618.63,44742.22,3278.44,781.86,2733.96,1648803.06,3223.06,514.03,3.07,3.06
128,10692.81,45117.94,3274.88,782.65,2752.14,2476362.86,3672.86,727.34,3.06,2.86
129,10714.80,44943.16,3287.31,781.58,2760.20,1830722.69,3572.69,494.88,2.86,2.69
130,10758.03,44895.35,3305.97,783.10,2769.85,4332082.66,4972.66,1189.31,2.69,2.66
131,?,?,?,?,?,?,?,?,2.66,?
132,?,?,?,?,?,?,?,?,?,?
133,10762.74,45207.84,3331.03,785.63,2790.62,1315802.60,2112.60,343.85,?,2.60
134,10819.27,45771.11,3344.63,787.41,2822.41,1735962.54,2032.54,445.72,2.60,2.54
135,10913.18,46102.42,3424.41,791.27,2848.38,2057762.85,3082.85,540.30,2.54,2.85
136,10976.80,45992.03,3377.14,797.55,2871.70,5703212.95,5182.95,1615.47,2.85,2.95
137,10991.63,46078.68,3435.39,807.85,2885.19,2439802.90,3342.90,721.96,2.95,2.90
138,?,?,?,?,?,?,?,?,2.90,?
139,?,?,?,?,?,?,?,?,?,?
140,11070.23,46041.35,3466.14,805.46,2921.95,4272253.00,3183.00,1265.40,?,3.00
141,11089.17,45851.80,3392.40,802.36,2893.12,5576992.91,7202.91,1721.86,3.00,2.91
142,11082.19,45933.66,3344.53,802.44,2912.70,2243022.83,3302.83,646.20,2.91,2.83
143,11050.12,45687.76,3276.68,799.56,2894.53,742702.85,1402.85,210.89,2.83,2.85
144,11130.47,46145.44,3277.81,799.95,2929.62,881932.82,2132.82,250.83,2.85,2.82
145,?,?,?,?,?,?,?,?,2.82,?
146,?,?,?,?,?,?,?,?,?,?
147,11329.88,47277.10,3325.92,803.87,2976.83,1745593.04,2143.04,509.82,?,3.04
148,11439.53,47579.87,3377.00,817.59,2997.81,3236843.01,4573.01,976.39,3.04,3.01
149,11434.08,47476.64,3410.78,818.62,3000.58,1916312.95,2262.95,575.39,3.01,2.95
150,?,?,?,?,?,?,?,?,2.95,?
151,11518.87,47806.34,3339.97,812.55,2994.25,821612.86,1242.86,236.76,?,2.86
152,?,?,?,?,?,?,?,?,2.86,?
153,?,?,?,?,?,?,?,?,?,?
154,11428.58,47175.79,3252.24,811.28,2970.24,1085582.75,2032.75,295.34,?,2.75
155,11527.78,47620.68,3283.47,827.29,2998.79,706412.88,1342.88,199.58,2.75,2.88
156,11566.33,47805.94,3301.92,822.00,3026.87,819142.85,1462.85,235.00,2.88,2.85
157,11598.90,47573.66,3301.52,825.44,3020.15,1172892.71,2422.71,322.75,2.85,2.71
158,11721.20,48209.65,3325.43,833.27,3044.38,1102142.70,1652.70,299.30,2.71,2.70
159,?,?,?,?,?,?,?,?,2.70,?
160,?,?,?,?,?,?,?,?,?,?
161,11855.82,48495.01,3341.26,832.21,3065.91,1360012.68,1832.68,364.16,?,2.68
162,11906.69,48324.52,3317.02,830.21,3074.89,8602852.68,9022.68,2402.58,2.68,2.68
163,12044.12,48383.93,3337.95,834.07,3098.83,4605522.69,5402.69,1274.15,2.68,2.69
164,11997.09,48152.82,3294.79,823.27,3089.32,1488862.77,2122.77,407.64,2.69,2.77
165,11980.74,48273.42,3261.51,812.33,3092.65,741672.73,1372.73,204.02,2.77,2.73
166,?,?,?,?,?,?,?,?,2.73,?
167,?,?,?,?,?,?,?,?,?,?
168,11950.70,48131.61,3221.03,818.14,3100.24,1439482.79,1642.79,408.23,?,2.79
169,12001.25,48119.72,3243.93,819.04,3120.39,1717232.88,1532.88,487.09,2.79,2.88
170,11995.61,47743.10,3245.92,821.56,3122.21,5867052.88,4842.88,1730.09,2.88,2.88
171,11755.38,45870.00,3150.91,807.19,3038.18,2489692.63,3522.63,674.89,2.88,2.63
172,11698.05,44732.92,3055.25,784.14,3001.68,1402292.51,2312.51,361.11,2.63,2.51
173,?,?,?,?,?,?,?,?,2.51,?
174,?,?,?,?,?,?,?,?,?,?
175,11694.70,44824.62,3144.77,817.50,2990.89,426032.57,882.57,109.50,?,2.57
176,11846.22,44966.09,3152.21,815.69,2999.31,740772.56,972.56,193.00,2.57,2.56
177,11772.39,44893.99,3120.81,812.28,2972.55,2784402.50,2352.50,716.24,2.56,2.50
178,11665.86,43667.37,3067.07,810.66,2915.58,1472742.45,2612.45,359.66,2.50,2.45
179,11716.43,44747.79,3103.44,828.31,2948.80,223852.39,762.39,53.77,2.45,2.39
180,?,?,?,?,?,?,?,?,2.39,?
181,?,?,?,?,?,?,?,?,?,?
182,11756.83,44769.00,3106.66,828.89,2963.91,483722.44,1062.44,116.31,?,2.44
183,11805.57,45533.94,3110.28,834.81,2981.48,928712.48,1222.48,231.45,2.44,2.48
