%310
@RELATION PLBKLND00017
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?
2,782.35,48107.89,48389.84,67862.67,172.67,18.09,?,2.67
3,783.15,48222.72,48505.50,122352.61,292.61,32.28,2.67,2.61
4,781.69,47888.16,48143.94,86852.57,192.57,22.37,2.61,2.57
5,?,?,?,?,?,?,2.57,?
6,?,?,?,?,?,?,?,?
7,781.76,47589.33,47820.24,208602.59,102.59,54.33,?,2.59
8,780.70,47379.63,47624.67,20052.66,92.66,5.31,2.59,2.66
9,784.82,47407.28,47668.58,39002.60,92.60,10.16,2.66,2.60
10,788.85,47546.91,47798.66,102402.46,212.46,25.88,2.60,2.46
11,795.36,47440.80,47690.97,269442.49,302.49,65.61,2.46,2.49
12,?,?,?,?,?,?,2.49,?
13,?,?,?,?,?,?,?,?
14,797.42,47470.12,47724.95,146512.49,262.49,37.18,?,2.49
15,794.59,47086.54,47346.41,48772.50,172.50,12.18,2.49,2.50
16,796.34,47521.39,47794.60,34942.48,62.48,8.57,2.50,2.48
17,803.56,47661.37,47936.81,312382.49,162.49,75.51,2.48,2.49
18,807.72,47813.69,48104.67,5672.49,32.49,1.41,2.49,2.49
19,?,?,?,?,?,?,2.49,?
20,?,?,?,?,?,?,?,?
21,809.27,47936.61,48184.37,765692.55,532.55,193.82,?,2.55
22,808.23,47872.80,48127.89,593682.60,592.60,153.54,2.55,2.60
23,808.40,47733.24,47999.21,260062.60,302.60,67.57,2.60,2.60
24,811.80,47942.04,48203.43,350922.57,322.57,89.92,2.60,2.57
25,812.99,47613.95,47851.99,96632.54,192.54,24.04,2.57,2.54
26,?,?,?,?,?,?,2.54,?
27,?,?,?,?,?,?,?,?
28,813.38,47324.06,47553.14,47962.44,142.44,11.92,?,2.44
29,815.93,47328.40,47565.10,26382.49,82.49,6.45,2.44,2.49
30,815.59,46917.19,47113.08,64302.47,152.47,15.69,2.49,2.47
31,817.14,46840.15,47011.43,42602.50,92.50,10.59,2.47,2.50
32,818.68,46945.58,47121.08,35812.50,82.50,8.96,2.50,2.50
33,?,?,?,?,?,?,2.50,?
34,?,?,?,?,?,?,?,?
35,818.05,46556.55,46735.25,29632.40,82.40,7.18,?,2.40
36,816.68,46674.78,46862.43,204412.38,212.38,47.98,2.40,2.38
37,813.75,46149.14,46341.54,36582.39,72.39,8.59,2.38,2.39
38,811.13,46329.66,46512.72,38472.42,72.42,9.28,2.39,2.42
39,813.77,46741.54,46931.40,14212.40,42.40,3.42,2.42,2.40
40,?,?,?,?,?,?,2.40,?
41,?,?,?,?,?,?,?,?
42,817.03,46786.74,46988.04,33782.40,52.40,8.14,?,2.40
43,817.32,46399.26,46564.61,40052.37,92.37,9.46,2.40,2.37
44,817.35,46406.74,46569.81,18292.38,62.38,4.36,2.37,2.38
45,818.81,46211.54,46360.51,6252.38,22.38,1.49,2.38,2.38
46,826.73,46370.13,46523.63,51652.37,62.37,12.14,2.38,2.37
47,?,?,?,?,?,?,2.37,?
48,?,?,?,?,?,?,?,?
49,830.85,46508.27,46665.39,2852.33,22.33,0.66,?,2.33
50,832.30,46490.89,46652.19,262662.32,282.32,60.77,2.33,2.32
51,830.62,46051.76,46198.42,107722.33,232.33,25.07,2.32,2.33
52,823.32,45879.90,46050.52,108522.30,122.30,25.07,2.33,2.30
53,826.66,45948.12,46124.82,67412.27,122.27,15.55,2.30,2.27
54,?,?,?,?,?,?,2.27,?
55,?,?,?,?,?,?,?,?
56,829.61,46286.28,46487.05,82452.31,52.31,18.87,?,2.31
57,828.81,45868.35,46065.85,38672.39,92.39,9.02,2.31,2.39
58,836.69,46241.92,46459.99,212772.47,342.47,52.26,2.39,2.47
59,844.08,46280.36,46510.83,80372.47,142.47,19.91,2.47,2.47
60,842.02,46341.14,46622.90,104252.40,182.40,25.37,2.47,2.40
61,?,?,?,?,?,?,2.40,?
62,?,?,?,?,?,?,?,?
63,838.26,46137.70,46454.13,46562.37,102.37,10.98,?,2.37
64,845.88,46676.09,47001.38,197992.43,192.43,47.78,2.37,2.43
65,849.88,46762.65,47090.49,190212.40,182.40,44.67,2.43,2.40
66,855.99,46745.26,47060.66,658002.61,642.61,165.32,2.40,2.61
67,861.67,47074.39,47436.21,1270042.80,1282.80,348.67,2.61,2.80
68,?,?,?,?,?,?,2.80,?
69,?,?,?,?,?,?,?,?
70,863.89,46933.03,47269.75,401882.61,622.61,110.75,?,2.61
71,866.79,47010.40,47340.43,181702.68,312.68,48.47,2.61,2.68
72,872.90,46888.37,47235.72,132482.63,302.63,34.50,2.68,2.63
73,871.52,47223.68,47606.16,291132.65,402.65,75.47,2.63,2.65
74,873.21,47125.93,47522.10,78632.67,192.67,20.98,2.65,2.67
75,?,?,?,?,?,?,2.67,?
76,?,?,?,?,?,?,?,?
77,868.37,46668.41,47094.18,69442.63,172.63,18.14,?,2.63
78,864.73,46029.35,46473.62,94802.62,192.62,24.19,2.63,2.62
79,862.97,46068.24,46511.62,11462.60,32.60,3.00,2.62,2.60
80,850.86,45580.47,46017.88,221652.47,332.47,55.42,2.60,2.47
81,845.32,45066.18,45473.08,188752.36,422.36,44.96,2.47,2.36
82,?,?,?,?,?,?,2.36,?
83,?,?,?,?,?,?,?,?
84,839.36,44585.10,44946.32,63442.42,112.42,15.31,?,2.42
85,830.80,44724.88,45119.16,29512.41,82.41,7.25,2.42,2.41
86,835.51,45247.90,45644.09,49562.47,102.47,12.14,2.41,2.47
87,839.42,45147.57,45528.85,47542.48,92.48,11.78,2.47,2.48
88,?,?,?,?,?,?,2.48,?
89,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?
92,840.31,45304.74,45679.51,44032.49,92.49,10.91,?,2.49
93,828.79,44604.61,44940.36,45252.45,92.45,11.31,2.49,2.45
94,824.35,44623.89,44980.62,153912.41,152.41,36.64,2.45,2.41
95,819.73,44597.66,44960.02,12702.40,42.40,3.05,2.41,2.40
96,?,?,?,?,?,?,2.40,?
97,?,?,?,?,?,?,?,?
98,818.75,44590.97,44963.96,34202.33,92.33,7.98,?,2.33
99,815.74,44725.03,45096.35,36672.36,102.36,8.56,2.33,2.36
100,820.16,45091.63,45495.34,56062.45,132.45,13.04,2.36,2.45
101,824.04,45688.48,46131.66,21502.40,62.40,5.16,2.45,2.40
102,819.29,45525.92,45960.10,78842.35,172.35,18.39,2.40,2.35
103,?,?,?,?,?,?,2.35,?
104,?,?,?,?,?,?,?,?
105,814.07,44724.14,45167.65,33762.43,82.43,8.04,?,2.43
106,?,?,?,?,?,?,2.43,?
107,796.68,43916.24,44404.81,64002.32,92.32,14.94,?,2.32
108,787.39,43364.70,43850.06,23852.30,62.30,5.50,2.32,2.30
109,783.37,43447.75,43993.98,315732.16,512.16,69.83,2.30,2.16
110,?,?,?,?,?,?,2.16,?
111,?,?,?,?,?,?,?,?
112,776.37,43360.30,43892.82,592501.78,971.78,115.53,?,1.78
113,769.16,43159.57,43707.88,2471771.36,2261.36,376.50,1.78,1.36
114,769.82,43356.73,43908.95,5658431.53,2701.53,844.18,1.36,1.53
115,774.88,43482.18,44027.03,1797571.50,981.50,272.08,1.53,1.50
116,777.86,43665.21,44226.06,370741.51,191.51,55.76,1.50,1.51
117,?,?,?,?,?,?,1.51,?
118,?,?,?,?,?,?,?,?
119,779.98,43882.16,44420.22,692741.50,401.50,104.04,?,1.50
120,784.81,44162.18,44653.34,918601.70,481.70,145.77,1.50,1.70
121,?,?,?,?,?,?,1.70,?
122,787.45,43991.51,44466.89,58861.69,181.69,9.87,?,1.69
123,?,?,?,?,?,?,1.69,?
124,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?
126,786.57,44541.73,45060.80,83601.65,141.65,13.66,?,1.65
127,793.09,44742.22,45244.29,628011.78,521.78,108.42,1.65,1.78
128,798.10,45117.94,45647.76,742271.99,901.99,145.66,1.78,1.99
129,800.71,44943.16,45475.08,492282.02,732.02,100.61,1.99,2.02
130,800.42,44895.35,45408.06,117691.98,231.98,22.89,2.02,1.98
131,?,?,?,?,?,?,1.98,?
132,?,?,?,?,?,?,?,?
133,802.74,45207.84,45746.01,447761.80,641.80,81.10,?,1.80
134,804.49,45771.11,46336.62,142551.77,221.77,24.60,1.80,1.77
135,802.28,46102.42,46676.61,162161.78,291.78,28.60,1.77,1.78
136,806.45,45992.03,46581.16,111111.81,221.81,19.46,1.78,1.81
137,810.69,46078.68,46646.58,114171.81,151.81,20.36,1.81,1.81
138,?,?,?,?,?,?,1.81,?
139,?,?,?,?,?,?,?,?
140,815.60,46041.35,46615.31,250091.74,401.74,43.13,?,1.74
141,819.76,45851.80,46439.10,118651.75,171.75,20.64,1.74,1.75
142,818.82,45933.66,46529.96,38921.76,51.76,6.82,1.75,1.76
143,814.69,45687.76,46311.26,126541.87,271.87,22.89,1.76,1.87
144,820.11,46145.44,46783.61,117201.81,241.81,21.48,1.87,1.81
145,?,?,?,?,?,?,1.81,?
146,?,?,?,?,?,?,?,?
147,828.12,47277.10,47957.54,39641.80,131.80,7.11,?,1.80
148,838.40,47579.87,48258.02,371211.80,191.80,66.45,1.80,1.80
149,842.72,47476.64,48138.07,75321.78,101.78,13.48,1.80,1.78
150,?,?,?,?,?,?,1.78,?
151,841.72,47806.34,48503.87,251311.77,271.77,44.72,?,1.77
152,?,?,?,?,?,?,1.77,?
153,?,?,?,?,?,?,?,?
154,839.57,47175.79,47868.36,119001.81,111.81,21.48,?,1.81
155,854.67,47620.68,48323.88,1777151.93,1081.93,339.46,1.81,1.93
156,859.35,47805.94,48513.29,460351.97,681.97,89.97,1.93,1.97
157,864.95,47573.66,48259.19,558592.02,582.02,113.25,1.97,2.02
158,866.67,48209.65,48918.37,457442.12,722.12,94.09,2.02,2.12
159,?,?,?,?,?,?,2.12,?
160,?,?,?,?,?,?,?,?
161,870.65,48495.01,49207.65,370022.13,542.13,79.29,?,2.13
162,870.60,48324.52,49050.96,435182.11,832.11,92.69,2.13,2.11
163,878.91,48383.93,49098.70,345102.02,572.02,71.16,2.11,2.02
164,877.48,48152.82,48890.47,442551.97,631.97,86.00,2.02,1.97
165,880.65,48273.42,49057.66,99771.96,231.96,19.32,1.97,1.96
166,?,?,?,?,?,?,1.96,?
167,?,?,?,?,?,?,?,?
168,883.59,48131.61,48917.56,111032.02,182.02,22.07,?,2.02
169,886.71,48119.72,48891.04,55522.02,42.02,11.05,2.02,2.02
170,885.25,47743.10,48509.84,43521.99,101.99,8.63,2.02,1.99
171,864.38,45870.00,46587.68,296481.84,331.84,55.64,1.99,1.84
172,855.18,44732.92,45456.77,271731.77,381.77,48.16,1.84,1.77
173,?,?,?,?,?,?,1.77,?
174,?,?,?,?,?,?,?,?
175,857.74,44824.62,45531.46,177841.74,231.74,30.56,?,1.74
176,863.23,44966.09,45672.10,240001.70,261.70,40.79,1.74,1.70
177,858.05,44893.99,45601.51,201831.71,321.71,34.54,1.70,1.71
178,847.97,43667.37,44326.49,228191.67,231.67,38.82,1.71,1.67
179,848.08,44747.79,45442.51,271821.65,291.65,44.72,1.67,1.65
180,?,?,?,?,?,?,1.65,?
181,?,?,?,?,?,?,?,?
182,848.80,44769.00,45461.06,127001.62,181.62,20.53,?,1.62
183,853.37,45533.94,46254.71,248581.65,371.65,40.78,1.62,1.65
184,850.45,45184.98,45899.36,179981.61,151.61,29.49,1.65,1.61
185,855.94,45613.75,46344.42,323051.55,431.55,50.81,1.61,1.55
186,851.88,45110.89,45805.34,84511.58,161.58,13.03,1.55,1.58
187,?,?,?,?,?,?,1.58,?
188,?,?,?,?,?,?,?,?
189,849.30,44534.34,45172.40,93581.59,181.59,14.66,?,1.59
190,842.60,44342.23,44969.23,149911.57,221.57,23.56,1.59,1.57
191,844.03,45068.55,45727.71,170171.54,221.54,26.09,1.57,1.54
192,845.84,45712.72,46390.36,176701.57,71.57,27.63,1.54,1.57
