%310
@RELATION PLAB00000019
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
81,10908.77,45066.18,45473.08,2800.67,204421.00,521.00,42.93,21.63,21.00
82,?,?,?,?,?,?,?,21.00,?
83,?,?,?,?,?,?,?,?,?
84,10899.26,44585.10,44946.32,2780.21,9920.97,120.97,2.08,?,20.97
85,10815.43,44724.88,45119.16,2774.13,020.97,020.97,0.00,20.97,20.97
86,10867.86,45247.90,45644.09,2785.46,1821.00,121.00,0.38,20.97,21.00
87,10938.55,45147.57,45528.85,2797.31,3720.75,220.75,0.77,21.00,20.75
88,?,?,?,?,?,?,?,20.75,?
89,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?
92,10998.70,45304.74,45679.51,2814.33,48520.75,120.75,10.06,?,20.75
93,10809.87,44604.61,44940.36,2769.02,17220.25,220.25,3.57,20.75,20.25
94,10817.23,44623.89,44980.62,2766.19,020.25,020.25,0.00,20.25,20.25
95,10803.99,44597.66,44960.02,2760.91,020.25,020.25,0.00,20.25,20.25
96,?,?,?,?,?,?,?,20.25,?
97,?,?,?,?,?,?,?,?,?
98,10819.93,44590.97,44963.96,2764.28,71020.05,420.05,14.30,?,20.05
99,10820.89,44725.03,45096.35,2767.26,200019.90,119.90,39.80,20.05,19.90
100,10845.27,45091.63,45495.34,2780.21,100020.59,220.59,20.59,19.90,20.59
101,10908.65,45688.48,46131.66,2794.43,21020.60,220.60,4.21,20.59,20.60
102,10807.45,45525.92,45960.10,2783.53,329520.40,820.40,64.84,20.60,20.40
103,?,?,?,?,?,?,?,20.40,?
104,?,?,?,?,?,?,?,?,?
105,10663.67,44724.14,45167.65,2754.91,113419.50,1219.50,22.50,?,19.50
106,?,?,?,?,?,?,?,19.50,?
107,10431.02,43916.24,44404.81,2705.88,88918.80,918.80,16.92,?,18.80
108,10415.53,43364.70,43850.06,2695.55,134018.50,718.50,24.81,18.80,18.50
109,10373.60,43447.75,43993.98,2685.57,60618.36,318.36,11.14,18.50,18.36
110,?,?,?,?,?,?,?,18.36,?
111,?,?,?,?,?,?,?,?,?
112,10335.77,43360.30,43892.82,2660.28,17618.20,418.20,3.21,?,18.20
113,10282.22,43159.57,43707.88,2624.40,018.20,018.20,0.00,18.20,18.20
114,10264.95,43356.73,43908.95,2636.70,56517.80,117.80,10.06,18.20,17.80
115,10327.20,43482.18,44027.03,2658.57,43517.15,317.15,7.47,17.80,17.15
116,10407.26,43665.21,44226.06,2669.93,6517.60,217.60,1.14,17.15,17.60
117,?,?,?,?,?,?,?,17.60,?
118,?,?,?,?,?,?,?,?,?
119,10465.41,43882.16,44420.22,2685.14,112417.35,917.35,19.50,?,17.35
120,10511.46,44162.18,44653.34,2704.84,321116.99,616.99,54.67,17.35,16.99
121,?,?,?,?,?,?,?,16.99,?
122,10554.34,43991.51,44466.89,2695.22,6517.59,217.59,1.14,?,17.59
123,?,?,?,?,?,?,?,17.59,?
124,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?
126,10605.72,44541.73,45060.80,2714.72,86117.46,1217.46,15.01,?,17.46
127,10618.63,44742.22,45244.29,2733.96,101817.15,1417.15,17.73,17.46,17.15
128,10692.81,45117.94,45647.76,2752.14,3717.59,117.59,0.65,17.15,17.59
129,10714.80,44943.16,45475.08,2760.20,79817.61,1017.61,14.03,17.59,17.61
130,10758.03,44895.35,45408.06,2769.85,8017.62,117.62,1.41,17.61,17.62
131,?,?,?,?,?,?,?,17.62,?
132,?,?,?,?,?,?,?,?,?
133,10762.74,45207.84,45746.01,2790.62,67517.82,617.82,12.01,?,17.82
134,10819.27,45771.11,46336.62,2822.41,11018.49,218.49,1.98,17.82,18.49
135,10913.18,46102.42,46676.61,2848.38,125018.50,718.50,22.96,18.49,18.50
136,10976.80,45992.03,46581.16,2871.70,018.50,018.50,0.00,18.50,18.50
137,10991.63,46078.68,46646.58,2885.19,12817.83,317.83,2.27,18.50,17.83
138,?,?,?,?,?,?,?,17.83,?
139,?,?,?,?,?,?,?,?,?
140,11070.23,46041.35,46615.31,2921.95,8745318.38,1518.38,1564.62,?,18.38
141,11089.17,45851.80,46439.10,2893.12,4121518.86,2518.86,765.51,18.38,18.86
142,11082.19,45933.66,46529.96,2912.70,1233419.28,1819.28,234.58,18.86,19.28
143,11050.12,45687.76,46311.26,2894.53,123019.30,919.30,23.48,19.28,19.30
144,11130.47,46145.44,46783.61,2929.62,3894619.35,2119.35,745.03,19.30,19.35
145,?,?,?,?,?,?,?,19.35,?
146,?,?,?,?,?,?,?,?,?
147,11329.88,47277.10,47957.54,2976.83,1109219.50,1919.50,218.36,?,19.50
148,11439.53,47579.87,48258.02,2997.81,104520.20,820.20,20.79,19.50,20.20
149,11434.08,47476.64,48138.07,3000.58,636420.60,1720.60,129.79,20.20,20.60
150,?,?,?,?,?,?,?,20.60,?
151,11518.87,47806.34,48503.87,2994.25,40920.60,920.60,8.43,?,20.60
152,?,?,?,?,?,?,?,20.60,?
153,?,?,?,?,?,?,?,?,?
154,11428.58,47175.79,47868.36,2970.24,131520.40,920.40,26.90,?,20.40
155,11527.78,47620.68,48323.88,2998.79,166820.45,720.45,34.71,20.40,20.45
156,11566.33,47805.94,48513.29,3026.87,401621.30,921.30,84.52,20.45,21.30
157,11598.90,47573.66,48259.19,3020.15,56920.70,1020.70,11.82,21.30,20.70
158,11721.20,48209.65,48918.37,3044.38,211521.79,521.79,45.53,20.70,21.79
159,?,?,?,?,?,?,?,21.79,?
160,?,?,?,?,?,?,?,?,?
161,11855.82,48495.01,49207.65,3065.91,255421.76,1021.76,56.13,?,21.76
162,11906.69,48324.52,49050.96,3074.89,1926222.25,2622.25,429.17,21.76,22.25
163,12044.12,48383.93,49098.70,3098.83,635822.20,122.20,141.15,22.25,22.20
164,11997.09,48152.82,48890.47,3089.32,511622.20,1222.20,113.12,22.20,22.20
165,11980.74,48273.42,49057.66,3092.65,500022.49,122.49,112.45,22.20,22.49
166,?,?,?,?,?,?,?,22.49,?
167,?,?,?,?,?,?,?,?,?
168,11950.70,48131.61,48917.56,3100.24,1173422.50,2022.50,264.36,?,22.50
169,12001.25,48119.72,48891.04,3120.39,022.50,022.50,0.00,22.50,22.50
170,11995.61,47743.10,48509.84,3122.21,1036622.49,2422.49,231.46,22.50,22.49
171,11755.38,45870.00,46587.68,3038.18,88722.03,1222.03,19.65,22.49,22.03
172,11698.05,44732.92,45456.77,3001.68,3716521.50,1321.50,810.80,22.03,21.50
173,?,?,?,?,?,?,?,21.50,?
174,?,?,?,?,?,?,?,?,?
175,11694.70,44824.62,45531.46,2990.89,2869021.20,1121.20,609.87,?,21.20
176,11846.22,44966.09,45672.10,2999.31,5521.13,121.13,1.16,21.20,21.13
177,11772.39,44893.99,45601.51,2972.55,241220.65,720.65,50.63,21.13,20.65
178,11665.86,43667.37,44326.49,2915.58,10070020.00,220.00,2064.00,20.65,20.00
179,11716.43,44747.79,45442.51,2948.80,110420.80,620.80,22.86,20.00,20.80
180,?,?,?,?,?,?,?,20.80,?
181,?,?,?,?,?,?,?,?,?
182,11756.83,44769.00,45461.06,2963.91,30020.40,120.40,6.12,?,20.40
183,11805.57,45533.94,46254.71,2981.48,25520.40,320.40,5.22,20.40,20.40
184,11736.24,45184.98,45899.36,2971.57,020.40,020.40,0.00,20.40,20.40
185,11820.50,45613.75,46344.42,2988.19,21420.99,120.99,4.49,20.40,20.99
186,11822.63,45110.89,45805.34,2977.06,020.99,020.99,0.00,20.99,20.99
187,?,?,?,?,?,?,?,20.99,?
188,?,?,?,?,?,?,?,?,?
189,11711.98,44534.34,45172.40,2948.16,7820.80,220.80,1.63,?,20.80
190,11610.73,44342.23,44969.23,2924.69,020.80,020.80,0.00,20.80,20.80
191,11643.94,45068.55,45727.71,2962.09,103320.86,920.86,20.86,20.80,20.86
192,11739.32,45712.72,46390.36,2992.86,1720.86,220.86,0.35,20.86,20.86
193,11784.60,46150.78,46839.89,3017.66,2920.80,120.80,0.60,20.86,20.80
194,?,?,?,?,?,?,?,20.80,?
195,?,?,?,?,?,?,?,?,?
196,11770.78,46218.05,46922.43,3022.70,020.80,020.80,0.00,?,20.80
197,11753.20,46155.10,46860.35,3017.11,5120.80,220.80,1.05,20.80,20.80
198,11768.81,46287.08,47003.76,3021.27,020.80,020.80,0.00,20.80,20.80
199,11813.42,46221.23,46919.83,3023.16,77620.84,720.84,16.14,20.80,20.84
200,11837.95,46399.74,47120.88,3019.85,12020.84,120.84,2.50,20.84,20.84
201,?,?,?,?,?,?,?,20.84,?
202,?,?,?,?,?,?,?,?,?
203,11864.19,46361.70,47075.43,3021.70,020.84,020.84,0.00,?,20.84
204,11905.16,46714.43,47454.90,3029.97,020.84,020.84,0.00,20.84,20.84
205,11975.99,46835.98,47575.74,3050.63,020.84,020.84,0.00,20.84,20.84
206,11939.68,46713.02,47446.69,3036.16,31320.15,420.15,6.41,20.84,20.15
207,11930.54,46258.91,46981.22,3015.00,020.15,020.15,0.00,20.15,20.15
208,?,?,?,?,?,?,?,20.15,?
209,?,?,?,?,?,?,?,?,?
210,11917.93,46480.62,47214.30,3032.94,4620.15,220.15,0.93,?,20.15
211,11914.45,46663.41,47398.08,3038.42,020.15,020.15,0.00,20.15,20.15
212,11934.08,46925.65,47676.43,3046.08,020.15,020.15,0.00,20.15,20.15
213,12025.60,47370.81,48147.76,3060.17,261221.50,1321.50,54.70,20.15,21.50
214,12096.51,48325.33,49133.14,3110.79,4656521.98,721.98,1023.35,21.50,21.98
215,?,?,?,?,?,?,?,21.98,?
216,?,?,?,?,?,?,?,?,?
217,12181.61,48458.44,49272.86,3127.41,24921.98,321.98,5.47,?,21.98
218,12213.07,47942.81,48742.34,3127.38,5046022.45,322.45,1132.79,21.98,22.45
219,12294.72,48306.55,49124.78,3168.23,4236922.40,922.40,948.99,22.45,22.40
220,12425.78,48862.88,49700.18,3190.86,66321.10,321.10,14.45,22.40,21.10
221,12524.35,49125.36,49994.77,3206.86,62322.11,622.11,13.64,21.10,22.11
222,?,?,?,?,?,?,?,22.11,?
223,?,?,?,?,?,?,?,?,?
224,12613.68,49580.16,50476.37,3225.79,285622.65,922.65,63.41,?,22.65
225,12783.95,49747.66,50646.05,3233.22,5230222.40,1022.40,1170.14,22.65,22.40
226,12961.14,50223.95,51152.95,3271.49,1939622.80,1322.80,441.00,22.40,22.80
227,?,?,?,?,?,?,?,22.80,?
228,12933.31,49976.48,50906.11,3253.28,962222.50,1022.50,218.59,?,22.50
229,?,?,?,?,?,?,?,22.50,?
230,?,?,?,?,?,?,?,?,?
231,12877.73,49772.46,50713.14,3237.31,20122.70,222.70,4.56,?,22.70
232,12831.52,49162.16,50077.30,3210.57,022.70,022.70,0.00,22.70,22.70
233,12826.21,49128.05,50032.45,3221.87,78522.41,322.41,17.65,22.70,22.41
234,12985.38,49846.48,50780.47,3260.69,4878723.12,1023.12,1117.25,22.41,23.12
235,13050.37,49895.10,50836.47,3260.35,11386625.00,4925.00,2768.92,23.12,25.00
236,?,?,?,?,?,?,?,25.00,?
237,?,?,?,?,?,?,?,?,?
238,13056.86,49818.48,50756.86,3255.45,3981926.08,3326.08,1026.74,?,26.08
239,12781.02,48833.58,49731.02,3197.48,5645325.98,2625.98,1456.16,26.08,25.98
