%310
@RELATION PLBRLNK00017
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?
2,48107.89,48389.84,2835.52,749570.90,650.90,68.07,?,0.90
3,48222.72,48505.50,2832.46,1103830.88,390.88,98.18,0.90,0.88
4,47888.16,48143.94,2814.73,154120.88,150.88,13.37,0.88,0.88
5,?,?,?,?,?,?,0.88,?
6,?,?,?,?,?,?,?,?
7,47589.33,47820.24,2793.31,669040.88,280.88,58.77,?,0.88
8,47379.63,47624.67,2790.64,369130.87,150.87,32.14,0.88,0.87
9,47407.28,47668.58,2784.62,1025180.88,240.88,89.33,0.87,0.88
10,47546.91,47798.66,2800.96,808530.90,480.90,72.02,0.88,0.90
11,47440.80,47690.97,2815.88,1638560.88,470.88,145.88,0.90,0.88
12,?,?,?,?,?,?,0.88,?
13,?,?,?,?,?,?,?,?
14,47470.12,47724.95,2820.74,3136010.86,560.86,271.55,?,0.86
15,47086.54,47346.41,2817.16,715180.85,320.85,60.97,0.86,0.85
16,47521.39,47794.60,2825.40,6114890.84,530.84,513.66,0.85,0.84
17,47661.37,47936.81,2848.09,276100.86,140.86,23.44,0.84,0.86
18,47813.69,48104.67,2864.72,733040.87,300.87,62.63,0.86,0.87
19,?,?,?,?,?,?,0.87,?
20,?,?,?,?,?,?,?,?
21,47936.61,48184.37,2890.14,379060.87,220.87,32.54,?,0.87
22,47872.80,48127.89,2892.80,806450.85,400.85,68.95,0.87,0.85
23,47733.24,47999.21,2890.57,465350.88,300.88,40.07,0.85,0.88
24,47942.04,48203.43,2898.85,152660.88,100.88,13.34,0.88,0.88
25,47613.95,47851.99,2897.93,1340240.89,320.89,117.73,0.88,0.89
26,?,?,?,?,?,?,0.89,?
27,?,?,?,?,?,?,?,?
28,47324.06,47553.14,2886.17,809370.89,320.89,71.69,?,0.89
29,47328.40,47565.10,2878.58,771700.89,210.89,68.34,0.89,0.89
30,46917.19,47113.08,2876.68,2482190.89,1050.89,224.79,0.89,0.89
31,46840.15,47011.43,2880.57,1473330.91,510.91,133.50,0.89,0.91
32,46945.58,47121.08,2883.81,811590.90,510.90,73.74,0.91,0.90
33,?,?,?,?,?,?,0.90,?
34,?,?,?,?,?,?,?,?
35,46556.55,46735.25,2856.17,610990.90,390.90,55.29,?,0.90
36,46674.78,46862.43,2843.49,522920.91,290.91,47.26,0.90,0.91
37,46149.14,46341.54,2811.05,1942760.91,830.91,179.09,0.91,0.91
38,46329.66,46512.72,2815.91,1402140.91,220.91,127.32,0.91,0.91
39,46741.54,46931.40,2825.70,628380.88,370.88,55.97,0.91,0.88
40,?,?,?,?,?,?,0.88,?
41,?,?,?,?,?,?,?,?
42,46786.74,46988.04,2826.84,216720.90,180.90,19.31,?,0.90
43,46399.26,46564.61,2821.25,380040.90,240.90,34.05,0.90,0.90
44,46406.74,46569.81,2825.02,251590.88,190.88,22.20,0.90,0.88
45,46211.54,46360.51,2825.15,978770.85,570.85,83.52,0.88,0.85
46,46370.13,46523.63,2838.22,179650.86,70.86,15.28,0.85,0.86
47,?,?,?,?,?,?,0.86,?
48,?,?,?,?,?,?,?,?
49,46508.27,46665.39,2848.48,161600.87,180.87,13.94,?,0.87
50,46490.89,46652.19,2843.90,279940.87,210.87,24.38,0.87,0.87
51,46051.76,46198.42,2831.71,434970.87,140.87,37.81,0.87,0.87
52,45879.90,46050.52,2801.83,419790.86,200.86,36.08,0.87,0.86
53,45948.12,46124.82,2817.57,822760.84,330.84,69.38,0.86,0.84
54,?,?,?,?,?,?,0.84,?
55,?,?,?,?,?,?,?,?
56,46286.28,46487.05,2840.57,494690.83,330.83,41.36,?,0.83
57,45868.35,46065.85,2831.16,2195540.78,1110.78,173.83,0.83,0.78
58,46241.92,46459.99,2855.69,1308860.78,510.78,102.12,0.78,0.78
59,46280.36,46510.83,2865.27,2002300.77,660.77,156.18,0.78,0.77
60,46341.14,46622.90,2859.05,932240.78,390.78,72.57,0.77,0.78
61,?,?,?,?,?,?,0.78,?
62,?,?,?,?,?,?,?,?
63,46137.70,46454.13,2860.68,2351760.80,440.80,188.45,?,0.80
64,46676.09,47001.38,2868.06,1656500.78,500.78,131.54,0.80,0.78
65,46762.65,47090.49,2872.90,12731060.82,1880.82,1031.73,0.78,0.82
66,46745.26,47060.66,2873.49,8759520.81,1360.81,704.91,0.82,0.81
67,47074.39,47436.21,2906.74,10469090.84,2030.84,882.42,0.81,0.84
68,?,?,?,?,?,?,0.84,?
69,?,?,?,?,?,?,?,?
70,46933.03,47269.75,2914.24,2775360.83,620.83,230.38,?,0.83
71,47010.40,47340.43,2911.38,8536790.87,1460.87,730.83,0.83,0.87
72,46888.37,47235.72,2901.67,3691680.86,820.86,315.37,0.87,0.86
73,47223.68,47606.16,2912.13,1887480.85,650.85,160.84,0.86,0.85
74,47125.93,47522.10,2909.77,5083380.86,1250.86,441.05,0.85,0.86
75,?,?,?,?,?,?,0.86,?
76,?,?,?,?,?,?,?,?
77,46668.41,47094.18,2900.59,682050.84,260.84,57.39,?,0.84
78,46029.35,46473.62,2868.24,1839120.80,540.80,150.12,0.84,0.80
79,46068.24,46511.62,2874.75,2509410.79,780.79,200.11,0.80,0.79
80,45580.47,46017.88,2833.61,1418430.79,580.79,111.40,0.79,0.79
81,45066.18,45473.08,2800.67,949850.78,390.78,74.21,0.79,0.78
82,?,?,?,?,?,?,0.78,?
83,?,?,?,?,?,?,?,?
84,44585.10,44946.32,2780.21,2221820.75,590.75,171.91,?,0.75
