%310
@RELATION PLDUDA000016
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-SPOZYW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,10531.27,48107.89,3718.83,48389.84,2835.52,1563360.41,540.41,63.07,?,0.41
3,10554.18,48222.72,3696.13,48505.50,2832.46,1240900.40,310.40,49.88,0.41,0.40
4,10519.33,47888.16,3651.18,48143.94,2814.73,5021770.39,1990.39,200.40,0.40,0.39
5,?,?,?,?,?,?,?,?,0.39,?
6,?,?,?,?,?,?,?,?,?,?
7,10488.60,47589.33,3642.19,47820.24,2793.31,2475130.41,580.41,99.15,?,0.41
8,10500.71,47379.63,3576.33,47624.67,2790.64,1943680.41,560.41,78.10,0.41,0.41
9,10503.06,47407.28,3508.84,47668.58,2784.62,1394010.41,290.41,56.71,0.41,0.41
10,10496.80,47546.91,3558.48,47798.66,2800.96,1040610.41,220.41,41.77,0.41,0.41
11,10595.04,47440.80,3558.82,47690.97,2815.88,1597880.41,240.41,64.55,0.41,0.41
12,?,?,?,?,?,?,?,?,0.41,?
13,?,?,?,?,?,?,?,?,?,?
14,10637.07,47470.12,3578.44,47724.95,2820.74,1888730.40,560.40,75.99,?,0.40
15,10638.06,47086.54,3558.20,47346.41,2817.16,1622710.40,380.40,65.23,0.40,0.40
16,10673.05,47521.39,3558.19,47794.60,2825.40,2225840.40,360.40,89.04,0.40,0.40
17,10767.29,47661.37,3543.16,47936.81,2848.09,2110730.41,450.41,86.54,0.40,0.41
18,10903.93,47813.69,3562.92,48104.67,2864.72,2247900.41,370.41,90.26,0.41,0.41
19,?,?,?,?,?,?,?,?,0.41,?
20,?,?,?,?,?,?,?,?,?,?
21,11030.02,47936.61,3699.59,48184.37,2890.14,1589610.40,300.40,64.60,?,0.40
22,11073.63,47872.80,3655.10,48127.89,2892.80,2073000.41,380.41,83.31,0.40,0.41
23,11071.80,47733.24,3659.94,47999.21,2890.57,839620.41,200.41,34.06,0.41,0.41
24,11108.21,47942.04,3700.17,48203.43,2898.85,227740.41,90.41,9.16,0.41,0.41
25,11174.05,47613.95,3718.94,47851.99,2897.93,2250390.40,520.40,90.24,0.41,0.40
26,?,?,?,?,?,?,?,?,0.40,?
27,?,?,?,?,?,?,?,?,?,?
28,11144.27,47324.06,3735.07,47553.14,2886.17,1117340.40,290.40,44.38,?,0.40
29,11165.66,47328.40,3714.68,47565.10,2878.58,8288740.39,1430.39,317.56,0.40,0.39
30,11183.61,46917.19,3756.63,47113.08,2876.68,9232640.39,1270.39,347.93,0.39,0.39
31,11245.80,46840.15,3809.65,47011.43,2880.57,1648700.38,420.38,62.92,0.39,0.38
32,11241.00,46945.58,3793.66,47121.08,2883.81,2713140.38,480.38,102.85,0.38,0.38
33,?,?,?,?,?,?,?,?,0.38,?
34,?,?,?,?,?,?,?,?,?,?
35,11191.08,46556.55,3715.56,46735.25,2856.17,608760.38,300.38,22.91,?,0.38
36,11060.84,46674.78,3715.75,46862.43,2843.49,4232060.37,350.37,160.51,0.38,0.37
37,10953.57,46149.14,3658.81,46341.54,2811.05,3723940.37,580.37,138.11,0.37,0.37
38,10950.03,46329.66,3691.32,46512.72,2815.91,2278100.38,310.38,86.35,0.37,0.38
39,10986.53,46741.54,3696.69,46931.40,2825.70,2210100.38,220.38,83.90,0.38,0.38
40,?,?,?,?,?,?,?,?,0.38,?
41,?,?,?,?,?,?,?,?,?,?
42,10947.75,46786.74,3695.92,46988.04,2826.84,3460410.37,530.37,128.40,?,0.37
43,10981.98,46399.26,3702.31,46564.61,2821.25,3076450.36,670.36,111.27,0.37,0.36
44,11022.58,46406.74,3714.64,46569.81,2825.02,1317010.37,300.37,48.29,0.36,0.37
45,11017.48,46211.54,3733.52,46360.51,2825.15,1282610.37,310.37,47.03,0.37,0.37
46,11071.18,46370.13,3763.34,46523.63,2838.22,5600870.36,910.36,200.94,0.37,0.36
47,?,?,?,?,?,?,?,?,0.36,?
48,?,?,?,?,?,?,?,?,?,?
49,11089.91,46508.27,3757.44,46665.39,2848.48,1673060.36,450.36,60.24,?,0.36
50,11119.72,46490.89,3763.52,46652.19,2843.90,1640080.36,410.36,59.11,0.36,0.36
51,11014.53,46051.76,3745.72,46198.42,2831.71,2642380.36,420.36,95.09,0.36,0.36
52,10948.88,45879.90,3760.90,46050.52,2801.83,2354300.36,470.36,84.04,0.36,0.36
53,10985.79,45948.12,3733.92,46124.82,2817.57,11809220.36,1250.36,414.46,0.36,0.36
54,?,?,?,?,?,?,?,?,0.36,?
55,?,?,?,?,?,?,?,?,?,?
56,11033.69,46286.28,3698.83,46487.05,2840.57,5813420.34,930.34,198.99,?,0.34
57,10972.28,45868.35,3687.46,46065.85,2831.16,7776020.33,1280.33,255.61,0.34,0.33
58,11039.20,46241.92,3723.24,46459.99,2855.69,886230.34,430.34,29.24,0.33,0.34
59,11052.03,46280.36,3694.46,46510.83,2865.27,23004330.37,3640.37,830.22,0.34,0.37
60,11010.83,46341.14,3596.60,46622.90,2859.05,7175970.36,1520.36,257.46,0.37,0.36
61,?,?,?,?,?,?,?,?,0.36,?
62,?,?,?,?,?,?,?,?,?,?
63,10998.55,46137.70,3528.81,46454.13,2860.68,42865020.42,5520.42,1730.45,?,0.42
64,10997.33,46676.09,3522.56,47001.38,2868.06,21413580.44,3070.44,933.12,0.42,0.44
65,11042.47,46762.65,3541.17,47090.49,2872.90,21178000.46,2460.46,951.08,0.44,0.46
66,11042.08,46745.26,3558.65,47060.66,2873.49,15273140.46,1940.46,688.27,0.46,0.46
