%310
@RELATION PLIMPEL00011
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIGdiv NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,10531.27,1117.48,48107.89,48389.84,2835.52,29230.70,730.70,8.97,?,30.70
3,10554.18,1118.84,48222.72,48505.50,2832.46,78130.99,930.99,23.95,30.70,30.99
4,10519.33,1111.36,47888.16,48143.94,2814.73,3091930.01,2130.01,955.68,30.99,30.01
5,?,?,?,?,?,?,?,?,30.01,?
6,?,?,?,?,?,?,?,?,?,?
7,10488.60,1109.28,47589.33,47820.24,2793.31,59230.79,1630.79,18.07,?,30.79
8,10500.71,1101.95,47379.63,47624.67,2790.64,71630.70,1530.70,21.84,30.79,30.70
9,10503.06,1105.51,47407.28,47668.58,2784.62,35530.50,730.50,10.82,30.70,30.50
10,10496.80,1109.02,47546.91,47798.66,2800.96,28330.99,1230.99,8.63,30.50,30.99
11,10595.04,1106.07,47440.80,47690.97,2815.88,230331.00,2031.00,71.24,30.99,31.00
12,?,?,?,?,?,?,?,?,31.00,?
13,?,?,?,?,?,?,?,?,?,?
14,10637.07,1108.76,47470.12,47724.95,2820.74,309331.50,2731.50,96.18,?,31.50
15,10638.06,1098.41,47086.54,47346.41,2817.16,217531.98,2331.98,69.49,31.50,31.98
16,10673.05,1100.21,47521.39,47794.60,2825.40,1832731.80,3231.80,581.95,31.98,31.80
17,10767.29,1100.21,47661.37,47936.81,2848.09,7100631.80,3331.80,2257.87,31.80,31.80
18,10903.93,1104.63,47813.69,48104.67,2864.72,84131.80,731.80,26.73,31.80,31.80
19,?,?,?,?,?,?,?,?,31.80,?
20,?,?,?,?,?,?,?,?,?,?
21,11030.02,1103.07,47936.61,48184.37,2890.14,137131.85,931.85,43.78,?,31.85
22,11073.63,1099.21,47872.80,48127.89,2892.80,59932.30,1032.30,19.01,31.85,32.30
23,11071.80,1091.82,47733.24,47999.21,2890.57,746031.60,2231.60,237.59,32.30,31.60
24,11108.21,1093.21,47942.04,48203.43,2898.85,1187432.20,732.20,379.80,31.60,32.20
25,11174.05,1084.16,47613.95,47851.99,2897.93,181632.37,1332.37,58.47,32.20,32.37
26,?,?,?,?,?,?,?,?,32.37,?
27,?,?,?,?,?,?,?,?,?,?
28,11144.27,1079.13,47324.06,47553.14,2886.17,149332.25,1532.25,48.15,?,32.25
29,11165.66,1078.99,47328.40,47565.10,2878.58,58932.49,1332.49,19.04,32.25,32.49
30,11183.61,1071.11,46917.19,47113.08,2876.68,107931.93,1631.93,34.61,32.49,31.93
31,11245.80,1070.81,46840.15,47011.43,2880.57,8631433.00,2733.00,2742.40,31.93,33.00
32,11241.00,1073.47,46945.58,47121.08,2883.81,200633.50,1833.50,67.71,33.00,33.50
33,?,?,?,?,?,?,?,?,33.50,?
34,?,?,?,?,?,?,?,?,?,?
35,11191.08,1061.01,46556.55,46735.25,2856.17,147633.79,2133.79,49.71,?,33.79
36,11060.84,1066.05,46674.78,46862.43,2843.49,48833.50,833.50,16.35,33.79,33.50
37,10953.57,1054.01,46149.14,46341.54,2811.05,782432.69,1732.69,256.60,33.50,32.69
38,10950.03,1057.65,46329.66,46512.72,2815.91,58132.15,1332.15,18.81,32.69,32.15
39,10986.53,1068.97,46741.54,46931.40,2825.70,422332.00,1532.00,134.36,32.15,32.00
40,?,?,?,?,?,?,?,?,32.00,?
41,?,?,?,?,?,?,?,?,?,?
42,10947.75,1067.80,46786.74,46988.04,2826.84,1703533.10,1933.10,562.08,?,33.10
43,10981.98,1038.81,46399.26,46564.61,2821.25,2566133.40,4233.40,856.80,33.10,33.40
