%310
@RELATION GB00B1YKG049
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
93,44604.61,41622.50,522.50,9.37,22.00,22.50
94,44623.89,6723.49,523.49,1.53,22.50,23.49
95,44597.66,199621.53,1321.53,44.11,23.49,21.53
96,?,?,?,?,21.53,?
97,?,?,?,?,?,?
98,44590.97,182422.00,1122.00,39.79,?,22.00
99,44725.03,1021.95,121.95,0.22,22.00,21.95
100,45091.63,3021.95,121.95,0.66,21.95,21.95
101,45688.48,1021.90,121.90,0.22,21.95,21.90
102,45525.92,25021.80,421.80,5.45,21.90,21.80
103,?,?,?,?,21.80,?
104,?,?,?,?,?,?
105,44724.14,021.80,021.80,0.00,?,21.80
106,?,?,?,?,21.80,?
107,43916.24,20421.80,421.80,4.45,?,21.80
108,43364.70,021.80,021.80,0.00,21.80,21.80
109,43447.75,8021.80,321.80,1.73,21.80,21.80
110,?,?,?,?,21.80,?
111,?,?,?,?,?,?
112,43360.30,34122.25,422.25,7.48,?,22.25
113,43159.57,28322.50,322.50,6.35,22.25,22.50
114,43356.73,4023.00,323.00,0.92,22.50,23.00
115,43482.18,98624.90,524.90,23.19,23.00,24.90
116,43665.21,13224.50,524.50,3.17,24.90,24.50
117,?,?,?,?,24.50,?
118,?,?,?,?,?,?
119,43882.16,2523.80,123.80,0.60,?,23.80
120,44162.18,023.80,023.80,0.00,23.80,23.80
121,?,?,?,?,23.80,?
122,43991.51,1024.50,124.50,0.25,?,24.50
123,?,?,?,?,24.50,?
124,?,?,?,?,?,?
125,?,?,?,?,?,?
126,44541.73,11024.10,224.10,2.66,?,24.10
127,44742.22,1024.70,124.70,0.25,24.10,24.70
128,45117.94,10524.00,2624.00,2.52,24.70,24.00
129,44943.16,24024.00,5724.00,5.70,24.00,24.00
130,44895.35,223.99,123.99,0.05,24.00,23.99
131,?,?,?,?,23.99,?
132,?,?,?,?,?,?
133,45207.84,1024.49,124.49,0.24,?,24.49
134,45771.11,1024.50,124.50,0.25,24.49,24.50
135,46102.42,2024.50,224.50,0.49,24.50,24.50
136,45992.03,6824.50,424.50,1.63,24.50,24.50
137,46078.68,28624.10,624.10,7.01,24.50,24.10
138,?,?,?,?,24.10,?
139,?,?,?,?,?,?
140,46041.35,43725.29,825.29,10.77,?,25.29
141,45851.80,116126.35,1226.35,29.57,25.29,26.35
142,45933.66,10026.00,126.00,2.60,26.35,26.00
143,45687.76,16825.50,425.50,4.20,26.00,25.50
144,46145.44,025.50,025.50,0.00,25.50,25.50
145,?,?,?,?,25.50,?
146,?,?,?,?,?,?
147,47277.10,025.50,025.50,0.00,?,25.50
148,47579.87,2924.50,124.50,0.71,25.50,24.50
149,47476.64,28326.00,426.00,7.07,24.50,26.00
150,?,?,?,?,26.00,?
151,47806.34,126.00,126.00,0.03,?,26.00
152,?,?,?,?,26.00,?
153,?,?,?,?,?,?
154,47175.79,026.00,026.00,0.00,?,26.00
155,47620.68,2724.90,124.90,0.67,26.00,24.90
156,47805.94,024.90,024.90,0.00,24.90,24.90
157,47573.66,1025.00,125.00,0.25,24.90,25.00
158,48209.65,15025.00,225.00,3.75,25.00,25.00
159,?,?,?,?,25.00,?
160,?,?,?,?,?,?
161,48495.01,525.45,125.45,0.13,?,25.45
162,48324.52,7023.90,323.90,1.68,25.45,23.90
163,48383.93,3025.00,225.00,0.73,23.90,25.00
164,48152.82,13024.60,424.60,3.07,25.00,24.60
165,48273.42,524.60,124.60,0.12,24.60,24.60
166,?,?,?,?,24.60,?
167,?,?,?,?,?,?
168,48131.61,4923.51,223.51,1.16,?,23.51
169,48119.72,1024.30,124.30,0.24,23.51,24.30
170,47743.10,16424.30,324.30,3.97,24.30,24.30
171,45870.00,16025.00,425.00,3.93,24.30,25.00
172,44732.92,168624.01,1024.01,40.63,25.00,24.01
173,?,?,?,?,24.01,?
174,?,?,?,?,?,?
175,44824.62,10523.30,223.30,2.45,?,23.30
176,44966.09,97324.04,724.04,23.29,23.30,24.04
177,44893.99,124825.50,1025.50,31.14,24.04,25.50
178,43667.37,825.40,225.40,0.20,25.50,25.40
179,44747.79,4125.22,125.22,1.03,25.40,25.22
180,?,?,?,?,25.22,?
181,?,?,?,?,?,?
182,44769.00,8526.00,326.00,2.18,?,26.00
183,45533.94,1526.00,226.00,0.39,26.00,26.00
184,45184.98,12527.00,427.00,3.21,26.00,27.00
185,45613.75,13026.50,526.50,3.40,27.00,26.50
186,45110.89,426.50,126.50,0.11,26.50,26.50
187,?,?,?,?,26.50,?
188,?,?,?,?,?,?
189,44534.34,1226.50,326.50,0.32,?,26.50
190,44342.23,1026.20,326.20,0.26,26.50,26.20
191,45068.55,12526.20,326.20,3.22,26.20,26.20
192,45712.72,42026.80,326.80,11.05,26.20,26.80
193,46150.78,91627.08,527.08,24.31,26.80,27.08
194,?,?,?,?,27.08,?
195,?,?,?,?,?,?
196,46218.05,1827.08,227.08,0.48,?,27.08
197,46155.10,027.08,027.08,0.00,27.08,27.08
198,46287.08,727.10,327.10,0.19,27.08,27.10
199,46221.23,64228.20,428.20,17.85,27.10,28.20
200,46399.74,28527.80,727.80,7.96,28.20,27.80
201,?,?,?,?,27.80,?
202,?,?,?,?,?,?
203,46361.70,2727.40,427.40,0.73,?,27.40
204,46714.43,627.40,227.40,0.16,27.40,27.40
205,46835.98,1927.70,327.70,0.52,27.40,27.70
206,46713.02,627.20,227.20,0.16,27.70,27.20
207,46258.91,6127.90,627.90,1.69,27.20,27.90
208,?,?,?,?,27.90,?
209,?,?,?,?,?,?
210,46480.62,137028.20,1428.20,38.46,?,28.20
211,46663.41,142032.40,2832.40,43.01,28.20,32.40
212,46925.65,11931.81,531.81,3.81,32.40,31.81
213,47370.81,131931.90,1931.90,40.88,31.81,31.90
214,48325.33,1031.90,131.90,0.32,31.90,31.90
215,?,?,?,?,31.90,?
216,?,?,?,?,?,?
217,48458.44,81533.00,1233.00,26.72,?,33.00
218,47942.81,10532.50,932.50,3.35,33.00,32.50
219,48306.55,43631.80,631.80,13.52,32.50,31.80
220,48862.88,32430.80,1030.80,9.81,31.80,30.80
221,49125.36,6930.00,630.00,2.07,30.80,30.00
222,?,?,?,?,30.00,?
223,?,?,?,?,?,?
224,49580.16,530.79,130.79,0.15,?,30.79
225,49747.66,36730.79,730.79,10.96,30.79,30.79
226,50223.95,13630.45,430.45,4.11,30.79,30.45
227,?,?,?,?,30.45,?
228,49976.48,40130.20,430.20,11.80,?,30.20
229,?,?,?,?,30.20,?
230,?,?,?,?,?,?
231,49772.46,1030.45,130.45,0.30,?,30.45
232,49162.16,030.45,030.45,0.00,30.45,30.45
233,49128.05,5130.09,330.09,1.49,30.45,30.09
234,49846.48,130.40,130.40,0.03,30.09,30.40
235,49895.10,1130.44,230.44,0.33,30.40,30.44
236,?,?,?,?,30.44,?
237,?,?,?,?,?,?
238,49818.48,4030.40,130.40,1.22,?,30.40
239,48833.58,030.40,030.40,0.00,30.40,30.40
240,48537.65,4130.29,230.29,1.19,30.40,30.29
241,48676.45,130.38,130.38,0.03,30.29,30.38
242,48871.98,030.38,030.38,0.00,30.38,30.38
243,?,?,?,?,30.38,?
244,?,?,?,?,?,?
245,49187.22,10830.76,530.76,3.29,?,30.76
246,48968.87,22731.40,931.40,7.08,30.76,31.40
247,47919.09,48432.00,632.00,15.27,31.40,32.00
248,45830.66,3132.50,232.50,1.01,32.00,32.50
249,46717.04,432.50,132.50,0.13,32.50,32.50
250,?,?,?,?,32.50,?
251,?,?,?,?,?,?
252,47808.90,21533.50,733.50,6.98,?,33.50
253,48961.51,23133.50,433.50,7.63,33.50,33.50
254,49437.02,10833.00,333.00,3.54,33.50,33.00
255,49771.55,30831.50,331.50,9.71,33.00,31.50
256,49348.61,6531.50,431.50,2.01,31.50,31.50
257,?,?,?,?,31.50,?
258,?,?,?,?,?,?
259,48917.85,5632.00,332.00,1.76,?,32.00
260,49434.46,11731.00,331.00,3.59,32.00,31.00
261,49413.33,23032.30,332.30,7.05,31.00,32.30
262,50300.53,35133.50,433.50,11.41,32.30,33.50
263,50308.19,2633.20,233.20,0.86,33.50,33.20
264,?,?,?,?,33.20,?
265,?,?,?,?,?,?
266,49955.87,84132.00,732.00,26.93,?,32.00
267,49979.47,2232.00,432.00,0.69,32.00,32.00
268,50301.69,44532.00,532.00,14.02,32.00,32.00
269,50936.34,24932.00,632.00,7.75,32.00,32.00
270,50819.81,65431.49,931.49,19.88,32.00,31.49
271,?,?,?,?,31.49,?
272,?,?,?,?,?,?
273,50301.85,45631.49,831.49,13.98,?,31.49
274,50782.48,10131.49,231.49,3.18,31.49,31.49
275,50803.40,031.49,031.49,0.00,31.49,31.49
276,50982.03,2731.49,331.49,0.83,31.49,31.49
277,50601.24,5030.10,130.10,1.51,31.49,30.10
278,?,?,?,?,30.10,?
279,?,?,?,?,?,?
280,50338.71,231.49,231.49,0.06,?,31.49
281,50137.88,8631.49,231.49,2.70,31.49,31.49
282,50335.02,031.49,031.49,0.00,31.49,31.49
283,51806.83,031.49,031.49,0.00,31.49,31.49
284,52230.47,54531.49,1031.49,16.80,31.49,31.49
285,?,?,?,?,31.49,?
286,?,?,?,?,?,?
287,52520.91,2731.48,231.48,0.83,?,31.48
288,52590.73,31732.00,532.00,9.96,31.48,32.00
289,52861.41,032.00,032.00,0.00,32.00,32.00
290,52573.59,38233.50,833.50,12.50,32.00,33.50
291,52587.24,6133.39,333.39,1.98,33.50,33.39
292,?,?,?,?,33.39,?
293,?,?,?,?,?,?
294,53853.55,033.39,033.39,0.00,?,33.39
295,53781.81,1933.39,233.39,0.63,33.39,33.39
296,53389.74,241231.01,3131.01,76.16,33.39,31.01
297,53994.46,12231.50,331.50,3.84,31.01,31.50
298,53887.13,031.50,031.50,0.00,31.50,31.50
299,?,?,?,?,31.50,?
300,?,?,?,?,?,?
301,54180.04,732.50,332.50,0.22,?,32.50
302,54536.95,4032.54,332.54,1.30,32.50,32.54
303,54095.32,194130.40,1930.40,59.38,32.54,30.40
304,53607.86,26529.94,729.94,7.87,30.40,29.94
305,?,?,?,?,29.94,?
306,?,?,?,?,?,?
307,?,?,?,?,?,?
308,53989.37,211,6,6.18,?,29.94
309,53504.47,24,2,0.72,29.94,29.94
310,53924.01,13,2,0.39,29.94,29.99
340,45857.110734846676,?,?,?,?,?,? 
370,46189.882480874876,?,?,?,?,?,? 
400,46522.654226903076,?,?,?,?,?,? 
490,47520.969464987684,?,?,?,?,?,? 
670,49517.5999411569,?,?,?,?,?,? 
