%310
@RELATION PLACTIN00018
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIGdiv NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
72,11194.08,1026.57,46888.37,47235.72,2901.67,212432.00,3132.00,67.47,32.00,32.00
73,11231.22,1033.40,47223.68,47606.16,2912.13,3469132.00,2532.00,1099.83,32.00,32.00
74,11228.39,1030.99,47125.93,47522.10,2909.77,189931.98,1231.98,60.63,32.00,31.98
75,?,?,?,?,?,?,?,?,31.98,?
76,?,?,?,?,?,?,?,?,?,?
77,11190.20,1019.65,46668.41,47094.18,2900.59,106131.40,1231.40,33.54,?,31.40
78,11135.62,1004.18,46029.35,46473.62,2868.24,151531.91,1831.91,47.29,31.40,31.91
79,11168.63,1001.19,46068.24,46511.62,2874.75,1120531.90,2631.90,357.68,31.91,31.90
80,11069.03,992.85,45580.47,46017.88,2833.61,112931.80,1731.80,35.75,31.90,31.80
81,10908.77,982.63,45066.18,45473.08,2800.67,234331.15,3131.15,73.82,31.80,31.15
82,?,?,?,?,?,?,?,?,31.15,?
83,?,?,?,?,?,?,?,?,?,?
84,10899.26,971.44,44585.10,44946.32,2780.21,408931.20,4631.20,130.79,?,31.20
85,10815.43,974.15,44724.88,45119.16,2774.13,68231.16,1231.16,21.28,31.20,31.16
86,10867.86,981.90,45247.90,45644.09,2785.46,503231.85,3531.85,159.92,31.16,31.85
87,10938.55,986.42,45147.57,45528.85,2797.31,1350732.00,3932.00,427.79,31.85,32.00
88,?,?,?,?,?,?,?,?,32.00,?
89,?,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?
92,10998.70,988.58,45304.74,45679.51,2814.33,199831.98,1231.98,64.21,?,31.98
93,10809.87,974.84,44604.61,44940.36,2769.02,287531.01,3731.01,89.63,31.98,31.01
94,10817.23,976.20,44623.89,44980.62,2766.19,396531.98,2531.98,125.70,31.01,31.98
95,10803.99,975.85,44597.66,44960.02,2760.91,411431.20,3531.20,129.29,31.98,31.20
96,?,?,?,?,?,?,?,?,31.20,?
97,?,?,?,?,?,?,?,?,?,?
98,10819.93,975.73,44590.97,44963.96,2764.28,554530.60,4230.60,171.15,?,30.60
99,10820.89,975.68,44725.03,45096.35,2767.26,587830.94,1430.94,181.86,30.60,30.94
100,10845.27,979.74,45091.63,45495.34,2780.21,924930.75,4130.75,284.12,30.94,30.75
101,10908.65,994.45,45688.48,46131.66,2794.43,300330.02,3630.02,91.44,30.75,30.02
102,10807.45,991.42,45525.92,45960.10,2783.53,1431630.40,7130.40,424.42,30.02,30.40
103,?,?,?,?,?,?,?,?,30.40,?
104,?,?,?,?,?,?,?,?,?,?
105,10663.67,976.98,44724.14,45167.65,2754.91,169629.67,2529.67,50.96,?,29.67
106,?,?,?,?,?,?,?,?,29.67,?
107,10431.02,961.16,43916.24,44404.81,2705.88,909429.50,3629.50,267.87,?,29.50
108,10415.53,947.88,43364.70,43850.06,2695.55,1090929.10,3029.10,318.57,29.50,29.10
109,10373.60,953.25,43447.75,43993.98,2685.57,113729.25,829.25,33.27,29.10,29.25
110,?,?,?,?,?,?,?,?,29.25,?
111,?,?,?,?,?,?,?,?,?,?
112,10335.77,957.00,43360.30,43892.82,2660.28,964728.50,4928.50,275.11,?,28.50
113,10282.22,956.98,43159.57,43707.88,2624.40,746128.99,2628.99,212.36,28.50,28.99
114,10264.95,956.07,43356.73,43908.95,2636.70,941828.50,1328.50,268.35,28.99,28.50
115,10327.20,957.91,43482.18,44027.03,2658.57,465728.90,1028.90,133.72,28.50,28.90
116,10407.26,957.94,43665.21,44226.06,2669.93,1114029.03,1729.03,322.48,28.90,29.03
117,?,?,?,?,?,?,?,?,29.03,?
118,?,?,?,?,?,?,?,?,?,?
119,10465.41,960.13,43882.16,44420.22,2685.14,652128.75,1328.75,187.42,?,28.75
120,10511.46,967.66,44162.18,44653.34,2704.84,270629.00,1929.00,78.46,28.75,29.00
121,?,?,?,?,?,?,?,?,29.00,?
122,10554.34,969.80,43991.51,44466.89,2695.22,40629.60,829.60,11.87,?,29.60
123,?,?,?,?,?,?,?,?,29.60,?
124,?,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?,?
126,10605.72,985.04,44541.73,45060.80,2714.72,16929.60,529.60,4.95,?,29.60
127,10618.63,983.62,44742.22,45244.29,2733.96,1506431.02,5531.02,463.37,29.60,31.02
