%310
@RELATION WIG-Plus
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE djia NUMERIC 
@ATTRIBUTE nasdaq NUMERIC 
@ATTRIBUTE eurostoxx NUMERIC 
@ATTRIBUTE dollar NUMERIC 
@ATTRIBUTE euro NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
102,14865.06,3294.95,3294.95,3.1537,3.1537,9854.79,819.29
103,?,?,?,?,?,?,?
104,?,?,?,?,?,?,?
105,14599.20,3216.49,3216.49,3.1502,3.1502,6242.43,814.07
106,14756.78,3264.63,3264.63,3.1559,3.1559,?,?
107,14618.59,3204.67,3204.67,3.1159,3.1159,14559.09,796.68
108,14537.14,3166.36,3166.36,3.1529,3.1529,12215.76,787.39
109,14547.51,3206.06,3206.06,3.1409,3.1409,7873.06,783.37
110,?,?,?,?,?,?,?
111,?,?,?,?,?,?,?
112,14567.17,3233.55,3233.55,3.1448,3.1448,6053.90,776.37
113,14719.46,3269.33,3269.33,3.1811,3.1811,9614.61,769.16
114,14676.30,3269.65,3269.65,3.1823,3.1823,11362.36,769.82
115,14700.80,3289.99,3289.99,3.1792,3.1792,7936.16,774.88
116,14712.55,3279.26,3279.26,3.1943,3.1943,6851.56,777.86
117,?,?,?,?,?,?,?
118,?,?,?,?,?,?,?
119,14818.75,3307.02,3307.02,3.1712,3.1712,6328.39,779.98
120,14839.80,3328.79,3328.79,3.1721,3.1721,8067.69,784.81
121,14700.95,3299.13,3299.13,?,?,?,?
122,14831.58,3340.62,3340.62,3.1492,3.1492,3920.06,787.45
123,14973.96,3378.63,3378.63,?,?,?,?
124,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?
126,14968.89,3392.97,3392.97,3.1646,3.1646,7045.89,786.57
127,15056.20,3396.63,3396.63,3.1767,3.1767,9657.13,793.09
128,15105.12,3413.27,3413.27,3.1609,3.1609,10056.17,798.10
129,15082.62,3409.17,3409.17,3.1392,3.1392,16188.64,800.71
130,15118.49,3436.58,3436.58,3.1861,3.1861,8391.80,800.42
131,?,?,?,?,?,?,?
132,?,?,?,?,?,?,?
133,15091.68,3438.79,3438.79,3.2051,3.2051,13404.73,802.74
134,15215.25,3462.61,3462.61,3.1998,3.1998,13259.13,804.49
135,15275.69,3471.62,3471.62,3.2340,3.2340,15903.30,802.28
