%317
@RELATION djia
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?
2,13412.55
3,13391.36
4,13435.21
5,?
6,?
7,13384.29
8,13328.85
9,13390.51
10,13471.22
11,13488.43
12,?
13,?
14,13507.32
15,13534.89
16,13511.23
17,13596.02
18,13649.70
19,?
20,?
21,?
22,13712.21
23,13779.33
24,13825.33
25,13895.98
26,?
27,?
28,13881.93
29,13954.42
30,13910.42
31,13860.58
32,14009.79
33,?
34,?
35,13880.08
36,13979.30
37,13986.52
38,13944.05
39,13992.97
40,?
41,?
42,13971.24
43,14018.70
44,13982.91
45,13973.39
46,13981.76
47,?
48,?
49,?
50,14035.67
51,13927.54
52,13880.62
53,14000.57
54,?
55,?
56,13784.17
57,13900.13
58,14075.37
59,14054.49
60,14089.66
61,?
62,?
63,14127.82
64,14253.77
65,14296.24
66,14329.49
67,14397.07
68,?
69,?
70,14447.29
71,14450.06
72,14455.28
73,14539.14
74,14514.11
75,?
76,?
77,14452.06
78,14455.82
79,14511.73
80,14421.49
81,14512.03
82,?
83,?
84,14447.75
85,14559.65
86,14526.16
87,14578.54
88,?
89,?
90,?
91,14572.85
92,14662.01
93,14550.35
94,14606.11
95,14565.25
96,?
97,?
98,14613.48
99,14673.46
100,14802.24
101,14865.14
102,14865.06
103,?
104,?
105,14599.20
106,14756.78
107,14618.59
108,14537.14
109,14547.51
110,?
111,?
112,14567.17
113,14719.46
114,14676.30
115,14700.80
116,14712.55
117,?
118,?
119,14818.75
120,14839.80
121,14700.95
122,14831.58
123,14973.96
124,?
125,?
126,14968.89
127,15056.20
128,15105.12
129,15082.62
130,15118.49
131,?
132,?
133,15091.68
134,15215.25
135,15275.69
136,15233.22
137,15354.40
138,?
139,?
140,15335.28
141,15387.58
142,15307.17
143,15294.50
144,15303.10
145,?
146,?
147,?
148,15409.39
149,15302.80
150,15324.53
151,15115.57
152,?
153,?
154,15254.03
155,15177.54
156,14960.59
157,15040.62
158,15248.12
159,?
160,?
161,15238.59
162,15122.02
163,14995.23
164,15176.08
165,15070.18
166,?
167,?
168,15179.85
169,15318.23
170,15112.19
171,14758.32
172,14799.40
173,?
174,?
175,14659.56
176,14760.31
177,14910.14
178,15024.49
179,14909.60
180,?
181,?
182,14974.96
183,14932.41
184,14988.55
185,?
186,15135.84
187,?
188,?
189,15224.69
190,15300.34
191,15291.66
192,15460.92
193,15464.30
194,?
195,?
196,15484.26
197,15451.85
198,15470.52
199,15548.54
200,15543.74
201,?
202,?
203,15545.55
204,15567.74
205,15542.24
206,15555.61
207,15558.83
208,?
209,?
210,15521.97
211,15520.59
212,15499.54
213,15628.02
214,15658.36
215,?
216,?
217,15612.13
218,15518.74
219,15470.67
220,15498.32
221,15425.51
222,?
223,?
224,15419.68
225,15451.01
226,15337.66
227,15112.19
228,15081.47
229,?
230,?
231,15010.74
232,15002.99
233,14897.55
234,14963.74
235,15010.51
236,?
237,?
238,14946.46
239,14776.13
240,14824.51
241,14840.95
242,14810.31
243,?
244,?
245,?
246,14833.96
247,14930.87
248,14937.48
249,14922.50
250,?
251,?
252,15063.12
253,15191.06
254,15326.60
255,15300.64
256,15376.06
257,?
258,?
259,15494.78
260,15529.73
261,15676.94
262,15636.55
263,15451.09
264,?
265,?
266,15401.38
267,15334.59
268,15273.26
269,15328.30
270,15258.24
271,?
272,?
273,15129.67
274,15191.70
275,15133.14
276,14996.48
277,15072.58
278,?
279,?
280,14936.24
281,14776.53
282,14802.98
283,15126.07
284,15237.11
285,?
286,?
287,15301.26
288,15168.01
289,15373.83
290,15371.65
291,15399.65
292,?
293,?
294,15392.20
295,15467.66
296,15413.33
297,15509.21
298,15570.28
299,?
300,?
301,15568.93
302,15680.35
303,15618.76
304,15545.75
305,15615.55
306,?
307,?
308,15619.64
309,15630.45
310,15733.62
311,15593.98
312,15760.96
313,15761.78
314,15761.78
315,15781.24
316,15751.70
317,15819.84
347,?
377,?
407,?
497,?
677,?
