%310
@RELATION PLSEKO000014
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-SPOZYW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,3718.83,48389.84,4103.34,33.34,1.37,?,3.34
3,783.15,48222.72,3696.13,48505.50,103.33,13.33,0.03,3.34,3.33
4,781.69,47888.16,3651.18,48143.94,1203.25,23.25,0.39,3.33,3.25
5,?,?,?,?,?,?,?,3.25,?
6,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,3642.19,47820.24,10903.33,73.33,3.63,?,3.33
8,780.70,47379.63,3576.33,47624.67,12153.33,63.33,3.92,3.33,3.33
9,784.82,47407.28,3508.84,47668.58,30163.15,103.15,9.18,3.33,3.15
10,788.85,47546.91,3558.48,47798.66,17703.16,113.16,5.59,3.15,3.16
11,795.36,47440.80,3558.82,47690.97,45063.31,193.31,14.65,3.16,3.31
12,?,?,?,?,?,?,?,3.31,?
13,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,3578.44,47724.95,10263.37,63.37,3.45,?,3.37
15,794.59,47086.54,3558.20,47346.41,40983.36,123.36,13.78,3.37,3.36
16,796.34,47521.39,3558.19,47794.60,17803.41,83.41,6.03,3.36,3.41
17,803.56,47661.37,3543.16,47936.81,63623.53,203.53,22.24,3.41,3.53
18,807.72,47813.69,3562.92,48104.67,9403.55,83.55,3.33,3.53,3.55
19,?,?,?,?,?,?,?,3.55,?
20,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,3699.59,48184.37,31103.60,123.60,11.06,?,3.60
22,808.23,47872.80,3655.10,48127.89,36203.60,133.60,13.21,3.60,3.60
23,808.40,47733.24,3659.94,47999.21,7663.67,53.67,2.81,3.60,3.67
24,811.80,47942.04,3700.17,48203.43,10173.70,63.70,3.75,3.67,3.70
25,812.99,47613.95,3718.94,47851.99,29103.70,153.70,10.73,3.70,3.70
26,?,?,?,?,?,?,?,3.70,?
27,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,3735.07,47553.14,2603.70,23.70,0.96,?,3.70
29,815.93,47328.40,3714.68,47565.10,23313.72,53.72,8.63,3.70,3.72
30,815.59,46917.19,3756.63,47113.08,28143.73,103.73,10.47,3.72,3.73
31,817.14,46840.15,3809.65,47011.43,113.77,13.77,0.04,3.73,3.77
32,818.68,46945.58,3793.66,47121.08,33.69,13.69,0.01,3.77,3.69
33,?,?,?,?,?,?,?,3.69,?
34,?,?,?,?,?,?,?,?,?
