%310
@RELATION SK1120010287
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-CEE NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?
2,48107.89,832.17,200183.00,2183.00,36.60,?,183.00
3,48222.72,839.05,150184.00,1184.00,27.60,183.00,184.00
4,47888.16,845.71,200184.00,1184.00,36.80,184.00,184.00
5,?,?,?,?,?,184.00,?
6,?,?,?,?,?,?,?
7,47589.33,849.25,11185.00,1185.00,2.04,?,185.00
8,47379.63,854.96,160184.00,1184.00,29.44,185.00,184.00
9,47407.28,851.76,0184.00,0184.00,0.00,184.00,184.00
10,47546.91,851.10,120183.00,1183.00,21.96,184.00,183.00
11,47440.80,850.72,249182.00,2182.00,45.43,183.00,182.00
12,?,?,?,?,?,182.00,?
13,?,?,?,?,?,?,?
14,47470.12,856.11,0182.00,0182.00,0.00,?,182.00
15,47086.54,855.54,160183.00,2183.00,29.17,182.00,183.00
16,47521.39,849.49,140183.00,2183.00,25.62,183.00,183.00
17,47661.37,854.27,0183.00,0183.00,0.00,183.00,183.00
18,47813.69,845.61,180183.00,1183.00,32.94,183.00,183.00
19,?,?,?,?,?,183.00,?
20,?,?,?,?,?,?,?
21,47936.61,857.64,90184.00,1184.00,16.56,?,184.00
22,47872.80,858.70,280184.00,1184.00,51.52,184.00,184.00
23,47733.24,853.17,100184.00,1184.00,18.40,184.00,184.00
24,47942.04,865.46,100184.00,1184.00,18.40,184.00,184.00
25,47613.95,867.33,90185.00,1185.00,16.65,184.00,185.00
26,?,?,?,?,?,185.00,?
27,?,?,?,?,?,?,?
28,47324.06,862.14,121185.00,2185.00,22.39,?,185.00
29,47328.40,861.04,130185.00,1185.00,24.05,185.00,185.00
30,46917.19,868.36,90185.00,1185.00,16.65,185.00,185.00
31,46840.15,873.28,110185.00,1185.00,20.35,185.00,185.00
32,46945.58,873.87,133186.00,3186.00,24.74,185.00,186.00
33,?,?,?,?,?,186.00,?
34,?,?,?,?,?,?,?
35,46556.55,865.72,130184.00,1184.00,23.92,?,184.00
36,46674.78,868.83,98184.00,2184.00,18.00,184.00,184.00
37,46149.14,868.89,100186.00,2186.00,18.51,184.00,186.00
38,46329.66,869.69,100185.00,1185.00,18.50,186.00,185.00
39,46741.54,870.75,80185.00,1185.00,14.80,185.00,185.00
40,?,?,?,?,?,185.00,?
41,?,?,?,?,?,?,?
42,46786.74,870.67,80185.00,1185.00,14.80,?,185.00
43,46399.26,874.02,90185.00,1185.00,16.65,185.00,185.00
