%310
@RELATION PLKLNR000017
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?
2,48107.89,48389.84,2835.52,7988.75,68.75,6.97,?,8.75
3,48222.72,48505.50,2832.46,9168.84,88.84,7.99,8.75,8.84
4,47888.16,48143.94,2814.73,16758.90,98.90,14.89,8.84,8.90
5,?,?,?,?,?,?,8.90,?
6,?,?,?,?,?,?,?,?
7,47589.33,47820.24,2793.31,14228.89,78.89,12.53,?,8.89
8,47379.63,47624.67,2790.64,318.89,18.89,0.28,8.89,8.89
9,47407.28,47668.58,2784.62,18.86,18.86,0.01,8.89,8.86
10,47546.91,47798.66,2800.96,23098.87,128.87,20.42,8.86,8.87
11,47440.80,47690.97,2815.88,31408.91,218.91,27.80,8.87,8.91
12,?,?,?,?,?,?,8.91,?
13,?,?,?,?,?,?,?,?
14,47470.12,47724.95,2820.74,3948.80,68.80,3.48,?,8.80
15,47086.54,47346.41,2817.16,7668.75,78.75,6.71,8.80,8.75
16,47521.39,47794.60,2825.40,28478.79,118.79,24.98,8.75,8.79
17,47661.37,47936.81,2848.09,2638.81,48.81,2.29,8.79,8.81
18,47813.69,48104.67,2864.72,7898.86,78.86,6.89,8.81,8.86
19,?,?,?,?,?,?,8.86,?
20,?,?,?,?,?,?,?,?
21,47936.61,48184.37,2890.14,2028.87,48.87,1.79,?,8.87
22,47872.80,48127.89,2892.80,28.87,28.87,0.02,8.87,8.87
23,47733.24,47999.21,2890.57,1018.85,28.85,0.89,8.87,8.85
24,47942.04,48203.43,2898.85,1878.84,48.84,1.64,8.85,8.84
25,47613.95,47851.99,2897.93,1628.84,48.84,1.43,8.84,8.84
26,?,?,?,?,?,?,8.84,?
27,?,?,?,?,?,?,?,?
28,47324.06,47553.14,2886.17,27158.95,228.95,24.04,?,8.95
29,47328.40,47565.10,2878.58,44089.48,389.48,40.26,8.95,9.48
30,46917.19,47113.08,2876.68,44209.41,309.41,41.62,9.48,9.41
31,46840.15,47011.43,2880.57,29879.70,209.70,28.84,9.41,9.70
32,46945.58,47121.08,2883.81,16049.80,199.80,15.53,9.70,9.80
33,?,?,?,?,?,?,9.80,?
34,?,?,?,?,?,?,?,?
35,46556.55,46735.25,2856.17,27509.74,219.74,26.27,?,9.74
