%310
@RELATION LU0275164910
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-CEE NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?
2,48107.89,832.17,077.00,077.00,0.00,?,77.00
3,48222.72,839.05,077.00,077.00,0.00,77.00,77.00
4,47888.16,845.71,077.00,077.00,0.00,77.00,77.00
5,?,?,?,?,?,77.00,?
6,?,?,?,?,?,?,?
7,47589.33,849.25,077.00,077.00,0.00,?,77.00
8,47379.63,854.96,077.00,077.00,0.00,77.00,77.00
9,47407.28,851.76,077.00,077.00,0.00,77.00,77.00
10,47546.91,851.10,077.00,077.00,0.00,77.00,77.00
11,47440.80,850.72,577.80,177.80,0.39,77.00,77.80
12,?,?,?,?,?,77.80,?
13,?,?,?,?,?,?,?
14,47470.12,856.11,077.80,077.80,0.00,?,77.80
15,47086.54,855.54,40880.50,880.50,32.54,77.80,80.50
16,47521.39,849.49,7976.05,476.05,6.26,80.50,76.05
17,47661.37,854.27,1580.70,280.70,1.21,76.05,80.70
18,47813.69,845.61,080.70,080.70,0.00,80.70,80.70
19,?,?,?,?,?,80.70,?
20,?,?,?,?,?,?,?
21,47936.61,857.64,17182.00,482.00,13.93,?,82.00
22,47872.80,858.70,082.00,082.00,0.00,82.00,82.00
23,47733.24,853.17,2475.10,175.10,1.80,82.00,75.10
24,47942.04,865.46,52481.90,481.90,42.82,75.10,81.90
25,47613.95,867.33,8782.00,282.00,7.13,81.90,82.00
26,?,?,?,?,?,82.00,?
27,?,?,?,?,?,?,?
28,47324.06,862.14,082.00,082.00,0.00,?,82.00
29,47328.40,861.04,350682.50,582.50,289.17,82.00,82.50
30,46917.19,868.36,311285.30,585.30,264.52,82.50,85.30
31,46840.15,873.28,501086.30,486.30,432.18,85.30,86.30
32,46945.58,873.87,086.30,086.30,0.00,86.30,86.30
33,?,?,?,?,?,86.30,?
34,?,?,?,?,?,?,?
35,46556.55,865.72,086.30,086.30,0.00,?,86.30
36,46674.78,868.83,885.00,185.00,0.68,86.30,85.00
37,46149.14,868.89,76786.10,386.10,65.92,85.00,86.10
38,46329.66,869.69,086.10,086.10,0.00,86.10,86.10
39,46741.54,870.75,4586.00,286.00,3.86,86.10,86.00
40,?,?,?,?,?,86.00,?
41,?,?,?,?,?,?,?
42,46786.74,870.67,086.00,086.00,0.00,?,86.00
43,46399.26,874.02,086.00,086.00,0.00,86.00,86.00
44,46406.74,874.66,086.00,086.00,0.00,86.00,86.00
45,46211.54,870.38,086.00,086.00,0.00,86.00,86.00
46,46370.13,873.83,086.00,086.00,0.00,86.00,86.00
47,?,?,?,?,?,86.00,?
48,?,?,?,?,?,?,?
49,46508.27,869.62,086.00,086.00,0.00,?,86.00
50,46490.89,861.33,086.00,086.00,0.00,86.00,86.00
51,46051.76,862.42,086.00,086.00,0.00,86.00,86.00
52,45879.90,859.18,086.00,086.00,0.00,86.00,86.00
53,45948.12,860.24,086.00,086.00,0.00,86.00,86.00
54,?,?,?,?,?,86.00,?
55,?,?,?,?,?,?,?
56,46286.28,865.38,086.00,086.00,0.00,?,86.00
57,45868.35,859.83,086.00,086.00,0.00,86.00,86.00
58,46241.92,854.80,086.00,086.00,0.00,86.00,86.00
59,46280.36,848.17,086.00,086.00,0.00,86.00,86.00
60,46341.14,845.37,086.00,086.00,0.00,86.00,86.00
61,?,?,?,?,?,86.00,?
62,?,?,?,?,?,?,?
63,46137.70,840.47,086.00,086.00,0.00,?,86.00
64,46676.09,839.67,181.40,181.40,0.08,86.00,81.40
65,46762.65,844.03,081.40,081.40,0.00,81.40,81.40
66,46745.26,848.35,081.40,081.40,0.00,81.40,81.40
67,47074.39,849.80,081.40,081.40,0.00,81.40,81.40
68,?,?,?,?,?,81.40,?
69,?,?,?,?,?,?,?
70,46933.03,846.53,081.40,081.40,0.00,?,81.40
71,47010.40,846.39,800084.60,184.60,676.80,81.40,84.60
72,46888.37,837.78,084.60,084.60,0.00,84.60,84.60
73,47223.68,837.83,16385.50,785.50,14.26,84.60,85.50
74,47125.93,836.66,085.50,085.50,0.00,85.50,85.50
75,?,?,?,?,?,85.50,?
76,?,?,?,?,?,?,?
77,46668.41,820.24,6281.40,681.40,5.15,?,81.40
78,46029.35,809.89,081.40,081.40,0.00,81.40,81.40
79,46068.24,807.16,081.40,081.40,0.00,81.40,81.40
80,45580.47,804.44,081.40,081.40,0.00,81.40,81.40
81,45066.18,810.77,5989.00,389.00,5.25,81.40,89.00
82,?,?,?,?,?,89.00,?
83,?,?,?,?,?,?,?
84,44585.10,812.79,089.00,089.00,0.00,?,89.00
85,44724.88,803.27,8682.10,582.10,7.06,89.00,82.10
86,45247.90,809.03,082.10,082.10,0.00,82.10,82.10
87,45147.57,810.52,082.10,082.10,0.00,82.10,82.10
88,?,?,?,?,?,82.10,?
89,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?
92,45304.74,817.94,082.10,082.10,0.00,?,82.10
93,44604.61,814.18,082.10,082.10,0.00,82.10,82.10
94,44623.89,813.71,082.10,082.10,0.00,82.10,82.10
95,44597.66,814.30,082.10,082.10,0.00,82.10,82.10
96,?,?,?,?,?,82.10,?
97,?,?,?,?,?,?,?
98,44590.97,804.33,082.10,082.10,0.00,?,82.10
99,44725.03,809.49,082.10,082.10,0.00,82.10,82.10
100,45091.63,809.43,082.10,082.10,0.00,82.10,82.10
101,45688.48,808.43,580.65,280.65,0.40,82.10,80.65
102,45525.92,806.22,080.65,080.65,0.00,80.65,80.65
103,?,?,?,?,?,80.65,?
104,?,?,?,?,?,?,?
