%310
@RELATION PLPTIW000014
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?
2,48107.89,48389.84,2835.52,291515.89,1315.89,46.30,?,15.89
3,48222.72,48505.50,2832.46,331215.72,1915.72,51.98,15.89,15.72
4,47888.16,48143.94,2814.73,416815.63,2315.63,64.49,15.72,15.63
5,?,?,?,?,?,?,15.63,?
6,?,?,?,?,?,?,?,?
7,47589.33,47820.24,2793.31,186515.32,1415.32,28.42,?,15.32
8,47379.63,47624.67,2790.64,419915.59,2015.59,65.17,15.32,15.59
9,47407.28,47668.58,2784.62,227615.81,1715.81,35.58,15.59,15.81
10,47546.91,47798.66,2800.96,213315.55,1215.55,33.17,15.81,15.55
11,47440.80,47690.97,2815.88,205215.49,1315.49,31.46,15.55,15.49
12,?,?,?,?,?,?,15.49,?
13,?,?,?,?,?,?,?,?
14,47470.12,47724.95,2820.74,210815.67,1715.67,32.79,?,15.67
15,47086.54,47346.41,2817.16,252415.62,1615.62,39.42,15.67,15.62
16,47521.39,47794.60,2825.40,195715.63,1215.63,30.45,15.62,15.63
17,47661.37,47936.81,2848.09,255015.58,1715.58,39.64,15.63,15.58
18,47813.69,48104.67,2864.72,233015.51,1815.51,36.05,15.58,15.51
19,?,?,?,?,?,?,15.51,?
20,?,?,?,?,?,?,?,?
21,47936.61,48184.37,2890.14,215515.00,2015.00,32.81,?,15.00
22,47872.80,48127.89,2892.80,113915.35,815.35,17.39,15.00,15.35
23,47733.24,47999.21,2890.57,112015.19,715.19,17.04,15.35,15.19
24,47942.04,48203.43,2898.85,387415.45,1215.45,59.62,15.19,15.45
25,47613.95,47851.99,2897.93,194015.47,1015.47,29.95,15.45,15.47
26,?,?,?,?,?,?,15.47,?
27,?,?,?,?,?,?,?,?
28,47324.06,47553.14,2886.17,117315.58,915.58,18.25,?,15.58
29,47328.40,47565.10,2878.58,206315.49,1015.49,31.94,15.58,15.49
30,46917.19,47113.08,2876.68,158615.47,915.47,24.37,15.49,15.47
31,46840.15,47011.43,2880.57,106215.21,715.21,16.41,15.47,15.21
32,46945.58,47121.08,2883.81,182715.49,815.49,28.24,15.21,15.49
33,?,?,?,?,?,?,15.49,?
34,?,?,?,?,?,?,?,?
35,46556.55,46735.25,2856.17,161915.45,1015.45,25.03,?,15.45
36,46674.78,46862.43,2843.49,153015.43,615.43,23.62,15.45,15.43
37,46149.14,46341.54,2811.05,210915.43,915.43,32.53,15.43,15.43
38,46329.66,46512.72,2815.91,157915.19,1015.19,23.98,15.43,15.19
39,46741.54,46931.40,2825.70,157415.00,1015.00,23.91,15.19,15.00
40,?,?,?,?,?,?,15.00,?
41,?,?,?,?,?,?,?,?
42,46786.74,46988.04,2826.84,261415.13,1815.13,39.45,?,15.13
43,46399.26,46564.61,2821.25,159015.15,1115.15,23.91,15.13,15.15
44,46406.74,46569.81,2825.02,180815.02,1415.02,27.47,15.15,15.02
45,46211.54,46360.51,2825.15,88715.15,715.15,13.38,15.02,15.15
46,46370.13,46523.63,2838.22,131715.17,915.17,19.92,15.15,15.17
47,?,?,?,?,?,?,15.17,?
48,?,?,?,?,?,?,?,?
49,46508.27,46665.39,2848.48,230415.21,1615.21,34.92,?,15.21
50,46490.89,46652.19,2843.90,31015.19,215.19,4.71,15.21,15.19
51,46051.76,46198.42,2831.71,132115.00,1215.00,19.80,15.19,15.00
52,45879.90,46050.52,2801.83,162214.75,914.75,24.00,15.00,14.75
53,45948.12,46124.82,2817.57,29314.73,214.73,4.32,14.75,14.73
54,?,?,?,?,?,?,14.73,?
55,?,?,?,?,?,?,?,?
56,46286.28,46487.05,2840.57,86214.72,614.72,12.69,?,14.72
57,45868.35,46065.85,2831.16,223314.49,1714.49,32.44,14.72,14.49
58,46241.92,46459.99,2855.69,184414.65,1114.65,27.06,14.49,14.65
59,46280.36,46510.83,2865.27,366215.48,2615.48,54.75,14.65,15.48
60,46341.14,46622.90,2859.05,209115.44,1715.44,31.94,15.48,15.44
61,?,?,?,?,?,?,15.44,?
62,?,?,?,?,?,?,?,?
63,46137.70,46454.13,2860.68,151915.40,815.40,23.33,?,15.40
64,46676.09,47001.38,2868.06,126615.44,815.44,19.54,15.40,15.44
65,46762.65,47090.49,2872.90,217015.44,1415.44,33.33,15.44,15.44
66,46745.26,47060.66,2873.49,121515.40,815.40,18.67,15.44,15.40
67,47074.39,47436.21,2906.74,82615.40,515.40,12.71,15.40,15.40
68,?,?,?,?,?,?,15.40,?
69,?,?,?,?,?,?,?,?
70,46933.03,47269.75,2914.24,113615.38,915.38,17.39,?,15.38
71,47010.40,47340.43,2911.38,140315.25,1315.25,21.27,15.38,15.25
72,46888.37,47235.72,2901.67,209914.74,1714.74,31.63,15.25,14.74
73,47223.68,47606.16,2912.13,96014.97,514.97,14.36,14.74,14.97
74,47125.93,47522.10,2909.77,183814.85,1214.85,27.43,14.97,14.85
75,?,?,?,?,?,?,14.85,?
76,?,?,?,?,?,?,?,?
77,46668.41,47094.18,2900.59,318914.99,2214.99,47.63,?,14.99
78,46029.35,46473.62,2868.24,462615.00,3315.00,69.15,14.99,15.00
79,46068.24,46511.62,2874.75,401715.06,3615.06,60.18,15.00,15.06
80,45580.47,46017.88,2833.61,671315.29,4815.29,101.87,15.06,15.29
81,45066.18,45473.08,2800.67,806115.44,3415.44,123.62,15.29,15.44
82,?,?,?,?,?,?,15.44,?
83,?,?,?,?,?,?,?,?
84,44585.10,44946.32,2780.21,258915.40,1215.40,39.85,?,15.40
85,44724.88,45119.16,2774.13,439115.53,2115.53,67.85,15.40,15.53
86,45247.90,45644.09,2785.46,610815.68,3115.68,95.13,15.53,15.68
87,45147.57,45528.85,2797.31,1287416.27,4716.27,203.33,15.68,16.27
88,?,?,?,?,?,?,16.27,?
89,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?
92,45304.74,45679.51,2814.33,196516.27,1216.27,32.10,?,16.27
93,44604.61,44940.36,2769.02,171516.35,1016.35,28.01,16.27,16.35
94,44623.89,44980.62,2766.19,161716.37,816.37,26.47,16.35,16.37
