%310
@RELATION PLECBDZ00013
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?
2,2835.52,1425.90,125.90,0.36,?,25.90
3,2832.46,18325.00,525.00,4.58,25.90,25.00
4,2814.73,38925.50,825.50,9.91,25.00,25.50
5,?,?,?,?,25.50,?
6,?,?,?,?,?,?
7,2793.31,6425.66,125.66,1.64,?,25.66
8,2790.64,11225.85,425.85,2.89,25.66,25.85
9,2784.62,14627.24,427.24,4.01,25.85,27.24
10,2800.96,027.24,027.24,0.00,27.24,27.24
11,2815.88,3927.23,327.23,1.06,27.24,27.23
12,?,?,?,?,27.23,?
13,?,?,?,?,?,?
14,2820.74,027.23,027.23,0.00,?,27.23
15,2817.16,027.23,027.23,0.00,27.23,27.23
16,2825.40,027.23,027.23,0.00,27.23,27.23
17,2848.09,027.23,027.23,0.00,27.23,27.23
18,2864.72,027.23,027.23,0.00,27.23,27.23
19,?,?,?,?,27.23,?
20,?,?,?,?,?,?
21,2890.14,027.23,027.23,0.00,?,27.23
22,2892.80,027.23,027.23,0.00,27.23,27.23
23,2890.57,1226.77,126.77,0.32,27.23,26.77
24,2898.85,4325.60,225.60,1.10,26.77,25.60
25,2897.93,44325.65,825.65,11.35,25.60,25.65
26,?,?,?,?,25.65,?
27,?,?,?,?,?,?
28,2886.17,025.65,025.65,0.00,?,25.65
29,2878.58,157426.40,1126.40,41.55,25.65,26.40
30,2876.68,69625.09,325.09,17.46,26.40,25.09
31,2880.57,025.09,025.09,0.00,25.09,25.09
32,2883.81,16725.50,125.50,4.26,25.09,25.50
33,?,?,?,?,25.50,?
34,?,?,?,?,?,?
35,2856.17,15926.00,326.00,4.13,?,26.00
36,2843.49,36626.00,326.00,9.52,26.00,26.00
37,2811.05,026.00,026.00,0.00,26.00,26.00
38,2815.91,56526.00,426.00,14.69,26.00,26.00
39,2825.70,026.00,026.00,0.00,26.00,26.00
40,?,?,?,?,26.00,?
