%310
@RELATION PLINSTK00013
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-BUDOW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,1718.26,48389.84,2835.52,117.30,117.30,0.02,?,17.30
3,783.15,48222.72,1714.83,48505.50,2832.46,157517.20,1317.20,27.10,17.30,17.20
4,781.69,47888.16,1719.23,48143.94,2814.73,599116.65,2616.65,102.06,17.20,16.65
5,?,?,?,?,?,?,?,?,16.65,?
6,?,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,1719.82,47820.24,2793.31,54716.90,1016.90,9.16,?,16.90
8,780.70,47379.63,1714.18,47624.67,2790.64,150116.50,2416.50,24.81,16.90,16.50
9,784.82,47407.28,1722.98,47668.58,2784.62,30816.58,616.58,5.09,16.50,16.58
10,788.85,47546.91,1717.51,47798.66,2800.96,7138516.31,1516.31,1191.92,16.58,16.31
11,795.36,47440.80,1761.65,47690.97,2815.88,95616.50,616.50,15.77,16.31,16.50
12,?,?,?,?,?,?,?,?,16.50,?
13,?,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,1787.10,47724.95,2820.74,92216.48,1216.48,15.09,?,16.48
15,794.59,47086.54,1789.24,47346.41,2817.16,131016.50,1216.50,21.58,16.48,16.50
16,796.34,47521.39,1813.57,47794.60,2825.40,163616.37,916.37,26.77,16.50,16.37
17,803.56,47661.37,1796.76,47936.81,2848.09,118716.48,616.48,19.56,16.37,16.48
18,807.72,47813.69,1830.45,48104.67,2864.72,223516.48,2016.48,36.79,16.48,16.48
19,?,?,?,?,?,?,?,?,16.48,?
20,?,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,1829.00,48184.37,2890.14,62416.25,916.25,10.15,?,16.25
22,808.23,47872.80,1822.02,48127.89,2892.80,35616.20,916.20,5.77,16.25,16.20
23,808.40,47733.24,1819.73,47999.21,2890.57,418216.50,1716.50,68.68,16.20,16.50
24,811.80,47942.04,1794.79,48203.43,2898.85,788616.50,1416.50,130.11,16.50,16.50
25,812.99,47613.95,1818.33,47851.99,2897.93,137516.70,1416.70,22.71,16.50,16.70
26,?,?,?,?,?,?,?,?,16.70,?
27,?,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,1811.61,47553.14,2886.17,76616.80,1016.80,12.90,?,16.80
29,815.93,47328.40,1804.79,47565.10,2878.58,55316.94,716.94,9.37,16.80,16.94
30,815.59,46917.19,1825.50,47113.08,2876.68,103516.99,816.99,17.54,16.94,16.99
31,817.14,46840.15,1817.11,47011.43,2880.57,142816.89,1216.89,24.00,16.99,16.89
32,818.68,46945.58,1834.26,47121.08,2883.81,182716.80,1316.80,30.81,16.89,16.80
33,?,?,?,?,?,?,?,?,16.80,?
34,?,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,1819.69,46735.25,2856.17,251016.26,2116.26,41.31,?,16.26
36,816.68,46674.78,1784.50,46862.43,2843.49,38016.55,416.55,6.25,16.26,16.55
37,813.75,46149.14,1779.66,46341.54,2811.05,27716.40,516.40,4.56,16.55,16.40
38,811.13,46329.66,1758.77,46512.72,2815.91,50516.50,716.50,8.41,16.40,16.50
39,813.77,46741.54,1769.71,46931.40,2825.70,17516.50,316.50,2.91,16.50,16.50
40,?,?,?,?,?,?,?,?,16.50,?
41,?,?,?,?,?,?,?,?,?,?
42,817.03,46786.74,1762.40,46988.04,2826.84,9016.60,216.60,1.49,?,16.60
43,817.32,46399.26,1785.06,46564.61,2821.25,524516.51,1716.51,86.57,16.60,16.51
44,817.35,46406.74,1780.69,46569.81,2825.02,28116.67,316.67,4.68,16.51,16.67
45,818.81,46211.54,1783.79,46360.51,2825.15,19816.62,516.62,3.30,16.67,16.62
46,826.73,46370.13,1804.96,46523.63,2838.22,266416.65,716.65,44.35,16.62,16.65
47,?,?,?,?,?,?,?,?,16.65,?
48,?,?,?,?,?,?,?,?,?,?
49,830.85,46508.27,1814.39,46665.39,2848.48,129816.70,716.70,21.68,?,16.70
50,832.30,46490.89,1821.72,46652.19,2843.90,60416.75,716.75,10.10,16.70,16.75
51,830.62,46051.76,1809.28,46198.42,2831.71,84016.78,916.78,14.09,16.75,16.78
52,823.32,45879.90,1812.57,46050.52,2801.83,156116.80,1016.80,26.27,16.78,16.80
53,826.66,45948.12,1826.84,46124.82,2817.57,852516.90,616.90,143.28,16.80,16.90
54,?,?,?,?,?,?,?,?,16.90,?
55,?,?,?,?,?,?,?,?,?,?
56,829.61,46286.28,1850.28,46487.05,2840.57,30016.77,416.77,5.04,?,16.77
57,828.81,45868.35,1831.29,46065.85,2831.16,117216.77,516.77,19.66,16.77,16.77
58,836.69,46241.92,1848.22,46459.99,2855.69,58916.90,216.90,9.95,16.77,16.90
59,844.08,46280.36,1866.67,46510.83,2865.27,62116.86,816.86,10.48,16.90,16.86
60,842.02,46341.14,1880.05,46622.90,2859.05,37216.90,616.90,6.29,16.86,16.90
61,?,?,?,?,?,?,?,?,16.90,?
62,?,?,?,?,?,?,?,?,?,?
63,838.26,46137.70,1870.04,46454.13,2860.68,52516.70,516.70,8.78,?,16.70
64,845.88,46676.09,1867.84,47001.38,2868.06,1060016.90,816.90,179.14,16.70,16.90
65,849.88,46762.65,1848.50,47090.49,2872.90,144516.90,616.90,24.37,16.90,16.90
66,855.99,46745.26,1870.22,47060.66,2873.49,108416.90,616.90,18.29,16.90,16.90
67,861.67,47074.39,1871.59,47436.21,2906.74,308216.90,1316.90,51.89,16.90,16.90
68,?,?,?,?,?,?,?,?,16.90,?
69,?,?,?,?,?,?,?,?,?,?
70,863.89,46933.03,1873.37,47269.75,2914.24,138416.81,1116.81,23.33,?,16.81
71,866.79,47010.40,1865.43,47340.43,2911.38,382716.81,1216.81,64.42,16.81,16.81
72,872.90,46888.37,1864.62,47235.72,2901.67,74016.80,416.80,12.43,16.81,16.80
73,871.52,47223.68,1848.14,47606.16,2912.13,36616.80,416.80,6.15,16.80,16.80
74,873.21,47125.93,1849.89,47522.10,2909.77,117316.80,1116.80,19.69,16.80,16.80
75,?,?,?,?,?,?,?,?,16.80,?
76,?,?,?,?,?,?,?,?,?,?
77,868.37,46668.41,1834.95,47094.18,2900.59,8016.76,116.76,1.34,?,16.76
78,864.73,46029.35,1794.48,46473.62,2868.24,186716.66,1216.66,31.22,16.76,16.66
79,862.97,46068.24,1801.52,46511.62,2874.75,534916.68,1716.68,89.29,16.66,16.68
80,850.86,45580.47,1769.42,46017.88,2833.61,69816.65,516.65,11.62,16.68,16.65
81,845.32,45066.18,1707.83,45473.08,2800.67,254516.50,2016.50,42.55,16.65,16.50
82,?,?,?,?,?,?,?,?,16.50,?
83,?,?,?,?,?,?,?,?,?,?
84,839.36,44585.10,1660.44,44946.32,2780.21,228716.20,2016.20,37.29,?,16.20
85,830.80,44724.88,1648.36,45119.16,2774.13,784016.21,916.21,127.09,16.20,16.21
86,835.51,45247.90,1653.10,45644.09,2785.46,1237216.10,5516.10,186.31,16.21,16.10
87,839.42,45147.57,1677.23,45528.85,2797.31,147816.60,1316.60,24.21,16.10,16.60
88,?,?,?,?,?,?,?,?,16.60,?
89,?,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?
92,840.31,45304.74,1656.40,45679.51,2814.33,16116.55,416.55,2.67,?,16.55
93,828.79,44604.61,1620.82,44940.36,2769.02,28016.50,416.50,4.64,16.55,16.50
94,824.35,44623.89,1588.07,44980.62,2766.19,142216.69,3416.69,23.28,16.50,16.69
95,819.73,44597.66,1585.00,44960.02,2760.91,45916.49,1716.49,7.47,16.69,16.49
96,?,?,?,?,?,?,?,?,16.49,?
97,?,?,?,?,?,?,?,?,?,?
98,818.75,44590.97,1584.03,44963.96,2764.28,253716.20,1916.20,40.78,?,16.20
99,815.74,44725.03,1600.11,45096.35,2767.26,1016.45,116.45,0.16,16.20,16.45
100,820.16,45091.63,1609.16,45495.34,2780.21,2516.39,116.39,0.41,16.45,16.39
101,824.04,45688.48,1647.89,46131.66,2794.43,71516.50,1816.50,11.67,16.39,16.50
102,819.29,45525.92,1602.65,45960.10,2783.53,589915.90,3815.90,94.81,16.50,15.90
103,?,?,?,?,?,?,?,?,15.90,?
104,?,?,?,?,?,?,?,?,?,?
105,814.07,44724.14,1590.14,45167.65,2754.91,316.74,216.74,0.05,?,16.74
106,?,?,?,?,?,?,?,?,16.74,?
107,796.68,43916.24,1578.30,44404.81,2705.88,451416.00,1816.00,72.66,?,16.00
108,787.39,43364.70,1582.90,43850.06,2695.55,152815.90,715.90,24.35,16.00,15.90
109,783.37,43447.75,1551.70,43993.98,2685.57,60015.50,315.50,9.30,15.90,15.50
110,?,?,?,?,?,?,?,?,15.50,?
111,?,?,?,?,?,?,?,?,?,?
112,776.37,43360.30,1572.53,43892.82,2660.28,24115.46,715.46,3.71,?,15.46
113,769.16,43159.57,1577.62,43707.88,2624.40,76715.38,815.38,11.71,15.46,15.38
114,769.82,43356.73,1568.91,43908.95,2636.70,1673814.88,1714.88,253.06,15.38,14.88
115,774.88,43482.18,1578.90,44027.03,2658.57,70714.79,814.79,10.49,14.88,14.79
