%310
@RELATION PLBPRMT00011
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-BUDOW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
84,839.36,44585.10,1660.44,44946.32,76676.55,236.55,48.93,?,6.55
85,830.80,44724.88,1648.36,45119.16,39846.54,106.54,25.81,6.55,6.54
86,835.51,45247.90,1653.10,45644.09,5516.53,46.53,3.53,6.54,6.53
87,839.42,45147.57,1677.23,45528.85,10356.50,76.50,6.60,6.53,6.50
88,?,?,?,?,?,?,?,6.50,?
89,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?
92,840.31,45304.74,1656.40,45679.51,16.39,16.39,0.01,?,6.39
93,828.79,44604.61,1620.82,44940.36,47936.39,126.39,30.33,6.39,6.39
94,824.35,44623.89,1588.07,44980.62,20516.35,76.35,12.66,6.39,6.35
95,819.73,44597.66,1585.00,44960.02,246.35,16.35,0.15,6.35,6.35
96,?,?,?,?,?,?,?,6.35,?
97,?,?,?,?,?,?,?,?,?
98,818.75,44590.97,1584.03,44963.96,12086.48,136.48,7.75,?,6.48
99,815.74,44725.03,1600.11,45096.35,16.48,16.48,0.01,6.48,6.48
100,820.16,45091.63,1609.16,45495.34,39526.20,126.20,24.44,6.48,6.20
101,824.04,45688.48,1647.89,46131.66,6186.24,66.24,3.84,6.20,6.24
102,819.29,45525.92,1602.65,45960.10,20036.55,46.55,12.52,6.24,6.55
103,?,?,?,?,?,?,?,6.55,?
104,?,?,?,?,?,?,?,?,?
105,814.07,44724.14,1590.14,45167.65,3016.23,26.23,1.88,?,6.23
106,?,?,?,?,?,?,?,6.23,?
107,796.68,43916.24,1578.30,44404.81,15296.20,116.20,9.41,?,6.20
108,787.39,43364.70,1582.90,43850.06,139245.82,335.82,81.17,6.20,5.82
109,783.37,43447.75,1551.70,43993.98,17775.86,95.86,10.35,5.82,5.86
110,?,?,?,?,?,?,?,5.86,?
111,?,?,?,?,?,?,?,?,?
112,776.37,43360.30,1572.53,43892.82,17775.92,125.92,10.47,?,5.92
113,769.16,43159.57,1577.62,43707.88,35486.35,126.35,20.72,5.92,6.35
114,769.82,43356.73,1568.91,43908.95,40505.90,125.90,23.98,6.35,5.90
115,774.88,43482.18,1578.90,44027.03,16.07,16.07,0.01,5.90,6.07
116,777.86,43665.21,1567.21,44226.06,33806.20,96.20,20.00,6.07,6.20
117,?,?,?,?,?,?,?,6.20,?
118,?,?,?,?,?,?,?,?,?
119,779.98,43882.16,1568.27,44420.22,06.20,06.20,0.00,?,6.20
120,784.81,44162.18,1577.58,44653.34,06.20,06.20,0.00,6.20,6.20
121,?,?,?,?,?,?,?,6.20,?
122,787.45,43991.51,1593.50,44466.89,1306.04,26.04,0.79,?,6.04
123,?,?,?,?,?,?,?,6.04,?
124,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?
126,786.57,44541.73,1610.11,45060.80,15556.05,76.05,9.39,?,6.05
127,793.09,44742.22,1618.85,45244.29,6916.13,76.13,4.20,6.05,6.13
128,798.10,45117.94,1640.06,45647.76,46.13,46.13,0.02,6.13,6.13
129,800.71,44943.16,1640.84,45475.08,06.13,06.13,0.00,6.13,6.13
130,800.42,44895.35,1627.28,45408.06,20916.14,106.14,12.79,6.13,6.14
131,?,?,?,?,?,?,?,6.14,?
132,?,?,?,?,?,?,?,?,?
133,802.74,45207.84,1680.51,45746.01,45745.90,155.90,27.02,?,5.90
134,804.49,45771.11,1669.79,46336.62,6005.90,65.90,3.53,5.90,5.90
135,802.28,46102.42,1662.38,46676.61,1005.97,15.97,0.60,5.90,5.97
136,806.45,45992.03,1668.63,46581.16,32255.85,125.85,18.69,5.97,5.85
137,810.69,46078.68,1720.89,46646.58,86995.76,225.76,47.76,5.85,5.76
138,?,?,?,?,?,?,?,5.76,?
139,?,?,?,?,?,?,?,?,?
140,815.60,46041.35,1720.79,46615.31,99235.36,305.36,52.27,?,5.36
141,819.76,45851.80,1715.41,46439.10,20825.30,115.30,10.84,5.36,5.30
142,818.82,45933.66,1721.17,46529.96,82935.40,235.40,44.29,5.30,5.40
143,814.69,45687.76,1700.24,46311.26,42865.42,75.42,23.06,5.40,5.42
144,820.11,46145.44,1717.23,46783.61,41055.56,145.56,22.64,5.42,5.56
145,?,?,?,?,?,?,?,5.56,?
146,?,?,?,?,?,?,?,?,?
147,828.12,47277.10,1770.93,47957.54,43335.39,125.39,23.20,?,5.39
148,838.40,47579.87,1794.53,48258.02,184085.25,335.25,98.51,5.39,5.25
149,842.72,47476.64,1826.11,48138.07,103005.30,175.30,53.97,5.25,5.30
150,?,?,?,?,?,?,?,5.30,?
151,841.72,47806.34,1832.70,48503.87,24005.25,55.25,12.60,?,5.25
152,?,?,?,?,?,?,?,5.25,?
153,?,?,?,?,?,?,?,?,?
154,839.57,47175.79,1796.86,47868.36,13595.25,85.25,7.17,?,5.25
155,854.67,47620.68,1812.04,48323.88,66255.49,135.49,35.01,5.25,5.49
156,859.35,47805.94,1846.56,48513.29,20705.47,45.47,11.10,5.49,5.47
157,864.95,47573.66,1856.88,48259.19,8555.43,95.43,4.59,5.47,5.43
158,866.67,48209.65,1849.90,48918.37,7895.44,45.44,4.29,5.43,5.44
159,?,?,?,?,?,?,?,5.44,?
160,?,?,?,?,?,?,?,?,?
161,870.65,48495.01,1856.85,49207.65,33905.35,175.35,18.20,?,5.35
162,870.60,48324.52,1866.45,49050.96,31605.30,65.30,16.79,5.35,5.30
163,878.91,48383.93,1901.79,49098.70,132615.30,125.30,68.99,5.30,5.30
164,877.48,48152.82,1913.84,48890.47,47755.30,75.30,25.27,5.30,5.30
165,880.65,48273.42,1917.53,49057.66,1805.37,25.37,0.97,5.30,5.37
166,?,?,?,?,?,?,?,5.37,?
167,?,?,?,?,?,?,?,?,?
168,883.59,48131.61,1911.93,48917.56,42765.50,125.50,23.00,?,5.50
169,886.71,48119.72,1917.62,48891.04,24735.75,75.75,13.71,5.50,5.75
170,885.25,47743.10,1923.19,48509.84,5205.65,45.65,2.87,5.75,5.65
171,864.38,45870.00,1891.03,46587.68,36735.29,205.29,19.56,5.65,5.29
172,855.18,44732.92,1879.16,45456.77,123755.49,1045.49,66.81,5.29,5.49
173,?,?,?,?,?,?,?,5.49,?
174,?,?,?,?,?,?,?,?,?
175,857.74,44824.62,1899.94,45531.46,24405.40,95.40,12.94,?,5.40
176,863.23,44966.09,1919.70,45672.10,22005.29,55.29,11.45,5.40,5.29
177,858.05,44893.99,1923.12,45601.51,39635.40,95.40,21.13,5.29,5.40
178,847.97,43667.37,1881.89,44326.49,2715.70,35.70,1.54,5.40,5.70
179,848.08,44747.79,1851.41,45442.51,23105.40,1515.40,12.49,5.70,5.40
180,?,?,?,?,?,?,?,5.40,?
181,?,?,?,?,?,?,?,?,?
182,848.80,44769.00,1835.70,45461.06,52695.25,135.25,27.49,?,5.25
183,853.37,45533.94,1831.78,46254.71,131535.30,255.30,67.29,5.25,5.30
184,850.45,45184.98,1823.41,45899.36,42205.28,115.28,21.93,5.30,5.28
185,855.94,45613.75,1818.75,46344.42,43305.40,65.40,22.65,5.28,5.40
186,851.88,45110.89,1805.32,45805.34,115.35,25.35,0.06,5.40,5.35
187,?,?,?,?,?,?,?,5.35,?
