%310
@RELATION PLINTEG00011
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,2568.59,48107.89,48389.84,2835.52,36611186.60,74186.60,6867.64,?,186.60
3,2588.67,48222.72,48505.50,2832.46,3093199.00,131199.00,610.87,186.60,199.00
4,2588.47,47888.16,48143.94,2814.73,3838199.00,124199.00,779.10,199.00,199.00
5,?,?,?,?,?,?,?,199.00,?
6,?,?,?,?,?,?,?,?,?
7,2588.96,47589.33,47820.24,2793.31,6583202.00,122202.00,1344.82,?,202.00
8,2587.38,47379.63,47624.67,2790.64,2377200.00,121200.00,480.88,202.00,200.00
9,2573.27,47407.28,47668.58,2784.62,4795193.80,125193.80,932.53,200.00,193.80
10,2592.53,47546.91,47798.66,2800.96,29975186.60,180186.60,5680.61,193.80,186.60
11,2611.26,47440.80,47690.97,2815.88,940188.30,60188.30,177.30,186.60,188.30
12,?,?,?,?,?,?,?,188.30,?
13,?,?,?,?,?,?,?,?,?
14,2605.15,47470.12,47724.95,2820.74,1425186.00,87186.00,263.02,?,186.00
15,2598.51,47086.54,47346.41,2817.16,1178181.20,50181.20,215.80,186.00,181.20
16,2598.53,47521.39,47794.60,2825.40,11656182.90,96182.90,2111.05,181.20,182.90
17,2618.14,47661.37,47936.81,2848.09,1106187.00,66187.00,206.28,182.90,187.00
18,2626.72,47813.69,48104.67,2864.72,782188.00,38188.00,147.67,187.00,188.00
19,?,?,?,?,?,?,?,188.00,?
20,?,?,?,?,?,?,?,?,?
21,2635.73,47936.61,48184.37,2890.14,6776190.90,71190.90,1283.91,?,190.90
22,2636.01,47872.80,48127.89,2892.80,8679191.20,60191.20,1657.37,190.90,191.20
23,2626.76,47733.24,47999.21,2890.57,1578190.00,44190.00,301.55,191.20,190.00
24,2646.20,47942.04,48203.43,2898.85,5964191.00,43191.00,1133.32,190.00,191.00
25,2642.64,47613.95,47851.99,2897.93,354192.00,35192.00,66.82,191.00,192.00
26,?,?,?,?,?,?,?,192.00,?
27,?,?,?,?,?,?,?,?,?
28,2637.81,47324.06,47553.14,2886.17,870189.80,56189.80,164.17,?,189.80
29,2623.78,47328.40,47565.10,2878.58,758186.50,35186.50,142.48,189.80,186.50
30,2612.20,46917.19,47113.08,2876.68,93188.00,12188.00,17.46,186.50,188.00
31,2597.73,46840.15,47011.43,2880.57,163189.70,11189.70,30.77,188.00,189.70
32,2603.21,46945.58,47121.08,2883.81,373188.50,22188.50,69.58,189.70,188.50
33,?,?,?,?,?,?,?,188.50,?
34,?,?,?,?,?,?,?,?,?
35,2609.03,46556.55,46735.25,2856.17,2391182.70,91182.70,438.11,?,182.70
36,2595.69,46674.78,46862.43,2843.49,2869181.70,79181.70,518.49,182.70,181.70
37,2567.59,46149.14,46341.54,2811.05,18672175.00,189175.00,3344.21,181.70,175.00
38,2577.94,46329.66,46512.72,2815.91,1780175.00,70175.00,310.07,175.00,175.00
