%310
@RELATION PLZUE0000015
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-BUDOW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,1718.26,48389.84,2835.52,51496.70,126.70,36.36,?,6.70
3,783.15,48222.72,1714.83,48505.50,2832.46,22866.68,76.68,15.06,6.70,6.68
4,781.69,47888.16,1719.23,48143.94,2814.73,21486.47,76.47,13.95,6.68,6.47
5,?,?,?,?,?,?,?,?,6.47,?
6,?,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,1719.82,47820.24,2793.31,16056.32,46.32,10.15,?,6.32
8,780.70,47379.63,1714.18,47624.67,2790.64,2306.19,36.19,1.41,6.32,6.19
9,784.82,47407.28,1722.98,47668.58,2784.62,2706.33,36.33,1.71,6.19,6.33
10,788.85,47546.91,1717.51,47798.66,2800.96,28156.01,66.01,17.31,6.33,6.01
11,795.36,47440.80,1761.65,47690.97,2815.88,17315.95,135.95,10.19,6.01,5.95
12,?,?,?,?,?,?,?,?,5.95,?
13,?,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,1787.10,47724.95,2820.74,18456.00,96.00,10.94,?,6.00
15,794.59,47086.54,1789.24,47346.41,2817.16,10026.04,36.04,5.96,6.00,6.04
16,796.34,47521.39,1813.57,47794.60,2825.40,7865.95,45.95,4.71,6.04,5.95
17,803.56,47661.37,1796.76,47936.81,2848.09,7196.19,46.19,4.33,5.95,6.19
18,807.72,47813.69,1830.45,48104.67,2864.72,06.19,06.19,0.00,6.19,6.19
19,?,?,?,?,?,?,?,?,6.19,?
20,?,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,1829.00,48184.37,2890.14,3296.05,46.05,2.00,?,6.05
22,808.23,47872.80,1822.02,48127.89,2892.80,13475.93,75.93,8.04,6.05,5.93
23,808.40,47733.24,1819.73,47999.21,2890.57,5685.80,65.80,3.28,5.93,5.80
24,811.80,47942.04,1794.79,48203.43,2898.85,26196.08,86.08,15.39,5.80,6.08
25,812.99,47613.95,1818.33,47851.99,2897.93,34026.20,136.20,20.75,6.08,6.20
26,?,?,?,?,?,?,?,?,6.20,?
27,?,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,1811.61,47553.14,2886.17,32095.88,125.88,19.04,?,5.88
29,815.93,47328.40,1804.79,47565.10,2878.58,32485.98,75.98,19.11,5.88,5.98
30,815.59,46917.19,1825.50,47113.08,2876.68,9665.91,55.91,5.75,5.98,5.91
31,817.14,46840.15,1817.11,47011.43,2880.57,91986.31,376.31,57.11,5.91,6.31
32,818.68,46945.58,1834.26,47121.08,2883.81,26356.22,136.22,16.20,6.31,6.22
33,?,?,?,?,?,?,?,?,6.22,?
34,?,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,1819.69,46735.25,2856.17,34206.12,126.12,21.40,?,6.12
36,816.68,46674.78,1784.50,46862.43,2843.49,1506.27,16.27,0.94,6.12,6.27
37,813.75,46149.14,1779.66,46341.54,2811.05,166.09,16.09,0.10,6.27,6.09
38,811.13,46329.66,1758.77,46512.72,2815.91,21656.01,56.01,13.24,6.09,6.01
39,813.77,46741.54,1769.71,46931.40,2825.70,528876.00,66.00,317.32,6.01,6.00
40,?,?,?,?,?,?,?,?,6.00,?
41,?,?,?,?,?,?,?,?,?,?
42,817.03,46786.74,1762.40,46988.04,2826.84,3466.00,26.00,2.08,?,6.00
43,817.32,46399.26,1785.06,46564.61,2821.25,11926.00,56.00,7.15,6.00,6.00
44,817.35,46406.74,1780.69,46569.81,2825.02,18825.90,25.90,11.10,6.00,5.90
45,818.81,46211.54,1783.79,46360.51,2825.15,31035.89,65.89,18.06,5.90,5.89
46,826.73,46370.13,1804.96,46523.63,2838.22,17725.90,45.90,10.50,5.89,5.90
47,?,?,?,?,?,?,?,?,5.90,?
48,?,?,?,?,?,?,?,?,?,?
49,830.85,46508.27,1814.39,46665.39,2848.48,60906.16,116.16,36.05,?,6.16
50,832.30,46490.89,1821.72,46652.19,2843.90,22506.01,36.01,13.54,6.16,6.01
51,830.62,46051.76,1809.28,46198.42,2831.71,35585.95,85.95,21.56,6.01,5.95
52,823.32,45879.90,1812.57,46050.52,2801.83,70465.78,135.78,41.01,5.95,5.78
53,826.66,45948.12,1826.84,46124.82,2817.57,16175.99,35.99,9.60,5.78,5.99
54,?,?,?,?,?,?,?,?,5.99,?
55,?,?,?,?,?,?,?,?,?,?
56,829.61,46286.28,1850.28,46487.05,2840.57,2166.00,26.00,1.30,?,6.00
57,828.81,45868.35,1831.29,46065.85,2831.16,77126.08,146.08,46.89,6.00,6.08
