%310
@RELATION PLGRAAL00022
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-SPOZYW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,3718.83,48389.84,2835.52,1358714.89,8014.89,203.20,?,14.89
3,783.15,48222.72,3696.13,48505.50,2832.46,2692914.90,12614.90,396.52,14.89,14.90
4,781.69,47888.16,3651.18,48143.94,2814.73,696714.88,4314.88,103.01,14.90,14.88
5,?,?,?,?,?,?,?,?,14.88,?
6,?,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,3642.19,47820.24,2793.31,1047914.69,6214.69,153.50,?,14.69
8,780.70,47379.63,3576.33,47624.67,2790.64,747014.60,5514.60,108.43,14.69,14.60
9,784.82,47407.28,3508.84,47668.58,2784.62,1353714.35,7514.35,194.45,14.60,14.35
10,788.85,47546.91,3558.48,47798.66,2800.96,1957914.00,12914.00,274.26,14.35,14.00
11,795.36,47440.80,3558.82,47690.97,2815.88,447214.35,4514.35,63.90,14.00,14.35
12,?,?,?,?,?,?,?,?,14.35,?
13,?,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,3578.44,47724.95,2820.74,1744014.00,10414.00,246.10,?,14.00
15,794.59,47086.54,3558.20,47346.41,2817.16,4305513.48,21613.48,579.98,14.00,13.48
16,796.34,47521.39,3558.19,47794.60,2825.40,1081213.74,8613.74,145.51,13.48,13.74
17,803.56,47661.37,3543.16,47936.81,2848.09,1066413.69,8613.69,146.30,13.74,13.69
18,807.72,47813.69,3562.92,48104.67,2864.72,4774513.33,22713.33,627.98,13.69,13.33
19,?,?,?,?,?,?,?,?,13.33,?
20,?,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,3699.59,48184.37,2890.14,1727013.50,9713.50,232.36,?,13.50
22,808.23,47872.80,3655.10,48127.89,2892.80,1742613.60,10513.60,238.00,13.50,13.60
23,808.40,47733.24,3659.94,47999.21,2890.57,692113.86,6613.86,95.39,13.60,13.86
24,811.80,47942.04,3700.17,48203.43,2898.85,1874714.09,13014.09,259.23,13.86,14.09
25,812.99,47613.95,3718.94,47851.99,2897.93,1276113.81,7613.81,176.45,14.09,13.81
26,?,?,?,?,?,?,?,?,13.81,?
27,?,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,3735.07,47553.14,2886.17,1011813.90,7813.90,139.37,?,13.90
29,815.93,47328.40,3714.68,47565.10,2878.58,2562514.05,13814.05,363.25,13.90,14.05
30,815.59,46917.19,3756.63,47113.08,2876.68,1555214.00,9214.00,219.76,14.05,14.00
31,817.14,46840.15,3809.65,47011.43,2880.57,1082614.00,6014.00,152.03,14.00,14.00
32,818.68,46945.58,3793.66,47121.08,2883.81,1574913.99,6413.99,221.25,14.00,13.99
33,?,?,?,?,?,?,?,?,13.99,?
34,?,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,3715.56,46735.25,2856.17,1646413.85,8313.85,230.06,?,13.85
36,816.68,46674.78,3715.75,46862.43,2843.49,1726813.95,8113.95,241.48,13.85,13.95
37,813.75,46149.14,3658.81,46341.54,2811.05,1044813.76,4713.76,145.68,13.95,13.76
38,811.13,46329.66,3691.32,46512.72,2815.91,311613.68,2613.68,42.76,13.76,13.68
39,813.77,46741.54,3696.69,46931.40,2825.70,706313.55,5213.55,95.92,13.68,13.55
40,?,?,?,?,?,?,?,?,13.55,?
41,?,?,?,?,?,?,?,?,?,?
42,817.03,46786.74,3695.92,46988.04,2826.84,1219113.30,7013.30,163.84,?,13.30
43,817.32,46399.26,3702.31,46564.61,2821.25,2386312.69,16612.69,304.02,13.30,12.69
44,817.35,46406.74,3714.64,46569.81,2825.02,1659712.87,7912.87,212.77,12.69,12.87
45,818.81,46211.54,3733.52,46360.51,2825.15,1208613.19,6413.19,159.51,12.87,13.19
46,826.73,46370.13,3763.34,46523.63,2838.22,1961613.09,7713.09,252.20,13.19,13.09
47,?,?,?,?,?,?,?,?,13.09,?
48,?,?,?,?,?,?,?,?,?,?
49,830.85,46508.27,3757.44,46665.39,2848.48,1203512.96,5112.96,156.66,?,12.96
50,832.30,46490.89,3763.52,46652.19,2843.90,425412.92,3412.92,55.00,12.96,12.92
51,830.62,46051.76,3745.72,46198.42,2831.71,707413.14,3413.14,92.36,12.92,13.14
52,823.32,45879.90,3760.90,46050.52,2801.83,1317613.00,6413.00,171.31,13.14,13.00
53,826.66,45948.12,3733.92,46124.82,2817.57,1015313.15,3813.15,133.52,13.00,13.15
54,?,?,?,?,?,?,?,?,13.15,?
55,?,?,?,?,?,?,?,?,?,?
56,829.61,46286.28,3698.83,46487.05,2840.57,1127213.12,4813.12,147.45,?,13.12
57,828.81,45868.35,3687.46,46065.85,2831.16,922013.00,3813.00,119.82,13.12,13.00
58,836.69,46241.92,3723.24,46459.99,2855.69,3161913.20,8913.20,419.43,13.00,13.20
59,844.08,46280.36,3694.46,46510.83,2865.27,2998913.25,10513.25,398.00,13.20,13.25
60,842.02,46341.14,3596.60,46622.90,2859.05,2815313.40,10513.40,382.28,13.25,13.40
61,?,?,?,?,?,?,?,?,13.40,?
62,?,?,?,?,?,?,?,?,?,?
63,838.26,46137.70,3528.81,46454.13,2860.68,7268212.35,37012.35,919.35,?,12.35
64,845.88,46676.09,3522.56,47001.38,2868.06,5683212.03,27712.03,690.68,12.35,12.03
65,849.88,46762.65,3541.17,47090.49,2872.90,6189412.00,23212.00,739.16,12.03,12.00
