%310
@RELATION PLSELNA00010
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?
2,48107.89,48389.84,2835.52,31608.55,178.55,25.46,?,8.55
3,48222.72,48505.50,2832.46,83258.63,178.63,70.52,8.55,8.63
4,47888.16,48143.94,2814.73,6048.62,68.62,5.04,8.63,8.62
5,?,?,?,?,?,?,8.62,?
6,?,?,?,?,?,?,?,?
7,47589.33,47820.24,2793.31,8778.65,38.65,7.57,?,8.65
8,47379.63,47624.67,2790.64,12368.66,108.66,10.68,8.65,8.66
9,47407.28,47668.58,2784.62,12818.70,58.70,11.13,8.66,8.70
10,47546.91,47798.66,2800.96,18879.15,99.15,16.94,8.70,9.15
11,47440.80,47690.97,2815.88,16049.30,69.30,14.76,9.15,9.30
12,?,?,?,?,?,?,9.30,?
13,?,?,?,?,?,?,?,?
14,47470.12,47724.95,2820.74,70659.30,159.30,64.03,?,9.30
15,47086.54,47346.41,2817.16,323129.65,179.65,300.72,9.30,9.65
16,47521.39,47794.60,2825.40,34099.44,69.44,32.10,9.65,9.44
17,47661.37,47936.81,2848.09,27429.45,69.45,25.94,9.44,9.45
18,47813.69,48104.67,2864.72,5699.33,49.33,5.24,9.45,9.33
19,?,?,?,?,?,?,9.33,?
20,?,?,?,?,?,?,?,?
21,47936.61,48184.37,2890.14,759.30,29.30,0.68,?,9.30
22,47872.80,48127.89,2892.80,100099.44,49.44,93.79,9.30,9.44
23,47733.24,47999.21,2890.57,4009.10,29.10,3.64,9.44,9.10
24,47942.04,48203.43,2898.85,24499.54,99.54,22.92,9.10,9.54
25,47613.95,47851.99,2897.93,3509.24,29.24,3.23,9.54,9.24
26,?,?,?,?,?,?,9.24,?
27,?,?,?,?,?,?,?,?
28,47324.06,47553.14,2886.17,123469.47,189.47,113.16,?,9.47
29,47328.40,47565.10,2878.58,5869.47,39.47,5.38,9.47,9.47
30,46917.19,47113.08,2876.68,45969.39,189.39,42.23,9.47,9.39
31,46840.15,47011.43,2880.57,8919.38,79.38,8.22,9.39,9.38
32,46945.58,47121.08,2883.81,809.30,49.30,0.72,9.38,9.30
33,?,?,?,?,?,?,9.30,?
34,?,?,?,?,?,?,?,?
35,46556.55,46735.25,2856.17,34179.28,59.28,30.69,?,9.28
36,46674.78,46862.43,2843.49,10119.16,79.16,9.00,9.28,9.16
37,46149.14,46341.54,2811.05,09.16,09.16,0.00,9.16,9.16
38,46329.66,46512.72,2815.91,1679.09,39.09,1.52,9.16,9.09
39,46741.54,46931.40,2825.70,6019.07,39.07,5.21,9.09,9.07
40,?,?,?,?,?,?,9.07,?
41,?,?,?,?,?,?,?,?
42,46786.74,46988.04,2826.84,8819.06,59.06,7.63,?,9.06
43,46399.26,46564.61,2821.25,59.03,29.03,0.04,9.06,9.03
44,46406.74,46569.81,2825.02,2138.87,48.87,1.89,9.03,8.87
45,46211.54,46360.51,2825.15,21688.24,98.24,17.96,8.87,8.24
46,46370.13,46523.63,2838.22,21308.44,88.44,17.62,8.24,8.44
47,?,?,?,?,?,?,8.44,?
48,?,?,?,?,?,?,?,?
49,46508.27,46665.39,2848.48,1758.35,38.35,1.44,?,8.35
50,46490.89,46652.19,2843.90,9188.50,68.50,7.72,8.35,8.50
51,46051.76,46198.42,2831.71,2089.05,39.05,1.78,8.50,9.05
52,45879.90,46050.52,2801.83,09.05,09.05,0.00,9.05,9.05
53,45948.12,46124.82,2817.57,19.14,19.14,0.01,9.05,9.14
54,?,?,?,?,?,?,9.14,?
55,?,?,?,?,?,?,?,?
56,46286.28,46487.05,2840.57,41748.75,138.75,35.69,?,8.75
57,45868.35,46065.85,2831.16,19.13,19.13,0.01,8.75,9.13
58,46241.92,46459.99,2855.69,5718.98,48.98,4.81,9.13,8.98
59,46280.36,46510.83,2865.27,14508.90,68.90,12.58,8.98,8.90
60,46341.14,46622.90,2859.05,1529.01,39.01,1.32,8.90,9.01
61,?,?,?,?,?,?,9.01,?
62,?,?,?,?,?,?,?,?
63,46137.70,46454.13,2860.68,2519.00,29.00,2.16,?,9.00
64,46676.09,47001.38,2868.06,9909.00,49.00,8.52,9.00,9.00
65,46762.65,47090.49,2872.90,11929.50,59.50,10.90,9.00,9.50
66,46745.26,47060.66,2873.49,383410.00,1810.00,36.73,9.50,10.00
67,47074.39,47436.21,2906.74,135310.20,910.20,13.45,10.00,10.20
68,?,?,?,?,?,?,10.20,?
69,?,?,?,?,?,?,?,?
70,46933.03,47269.75,2914.24,6510.00,410.00,0.62,?,10.00
71,47010.40,47340.43,2911.38,205210.00,810.00,20.27,10.00,10.00
72,46888.37,47235.72,2901.67,59110.45,810.45,6.11,10.00,10.45
73,47223.68,47606.16,2912.13,1326010.75,2610.75,142.14,10.45,10.75
74,47125.93,47522.10,2909.77,682310.50,1410.50,68.81,10.75,10.50
75,?,?,?,?,?,?,10.50,?
76,?,?,?,?,?,?,?,?
77,46668.41,47094.18,2900.59,73110.48,210.48,7.52,?,10.48
78,46029.35,46473.62,2868.24,441910.50,1010.50,45.52,10.48,10.50
79,46068.24,46511.62,2874.75,436010.49,1310.49,43.60,10.50,10.49
80,45580.47,46017.88,2833.61,85410.80,510.80,8.59,10.49,10.80
81,45066.18,45473.08,2800.67,1118310.40,4310.40,108.65,10.80,10.40
82,?,?,?,?,?,?,10.40,?
83,?,?,?,?,?,?,?,?
84,44585.10,44946.32,2780.21,201510.46,1010.46,20.35,?,10.46
85,44724.88,45119.16,2774.13,4279210.10,1010.10,432.18,10.46,10.10
86,45247.90,45644.09,2785.46,464510.29,710.29,46.57,10.10,10.29
87,45147.57,45528.85,2797.31,010.29,010.29,0.00,10.29,10.29
88,?,?,?,?,?,?,10.29,?
89,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?
92,45304.74,45679.51,2814.33,932410.50,1110.50,94.53,?,10.50
93,44604.61,44940.36,2769.02,35210.85,410.85,3.70,10.50,10.85
94,44623.89,44980.62,2766.19,26010.85,310.85,2.74,10.85,10.85
95,44597.66,44960.02,2760.91,443710.50,810.50,46.58,10.85,10.50
96,?,?,?,?,?,?,10.50,?
97,?,?,?,?,?,?,?,?
98,44590.97,44963.96,2764.28,1120811.50,2711.50,122.13,?,11.50
99,44725.03,45096.35,2767.26,16011.45,211.45,1.83,11.50,11.45
100,45091.63,45495.34,2780.21,282012.20,1512.20,31.73,11.45,12.20
101,45688.48,46131.66,2794.43,283112.77,1112.77,34.91,12.20,12.77
102,45525.92,45960.10,2783.53,2381112.59,1812.59,293.15,12.77,12.59
103,?,?,?,?,?,?,12.59,?
104,?,?,?,?,?,?,?,?
105,44724.14,45167.65,2754.91,113811.81,511.81,13.44,?,11.81
106,?,?,?,?,?,?,11.81,?
107,43916.24,44404.81,2705.88,114911.70,811.70,13.44,?,11.70
108,43364.70,43850.06,2695.55,600111.80,311.80,70.81,11.70,11.80
109,43447.75,43993.98,2685.57,206511.70,1511.70,22.08,11.80,11.70
110,?,?,?,?,?,?,11.70,?
111,?,?,?,?,?,?,?,?
112,43360.30,43892.82,2660.28,1099710.10,1810.10,114.07,?,10.10
113,43159.57,43707.88,2624.40,36710.69,510.69,3.64,10.10,10.69
114,43356.73,43908.95,2636.70,555810.99,710.99,58.29,10.69,10.99
115,43482.18,44027.03,2658.57,3011.45,311.45,0.34,10.99,11.45
116,43665.21,44226.06,2669.93,104410.50,910.50,10.94,11.45,10.50
117,?,?,?,?,?,?,10.50,?
118,?,?,?,?,?,?,?,?
119,43882.16,44420.22,2685.14,11810.32,310.32,1.28,?,10.32
120,44162.18,44653.34,2704.84,34110.98,310.98,3.74,10.32,10.98
121,?,?,?,?,?,?,10.98,?
122,43991.51,44466.89,2695.22,5311.20,611.20,0.57,?,11.20
123,?,?,?,?,?,?,11.20,?
124,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?
126,44541.73,45060.80,2714.72,62810.86,810.86,6.53,?,10.86
127,44742.22,45244.29,2733.96,893210.90,1110.90,96.90,10.86,10.90
128,45117.94,45647.76,2752.14,2784910.90,910.90,303.70,10.90,10.90
129,44943.16,45475.08,2760.20,010.90,010.90,0.00,10.90,10.90
130,44895.35,45408.06,2769.85,20110.94,210.94,2.11,10.90,10.94
131,?,?,?,?,?,?,10.94,?
132,?,?,?,?,?,?,?,?
133,45207.84,45746.01,2790.62,928411.11,1011.11,100.56,?,11.11
134,45771.11,46336.62,2822.41,596711.18,1211.18,66.42,11.11,11.18
135,46102.42,46676.61,2848.38,292811.88,2411.88,31.50,11.18,11.88
136,45992.03,46581.16,2871.70,44512.10,912.10,5.32,11.88,12.10
137,46078.68,46646.58,2885.19,364612.86,2112.86,43.97,12.10,12.86
138,?,?,?,?,?,?,12.86,?
139,?,?,?,?,?,?,?,?
140,46041.35,46615.31,2921.95,28412.50,112.50,3.55,?,12.50
141,45851.80,46439.10,2893.12,349012.80,1212.80,43.75,12.50,12.80
142,45933.66,46529.96,2912.70,012.80,012.80,0.00,12.80,12.80
143,45687.76,46311.26,2894.53,100412.60,312.60,12.65,12.80,12.60
144,46145.44,46783.61,2929.62,30912.49,1112.49,3.84,12.60,12.49
145,?,?,?,?,?,?,12.49,?
146,?,?,?,?,?,?,?,?
147,47277.10,47957.54,2976.83,13112.80,212.80,1.68,?,12.80
148,47579.87,48258.02,2997.81,4612.70,112.70,0.58,12.80,12.70
