%310
@RELATION NL0009508712
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-SPOZYW NUMERIC 
@ATTRIBUTE WIG-CEE NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,10531.27,48107.89,3718.83,832.17,2835.52,112314.80,914.80,16.52,?,14.80
3,10554.18,48222.72,3696.13,839.05,2832.46,21015.00,415.00,3.15,14.80,15.00
4,10519.33,47888.16,3651.18,845.71,2814.73,100015.00,315.00,15.00,15.00,15.00
5,?,?,?,?,?,?,?,?,15.00,?
6,?,?,?,?,?,?,?,?,?,?
7,10488.60,47589.33,3642.19,849.25,2793.31,10015.00,215.00,1.50,?,15.00
8,10500.71,47379.63,3576.33,854.96,2790.64,126314.80,814.80,18.76,15.00,14.80
9,10503.06,47407.28,3508.84,851.76,2784.62,57515.00,615.00,8.61,14.80,15.00
10,10496.80,47546.91,3558.48,851.10,2800.96,100015.25,115.25,15.25,15.00,15.25
11,10595.04,47440.80,3558.82,850.72,2815.88,498715.70,1315.70,78.33,15.25,15.70
12,?,?,?,?,?,?,?,?,15.70,?
13,?,?,?,?,?,?,?,?,?,?
14,10637.07,47470.12,3578.44,856.11,2820.74,7283016.00,1616.00,1165.43,?,16.00
15,10638.06,47086.54,3558.20,855.54,2817.16,169415.99,815.99,26.42,16.00,15.99
16,10673.05,47521.39,3558.19,849.49,2825.40,65015.50,515.50,10.11,15.99,15.50
17,10767.29,47661.37,3543.16,854.27,2848.09,015.50,015.50,0.00,15.50,15.50
18,10903.93,47813.69,3562.92,845.61,2864.72,2517015.75,815.75,395.03,15.50,15.75
19,?,?,?,?,?,?,?,?,15.75,?
20,?,?,?,?,?,?,?,?,?,?
21,11030.02,47936.61,3699.59,857.64,2890.14,146215.85,515.85,23.17,?,15.85
22,11073.63,47872.80,3655.10,858.70,2892.80,1367415.85,1615.85,216.73,15.85,15.85
23,11071.80,47733.24,3659.94,853.17,2890.57,115916.00,516.00,18.28,15.85,16.00
24,11108.21,47942.04,3700.17,865.46,2898.85,5575115.82,515.82,883.74,16.00,15.82
25,11174.05,47613.95,3718.94,867.33,2897.93,206015.65,915.65,32.45,15.82,15.65
26,?,?,?,?,?,?,?,?,15.65,?
27,?,?,?,?,?,?,?,?,?,?
28,11144.27,47324.06,3735.07,862.14,2886.17,106015.36,1215.36,16.26,?,15.36
29,11165.66,47328.40,3714.68,861.04,2878.58,015.36,015.36,0.00,15.36,15.36
30,11183.61,46917.19,3756.63,868.36,2876.68,515.85,115.85,0.08,15.36,15.85
31,11245.80,46840.15,3809.65,873.28,2880.57,015.85,015.85,0.00,15.85,15.85
32,11241.00,46945.58,3793.66,873.87,2883.81,29015.50,415.50,4.49,15.85,15.50
33,?,?,?,?,?,?,?,?,15.50,?
34,?,?,?,?,?,?,?,?,?,?
35,11191.08,46556.55,3715.56,865.72,2856.17,38715.60,415.60,6.00,?,15.60
36,11060.84,46674.78,3715.75,868.83,2843.49,015.60,015.60,0.00,15.60,15.60
37,10953.57,46149.14,3658.81,868.89,2811.05,6059115.25,815.25,939.65,15.60,15.25
38,10950.03,46329.66,3691.32,869.69,2815.91,5015.68,215.68,0.78,15.25,15.68
39,10986.53,46741.54,3696.69,870.75,2825.70,015.68,015.68,0.00,15.68,15.68
40,?,?,?,?,?,?,?,?,15.68,?
41,?,?,?,?,?,?,?,?,?,?
42,10947.75,46786.74,3695.92,870.67,2826.84,2015.50,215.50,0.31,?,15.50
43,10981.98,46399.26,3702.31,874.02,2821.25,73515.01,515.01,11.03,15.50,15.01
44,11022.58,46406.74,3714.64,874.66,2825.02,15015.00,215.00,2.25,15.01,15.00
45,11017.48,46211.54,3733.52,870.38,2825.15,35015.01,215.01,5.34,15.00,15.01
46,11071.18,46370.13,3763.34,873.83,2838.22,8015.25,115.25,1.22,15.01,15.25
47,?,?,?,?,?,?,?,?,15.25,?
48,?,?,?,?,?,?,?,?,?,?
49,11089.91,46508.27,3757.44,869.62,2848.48,22342815.35,215.35,3429.62,?,15.35
50,11119.72,46490.89,3763.52,861.33,2843.90,7633915.50,1315.50,1173.59,15.35,15.50
51,11014.53,46051.76,3745.72,862.42,2831.71,5153215.20,715.20,790.91,15.50,15.20
52,10948.88,45879.90,3760.90,859.18,2801.83,4942515.34,315.34,757.79,15.20,15.34
53,10985.79,45948.12,3733.92,860.24,2817.57,40015.05,215.05,6.02,15.34,15.05
54,?,?,?,?,?,?,?,?,15.05,?
55,?,?,?,?,?,?,?,?,?,?
56,11033.69,46286.28,3698.83,865.38,2840.57,120015.00,315.00,18.00,?,15.00
57,10972.28,45868.35,3687.46,859.83,2831.16,42114.80,614.80,6.24,15.00,14.80
58,11039.20,46241.92,3723.24,854.80,2855.69,191315.00,1015.00,28.38,14.80,15.00
59,11052.03,46280.36,3694.46,848.17,2865.27,50015.00,115.00,7.50,15.00,15.00
60,11010.83,46341.14,3596.60,845.37,2859.05,208814.70,414.70,31.19,15.00,14.70
61,?,?,?,?,?,?,?,?,14.70,?
62,?,?,?,?,?,?,?,?,?,?
63,10998.55,46137.70,3528.81,840.47,2860.68,41014.45,514.45,5.93,?,14.45
64,10997.33,46676.09,3522.56,839.67,2868.06,1075414.50,514.50,155.94,14.45,14.50
65,11042.47,46762.65,3541.17,844.03,2872.90,21614.79,214.79,3.18,14.50,14.79
66,11042.08,46745.26,3558.65,848.35,2873.49,7514.75,114.75,1.11,14.79,14.75
67,11119.06,47074.39,3529.57,849.80,2906.74,130715.19,715.19,19.42,14.75,15.19
68,?,?,?,?,?,?,?,?,15.19,?
69,?,?,?,?,?,?,?,?,?,?
70,11133.10,46933.03,3595.74,846.53,2914.24,552015.25,815.25,85.44,?,15.25
71,11150.86,47010.40,3613.57,846.39,2911.38,015.25,015.25,0.00,15.25,15.25
72,11194.08,46888.37,3595.65,837.78,2901.67,9415.19,215.19,1.43,15.25,15.19
73,11231.22,47223.68,3593.14,837.83,2912.13,015.19,015.19,0.00,15.19,15.19
74,11228.39,47125.93,3575.34,836.66,2909.77,222115.40,1215.40,34.19,15.19,15.40
75,?,?,?,?,?,?,?,?,15.40,?
76,?,?,?,?,?,?,?,?,?,?
77,11190.20,46668.41,3531.93,820.24,2900.59,4515.00,315.00,0.67,?,15.00
78,11135.62,46029.35,3446.97,809.89,2868.24,015.00,015.00,0.00,15.00,15.00
79,11168.63,46068.24,3416.12,807.16,2874.75,190614.60,714.60,28.00,15.00,14.60
80,11069.03,45580.47,3320.24,804.44,2833.61,70014.40,214.40,10.09,14.60,14.40
81,10908.77,45066.18,3327.55,810.77,2800.67,014.40,014.40,0.00,14.40,14.40
82,?,?,?,?,?,?,?,?,14.40,?
83,?,?,?,?,?,?,?,?,?,?
84,10899.26,44585.10,3387.98,812.79,2780.21,112514.14,514.14,15.94,?,14.14
85,10815.43,44724.88,3369.87,803.27,2774.13,83514.00,514.00,11.71,14.14,14.00
86,10867.86,45247.90,3430.06,809.03,2785.46,014.00,014.00,0.00,14.00,14.00
87,10938.55,45147.57,3478.60,810.52,2797.31,44414.25,114.25,6.33,14.00,14.25
88,?,?,?,?,?,?,?,?,14.25,?
89,?,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?
92,10998.70,45304.74,3523.68,817.94,2814.33,014.25,014.25,0.00,?,14.25
93,10809.87,44604.61,3482.18,814.18,2769.02,210913.85,913.85,29.57,14.25,13.85
94,10817.23,44623.89,3486.55,813.71,2766.19,216013.80,913.80,29.71,13.85,13.80
95,10803.99,44597.66,3479.32,814.30,2760.91,299913.88,313.88,41.55,13.80,13.88
96,?,?,?,?,?,?,?,?,13.88,?
97,?,?,?,?,?,?,?,?,?,?
98,10819.93,44590.97,3450.97,804.33,2764.28,013.88,013.88,0.00,?,13.88
99,10820.89,44725.03,3474.49,809.49,2767.26,100014.00,114.00,14.00,13.88,14.00
100,10845.27,45091.63,3463.81,809.43,2780.21,014.00,014.00,0.00,14.00,14.00
101,10908.65,45688.48,3504.28,808.43,2794.43,11613.70,313.70,1.59,14.00,13.70
102,10807.45,45525.92,3481.04,806.22,2783.53,013.70,013.70,0.00,13.70,13.70
103,?,?,?,?,?,?,?,?,13.70,?
104,?,?,?,?,?,?,?,?,?,?
105,10663.67,44724.14,3368.83,795.39,2754.91,100013.25,313.25,13.25,?,13.25
106,?,?,?,?,?,?,?,?,13.25,?
107,10431.02,43916.24,3195.69,774.83,2705.88,298512.00,1012.00,37.25,?,12.00
108,10415.53,43364.70,3142.65,764.32,2695.55,135012.00,312.00,16.45,12.00,12.00
109,10373.60,43447.75,2992.95,748.80,2685.57,51012.50,212.50,6.25,12.00,12.50
110,?,?,?,?,?,?,?,?,12.50,?
111,?,?,?,?,?,?,?,?,?,?
112,10335.77,43360.30,3007.40,754.56,2660.28,152612.00,412.00,18.58,?,12.00
113,10282.22,43159.57,3011.64,750.26,2624.40,468011.11,911.11,54.16,12.00,11.11
114,10264.95,43356.73,3012.77,753.01,2636.70,45511.20,611.20,5.13,11.11,11.20
115,10327.20,43482.18,2993.56,753.51,2658.57,95011.00,911.00,10.58,11.20,11.00
116,10407.26,43665.21,3051.09,754.90,2669.93,1784410.50,910.50,187.53,11.00,10.50
117,?,?,?,?,?,?,?,?,10.50,?
118,?,?,?,?,?,?,?,?,?,?
119,10465.41,43882.16,3107.87,766.31,2685.14,100011.25,111.25,11.25,?,11.25
