%310
@RELATION PLPEPES00018
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-SPOZYW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,3718.83,48389.84,2835.52,332000.90,150.90,29.73,?,0.90
3,783.15,48222.72,3696.13,48505.50,2832.46,257900.87,120.87,22.78,0.90,0.87
4,781.69,47888.16,3651.18,48143.94,2814.73,220150.85,160.85,18.78,0.87,0.85
5,?,?,?,?,?,?,?,?,0.85,?
6,?,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,3642.19,47820.24,2793.31,324300.84,180.84,27.35,?,0.84
8,780.70,47379.63,3576.33,47624.67,2790.64,59550.84,90.84,4.98,0.84,0.84
9,784.82,47407.28,3508.84,47668.58,2784.62,51500.84,50.84,4.33,0.84,0.84
10,788.85,47546.91,3558.48,47798.66,2800.96,263000.87,160.87,22.75,0.84,0.87
11,795.36,47440.80,3558.82,47690.97,2815.88,22590.86,30.86,1.92,0.87,0.86
12,?,?,?,?,?,?,?,?,0.86,?
13,?,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,3578.44,47724.95,2820.74,151300.86,40.86,13.15,?,0.86
15,794.59,47086.54,3558.20,47346.41,2817.16,129000.85,50.85,10.99,0.86,0.85
16,796.34,47521.39,3558.19,47794.60,2825.40,31000.88,20.88,2.71,0.85,0.88
17,803.56,47661.37,3543.16,47936.81,2848.09,248150.86,100.86,20.90,0.88,0.86
18,807.72,47813.69,3562.92,48104.67,2864.72,93000.87,90.87,8.09,0.86,0.87
19,?,?,?,?,?,?,?,?,0.87,?
20,?,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,3699.59,48184.37,2890.14,869730.88,140.88,76.44,?,0.88
22,808.23,47872.80,3655.10,48127.89,2892.80,118410.87,210.87,10.26,0.88,0.87
23,808.40,47733.24,3659.94,47999.21,2890.57,210490.87,230.87,17.94,0.87,0.87
24,811.80,47942.04,3700.17,48203.43,2898.85,633460.84,210.84,52.85,0.87,0.84
25,812.99,47613.95,3718.94,47851.99,2897.93,406890.85,240.85,34.07,0.84,0.85
26,?,?,?,?,?,?,?,?,0.85,?
27,?,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,3735.07,47553.14,2886.17,90.85,10.85,0.01,?,0.85
