%310
@RELATION IM00B58FMW76
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-PALIWA NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
112,43360.30,3488.71,1006.85,16.85,0.69,?,6.85
113,43159.57,3475.81,506.81,16.81,0.34,6.85,6.81
114,43356.73,3553.45,16886.95,26.95,11.73,6.81,6.95
115,43482.18,3573.45,43536.90,26.90,30.04,6.95,6.90
116,43665.21,3529.71,06.90,06.90,0.00,6.90,6.90
117,?,?,?,?,?,6.90,?
118,?,?,?,?,?,?,?
119,43882.16,3528.05,06.90,06.90,0.00,?,6.90
120,44162.18,3527.90,06.90,06.90,0.00,6.90,6.90
121,?,?,?,?,?,6.90,?
122,43991.51,3487.44,1857.25,17.25,1.34,?,7.25
123,?,?,?,?,?,7.25,?
124,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?
126,44541.73,3536.18,24007.25,27.25,17.53,?,7.25
127,44742.22,3560.06,67607.28,87.28,49.19,7.25,7.28
128,45117.94,3622.35,6897.00,17.00,4.82,7.28,7.00
129,44943.16,3631.29,57.21,17.21,0.04,7.00,7.21
130,44895.35,3585.45,07.21,07.21,0.00,7.21,7.21
131,?,?,?,?,?,7.21,?
132,?,?,?,?,?,?,?
133,45207.84,3617.11,2397.30,17.30,1.74,?,7.30
134,45771.11,3684.10,7867.16,17.16,5.63,7.30,7.16
135,46102.42,3771.80,07.16,07.16,0.00,7.16,7.16
136,45992.03,3771.09,3397.09,17.09,2.40,7.16,7.09
137,46078.68,3782.90,43477.80,87.80,33.13,7.09,7.80
138,?,?,?,?,?,7.80,?
139,?,?,?,?,?,?,?
140,46041.35,3773.81,07.80,07.80,0.00,?,7.80
141,45851.80,3726.44,6147.35,17.35,4.51,7.80,7.35
142,45933.66,3774.47,07.35,07.35,0.00,7.35,7.35
143,45687.76,3774.96,26007.25,47.25,18.85,7.35,7.25
144,46145.44,3817.04,07.25,07.25,0.00,7.25,7.25
145,?,?,?,?,?,7.25,?
146,?,?,?,?,?,?,?
147,47277.10,3979.24,25947.30,17.30,18.94,?,7.30
148,47579.87,3978.79,3237.30,27.30,2.36,7.30,7.30
149,47476.64,3914.03,07.30,07.30,0.00,7.30,7.30
150,?,?,?,?,?,7.30,?
151,47806.34,3911.72,07.30,07.30,0.00,?,7.30
152,?,?,?,?,?,7.30,?
153,?,?,?,?,?,?,?
154,47175.79,3882.96,07.30,07.30,0.00,?,7.30
155,47620.68,3951.95,17.07,17.07,0.01,7.30,7.07
156,47805.94,3978.73,2007.11,17.11,1.42,7.07,7.11
157,47573.66,3930.30,12487.15,27.15,8.92,7.11,7.15
158,48209.65,4011.58,07.15,07.15,0.00,7.15,7.15
159,?,?,?,?,?,7.15,?
160,?,?,?,?,?,?,?
161,48495.01,4011.02,07.15,07.15,0.00,?,7.15
162,48324.52,3975.14,07.15,07.15,0.00,7.15,7.15
163,48383.93,3932.32,07.15,07.15,0.00,7.15,7.15
164,48152.82,3874.52,07.15,07.15,0.00,7.15,7.15
165,48273.42,3892.86,36006.95,66.95,25.15,7.15,6.95
166,?,?,?,?,?,6.95,?
167,?,?,?,?,?,?,?
168,48131.61,3874.73,06.95,06.95,0.00,?,6.95
169,48119.72,3817.02,14817.00,27.00,10.37,6.95,7.00
170,47743.10,3792.01,49206.50,66.50,32.87,7.00,6.50
171,45870.00,3626.85,20516.40,66.40,13.06,6.50,6.40
172,44732.92,3454.63,06.40,06.40,0.00,6.40,6.40
173,?,?,?,?,?,6.40,?
174,?,?,?,?,?,?,?
175,44824.62,3485.54,32226.40,46.40,20.45,?,6.40
176,44966.09,3514.51,06.40,06.40,0.00,6.40,6.40
177,44893.99,3498.28,1746.50,16.50,1.13,6.40,6.50
178,43667.37,3353.17,06.50,06.50,0.00,6.50,6.50
179,44747.79,3524.10,18666.70,16.70,12.50,6.50,6.70
180,?,?,?,?,?,6.70,?
181,?,?,?,?,?,?,?
182,44769.00,3588.05,06.70,06.70,0.00,?,6.70
183,45533.94,3677.15,12006.60,16.60,7.92,6.70,6.60
184,45184.98,3634.28,6686.50,16.50,4.34,6.60,6.50
185,45613.75,3650.70,06.50,06.50,0.00,6.50,6.50
186,45110.89,3592.88,06.50,06.50,0.00,6.50,6.50
187,?,?,?,?,?,6.50,?
188,?,?,?,?,?,?,?
189,44534.34,3511.08,06.50,06.50,0.00,?,6.50
190,44342.23,3575.89,44006.40,56.40,28.40,6.50,6.40
191,45068.55,3640.56,06.40,06.40,0.00,6.40,6.40
192,45712.72,3695.25,06.40,06.40,0.00,6.40,6.40
193,46150.78,3726.32,06.40,06.40,0.00,6.40,6.40
194,?,?,?,?,?,6.40,?
195,?,?,?,?,?,?,?
196,46218.05,3710.20,8946.40,16.40,5.72,?,6.40
197,46155.10,3696.46,06.40,06.40,0.00,6.40,6.40
198,46287.08,3712.65,06.40,06.40,0.00,6.40,6.40
199,46221.23,3742.96,06.40,06.40,0.00,6.40,6.40
200,46399.74,3710.73,06.40,06.40,0.00,6.40,6.40
201,?,?,?,?,?,6.40,?
202,?,?,?,?,?,?,?
203,46361.70,3592.72,80006.70,66.70,53.60,?,6.70
204,46714.43,3582.23,06.70,06.70,0.00,6.70,6.70
205,46835.98,3649.31,06.70,06.70,0.00,6.70,6.70
206,46713.02,3619.57,10006.40,16.40,6.40,6.70,6.40
207,46258.91,3501.02,11106.40,16.40,7.10,6.40,6.40
208,?,?,?,?,?,6.40,?
209,?,?,?,?,?,?,?
210,46480.62,3544.38,06.40,06.40,0.00,?,6.40
211,46663.41,3515.15,06.40,06.40,0.00,6.40,6.40
212,46925.65,3535.64,24996.90,36.90,17.04,6.40,6.90
213,47370.81,3535.46,06.90,06.90,0.00,6.90,6.90
214,48325.33,3668.03,06.90,06.90,0.00,6.90,6.90
215,?,?,?,?,?,6.90,?
216,?,?,?,?,?,?,?
217,48458.44,3653.01,06.90,06.90,0.00,?,6.90
218,47942.81,3670.68,06.90,06.90,0.00,6.90,6.90
219,48306.55,3731.96,06.90,06.90,0.00,6.90,6.90
220,48862.88,3728.11,207.00,17.00,0.14,6.90,7.00
221,49125.36,3688.72,3006.70,16.70,2.01,7.00,6.70
222,?,?,?,?,?,6.70,?
223,?,?,?,?,?,?,?
224,49580.16,3652.67,6246.30,26.30,3.93,?,6.30
225,49747.66,3644.19,06.30,06.30,0.00,6.30,6.30
226,50223.95,3697.35,06.30,06.30,0.00,6.30,6.30
227,?,?,?,?,?,6.30,?
228,49976.48,3656.29,4696.40,16.40,3.00,?,6.40
229,?,?,?,?,?,6.40,?
230,?,?,?,?,?,?,?
231,49772.46,3679.88,8546.00,46.00,5.27,?,6.00
232,49162.16,3605.16,13305.70,25.70,7.68,6.00,5.70
233,49128.05,3600.42,15506.40,26.40,9.71,5.70,6.40
234,49846.48,3684.73,06.40,06.40,0.00,6.40,6.40
235,49895.10,3653.13,6836.50,26.50,4.44,6.40,6.50
236,?,?,?,?,?,6.50,?
237,?,?,?,?,?,?,?
238,49818.48,3694.30,06.50,06.50,0.00,?,6.50
239,48833.58,3597.10,06.50,06.50,0.00,6.50,6.50
240,48537.65,3616.56,06.50,06.50,0.00,6.50,6.50
241,48676.45,3633.37,06.50,06.50,0.00,6.50,6.50
242,48871.98,3627.05,06.50,06.50,0.00,6.50,6.50
243,?,?,?,?,?,6.50,?
244,?,?,?,?,?,?,?
245,49187.22,3589.78,06.50,06.50,0.00,?,6.50
246,48968.87,3562.73,2786.50,16.50,1.81,6.50,6.50
247,47919.09,3499.00,06.50,06.50,0.00,6.50,6.50
248,45830.66,3330.71,06.50,06.50,0.00,6.50,6.50
249,46717.04,3349.10,06.50,06.50,0.00,6.50,6.50
250,?,?,?,?,?,6.50,?
251,?,?,?,?,?,?,?
252,47808.90,3395.43,11376.39,36.39,7.04,?,6.39
253,48961.51,3555.79,1436.30,16.30,0.90,6.39,6.30
254,49437.02,3620.41,12506.80,26.80,8.74,6.30,6.80
255,49771.55,3583.38,06.80,06.80,0.00,6.80,6.80
256,49348.61,3528.76,06.80,06.80,0.00,6.80,6.80
257,?,?,?,?,?,6.80,?
258,?,?,?,?,?,?,?
259,48917.85,3502.71,42117.85,77.85,31.84,?,7.85
260,49434.46,3532.44,15287.88,117.88,11.73,7.85,7.88
261,49413.33,3530.66,18209.00,89.00,16.10,7.88,9.00
262,50300.53,3606.30,17929.69,119.69,17.06,9.00,9.69
263,50308.19,3620.72,4359.70,49.70,4.16,9.69,9.70
264,?,?,?,?,?,9.70,?
265,?,?,?,?,?,?,?
266,49955.87,3616.46,35639.20,119.20,31.95,?,9.20
267,49979.47,3634.83,1439.20,19.20,1.32,9.20,9.20
268,50301.69,3600.20,09.20,09.20,0.00,9.20,9.20
269,50936.34,3605.25,1019.89,29.89,0.91,9.20,9.89
270,50819.81,3598.66,161910.29,510.29,16.24,9.89,10.29
271,?,?,?,?,?,10.29,?
272,?,?,?,?,?,?,?
273,50301.85,3571.03,11059.70,39.70,10.72,?,9.70
274,50782.48,3622.99,359.70,19.70,0.34,9.70,9.70
275,50803.40,3566.65,09.70,09.70,0.00,9.70,9.70
276,50982.03,3574.04,09.70,09.70,0.00,9.70,9.70
277,50601.24,3477.31,38010.00,310.00,3.75,9.70,10.00
278,?,?,?,?,?,10.00,?
279,?,?,?,?,?,?,?
280,50338.71,3467.91,010.00,010.00,0.00,?,10.00
281,50137.88,3451.34,12859.85,49.85,12.67,10.00,9.85
282,50335.02,3455.40,5010010.00,210.00,501.00,9.85,10.00
283,51806.83,3538.68,189699.01,69.01,186.81,10.00,9.01
284,52230.47,3592.86,340219.70,79.70,330.77,9.01,9.70
285,?,?,?,?,?,9.70,?
286,?,?,?,?,?,?,?
287,52520.91,3562.26,476410.00,410.00,47.46,?,10.00
288,52590.73,3536.38,010.00,010.00,0.00,10.00,10.00
289,52861.41,3569.97,169510.20,310.20,17.29,10.00,10.20
290,52573.59,3523.81,25010.00,210.00,2.50,10.20,10.00
291,52587.24,3502.38,28910.00,310.00,2.89,10.00,10.00
292,?,?,?,?,?,10.00,?
