%310
@RELATION PLBRE0000012
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG30 NUMERIC 
@ATTRIBUTE WIG20 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG30TR NUMERIC 
@ATTRIBUTE WIG20TR NUMERIC 
@ATTRIBUTE WIG-BANKI NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
294,2716.84,2554.61,53853.55,4094.35,3873.43,8421.58,54903.39,17963534.10,678534.10,9477.94,?,534.10
295,2711.02,2544.45,53781.81,4085.59,3858.04,8324.12,54818.06,26446525.05,1140525.05,13973.63,534.10,525.05
296,2690.21,2523.32,53389.74,4054.22,3825.99,8228.03,54433.41,31974524.40,1051524.40,16792.11,525.05,524.40
297,2718.20,2551.43,53994.46,4096.41,3868.61,8334.63,55063.75,20067518.00,713518.00,10469.76,524.40,518.00
298,2701.30,2537.62,53887.13,4070.93,3847.68,8342.60,55023.42,29426522.50,479522.50,15393.04,518.00,522.50
299,?,?,?,?,?,?,?,?,?,?,522.50,?
300,?,?,?,?,?,?,?,?,?,?,?,?
301,2714.03,2557.77,54180.04,4090.12,3878.23,8437.32,55362.19,9890511.50,477511.50,5144.34,?,511.50
302,2729.38,2574.60,54536.95,4113.25,3903.74,8489.31,55688.45,15453507.00,630507.00,7934.33,511.50,507.00
303,2706.26,2553.51,54095.32,4078.41,3871.77,8375.95,55240.01,38720507.80,783507.80,19661.29,507.00,507.80
304,2676.12,2528.97,53607.86,4032.99,3834.56,8327.62,54734.18,25457510.00,575510.00,12955.60,507.80,510.00
305,?,?,?,?,?,?,?,?,?,?,510.00,?
306,?,?,?,?,?,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?,?,?,?,?,?
308,2695.89,2548.15,53989.37,4062.79,3863.63,8356.61,55121.60,10359,405,5327.86,?,512.00
309,2669.72,2521.41,53504.47,4023.35,3823.09,8263.97,54600.05,29655,756,15032.55,512.00,505.00
310,2693.97,2546.67,53924.01,4059.89,3861.40,8345.41,55035.36,23658,566,11971.46,505.00,506.70
340,2274.83041930165,2188.8059760505303,45857.110734846676,3384.910015005461,3256.6436393116282,7243.294026440237,47106.0108522239,?,?,?,?,?,? 
370,2265.0072733966595,2186.385367626361,46189.882480874876,3385.417572068476,3242.0371694635364,7317.988224569833,47398.32393415799,?,?,?,?,?,? 
400,2255.1841274916687,2183.964759202192,46522.654226903076,3385.9251291314913,3227.4306996154446,7392.68242269943,47690.63701609208,?,?,?,?,?,? 
490,2225.714689776696,2176.7029339296846,47520.969464987684,3387.4478003205377,3183.611290071169,7616.765017088219,48567.57626189435,?,?,?,?,?,? 
670,2166.775814346752,2162.1792833846703,49517.5999411569,3390.493142698631,3095.9724709826187,8064.9302058657995,50321.45475349891,?,?,?,?,?,? 
