%310
@RELATION PLSNZKA00033
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIGdiv NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,10531.27,1117.48,48107.89,48389.84,2835.52,3539.20,239.20,1.37,?,39.20
3,10554.18,1118.84,48222.72,48505.50,2832.46,539.30,239.30,0.20,39.20,39.30
4,10519.33,1111.36,47888.16,48143.94,2814.73,5538.01,638.01,2.15,39.30,38.01
5,?,?,?,?,?,?,?,?,38.01,?
6,?,?,?,?,?,?,?,?,?,?
7,10488.60,1109.28,47589.33,47820.24,2793.31,4037.98,237.98,1.52,?,37.98
8,10500.71,1101.95,47379.63,47624.67,2790.64,2139439.30,1739.30,814.47,37.98,39.30
9,10503.06,1105.51,47407.28,47668.58,2784.62,67139.30,739.30,26.35,39.30,39.30
10,10496.80,1109.02,47546.91,47798.66,2800.96,73239.00,939.00,28.89,39.30,39.00
11,10595.04,1106.07,47440.80,47690.97,2815.88,1523439.90,839.90,596.65,39.00,39.90
12,?,?,?,?,?,?,?,?,39.90,?
13,?,?,?,?,?,?,?,?,?,?
14,10637.07,1108.76,47470.12,47724.95,2820.74,8039.40,439.40,3.17,?,39.40
15,10638.06,1098.41,47086.54,47346.41,2817.16,123040.00,540.00,49.19,39.40,40.00
16,10673.05,1100.21,47521.39,47794.60,2825.40,117840.00,740.00,47.15,40.00,40.00
17,10767.29,1100.21,47661.37,47936.81,2848.09,16640.90,640.90,6.66,40.00,40.90
18,10903.93,1104.63,47813.69,48104.67,2864.72,41841.00,441.00,17.14,40.90,41.00
19,?,?,?,?,?,?,?,?,41.00,?
20,?,?,?,?,?,?,?,?,?,?
21,11030.02,1103.07,47936.61,48184.37,2890.14,3941.00,441.00,1.57,?,41.00
22,11073.63,1099.21,47872.80,48127.89,2892.80,18041.50,441.50,7.38,41.00,41.50
23,11071.80,1091.82,47733.24,47999.21,2890.57,135441.60,941.60,56.17,41.50,41.60
24,11108.21,1093.21,47942.04,48203.43,2898.85,5741.80,741.80,2.39,41.60,41.80
